image,book,page,column,nom_idx,syl_idx,syllable,tier,tier_v3,p_visual_syl,visual_fold,visual_argmax,visual_max_p
,stt11,page_0010,3,5,5,tường,GOLD,CHAR_A,0.6851,4,tường,0.6851
,stt11,page_0010,3,6,6,đời,GOLD,CHAR_A,0.9886,4,đời,0.9886
,stt11,page_0010,3,7,7,đời,REVIEW,REVIEW,0.0046,4,pha,0.04
,stt11,page_0010,3,8,8,một,GOLD,CHAR_B,0.027,4,sự,0.1188
,stt11,page_0010,3,9,9,sự,GOLD,CHAR_A,0.0937,4,làm,0.2681
,stt11,page_0010,3,10,10,làm,SYLLABLE,SYL,0.5773,4,làm,0.5773
,stt11,page_0010,3,11,11,cho,GOLD,CHAR_A,0.4729,4,cho,0.4729
,stt11,page_0010,3,12,12,trọn,REVIEW,REVIEW,,4,ủi,0.1552
,stt11,page_0010,3,13,13,vui,GOLD,CHAR_A,0.5339,4,vui,0.5339
,stt11,page_0010,3,14,14,trọn,REVIEW,REVIEW,,4,lọn,0.3175
,stt11,page_0010,3,15,15,lành,GOLD,CHAR_A,0.0666,4,mình,0.78
,stt11,page_0010,3,16,16,đức,SYLLABLE,SYL,0.5122,4,đức,0.5122
,stt11,page_0010,3,17,17,chúa,GOLD,CHAR_A,0.7964,4,chúa,0.7964
,stt11,page_0010,3,18,18,trời,SYLLABLE,SYL,0.7927,4,trời,0.7927
,stt11,page_0010,3,19,19,là,SYLLABLE,SYL,0.2145,4,là,0.2145
,stt11,page_0010,4,0,0,mạch,GOLD,CHAR_A,0.004,4,mà,0.1159
,stt11,page_0010,4,1,1,mọi,GOLD,CHAR_A,0.5891,4,mọi,0.5891
,stt11,page_0010,4,2,2,sự,GOLD,CHAR_A,0.7187,4,sự,0.7187
,stt11,page_0010,4,3,3,thịnh,GOLD,CHAR_A,0.0101,4,hơn,0.1056
,stt11,page_0010,4,5,4,ông,GOLD,CHAR_A,0.0067,4,gian,0.1862
,stt11,page_0010,4,6,5,thánh,GOLD,CHAR_A,0.1384,4,quê,0.1898
,stt11,page_0010,4,7,6,pha,GOLD,CHAR_A,0.9537,4,pha,0.9537
,stt11,page_0010,4,8,7,pha,SYLLABLE,SYL,0.3539,4,pha,0.3539
,stt11,page_0010,4,9,8,bô,GOLD,CHAR_A,,4,vào,0.3101
,stt11,page_0010,4,10,9,ni,GOLD,CHAR_A,0.0057,4,pha,0.7299
,stt11,page_0010,4,11,10,pha,SYLLABLE,SYL,0.0053,4,bà,0.1429
,stt11,page_0010,4,12,11,si,SYLLABLE,SYL,0.175,4,si,0.175
,stt11,page_0010,4,13,12,ô,GOLD,CHAR_A,0.5632,4,ô,0.5632
,stt11,page_0010,4,14,13,thứ,GOLD,CHAR_A,0.4668,4,thứ,0.4668
,stt11,page_0010,4,15,14,bốn,SYLLABLE,SYL,0.7923,4,bốn,0.7923
,stt11,page_0010,4,16,15,thấy,GOLD,CHAR_A,0.9234,4,thấy,0.9234
,stt11,page_0010,4,17,16,một,SYLLABLE,SYL,0.7052,4,một,0.7052
,stt11,page_0010,4,18,17,nhà,GOLD,CHAR_A,0.5445,4,nhà,0.5445
,stt11,page_0010,4,19,18,quỷ,GOLD,CHAR_A,0.7354,4,quỷ,0.7354
,stt11,page_0010,4,20,19,ở,GOLD,CHAR_A,0.5746,4,ở,0.5746
,stt11,page_0010,4,21,20,thành,GOLD,CHAR_A,0.8798,4,thành,0.8798
,stt11,page_0010,5,0,0,rô,SYLLABLE,SYL,0.6748,4,rô,0.6748
,stt11,page_0010,5,1,1,ma,SYLLABLE,SYL,0.6219,4,ma,0.6219
,stt11,page_0010,5,2,2,khéo,GOLD,CHAR_A,0.072,4,khéo,0.072
,stt11,page_0010,5,3,3,lắm,GOLD,CHAR_A,0.2793,4,lắm,0.5049
,stt11,page_0010,5,4,4,ông,GOLD,CHAR_A,0.6605,4,ông,0.6605
,stt11,page_0010,5,5,5,kia,GOLD,CHAR_A,0.002,4,hãy,0.0507
,stt11,page_0010,5,6,6,tên,GOLD,CHAR_A,0.0002,4,kia,0.8828
,stt11,page_0010,5,7,7,là,SYLLABLE,SYL,0.0002,4,tên,0.8785
,stt11,page_0010,5,8,8,a,SYLLABLE,SYL,0.0001,4,là,0.9828
,stt11,page_0010,5,9,9,ki,GOLD,CHAR_B,0.0026,4,a,0.2806
,stt11,page_0010,5,10,10,li,GOLD,CHAR_A,0.0004,4,thôi,0.0864
,stt11,page_0010,5,11,11,pha,GOLD,CHAR_A,0.0,4,le,0.9154
,stt11,page_0010,5,12,12,làm,SYLLABLE,SYL,0.0009,4,pha,0.4717
,stt11,page_0010,5,13,13,xưa,SYLLABLE,SYL,0.0004,4,làm,0.9257
,stt11,page_0010,5,14,14,mà,GOLD,CHAR_A,0.0048,4,xưa,0.1569
,stt11,page_0010,5,15,15,thờ,SYLLABLE,SYL,0.0004,4,mà,0.5048
,stt11,page_0010,5,16,16,nó,GOLD,CHAR_A,0.0012,4,thờ,0.6852
,stt11,page_0010,5,17,17,ông,GOLD,CHAR_A,0.0099,4,nó,0.1505
,stt11,page_0010,5,18,18,thánh,GOLD,CHAR_A,0.0021,4,ông,0.2387
,stt11,page_0010,5,19,19,pha,SYLLABLE,SYL,0.0027,4,thánh,0.5916
,stt11,page_0010,5,20,20,pha,SYLLABLE,SYL,0.8709,4,pha,0.8709
,stt11,page_0010,6,0,0,thấy,GOLD,CHAR_A,0.9268,4,thấy,0.9268
,stt11,page_0010,6,1,2,hạ,REVIEW,REVIEW,0.9877,4,hạ,0.9877
,stt11,page_0010,6,2,3,đã,SYLLABLE,SYL,0.0494,4,ba,0.125
,stt11,page_0010,6,3,4,học,SYLLABLE,SYL,0.4818,4,học,0.4818
,stt11,page_0010,6,4,5,đạo,GOLD,CHAR_A,0.7605,4,đạo,0.7605
,stt11,page_0010,6,5,6,thật,GOLD,CHAR_A,0.9646,4,thật,0.9646
,stt11,page_0010,6,6,7,chăng,GOLD,CHAR_A,0.6051,4,chăng,0.6051
,stt11,page_0010,6,7,8,còn,GOLD,CHAR_A,0.0034,4,mất,0.0753
,stt11,page_0010,6,8,9,thờ,GOLD,CHAR_A,0.7072,4,thờ,0.7072
,stt11,page_0010,6,9,10,quỷ,GOLD,CHAR_A,0.5168,4,quỷ,0.5168
,stt11,page_0010,6,10,11,nữa,GOLD,CHAR_A,0.1061,4,nữa,0.1061
,stt11,page_0010,6,11,12,thì,GOLD,CHAR_A,0.9166,4,thì,0.9166
,stt11,page_0010,6,12,13,người,GOLD,CHAR_A,0.7746,4,người,0.7746
,stt11,page_0010,6,13,14,lấy,SYLLABLE,SYL,0.9442,4,lấy,0.9442
,stt11,page_0010,6,14,15,nhà,GOLD,CHAR_A,0.5893,4,nhà,0.5893
,stt11,page_0010,6,15,16,ấy,SYLLABLE,SYL,0.8859,4,ấy,0.8859
,stt11,page_0010,6,16,18,đền,GOLD,CHAR_A,0.0117,4,làm,0.2027
,stt11,page_0010,6,17,19,thờ,GOLD,CHAR_A,0.2205,4,thờ,0.2205
,stt11,page_0010,6,18,20,chúa,GOLD,CHAR_A,0.0417,4,quê,0.3177
,stt11,page_0010,6,19,21,các,GOLD,CHAR_A,0.2964,4,các,0.2964
,stt11,page_0010,7,0,0,thánh,GOLD,CHAR_A,0.9167,4,thánh,0.9167
,stt11,page_0010,7,1,1,là,SYLLABLE,SYL,0.8684,4,là,0.8684
,stt11,page_0010,7,2,2,rất,SYLLABLE,SYL,0.6929,4,rất,0.6929
,stt11,page_0010,7,3,3,thánh,GOLD,CHAR_A,0.7091,4,thánh,0.7091
,stt11,page_0010,7,4,4,đức,SYLLABLE,SYL,0.5788,4,đức,0.5788
,stt11,page_0010,7,5,5,bà,SYLLABLE,SYL,0.8994,4,bà,0.8994
,stt11,page_0010,7,6,6,ma,SYLLABLE,SYL,0.2811,4,ma,0.2811
,stt11,page_0010,7,7,7,ri,REVIEW,REVIEW,0.0626,4,ri,0.0626
,stt11,page_0010,7,8,8,a,SYLLABLE,SYL,0.0656,4,hình,0.1063
,stt11,page_0010,7,9,9,cùng,GOLD,CHAR_A,0.9405,4,cùng,0.9405
,stt11,page_0010,7,10,10,các,GOLD,CHAR_A,0.9591,4,các,0.9591
,stt11,page_0010,7,11,11,thánh,GOLD,CHAR_A,0.9235,4,thánh,0.9235
,stt11,page_0010,7,12,12,nam,GOLD,CHAR_A,0.21,4,khốn,0.2637
,stt11,page_0010,7,13,13,nữ,GOLD,CHAR_A,0.0154,4,nữa,0.5199
,stt11,page_0010,7,14,14,ở,GOLD,CHAR_A,0.9139,4,ở,0.9139
,stt11,page_0010,7,15,15,trên,GOLD,CHAR_A,0.6864,4,trên,0.6864
,stt11,page_0010,7,16,16,trời,SYLLABLE,SYL,0.8991,4,trời,0.8991
,stt11,page_0010,7,17,17,vì,GOLD,CHAR_A,0.9625,4,vì,0.9625
,stt11,page_0010,7,18,18,vậy,GOLD,CHAR_A,0.6587,4,vậy,0.6587
,stt11,page_0010,7,19,19,don,SYLLABLE,SYL,,4,dọn,0.8001
,stt11,page_0010,7,20,20,nhà,REVIEW,REVIEW,0.7776,4,nhà,0.7776
,stt11,page_0010,7,21,21,ấy,SYLLABLE,SYL,0.8716,4,ấy,0.8716
,stt11,page_0010,8,0,0,mà,REVIEW,REVIEW,0.1317,4,mà,0.1317
,stt11,page_0010,8,1,1,bỏ,GOLD,CHAR_A,0.8414,4,bỏ,0.8414
,stt11,page_0010,8,2,2,những,GOLD,CHAR_A,0.6579,4,những,0.6579
,stt11,page_0010,8,3,3,hình,GOLD,CHAR_A,0.4938,4,hình,0.4938
,stt11,page_0010,8,4,4,tượng,SYLLABLE,SYL,0.1547,4,tượng,0.1547
,stt11,page_0010,8,5,5,quỷ,GOLD,CHAR_A,0.1162,4,ấy,0.1352
,stt11,page_0010,8,6,6,đi,SYLLABLE,SYL,0.8616,4,đi,0.8616
,stt11,page_0010,8,7,7,liền,GOLD,CHAR_A,0.7194,4,liền,0.7194
,stt11,page_0010,8,8,8,lấy,REVIEW,REVIEW,0.9834,4,lấy,0.9834
,stt11,page_0010,8,9,9,bốn,SYLLABLE,SYL,0.9346,4,bốn,0.9346
,stt11,page_0010,8,10,10,mươi,GOLD,CHAR_A,0.4851,4,mươi,0.4851
,stt11,page_0010,8,11,11,xe,GOLD,CHAR_A,0.0107,4,chồng,0.2291
,stt11,page_0010,8,12,12,chở,REVIEW,REVIEW,,4,chuộc,0.2406
,stt11,page_0010,8,13,13,những,GOLD,CHAR_A,0.8711,4,những,0.8711
,stt11,page_0010,8,14,14,xác,GOLD,CHAR_A,0.8941,4,xác,0.8941
,stt11,page_0010,8,15,15,các,GOLD,CHAR_A,0.62,4,các,0.62
,stt11,page_0010,8,16,16,thánh,GOLD,CHAR_A,0.451,4,thánh,0.451
,stt11,page_0010,8,17,17,tử,GOLD,CHAR_A,0.4394,4,tử,0.4394
,stt11,page_0010,8,18,18,vì,GOLD,CHAR_A,0.4756,4,vì,0.4756
,stt11,page_0010,8,19,19,đạo,GOLD,CHAR_A,0.9673,4,đạo,0.9673
,stt11,page_0010,8,20,20,xưa,SYLLABLE,SYL,0.7304,4,xưa,0.7304
,stt11,page_0010,9,0,0,mà,GOLD,CHAR_A,0.4342,4,mà,0.4342
,stt11,page_0010,9,1,1,đem,SYLLABLE,SYL,0.053,4,chịu,0.0925
,stt11,page_0010,9,2,2,về,SYLLABLE,SYL,0.8657,4,về,0.8657
,stt11,page_0010,9,3,3,táng,GOLD,CHAR_A,0.7498,4,táng,0.7498
,stt11,page_0010,9,4,4,trong,GOLD,CHAR_A,0.4849,4,trong,0.4849
,stt11,page_0010,9,5,5,đền,GOLD,CHAR_A,0.013,4,cùng,0.0892
,stt11,page_0010,9,6,6,ấy,SYLLABLE,SYL,0.0184,4,ay,0.0358
,stt11,page_0010,9,7,7,lại,GOLD,CHAR_A,0.7123,4,lại,0.7123
,stt11,page_0010,9,8,8,dạy,REVIEW,REVIEW,0.4672,4,dạy,0.4672
,stt11,page_0010,9,9,9,hễ,GOLD,CHAR_A,,4,hề,0.6379
,stt11,page_0010,9,10,10,là,SYLLABLE,SYL,0.7715,4,là,0.7715
,stt11,page_0010,9,11,11,một,REVIEW,REVIEW,0.1264,4,một,0.1264
,stt11,page_0010,9,12,12,năm,SYLLABLE,SYL,0.8163,4,năm,0.8163
,stt11,page_0010,9,13,13,một,GOLD,CHAR_A,0.0679,4,le,0.0766
,stt11,page_0010,9,14,14,lần,GOLD,CHAR_A,0.0011,4,một,0.1196
,stt11,page_0010,9,15,15,làm,SYLLABLE,SYL,0.0074,4,mình,0.184
,stt11,page_0010,9,16,16,lễ,GOLD,CHAR_A,0.0023,4,làm,0.6335
,stt11,page_0010,9,17,17,kính,GOLD,CHAR_A,0.0003,4,lấy,0.3659
,stt11,page_0010,9,18,18,các,GOLD,CHAR_A,0.2606,4,các,0.2606
,stt11,page_0010,9,19,19,thánh,GOLD,CHAR_A,0.5795,4,thánh,0.5795
,stt11,page_0010,9,20,20,hợp,GOLD,CHAR_A,,4,mình,0.1561
,stt11,page_0010,9,21,21,lại,GOLD,CHAR_A,0.9317,4,lại,0.9317
,stt11,page_0010,9,22,22,làm,SYLLABLE,SYL,0.3944,4,làm,0.3944
,stt11,page_0010_p0028,2,0,0,sự,REVIEW,REVIEW,0.0026,0,người,0.3074
,stt11,page_0010_p0028,2,1,1,về,REVIEW,REVIEW,0.0,0,mà,0.5816
,stt11,page_0010_p0028,2,2,2,i,REVIEW,REVIEW,0.0004,0,chừa,0.3411
,stt11,page_0010_p0028,2,3,3,ghê,REVIEW,REVIEW,0.0003,0,trong,0.0963
,stt11,page_0010_p0028,2,4,4,rê,REVIEW,REVIEW,0.0014,0,hết,0.0808
,stt11,page_0010_p0028,2,5,5,gia,REVIEW,REVIEW,0.0,0,hết,0.4374
,stt11,page_0010_p0028,2,6,6,nước,REVIEW,REVIEW,0.0001,0,người,0.3627
,stt11,page_0010_p0028,2,7,7,ấy,REVIEW,REVIEW,0.0042,0,cùng,0.0453
,stt11,page_0010_p0028,2,8,8,chẳng,REVIEW,REVIEW,0.0,0,công,0.8489
,stt11,page_0010_p0028,2,9,9,hay,REVIEW,REVIEW,0.0003,0,cùng,0.3996
,stt11,page_0010_p0028,2,10,10,đức,REVIEW,REVIEW,0.0408,0,cùng,0.4638
,stt11,page_0010_p0028,2,11,11,chúa,REVIEW,REVIEW,0.0,0,làm,0.6512
,stt11,page_0010_p0028,2,12,12,trời,REVIEW,REVIEW,0.0003,0,nhiều,0.3903
,stt11,page_0010_p0028,2,13,13,trả,REVIEW,REVIEW,0.0,0,phép,0.9538
,stt11,page_0010_p0028,2,14,14,công,REVIEW,REVIEW,0.0006,0,lạ,0.3945
,stt11,page_0010_p0028,2,15,15,nghiệp,REVIEW,REVIEW,0.0001,0,có,0.7083
,stt11,page_0010_p0028,2,16,16,cho,REVIEW,REVIEW,0.0001,0,ý,0.472
,stt11,page_0010_p0028,2,17,17,mà,REVIEW,REVIEW,0.0003,0,xin,0.1394
,stt11,page_0010_p0028,2,18,18,đến,REVIEW,REVIEW,0.0003,0,cùng,0.6129
,stt11,page_0010_p0028,2,19,19,nhà,REVIEW,REVIEW,0.0,0,ông,0.6752
,stt11,page_0010_p0028,2,20,20,thờ,REVIEW,REVIEW,0.0001,0,thánh,0.8124
,stt11,page_0010_p0028,2,21,21,ông,REVIEW,REVIEW,0.0,0,pha,0.8015
,stt11,page_0010_p0028,2,22,22,thánh,REVIEW,REVIEW,0.0002,0,pha,0.4462
,stt11,page_0010_p0028,3,0,0,na,REVIEW,REVIEW,0.0,0,sự,0.8602
,stt11,page_0010_p0028,3,1,1,du,REVIEW,REVIEW,0.0004,0,về,0.8735
,stt11,page_0010_p0028,3,2,2,ở,REVIEW,REVIEW,0.0003,0,i,0.8014
,stt11,page_0010_p0028,3,4,3,thì,REVIEW,REVIEW,0.0001,0,rê,0.3059
,stt11,page_0010_p0028,3,5,4,người,REVIEW,REVIEW,0.0005,0,nó,0.1405
,stt11,page_0010_p0028,3,6,5,phải,SYLLABLE,SYL,0.0073,0,nước,0.2988
,stt11,page_0010_p0028,3,7,6,liệt,REVIEW,REVIEW,0.0,0,ấy,0.7142
,stt11,page_0010_p0028,3,8,7,cùng,REVIEW,REVIEW,0.0069,0,chăng,0.7386
,stt11,page_0010_p0028,3,9,8,chịu,REVIEW,REVIEW,0.0001,0,hay,0.5657
,stt11,page_0010_p0028,3,10,9,các,REVIEW,REVIEW,0.0,0,đức,0.9499
,stt11,page_0010_p0028,3,11,10,phép,REVIEW,REVIEW,0.0002,0,chúa,0.7714
,stt11,page_0010_p0028,3,12,11,sa,REVIEW,REVIEW,0.0,0,trời,0.824
,stt11,page_0010_p0028,3,13,12,ca,REVIEW,REVIEW,0.0006,0,trả,0.4597
,stt11,page_0010_p0028,3,14,13,ra,REVIEW,REVIEW,0.0004,0,công,0.5492
,stt11,page_0010_p0028,3,15,14,men,REVIEW,REVIEW,0.0005,0,làm,0.0486
,stt11,page_0010_p0028,3,16,15,tô,REVIEW,REVIEW,0.0002,0,cho,0.8611
,stt11,page_0010_p0028,3,17,16,mà,GOLD,CHAR_A,0.7521,0,mà,0.7521
,stt11,page_0010_p0028,3,18,18,mặt,REVIEW,REVIEW,0.001,0,đến,0.9442
,stt11,page_0010_p0028,3,19,19,như,GOLD,CHAR_A,0.0011,0,nhà,0.965
,stt11,page_0010_p0028,3,20,20,kẻ,REVIEW,REVIEW,0.0001,0,thờ,0.8072
,stt11,page_0010_p0028,3,21,21,chơi,REVIEW,REVIEW,0.0023,0,ông,0.5055
,stt11,page_0010_p0028,3,22,22,vậy,REVIEW,REVIEW,0.0008,0,thánh,0.7915
,stt11,page_0010_p0028,3,23,23,sinh,REVIEW,REVIEW,0.0006,0,bề,0.0607
,stt11,page_0010_p0028,4,3,0,thì,GOLD,CHAR_A,0.9557,0,thì,0.9557
,stt11,page_0010_p0028,4,7,1,trong,GOLD,CHAR_B,0.0,0,cùng,0.5999
,stt11,page_0010_p0028,4,8,2,tay,REVIEW,REVIEW,0.0,0,chịu,0.7113
,stt11,page_0010_p0028,4,9,3,các,GOLD,CHAR_B,0.8099,0,các,0.8099
,stt11,page_0010_p0028,4,10,4,thầy,REVIEW,REVIEW,0.0001,0,phép,0.7256
,stt11,page_0010_p0028,4,11,5,nhà,REVIEW,REVIEW,0.0,0,sa,0.6242
,stt11,page_0010_p0028,4,12,6,thánh,REVIEW,REVIEW,0.0011,0,ca,0.4763
,stt11,page_0010_p0028,4,13,7,ấy,REVIEW,REVIEW,0.0032,0,ra,0.7107
,stt11,page_0010_p0028,4,14,8,ong,REVIEW,REVIEW,0.0005,0,men,0.1263
,stt11,page_0010_p0028,4,15,9,thánh,REVIEW,REVIEW,0.0,0,làm,0.0897
,stt11,page_0010_p0028,4,16,10,bê,REVIEW,REVIEW,0.0,0,mà,0.328
,stt11,page_0010_p0028,4,17,11,na,REVIEW,REVIEW,0.0,0,mà,0.1873
,stt11,page_0010_p0028,4,18,12,du,REVIEW,REVIEW,0.0004,0,vui,0.636
,stt11,page_0010_p0028,4,19,13,chép,REVIEW,REVIEW,,0,mất,0.1282
,stt11,page_0010_p0028,4,20,14,truyện,REVIEW,REVIEW,0.0,0,như,0.9849
,stt11,page_0010_p0028,4,21,15,người,REVIEW,REVIEW,0.0003,0,kẻ,0.5456
,stt11,page_0010_p0028,4,22,16,và,REVIEW,REVIEW,0.0042,0,vậy,0.2183
,stt11,page_0010_p0028,4,23,17,khen,REVIEW,REVIEW,0.0003,0,chăng,0.1041
,stt11,page_0010_p0028,5,0,0,từ,GOLD,CHAR_A,0.6599,0,từ,0.6599
,stt11,page_0010_p0028,5,2,1,đức,SYLLABLE,SYL,0.0791,0,đức,0.0791
,stt11,page_0010_p0028,5,4,2,chúa,GOLD,CHAR_A,0.3837,0,chúa,0.3837
,stt11,page_0010_p0028,5,6,3,giê,REVIEW,REVIEW,0.0089,0,dữ,0.1412
,stt11,page_0010_p0028,5,8,4,su,GOLD,CHAR_A,0.0017,0,ai,0.06
,stt11,page_0010_p0028,5,11,5,ra,REVIEW,REVIEW,0.0113,0,làm,0.328
,stt11,page_0010_p0028,5,13,6,đời,REVIEW,REVIEW,0.0101,0,làm,0.1722
,stt11,page_0010_p0028,5,14,7,cho,REVIEW,REVIEW,0.0001,0,ông,0.9868
,stt11,page_0010_p0028,5,15,8,đến,REVIEW,REVIEW,0.0018,0,thánh,0.3674
,stt11,page_0010_p0028,5,16,9,ông,REVIEW,REVIEW,0.0133,0,thánh,0.893
,stt11,page_0010_p0028,5,17,10,thánh,GOLD,CHAR_A,0.0964,0,ấy,0.8102
,stt11,page_0010_p0028,5,19,11,này,REVIEW,REVIEW,0.0,0,ông,0.9445
,stt11,page_0010_p0028,5,22,12,được,REVIEW,REVIEW,0.0142,0,chết,0.1133
,stt11,page_0010_p0028,5,23,13,một,REVIEW,REVIEW,0.0009,0,xin,0.0293
,stt11,page_0010_p0028,5,26,14,trăm,REVIEW,REVIEW,0.0007,0,viết,0.105
,stt11,page_0010_p0028,5,37,15,bốn,REVIEW,REVIEW,0.1995,0,bốn,0.1995
,stt11,page_0010_p0028,5,38,16,mươi,REVIEW,REVIEW,0.0,0,và,0.6702
,stt11,page_0010_p0028,5,39,17,tám,REVIEW,REVIEW,0.0035,0,vậy,0.1012
,stt11,page_0010_p0028,5,40,18,148,REVIEW,REVIEW,,0,ăn,0.4972
,stt11,page_0010_p0028,5,41,19,năm,GOLD,CHAR_A,0.0209,0,ra,0.0752
,stt11,page_0010_p0028,6,1,0,mồng,REVIEW,REVIEW,,0,thánh,0.9498
,stt11,page_0010_p0028,6,2,1,bốn,REVIEW,REVIEW,0.0,0,này,0.7392
,stt11,page_0010_p0028,6,3,2,ông,REVIEW,REVIEW,0.0,0,sinh,0.7723
,stt11,page_0010_p0028,6,7,3,thánh,REVIEW,REVIEW,0.0111,0,từ,0.0696
,stt11,page_0010_p0028,6,13,4,ca,GOLD,CHAR_A,0.0008,0,cả,0.2266
,stt11,page_0010_p0028,6,17,5,rô,REVIEW,REVIEW,0.001,0,bắt,0.2566
,stt11,page_0010_p0028,6,18,6,lô,REVIEW,REVIEW,0.002,0,vì,0.3409
,stt11,page_0010_p0028,6,20,7,viết,REVIEW,REVIEW,0.103,0,đến,0.1088
,stt11,page_0010_p0028,6,22,8,vồ,REVIEW,REVIEW,0.0087,0,mà,0.1545
,stt11,page_0010_p0028,6,23,9,truyện,REVIEW,REVIEW,0.0,0,là,0.6509
,stt11,page_0010_p0028,7,1,0,ong,GOLD,CHAR_A,0.0423,0,ông,0.8939
,stt11,page_0010_p0028,7,2,1,thánh,GOLD,CHAR_A,0.7524,0,thánh,0.7524
,stt11,page_0010_p0028,7,3,2,này,REVIEW,REVIEW,0.0001,0,pha,0.9782
,stt11,page_0010_p0028,7,4,3,sinh,REVIEW,REVIEW,0.0001,0,pha,0.8866
,stt11,page_0010_p0028,7,5,4,ra,REVIEW,REVIEW,0.0,0,vậy,0.4171
,stt11,page_0010_p0028,7,6,5,ở,GOLD,CHAR_A,0.0004,0,dốc,0.4876
,stt11,page_0010_p0028,7,7,7,mi,REVIEW,REVIEW,0.0001,0,thứ,0.8719
,stt11,page_0010_p0028,7,8,8,long,REVIEW,REVIEW,0.0003,0,bốn,0.7893
,stt11,page_0010_p0028,7,9,9,là,REVIEW,REVIEW,0.0,0,cùng,0.9505
,stt11,page_0010_p0028,7,10,10,gương,REVIEW,REVIEW,0.0001,0,triều,0.2667
,stt11,page_0010_p0028,7,11,11,các,REVIEW,REVIEW,0.0023,0,cho,0.1732
,stt11,page_0010_p0028,7,12,12,thầy,REVIEW,REVIEW,0.0004,0,có,0.7346
,stt11,page_0010_p0028,7,13,13,cả,REVIEW,REVIEW,0.0003,0,lắm,0.1172
,stt11,page_0010_p0028,7,14,14,xem,REVIEW,REVIEW,0.0,0,thì,0.892
,stt11,page_0010_p0028,7,15,15,mà,REVIEW,REVIEW,0.0009,0,chăng,0.3823
,stt11,page_0010_p0028,7,16,16,bắt,REVIEW,REVIEW,0.0096,0,mô,0.1683
,stt11,page_0010_p0028,7,17,17,chước,REVIEW,REVIEW,0.0,0,sự,0.922
,stt11,page_0010_p0028,7,18,18,vì,REVIEW,REVIEW,0.0037,0,ấy,0.5246
,stt11,page_0010_p0028,7,19,19,chưng,REVIEW,REVIEW,0.0002,0,bằng,0.1058
,stt11,page_0010_p0028,7,20,20,người,REVIEW,REVIEW,0.0001,0,giúp,0.4812
,stt11,page_0010_p0028,7,21,21,dù,REVIEW,REVIEW,0.0,0,linh,0.9004
,stt11,page_0010_p0028,7,22,22,ma,REVIEW,REVIEW,0.0001,0,hồn,0.229
