image,tier,split,label,ocr_char,syllable
gold/yen2_page_0012_c05_070.png,GOLD,train,奴,奴,nô
gold/yen2_page_0012_c05_072.png,GOLD,train,打,打,đánh
gold/yen2_page_0012_c05_073.png,GOLD,train,特,特,được
gold/yen2_page_0012_c05_074.png,GOLD,train,賊,賊,giặc
gold/yen2_page_0012_c05_075.png,GOLD,train,渃,渃,nước
gold/yen2_page_0012_c05_076.png,GOLD,train,批,批,Phê
gold/yen2_page_0012_c05_077.png,GOLD,train,吹,吹,xi
gold/yen2_page_0012_c06_079.png,GOLD,train,麻,麻,mà
gold/yen2_page_0012_c06_080.png,GOLD,train,𧗱,術,về
gold/yen2_page_0012_c06_081.png,GOLD,train,寺,寺,thì
gold/yen2_page_0012_c06_083.png,GOLD,train,戈,戈,qua
gold/yen2_page_0012_c06_084.png,GOLD,train,成,成,thành
silver/yen2_page_0012_c06_085.png,SILVER,train,安,女,An
gold/yen2_page_0012_c06_086.png,GOLD,train,𤰞,𤰞,ti
gold/yen2_page_0012_c06_087.png,GOLD,train,烏,烏,ô
silver/yen2_page_0012_c06_088.png,SILVER,train,其,冥,ki
gold/yen2_page_0012_c06_089.png,GOLD,train,連,連,liên
gold/yen2_page_0012_c06_091.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0012_c06_092.png,GOLD,train,麻,麻,mà
gold/yen2_page_0012_c06_094.png,GOLD,train,浪,浪,răng
gold/yen2_page_0012_c06_095.png,GOLD,train,眉,眉,Mày
gold/yen2_page_0012_c06_096.png,GOLD,train,伂,怖,phải
gold/yen2_page_0012_c06_098.png,GOLD,train,那,那,na
gold/yen2_page_0012_c07_099.png,GOLD,train,樞,樞,xu
gold/yen2_page_0012_c07_100.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0012_c07_101.png,GOLD,train,些,些,ta
silver/yen2_page_0012_c07_102.png,SILVER,train,噲,㑹,gọi
gold/yen2_page_0012_c07_103.png,GOLD,train,浪,浪,răng
gold/yen2_page_0012_c07_105.png,GOLD,train,批,批,phê
silver/yen2_page_0012_c07_106.png,SILVER,train,嚕,𦝫,rô
silver/yen2_page_0012_c07_107.png,SILVER,train,易,昜,dể
silver/yen2_page_0012_c07_108.png,SILVER,train,君,局,vua
gold/yen2_page_0012_c07_109.png,GOLD,train,庒,庒,chăng
silver/yen2_page_0012_c07_110.png,SILVER,train,蜍,餘,thờ
silver/yen2_page_0012_c07_111.png,SILVER,train,孛,季,bụt
gold/yen2_page_0012_c07_112.png,GOLD,train,庄,庄,chăng
gold/yen2_page_0012_c07_113.png,GOLD,train,㝵,㝵,người
silver/yen2_page_0012_c07_114.png,SILVER,train,踈,煉,thưa
gold/yen2_page_0012_c07_115.png,GOLD,train,浪,浪,răng
gold/yen2_page_0012_c07_116.png,GOLD,train,奏,奏,Tâu
silver/yen2_page_0012_c07_117.png,SILVER,train,君,局,vua
silver/yen2_page_0012_c08_118.png,SILVER,train,伂,雄,phải
gold/yen2_page_0012_c08_119.png,GOLD,train,碎,碎,Tôi
gold/yen2_page_0012_c08_120.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0012_c08_121.png,GOLD,train,些,些,ta
gold/yen2_page_0012_c08_122.png,GOLD,train,噲,噲,gọi
gold/yen2_page_0012_c08_123.png,GOLD,train,浪,浪,răng
gold/yen2_page_0012_c08_125.png,GOLD,train,批,批,phê
silver/yen2_page_0012_c08_126.png,SILVER,train,嚕,屠,rô
gold/yen2_page_0012_c08_127.png,GOLD,train,爲,爲,vì
gold/yen2_page_0012_c08_128.png,GOLD,train,中,中,trong
gold/yen2_page_0012_c08_129.png,GOLD,train,弄,弄,lòng
silver/yen2_page_0012_c08_130.png,SILVER,train,行,恒,hăng
gold/yen2_page_0012_c08_131.png,GOLD,train,想,想,tưởng
gold/yen2_page_0012_c08_132.png,GOLD,train,徳,徳,Đức
gold/yen2_page_0012_c08_133.png,GOLD,train,主,主,Chúa
gold/yen2_page_0012_c08_135.png,GOLD,train,秋,秋,su
gold/yen2_page_0012_c08_137.png,GOLD,train,主,主,Chúa
gold/yen2_page_0012_c08_138.png,GOLD,train,衆,衆,chúng
silver/yen2_page_0012_c08_139.png,SILVER,train,碎,暉,tôi
gold/yen2_page_0012_c09_142.png,GOLD,train,浪,浪,răng
gold/yen2_page_0012_c09_145.png,GOLD,train,固,固,có
gold/yen2_page_0012_c09_146.png,GOLD,train,想,摠,tưởng
gold/yen2_page_0012_c09_150.png,GOLD,train,庄,庄,chăng
gold/yen2_page_0012_c09_151.png,GOLD,train,想,想,Tưởng
gold/yen2_page_0012_c09_153.png,GOLD,train,𦔳,𦔳,chữa
silver/yen2_page_0012_c09_154.png,SILVER,train,渃,落,nước
gold/yen2_page_0012_c09_157.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0012_c09_158.png,GOLD,train,把,把,trả
gold/yen2_page_0012_c09_160.png,GOLD,train,浪,浪,răng
silver/yen2_page_0012_c09_161.png,SILVER,train,君,用,Vua
gold/yen2_page_0014_c01_000.png,GOLD,train,忌,忌,cậy
gold/yen2_page_0014_c01_001.png,GOLD,train,法,法,phép
gold/yen2_page_0014_c01_003.png,GOLD,train,之,之,gì
gold/yen2_page_0014_c01_004.png,GOLD,train,固,固,có
gold/yen2_page_0014_c01_006.png,GOLD,train,法,法,phép
gold/yen2_page_0014_c01_007.png,GOLD,train,徳,徳,Đức
gold/yen2_page_0014_c01_008.png,GOLD,train,主,主,Chúa
silver/yen2_page_0014_c01_010.png,SILVER,train,鄧,却,dựng
gold/yen2_page_0014_c01_011.png,GOLD,train,年,年,nên
gold/yen2_page_0014_c01_013.png,GOLD,train,坦,坦,đất
gold/yen2_page_0014_c01_014.png,GOLD,train,其,兵,cùng
gold/yen2_page_0014_c01_015.png,GOLD,train,門,門,muôn
silver/yen2_page_0014_c01_016.png,SILVER,train,物,救,vật
gold/yen2_page_0014_c01_017.png,GOLD,train,固,固,có
gold/yen2_page_0014_c01_018.png,GOLD,train,法,法,phép
gold/yen2_page_0014_c01_019.png,GOLD,train,破,破,phá
silver/yen2_page_0014_c01_020.png,SILVER,train,孛,学,bụt
gold/yen2_page_0014_c01_021.png,GOLD,train,共,共,cùng
gold/yen2_page_0014_c02_024.png,GOLD,train,麻,麻,mà
gold/yen2_page_0014_c02_027.png,GOLD,train,之,之,gì
silver/yen2_page_0014_c02_028.png,SILVER,train,君,相,vua
gold/yen2_page_0014_c02_029.png,GOLD,train,别,别,biết
gold/yen2_page_0014_c02_030.png,GOLD,train,事,事,sự
silver/yen2_page_0014_c02_031.png,SILVER,train,尼,侣,này
gold/yen2_page_0014_c02_032.png,GOLD,train,訴,訴,tỏ
gold/yen2_page_0014_c02_033.png,GOLD,train,詳,詳,tường
gold/yen2_page_0014_c02_034.png,GOLD,train,寺,寺,thì
silver/yen2_page_0014_c02_035.png,SILVER,train,庄,主,chăng
gold/yen2_page_0014_c02_036.png,GOLD,train,卢,户,lo
gold/yen2_page_0014_c02_037.png,GOLD,train,賊,賊,giặc
gold/yen2_page_0014_c02_038.png,GOLD,train,其,兵,cùng
gold/yen2_page_0014_c02_039.png,GOLD,train,每,每,mọi
gold/yen2_page_0014_c02_040.png,GOLD,train,事,事,sự
gold/yen2_page_0014_c02_041.png,GOLD,train,庫,庫,khó
gold/yen2_page_0014_c02_042.png,GOLD,train,女,女,nữa
gold/yen2_page_0014_c03_044.png,GOLD,train,宜,宜,nghe
gold/yen2_page_0014_c03_046.png,GOLD,train,意,意,ấy
gold/yen2_page_0014_c03_047.png,GOLD,train,連,建,liền
gold/yen2_page_0014_c03_049.png,GOLD,train,内,内,Nói
gold/yen2_page_0014_c03_050.png,GOLD,train,旦,旦,đến
gold/yen2_page_0014_c03_051.png,GOLD,train,事,事,sự
gold/yen2_page_0014_c03_052.png,GOLD,train,意,意,ấy
gold/yen2_page_0014_c03_054.png,GOLD,train,之,之,gì
gold/yen2_page_0014_c03_055.png,GOLD,train,眉,眉,Mày
silver/yen2_page_0014_c03_056.png,SILVER,train,悶,閣,muốn
gold/yen2_page_0014_c03_057.png,GOLD,train,葉,葉,đẹp
gold/yen2_page_0014_c03_058.png,GOLD,train,弄,弄,lòng
gold/yen2_page_0014_c03_059.png,GOLD,train,蚤,蚕,tao
gold/yen2_page_0014_c03_060.png,GOLD,train,寺,寺,thì
gold/yen2_page_0014_c03_061.png,GOLD,train,𥙷,𥙷,bỏ
gold/yen2_page_0014_c03_062.png,GOLD,train,意,意,ý
gold/yen2_page_0014_c03_063.png,GOLD,train,眉,眉,mày
gold/yen2_page_0014_c03_064.png,GOLD,train,麻,麻,mà
gold/yen2_page_0014_c04_065.png,GOLD,train,蚤,蚕,tao
gold/yen2_page_0014_c04_066.png,GOLD,train,朱,朱,cho
gold/yen2_page_0014_c04_067.png,GOLD,train,聀,聀,chức
gold/yen2_page_0014_c04_069.png,GOLD,train,仕,仕,sãi
gold/yen2_page_0014_c04_070.png,GOLD,train,奇,奇,cả
gold/yen2_page_0014_c04_071.png,GOLD,train,翁,翁,Ông
gold/yen2_page_0014_c04_072.png,GOLD,train,垩,垩,Thánh
gold/yen2_page_0014_c04_073.png,GOLD,train,衣,衣,ấy
gold/yen2_page_0014_c04_075.png,GOLD,train,浪,浪,rằng
gold/yen2_page_0014_c04_076.png,GOLD,train,聀,聀,Chức
gold/yen2_page_0014_c04_077.png,GOLD,train,衣,衣,ấy
gold/yen2_page_0014_c04_079.png,GOLD,train,事,事,sự
gold/yen2_page_0014_c04_080.png,GOLD,train,重,重,trọng
gold/yen2_page_0014_c04_081.png,GOLD,train,双,双,song
gold/yen2_page_0014_c04_082.png,GOLD,train,离,离,le
gold/yen2_page_0014_c04_084.png,GOLD,train,囷,困,khôn
gold/yen2_page_0014_c04_085.png,GOLD,train,灵,灵,linh
silver/yen2_page_0014_c04_086.png,SILVER,train,隗,地,hồn
gold/yen2_page_0014_c04_087.png,GOLD,train,几,几,kẻ
gold/yen2_page_0014_c05_088.png,GOLD,test,召,召,chịu
gold/yen2_page_0014_c05_089.png,GOLD,test,共,共,cùng
gold/yen2_page_0014_c05_090.png,GOLD,test,几,几,kẻ
gold/yen2_page_0014_c05_091.png,GOLD,test,朱,朱,cho
gold/yen2_page_0014_c05_092.png,GOLD,test,固,固,có
silver/yen2_page_0014_c05_093.png,SILVER,test,罪,運,tội
silver/yen2_page_0014_c05_094.png,SILVER,test,喡,常,và
silver/yen2_page_0014_c05_095.png,SILVER,test,咍,㘴,hai
gold/yen2_page_0014_c05_096.png,GOLD,test,碎,碎,Tôi
gold/yen2_page_0014_c05_100.png,GOLD,test,由,由,do
gold/yen2_page_0014_c05_102.png,GOLD,test,蔑,蔑,một
gold/yen2_page_0014_c05_103.png,GOLD,test,時,時,ngày
gold/yen2_page_0014_c05_107.png,GOLD,test,眉,眉,mi
gold/yen2_page_0014_c05_109.png,GOLD,test,敬,敬,kính
gold/yen2_page_0014_c05_110.png,GOLD,test,徳,徳,Đức
gold/yen2_page_0014_c06_111.png,GOLD,train,主,主,Chúa
gold/yen2_page_0014_c06_112.png,GOLD,train,支,支,Giê
gold/yen2_page_0014_c06_113.png,GOLD,train,秋,耿,su
silver/yen2_page_0014_c06_114.png,SILVER,train,㐌,乇,đã
gold/yen2_page_0014_c06_116.png,GOLD,train,庫,庫,khó
gold/yen2_page_0014_c06_117.png,GOLD,train,爲,爲,vì
gold/yen2_page_0014_c06_118.png,GOLD,train,碎,碎,tôi
silver/yen2_page_0014_c06_119.png,SILVER,train,君,姻,Vua
gold/yen2_page_0014_c06_120.png,GOLD,train,体,体,thấy
gold/yen2_page_0014_c06_123.png,GOLD,train,丕,不,vậy
gold/yen2_page_0014_c06_124.png,GOLD,train,麻,麻,mà
gold/yen2_page_0014_c06_125.png,GOLD,train,曳,曳,dái
gold/yen2_page_0014_c06_126.png,GOLD,train,末,末,mất
gold/yen2_page_0014_c06_127.png,GOLD,train,功,功,công
gold/yen2_page_0014_c06_128.png,GOLD,train,寺,寺,thì
gold/yen2_page_0014_c06_129.png,GOLD,train,代,代,dạy
gold/yen2_page_0014_c06_131.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0014_c06_133.png,GOLD,train,城,城,thành
gold/yen2_page_0014_c07_136.png,GOLD,train,麻,麻,mà
gold/yen2_page_0014_c07_137.png,GOLD,train,𥙷,𥙷,bỏ
gold/yen2_page_0014_c07_138.png,GOLD,train,朱,朱,cho
gold/yen2_page_0014_c07_139.png,GOLD,train,獅,獅,sư
gold/yen2_page_0014_c07_140.png,GOLD,train,子,子,tử
gold/yen2_page_0014_c07_141.png,GOLD,train,安,安,ăn
gold/yen2_page_0014_c07_143.png,GOLD,train,㝵,㝵,Người
gold/yen2_page_0014_c07_145.png,GOLD,train,信,信,tin
gold/yen2_page_0014_c07_147.png,GOLD,train,寺,寺,thì
gold/yen2_page_0014_c07_148.png,GOLD,train,明,明,mừng
gold/yen2_page_0014_c07_151.png,GOLD,train,几,几,kẻ
gold/yen2_page_0014_c07_152.png,GOLD,train,特,特,được
gold/yen2_page_0014_c07_153.png,GOLD,train,古,古,của
gold/yen2_page_0014_c07_154.png,GOLD,train,重,重,trọng
gold/yen2_page_0014_c07_155.png,GOLD,train,共,共,cùng
gold/yen2_page_0014_c07_156.png,GOLD,train,聀,聀,chức
gold/yen2_page_0014_c07_157.png,GOLD,train,郎,郎,sang
gold/yen2_page_0014_c07_158.png,GOLD,train,各,各,các
gold/yen2_page_0014_c08_159.png,GOLD,train,本,本,bốn
gold/yen2_page_0014_c08_160.png,GOLD,train,道,道,đạo
gold/yen2_page_0014_c08_161.png,GOLD,train,城,城,thành
gold/yen2_page_0014_c08_163.png,GOLD,train,司,司,ti
gold/yen2_page_0014_c08_164.png,GOLD,train,烏,烏,ô
gold/yen2_page_0014_c08_165.png,GOLD,train,其,其,ki
gold/yen2_page_0014_c08_166.png,GOLD,train,哭,哭,khóc
gold/yen2_page_0014_c08_167.png,GOLD,train,六,六,lóc
gold/yen2_page_0014_c08_168.png,GOLD,train,歇,歇,hết
gold/yen2_page_0014_c08_170.png,GOLD,train,命,命,mình
gold/yen2_page_0014_c08_171.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0014_c08_172.png,GOLD,train,於,於,ở
gold/yen2_page_0014_c08_173.png,GOLD,train,盃,盃,vui
gold/yen2_page_0014_c08_175.png,GOLD,train,安,安,an
gold/yen2_page_0014_c08_176.png,GOLD,train,慰,慰,ủi
silver/yen2_page_0014_c08_177.png,SILVER,train,矯,冠,kẻo
gold/yen2_page_0014_c08_178.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0014_c08_180.png,GOLD,train,卢,户,lo
gold/yen2_page_0014_c09_181.png,GOLD,val,盆,盆,buồn
gold/yen2_page_0014_c09_182.png,GOLD,val,邛,女,cùng
gold/yen2_page_0014_c09_183.png,GOLD,val,真,真,xin
gold/yen2_page_0014_c09_184.png,GOLD,val,徳,徳,Đức
gold/yen2_page_0014_c09_185.png,GOLD,val,主,主,Chúa
gold/yen2_page_0014_c09_187.png,GOLD,val,㕓,㕓,gìn
gold/yen2_page_0014_c09_189.png,GOLD,val,各,各,các
gold/yen2_page_0014_c09_190.png,GOLD,val,本,本,bốn
gold/yen2_page_0014_c09_191.png,GOLD,val,道,道,đạo
gold/yen2_page_0014_c09_192.png,GOLD,val,如,如,như
gold/yen2_page_0014_c09_193.png,GOLD,val,昆,昆,con
gold/yen2_page_0014_c09_194.png,GOLD,val,氊,氊,chiên
silver/yen2_page_0014_c09_195.png,SILVER,val,矯,犒,kẻo
gold/yen2_page_0014_c09_196.png,GOLD,val,沛,沛,phải
gold/yen2_page_0014_c09_200.png,GOLD,val,鬼,鬼,quỷ
gold/yen2_page_0014_c09_201.png,GOLD,val,共,共,cùng
gold/yen2_page_0014_c09_202.png,GOLD,val,几,几,kẻ
gold/yen2_page_0016_c01_001.png,GOLD,val,軍,軍,quân
gold/yen2_page_0016_c01_002.png,GOLD,val,奴,奴,nó
silver/yen2_page_0016_c01_003.png,SILVER,val,段,攺,Đoạn
gold/yen2_page_0016_c01_004.png,GOLD,val,者,者,giã
silver/yen2_page_0016_c01_005.png,SILVER,val,各,冬,các
gold/yen2_page_0016_c01_006.png,GOLD,val,本,本,bổn
gold/yen2_page_0016_c01_007.png,GOLD,val,道,道,đạo
silver/yen2_page_0016_c01_008.png,SILVER,val,㐌,丘,đã
gold/yen2_page_0016_c01_009.png,GOLD,val,瑰,塊,coi
gold/yen2_page_0016_c01_010.png,GOLD,val,朔,朔,sóc
silver/yen2_page_0016_c01_011.png,SILVER,val,本,深,bốn
gold/yen2_page_0016_c01_012.png,GOLD,val,迈,迈,mươi
gold/yen2_page_0016_c01_014.png,GOLD,val,麻,麻,Mà
gold/yen2_page_0016_c01_015.png,GOLD,val,欺,欺,khi
gold/yen2_page_0016_c01_016.png,GOLD,val,軍,軍,quân
silver/yen2_page_0016_c01_017.png,SILVER,val,悶,阁,muốn
gold/yen2_page_0016_c01_018.png,GOLD,val,扒,扒,bắt
gold/yen2_page_0016_c01_019.png,GOLD,val,㝵,㝵,người
gold/yen2_page_0016_c01_020.png,GOLD,val,寺,寺,thì
silver/yen2_page_0016_c01_021.png,SILVER,val,礼,祕,lấy
gold/yen2_page_0016_c02_023.png,GOLD,train,繓,纎,tói
gold/yen2_page_0016_c02_024.png,GOLD,train,麻,麻,mà
gold/yen2_page_0016_c02_027.png,GOLD,train,買,買,mới
gold/yen2_page_0016_c02_028.png,GOLD,train,付,付,phó
gold/yen2_page_0016_c02_029.png,GOLD,train,朱,朱,cho
silver/yen2_page_0016_c02_030.png,SILVER,train,各,冬,các
gold/yen2_page_0016_c02_031.png,GOLD,train,官,官,quan
gold/yen2_page_0016_c02_034.png,GOLD,train,獨,獨,Dọc
gold/yen2_page_0016_c02_036.png,GOLD,train,翁,翁,ông
gold/yen2_page_0016_c02_037.png,GOLD,train,垩,垩,thánh
gold/yen2_page_0016_c02_039.png,GOLD,train,那,那,na
gold/yen2_page_0016_c02_040.png,GOLD,train,樞,樞,xu
gold/yen2_page_0016_c02_041.png,GOLD,train,召,召,chịu
gold/yen2_page_0016_c02_042.png,GOLD,train,事,事,sự
gold/yen2_page_0016_c02_043.png,GOLD,train,庫,庫,khó
gold/yen2_page_0016_c03_045.png,GOLD,train,爲,爲,Vì
gold/yen2_page_0016_c03_046.png,GOLD,train,徵,徵,chưng
gold/yen2_page_0016_c03_047.png,GOLD,train,各,各,các
gold/yen2_page_0016_c03_048.png,GOLD,train,官,官,quan
gold/yen2_page_0016_c03_049.png,GOLD,train,貪,貪,tham
gold/yen2_page_0016_c03_050.png,GOLD,train,古,古,của
gold/yen2_page_0016_c03_051.png,GOLD,train,寺,寺,thì
gold/yen2_page_0016_c03_052.png,GOLD,train,本,本,bốn
gold/yen2_page_0016_c03_053.png,GOLD,train,道,道,đạo
gold/yen2_page_0016_c03_055.png,GOLD,train,朱,朱,cho
gold/yen2_page_0016_c03_058.png,GOLD,train,困,困,khốn
gold/yen2_page_0016_c03_061.png,GOLD,train,双,双,Song
silver/yen2_page_0016_c03_062.png,SILVER,train,离,膏,le
gold/yen2_page_0016_c03_063.png,GOLD,train,奴,奴,nó
gold/yen2_page_0016_c03_064.png,GOLD,train,持,持,được
silver/yen2_page_0016_c03_065.png,SILVER,train,古,右,của
gold/yen2_page_0016_c04_066.png,GOLD,train,強,強,càng
gold/yen2_page_0016_c04_067.png,GOLD,train,添,添,thêm
gold/yen2_page_0016_c04_069.png,GOLD,train,庫,庫,khó
gold/yen2_page_0016_c04_070.png,GOLD,train,朱,朱,cho
gold/yen2_page_0016_c04_071.png,GOLD,train,丕,丕,Vậy
gold/yen2_page_0016_c04_072.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0016_c04_074.png,GOLD,train,旦,旦,đến
gold/yen2_page_0016_c04_075.png,GOLD,train,城,城,thành
gold/yen2_page_0016_c04_077.png,GOLD,train,𨔻,𨔻,VI
silver/yen2_page_0016_c04_078.png,SILVER,train,瘥,槎,SI
silver/yen2_page_0016_c04_079.png,SILVER,train,阿,酉,A
silver/yen2_page_0016_c04_080.png,SILVER,train,買,眉,MỚI
gold/yen2_page_0016_c04_082.png,GOLD,train,船,船,THUYỀN
gold/yen2_page_0016_c04_083.png,GOLD,train,麻,麻,MÀ
silver/yen2_page_0016_c04_084.png,SILVER,train,礼,礼,TRẤY
gold/yen2_page_0016_c04_085.png,GOLD,train,旦,旦,ĐẾN
gold/yen2_page_0016_c04_086.png,GOLD,train,城,城,THÀNH
gold/yen2_page_0016_c05_088.png,GOLD,train,眉,眉,mi
gold/yen2_page_0016_c05_089.png,GOLD,train,那,那,na
silver/yen2_page_0016_c05_090.png,SILVER,train,囉,𭺾,là
gold/yen2_page_0016_c05_091.png,GOLD,train,尼,尼,nơi
gold/yen2_page_0016_c05_092.png,GOLD,train,翁,翁,ông
gold/yen2_page_0016_c05_093.png,GOLD,train,垩,垩,Thánh
silver/yen2_page_0016_c05_094.png,SILVER,train,甫,面,Phô
silver/yen2_page_0016_c05_095.png,SILVER,train,离,爵,li
gold/yen2_page_0016_c05_096.png,GOLD,train,歌,歌,ca
silver/yen2_page_0016_c05_097.png,SILVER,train,甫,俌,phô
gold/yen2_page_0016_c05_101.png,GOLD,train,除,除,giờ
gold/yen2_page_0016_c05_102.png,GOLD,train,奇,奇,cả
gold/yen2_page_0016_c05_105.png,GOLD,train,垩,垩,Thánh
gold/yen2_page_0016_c05_106.png,GOLD,train,明,明,mừng
gold/yen2_page_0016_c05_107.png,GOLD,train,因,只,nhưng
gold/yen2_page_0016_c05_108.png,GOLD,train,嘎,境,ca
gold/yen2_page_0016_c06_121.png,GOLD,train,時,時,được
gold/yen2_page_0016_c07_124.png,GOLD,train,奇,奇,Cả
silver/yen2_page_0016_c07_125.png,SILVER,train,喡,眾,và
gold/yen2_page_0016_c07_126.png,GOLD,train,城,城,thành
gold/yen2_page_0016_c07_127.png,GOLD,train,旦,旦,đến
gold/yen2_page_0016_c07_128.png,GOLD,train,永,永,viếng
silver/yen2_page_0016_c07_130.png,SILVER,train,講,諶,giảng
gold/yen2_page_0016_c07_131.png,GOLD,train,昏,昏,hôn
gold/yen2_page_0016_c07_132.png,GOLD,train,真,真,chân
gold/yen2_page_0016_c07_133.png,GOLD,train,共,共,cùng
silver/yen2_page_0016_c07_136.png,SILVER,train,扲,半,cầm
gold/yen2_page_0016_c07_137.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0016_c08_138.png,GOLD,test,敬,敬,kính
silver/yen2_page_0016_c08_139.png,SILVER,test,如,文,như
gold/yen2_page_0016_c08_140.png,GOLD,test,形,形,hình
gold/yen2_page_0016_c08_141.png,GOLD,test,像,像,tượng
gold/yen2_page_0016_c08_142.png,GOLD,test,徳,徳,Đức
gold/yen2_page_0016_c08_143.png,GOLD,test,主,主,Chúa
gold/yen2_page_0016_c08_144.png,GOLD,test,支,支,Giê
gold/yen2_page_0016_c08_145.png,GOLD,test,秋,秋,su
gold/yen2_page_0016_c08_147.png,GOLD,test,仍,仍,những
silver/yen2_page_0016_c08_149.png,SILVER,test,黎,醫,rê
gold/yen2_page_0016_c08_151.png,GOLD,test,車,車,xa
gold/yen2_page_0016_c08_154.png,GOLD,test,固,固,có
gold/yen2_page_0016_c08_158.png,GOLD,test,車,車,xa
gold/yen2_page_0016_c08_159.png,GOLD,test,恪,恪,khác
gold/yen2_page_0016_c09_160.png,GOLD,train,共,共,cũng
gold/yen2_page_0016_c09_161.png,GOLD,train,旦,旦,đến
gold/yen2_page_0016_c09_162.png,GOLD,train,明,明,mừng
gold/yen2_page_0016_c09_163.png,GOLD,train,㝵,㝵,người
silver/yen2_page_0016_c09_164.png,SILVER,train,凜,原,lắm
gold/yen2_page_0016_c09_165.png,GOLD,train,体,体,Thấy
gold/yen2_page_0016_c09_166.png,GOLD,train,本,本,bốn
silver/yen2_page_0016_c09_167.png,SILVER,train,道,遁,đạo
gold/yen2_page_0016_c09_168.png,GOLD,train,哭,哭,khóc
silver/yen2_page_0016_c09_170.png,SILVER,train,寺,壽,thì
gold/yen2_page_0016_c09_171.png,GOLD,train,唭,唄,cười
silver/yen2_page_0016_c09_172.png,SILVER,train,浪,𫝕,rằng
gold/yen2_page_0016_c09_173.png,GOLD,train,各,各,Các
