source_row,item_id,image,orig_verdict,orig_batch,orig_group,cls,design_weight,audit_order,stratum,audit_batch,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,s3_val,s3_present,dup_bbox,cross_col,dup_defect,similar_bridge,head_bank,gold_direct,s3_low,s3_verylow,s3_signals_present,head_disagree,bank_cos_val,bank_low,s3_missing,aspect,aspect_out,ink_out,quality_flag,suspicion,risk_reason
1,c91bda359d037dc8,gold/stt11_page_0024_c04_076.png,wrong_label,audit_confusion_奴_nó,class_target,noncorrect,,13,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0024,4,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.163,113.0,130.0,9a3b2ea2c1ba,ok,train,stt11|page_0024|c4,"[1021, 1212, 1128, 1320]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.1504424778761062,False,False,False,0.09999999999999998,gold-direct(no-s3)
4,dacd68c11d8c8b8f,gold/stt11_page_0078_c05_089.png,wrong_image,audit_confusion_奴_nó,class_target,noncorrect,,14,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0078,5,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.135,126.0,127.0,216238bf6562,ok,train,stt11|page_0078|c5,"[850, 502, 957, 612]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.007936507936508,False,False,False,0.09999999999999998,gold-direct(no-s3)
13,1a7728008ff00523,gold/stt11_page_0050_c09_185.png,wrong_image,audit_confusion_奴_nó,class_target,noncorrect,,15,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0050,9,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.166,86.0,134.0,cd9c07597e9f,ok,train,stt11|page_0050|c9,"[273, 1343, 364, 1452]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.558139534883721,False,False,False,0.09999999999999998,gold-direct(no-s3)
132,6f5277cd5582f906,gold/stt11_page_0222_c08_161.png,correct,audit_gold_human,active_lowmargin,correct,,16,correct|audit_gold_human,retest,stt11,page_0222,8,古,của,古,U+53E4,char,GOLD,s1_inter_s2_direct,,0.12,91.0,126.0,ff079bc5db79,ok,train,stt11|page_0222|c8,"[434, 1317, 529, 1421]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.3846153846153846,False,False,False,0.09999999999999998,gold-direct(no-s3)
2,e44695c54f1ff657,gold/stt2_page_0218_c04_057.png,wrong_label,audit_confusion_奴_nó,class_target,noncorrect,,17,noncorrect|audit_confusion_奴_nó,retest,stt2,page_0218,4,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.197,142.0,138.0,274a13bd3780,ok,train,stt2|page_0218|c4,"[985, 493, 1101, 610]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,0.971830985915493,False,False,False,0.09999999999999998,gold-direct(no-s3)
29,6d5fa201d609684d,gold/stt11_page_0032_c04_076.png,correct,audit_confusion_奴_nó,control_gold,correct,,18,correct|audit_confusion_奴_nó,retest,stt11,page_0032,4,末,mặt,末,U+672B,char,GOLD,s1_inter_s2_direct,,0.208,110.0,151.0,83f3ff8fd71d,ok,train,stt11|page_0032|c4,"[1013, 1473, 1125, 1597]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.3727272727272728,False,False,False,0.09999999999999998,gold-direct(no-s3)
147,cba7e97c2998b899,gold/stt11_page_0220_c09_186.png,correct,audit_gold_human,active_lowmargin,correct,,19,correct|audit_gold_human,retest,stt11,page_0220,9,碎,tôi,碎,U+788E,char,GOLD,s1_inter_s2_direct,,0.196,83.0,125.0,fc344a7e905a,ok,train,stt11|page_0220|c9,"[287, 1270, 370, 1372]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.5060240963855422,False,False,False,0.09999999999999998,gold-direct(no-s3)
30,9af0985ef8d9f844,gold/stt2_page_0328_c08_151.png,correct,audit_confusion_奴_nó,class_target,correct,,20,correct|audit_confusion_奴_nó,retest,stt2,page_0328,8,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.247,127.0,149.0,9f131dd33c2a,ok,train,stt2|page_0328|c8,"[416, 2216, 535, 2341]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.1732283464566928,False,False,False,0.09999999999999998,gold-direct(no-s3)
150,6e367b3bcde48054,gold/stt4_page_0206_c09_169.png,correct,audit_gold_human,srs,correct,,21,correct|audit_gold_human,retest,stt4,page_0206,9,車,xa,車,U+8ECA,char,GOLD,s1_inter_s2_direct,,0.171,78.0,85.0,a9dbb960afc5,ok,train,stt4|page_0206|c9,"[178, 1159, 243, 1229]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0897435897435896,False,False,False,0.09999999999999998,gold-direct(no-s3)
14,0d93569ecbad2f5b,gold/stt11_page_0138_c03_047.png,wrong_image,audit_confusion_奴_nó,control_gold,noncorrect,,22,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0138,3,別,biết,別,U+5225,char,GOLD,s1_inter_s2_direct,,0.141,145.0,131.0,37888602314d,ok,train,stt11|page_0138|c3,"[1164, 543, 1281, 653]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,0.903448275862069,False,False,False,0.09999999999999998,gold-direct(no-s3)
15,d58ecb910dbbb623,gold/stt11_page_0072_c05_085.png,wrong_image,audit_confusion_奴_nó,class_target,noncorrect,,23,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0072,5,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.164,115.0,134.0,103ef7815bff,ok,train,stt11|page_0072|c5,"[837, 495, 943, 609]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.1652173913043478,False,False,False,0.09999999999999998,gold-direct(no-s3)
5,d6c4d2df4ff2a930,gold/stt2_page_0280_c06_121.png,wrong_image,audit_confusion_奴_nó,class_target,noncorrect,,24,noncorrect|audit_confusion_奴_nó,retest,stt2,page_0280,6,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.178,133.0,135.0,91c65f807cf2,ok,test,stt2|page_0280|c6,"[682, 1704, 798, 1820]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0150375939849625,False,False,False,0.09999999999999998,gold-direct(no-s3)
36,8c846b6673ec3cbe,gold/stt2_page_0240_c06_113.png,correct,audit_confusion_奴_nó,class_target,correct,,25,correct|audit_confusion_奴_nó,retest,stt2,page_0240,6,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.168,129.0,155.0,010e20a6abfa,ok,train,stt2|page_0240|c6,"[705, 2297, 815, 2427]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.2015503875968991,False,False,False,0.09999999999999998,gold-direct(no-s3)
166,fa570b4318aaa415,gold/stt2_page_0178_c04_065.png,correct,audit_gold_human,active_lowmargin,correct,,26,correct|audit_gold_human,retest,stt2,page_0178,4,仕,sãi,仕,U+4ED5,char,GOLD,s1_inter_s2_direct,,0.197,129.0,163.0,1dd385f04587,ok,train,stt2|page_0178|c4,"[987, 1541, 1097, 1674]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.2635658914728682,False,False,False,0.09999999999999998,gold-direct(no-s3)
171,e757b5c3dbb55415,gold/stt4_page_0278_c02_038.png,correct,audit_gold_human,active_lowmargin,correct,,27,correct|audit_gold_human,retest,stt4,page_0278,2,朱,cho,朱,U+6731,char,GOLD,s1_inter_s2_direct,,0.156,120.0,135.0,f4ef4f595afb,ok,train,stt4|page_0278|c2,"[1292, 1492, 1406, 1601]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.125,False,False,False,0.09999999999999998,gold-direct(no-s3)
178,a63079c158c92300,gold/stt2_page_0080_c03_052.png,correct,audit_gold_human,active_lowmargin,correct,,28,correct|audit_gold_human,retest,stt2,page_0080,3,巴,ba,巴,U+5DF4,char,GOLD,s1_inter_s2_direct,,0.226,112.0,132.0,0720ab6b68c6,ok,test,stt2|page_0080|c3,"[1138, 1215, 1250, 1327]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.1785714285714286,False,False,False,0.09999999999999998,gold-direct(no-s3)
8,aee5b32ffec29bb0,gold/stt4_page_0022_c05_090.png,wrong_image,audit_confusion_奴_nó,class_target,noncorrect,,29,noncorrect|audit_confusion_奴_nó,retest,stt4,page_0022,5,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.196,64.0,60.0,07bede6ca32f,ok,val,stt4|page_0022|c5,"[571, 316, 639, 378]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,0.9375,False,False,False,0.09999999999999998,gold-direct(no-s3)
39,c3ae34d8720fa510,gold/stt11_page_0142_c01_014.png,correct,audit_confusion_奴_nó,class_target,correct,,30,correct|audit_confusion_奴_nó,retest,stt11,page_0142,1,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.184,97.0,140.0,8748e62d5575,ok,train,stt11|page_0142|c1,"[1456, 1664, 1570, 1778]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.443298969072165,False,False,False,0.09999999999999998,gold-direct(no-s3)
3,6f1fc5b231c1aeb0,gold/stt2_page_0240_c04_069.png,wrong_label,audit_confusion_奴_nó,class_target,noncorrect,,31,noncorrect|audit_confusion_奴_nó,retest,stt2,page_0240,4,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.142,132.0,165.0,06b35699effb,ok,train,stt2|page_0240|c4,"[1003, 1701, 1112, 1837]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.25,False,False,False,0.09999999999999998,gold-direct(no-s3)
41,0026e8b5531616e5,gold/stt2_page_0282_c05_093.png,correct,audit_confusion_奴_nó,control_gold,correct,,32,correct|audit_confusion_奴_nó,retest,stt2,page_0282,5,歇,hết,歇,U+6B47,char,GOLD,s1_inter_s2_direct,,0.226,100.0,156.0,17b299a57a62,ok,train,stt2|page_0282|c5,"[838, 1584, 952, 1714]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.56,False,False,False,0.09999999999999998,gold-direct(no-s3)
9,253550675aa63b19,gold/stt11_page_0138_c07_135.png,wrong_image,audit_confusion_奴_nó,class_target,noncorrect,,33,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0138,7,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.128,88.0,127.0,a2dd5d615e39,ok,train,stt11|page_0138|c7,"[560, 723, 660, 836]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.4431818181818181,False,False,False,0.09999999999999998,gold-direct(no-s3)
213,4757e262239e3ac0,gold/stt4_page_0016_c04_080.png,unsure,audit_gold_human,srs,noncorrect,,34,noncorrect|audit_gold_human,retest,stt4,page_0016,4,体,thấy,体,U+4F53,char,GOLD,s1_inter_s2_direct,,0.081,88.0,89.0,69770a5f1d0d,ok,train,stt4|page_0016|c4,"[722, 1099, 794, 1175]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0113636363636365,False,True,True,0.235,ink-outlier
219,c9d479bcc1f3e616,gold/stt4_page_0170_c09_179.png,correct,audit_gold_human,active_lowmargin,correct,,35,correct|audit_gold_human,retest,stt4,page_0170,9,除,chừa,除,U+9664,char,GOLD,s1_inter_s2_direct,,0.148,81.0,88.0,c3293de2dea8,ok,train,stt4|page_0170|c9,"[214, 796, 287, 872]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0864197530864197,False,False,False,0.09999999999999998,gold-direct(no-s3)
45,06806dbd3b8dca46,gold/stt4_page_0120_c01_018.png,correct,audit_confusion_奴_nó,class_target,correct,,36,correct|audit_confusion_奴_nó,retest,stt4,page_0120,1,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.178,64.0,85.0,742e61c7023b,ok,train,stt4|page_0120|c1,"[948, 1395, 1025, 1474]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.328125,False,False,False,0.09999999999999998,gold-direct(no-s3)
240,94ce145b4c7a4a1f,gold/stt11_page_0210_c04_076.png,unsure,audit_gold_human,srs,noncorrect,,37,noncorrect|audit_gold_human,retest,stt11,page_0210,4,事,sự,事,U+4E8B,char,GOLD,s1_inter_s2_direct,,0.08,124.0,131.0,2900bedd6ce7,ok,train,stt11|page_0210|c4,"[1159, 1552, 1259, 1669]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0564516129032258,False,True,True,0.235,ink-outlier
250,75169bf69cacf99c,gold/stt4_page_0194_c07_142.png,unsure,audit_gold_human,active_lowmargin,noncorrect,,38,noncorrect|audit_gold_human,retest,stt4,page_0194,7,朱,cho,朱,U+6731,char,GOLD,s1_inter_s2_direct,,0.163,74.0,80.0,11ce8d0c30db,ok,test,stt4|page_0194|c7,"[383, 831, 455, 904]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0810810810810811,False,False,False,0.09999999999999998,gold-direct(no-s3)
54,3c1aa4aa1155e6a3,gold/stt2_page_0098_c02_038.png,correct,audit_confusion_奴_nó,control_gold,correct,,39,correct|audit_confusion_奴_nó,retest,stt2,page_0098,2,業,nghiệp,業,U+696D,char,GOLD,s1_inter_s2_direct,,0.193,130.0,108.0,be57a80a78fb,ok,val,stt2|page_0098|c2,"[1261, 1882, 1367, 1980]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,0.8307692307692308,False,False,False,0.09999999999999998,gold-direct(no-s3)
