image,book,page,column,ocr_char,syllable,label,unicode,tier,rule,bbox,image_md5
syllable/stt11_page_0010_c04_054.png,stt11,page_0010,4,之,pha,,,SYLLABLE,syl_ctx:bigram,"[1004, 1102, 1116, 1227]",2728b71c37ba
gold/stt11_page_0010_c04_055.png,stt11,page_0010,4,哺,bô,哺,U+54FA,GOLD,s1_inter_s2_direct,"[1004, 1199, 1115, 1322]",c644eec6fb9a
gold/stt11_page_0010_c04_056.png,stt11,page_0010,4,尼,ni,尼,U+5C3C,GOLD,s1_inter_s2_direct,"[1004, 1294, 1116, 1417]",e53992425e7e
syllable/stt11_page_0010_c04_057.png,stt11,page_0010,4,苑,pha,,,SYLLABLE,syl_ctx:corpus4,"[1005, 1392, 1114, 1510]",0a6f4ee72695
syllable/stt11_page_0010_c04_058.png,stt11,page_0010,4,槎,si,,,SYLLABLE,syl_ctx:bigram,"[1003, 1484, 1116, 1607]",4136923c9793
gold/stt11_page_0010_c04_059.png,stt11,page_0010,4,烏,ô,烏,U+70CF,GOLD,s1_inter_s2_direct,"[1004, 1590, 1116, 1711]",c225242f4fdb
gold/stt11_page_0010_c04_060.png,stt11,page_0010,4,次,thứ,次,U+6B21,GOLD,s1_inter_s2_direct,"[1003, 1686, 1117, 1804]",9db35f0551cb
syllable/stt11_page_0010_c04_061.png,stt11,page_0010,4,眾,bốn,,,SYLLABLE,syl_ctx:corpus4,"[1004, 1782, 1114, 1900]",2be4168dc776
gold/stt11_page_0010_c04_062.png,stt11,page_0010,4,体,thấy,体,U+4F53,GOLD,s1_inter_s2_direct,"[995, 1888, 1105, 2005]",9791a7af1dde
syllable/stt11_page_0010_c04_063.png,stt11,page_0010,4,夢,một,,,SYLLABLE,syl_ctx:corpus4,"[995, 1984, 1104, 2101]",7b390fd8c91c
gold/stt11_page_0010_c04_064.png,stt11,page_0010,4,茹,nhà,茹,U+8339,GOLD,s1_inter_s2_direct,"[994, 2088, 1105, 2203]",f14a98eef331
gold/stt11_page_0010_c04_065.png,stt11,page_0010,4,鬼,quỷ,鬼,U+9B3C,GOLD,s1_inter_s2_direct,"[1003, 2183, 1116, 2298]",508f01ac3c38
gold/stt11_page_0010_c04_066.png,stt11,page_0010,4,於,ở,於,U+65BC,GOLD,s1_inter_s2_direct,"[1005, 2278, 1115, 2395]",26553f4cd44b
gold/stt11_page_0010_c04_067.png,stt11,page_0010,4,城,thành,城,U+57CE,GOLD,s1_inter_s2_direct,"[1014, 2376, 1126, 2483]",c4eed5b936d7
syllable/stt11_page_0010_c05_068.png,stt11,page_0010,5,噌,rô,,,SYLLABLE,syl_ctx:bigram,"[859, 413, 967, 529]",44371d29dcfc
syllable/stt11_page_0010_c05_069.png,stt11,page_0010,5,瑪,ma,,,SYLLABLE,syl_ctx:bigram,"[860, 510, 964, 636]",70a30bafcd32
gold/stt11_page_0010_c05_070.png,stt11,page_0010,5,窖,khéo,窖,U+7A96,GOLD,s1_inter_s2_direct,"[858, 607, 965, 733]",9f18bc66a2ed
gold/stt11_page_0010_c05_071.png,stt11,page_0010,5,凜,lắm,凜,U+51DC,GOLD,s1_inter_s2_direct_am_sua_dau,"[857, 705, 966, 827]",97b657dd26dd
gold/stt11_page_0010_c05_072.png,stt11,page_0010,5,翁,ông,翁,U+7FC1,GOLD,s1_inter_s2_direct,"[855, 806, 966, 935]",7b9c2d365529
gold/stt11_page_0010_c05_073.png,stt11,page_0010,5,其,kia,其,U+5176,GOLD,s1_inter_s2_direct,"[856, 913, 965, 1038]",f61369d43a94
gold/stt11_page_0010_c05_074.png,stt11,page_0010,5,先,tên,先,U+5148,GOLD,s1_inter_s2_direct,"[856, 1019, 966, 1143]",9174fa47a9e3
syllable/stt11_page_0010_c05_075.png,stt11,page_0010,5,畏,là,,,SYLLABLE,syl_ctx:bigram,"[856, 1113, 966, 1240]",f10566d16971
syllable/stt11_page_0010_c05_076.png,stt11,page_0010,5,西,a,,,SYLLABLE,syl_ctx:tone,"[857, 1229, 967, 1353]",c420ccede22d
gold/stt11_page_0010_c05_077.png,stt11,page_0010,5,基,ki,朞,U+671E,GOLD,s1_inter_s2_similar,"[856, 1326, 968, 1447]",cd0fe3e2a6bf
gold/stt11_page_0010_c05_078.png,stt11,page_0010,5,离,li,离,U+79BB,GOLD,s1_inter_s2_direct,"[857, 1412, 966, 1532]",ec3feef4323c
gold/stt11_page_0010_c05_079.png,stt11,page_0010,5,葩,pha,葩,U+8469,GOLD,s1_inter_s2_direct,"[849, 1508, 955, 1625]",14923bfefad5
syllable/stt11_page_0010_c05_080.png,stt11,page_0010,5,白,làm,,,SYLLABLE,syl_ctx:corpus4,"[849, 1603, 955, 1720]",6863ac44f871
syllable/stt11_page_0010_c05_081.png,stt11,page_0010,5,𭃡,xưa,,,SYLLABLE,syl_ctx:bigram,"[847, 1706, 957, 1827]",6e389c351c04
gold/stt11_page_0010_c05_082.png,stt11,page_0010,5,麻,mà,麻,U+9EBB,GOLD,s1_inter_s2_direct,"[846, 1810, 958, 1934]",28ba4c0ad882
syllable/stt11_page_0010_c05_083.png,stt11,page_0010,5,蛛,thờ,,,SYLLABLE,syl_ctx:corpus4,"[844, 1917, 958, 2038]",396bfb8eaea8
gold/stt11_page_0010_c05_084.png,stt11,page_0010,5,奴,nó,奴,U+5974,GOLD,s1_inter_s2_direct,"[844, 2014, 960, 2133]",bd73f6e1a497
gold/stt11_page_0010_c05_085.png,stt11,page_0010,5,翁,ông,翁,U+7FC1,GOLD,s1_inter_s2_direct,"[848, 2111, 957, 2224]",8c5428a3d806
gold/stt11_page_0010_c05_086.png,stt11,page_0010,5,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[858, 2206, 966, 2320]",9ff25c0f33a7
syllable/stt11_page_0010_c05_087.png,stt11,page_0010,5,苑,pha,,,SYLLABLE,syl_ctx:bigram,"[860, 2290, 963, 2404]",c43a8a227249
syllable/stt11_page_0010_c05_088.png,stt11,page_0010,5,丶,pha,,,SYLLABLE,syl_ctx:corpus4,"[848, 2367, 955, 2476]",04fbd0b885ad
gold/stt11_page_0010_c06_089.png,stt11,page_0010,6,体,thấy,体,U+4F53,GOLD,s1_inter_s2_direct,"[697, 412, 808, 527]",ab15065c391f
syllable/stt11_page_0010_c06_091.png,stt11,page_0010,6,色,đã,,,SYLLABLE,syl_ctx:corpus4,"[698, 607, 806, 730]",50a444e2411e
syllable/stt11_page_0010_c06_092.png,stt11,page_0010,6,李,học,,,SYLLABLE,syl_ctx:bigram,"[696, 704, 808, 826]",75c5864cf7ca
gold/stt11_page_0010_c06_093.png,stt11,page_0010,6,道,đạo,道,U+9053,GOLD,s1_inter_s2_direct,"[686, 822, 803, 922]",42b9cf17f394
gold/stt11_page_0010_c06_094.png,stt11,page_0010,6,实,thật,实,U+5B9E,GOLD,s1_inter_s2_direct,"[690, 905, 802, 1025]",a1b7c0ae075e
gold/stt11_page_0010_c06_095.png,stt11,page_0010,6,庄,chăng,庄,U+5E84,GOLD,s1_inter_s2_direct,"[697, 1026, 802, 1148]",05b529eb739a
gold/stt11_page_0010_c06_096.png,stt11,page_0010,6,羣,còn,羣,U+7FA3,GOLD,s1_inter_s2_direct,"[697, 1128, 802, 1251]",74a163aaf5e1
gold/stt11_page_0010_c06_097.png,stt11,page_0010,6,蜍,thờ,蜍,U+870D,GOLD,s1_inter_s2_direct,"[697, 1230, 802, 1354]",b6f184dcb624
gold/stt11_page_0010_c06_098.png,stt11,page_0010,6,鬼,quỷ,鬼,U+9B3C,GOLD,s1_inter_s2_direct,"[690, 1370, 798, 1487]",328e47087725
gold/stt11_page_0010_c06_099.png,stt11,page_0010,6,女,nữa,女,U+5973,GOLD,s1_inter_s2_direct,"[690, 1464, 798, 1584]",23c4db352a30
gold/stt11_page_0010_c06_100.png,stt11,page_0010,6,時,thì,時,U+6642,GOLD,s1_inter_s2_direct,"[697, 1570, 809, 1690]",5e2b6e4d1e60
gold/stt11_page_0010_c06_101.png,stt11,page_0010,6,㝵,người,𠊚,U+2029A,GOLD,quyet_dinh_nguoi:qd01_cell_lock,"[699, 1676, 808, 1793]",d7204c246924
syllable/stt11_page_0010_c06_102.png,stt11,page_0010,6,祀,lấy,,,SYLLABLE,syl_ctx:bigram,"[697, 1743, 802, 1866]",823984b86797
gold/stt11_page_0010_c06_103.png,stt11,page_0010,6,茹,nhà,茹,U+8339,GOLD,s1_inter_s2_direct,"[697, 1846, 802, 1968]",afd1319999a8
syllable/stt11_page_0010_c06_104.png,stt11,page_0010,6,人,làm,,,SYLLABLE,syl_ctx:corpus4,"[689, 1981, 799, 2101]",59868e95a1d1
gold/stt11_page_0010_c06_105.png,stt11,page_0010,6,殿,đền,殿,U+6BBF,GOLD,s1_inter_s2_direct,"[699, 2088, 808, 2204]",05bd1e6f5565
gold/stt11_page_0010_c06_106.png,stt11,page_0010,6,蜍,thờ,蜍,U+870D,GOLD,s1_inter_s2_direct,"[701, 2183, 806, 2299]",f1ca4e4afd78
gold/stt11_page_0010_c06_107.png,stt11,page_0010,6,主,chúa,主,U+4E3B,GOLD,s1_inter_s2_direct,"[703, 2280, 805, 2392]",b4f463b01a52
gold/stt11_page_0010_c06_108.png,stt11,page_0010,6,各,các,各,U+5404,GOLD,s1_inter_s2_direct,"[692, 2369, 795, 2474]",f9160020ab4d
gold/stt11_page_0010_c07_109.png,stt11,page_0010,7,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[541, 416, 653, 525]",31580ad79565
syllable/stt11_page_0010_c07_110.png,stt11,page_0010,7,異,là,,,SYLLABLE,syl_ctx:bigram,"[545, 503, 648, 620]",f93dcb0e422e
syllable/stt11_page_0010_c07_111.png,stt11,page_0010,7,慓,rất,,,SYLLABLE,syl_ctx:bigram,"[546, 599, 647, 715]",6ef9020b7fe1
gold/stt11_page_0010_c07_112.png,stt11,page_0010,7,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[545, 688, 647, 802]",1bba2841b12a
syllable/stt11_page_0010_c07_113.png,stt11,page_0010,7,行,đức,,,SYLLABLE,syl_ctx:bigram,"[545, 783, 647, 897]",1a89090d1cbe
syllable/stt11_page_0010_c07_114.png,stt11,page_0010,7,妃,bà,,,SYLLABLE,syl_ctx:bigram,"[543, 875, 647, 988]",ae215435b177
syllable/stt11_page_0010_c07_115.png,stt11,page_0010,7,瑪,ma,,,SYLLABLE,syl_ctx:bigram,"[543, 971, 647, 1084]",85ef779dbdc9
syllable/stt11_page_0010_c07_117.png,stt11,page_0010,7,匝,a,,,SYLLABLE,syl_ctx:bigram,"[543, 1142, 648, 1254]",1fb8344a1a2a
gold/stt11_page_0010_c07_118.png,stt11,page_0010,7,共,cùng,共,U+5171,GOLD,s1_inter_s2_direct,"[542, 1235, 649, 1350]",baabadc5d80e
gold/stt11_page_0010_c07_119.png,stt11,page_0010,7,各,các,各,U+5404,GOLD,s1_inter_s2_direct,"[542, 1329, 649, 1443]",46a56e20bed7
gold/stt11_page_0010_c07_120.png,stt11,page_0010,7,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[532, 1424, 639, 1538]",d0d84c428bc2
gold/stt11_page_0010_c07_121.png,stt11,page_0010,7,男,nam,男,U+7537,GOLD,s1_inter_s2_direct,"[542, 1510, 648, 1625]",5ff999f690fc
gold/stt11_page_0010_c07_122.png,stt11,page_0010,7,女,nữ,女,U+5973,GOLD,s1_inter_s2_direct,"[542, 1605, 649, 1720]",f2f73608f126
gold/stt11_page_0010_c07_123.png,stt11,page_0010,7,於,ở,於,U+65BC,GOLD,s1_inter_s2_direct,"[542, 1690, 649, 1804]",b3a1bdd0852d
gold/stt11_page_0010_c07_124.png,stt11,page_0010,7,蓮,trên,蓮,U+84EE,GOLD,s1_inter_s2_direct,"[542, 1784, 649, 1899]",8cb30dac305e
syllable/stt11_page_0010_c07_125.png,stt11,page_0010,7,丞,trời,,,SYLLABLE,syl_ctx:corpus4,"[540, 1880, 650, 1991]",fb096630cd18
gold/stt11_page_0010_c07_126.png,stt11,page_0010,7,爲,vì,爲,U+7232,GOLD,s1_inter_s2_direct,"[542, 1973, 648, 2087]",ec51eb0e91fe
gold/stt11_page_0010_c07_127.png,stt11,page_0010,7,丕,vậy,丕,U+4E15,GOLD,s1_inter_s2_direct,"[541, 2067, 650, 2184]",e231e9fa6dcc
syllable/stt11_page_0010_c07_128.png,stt11,page_0010,7,迍,don,,,SYLLABLE,syl_ctx:tone,"[542, 2153, 649, 2269]",1fb98bdd42fa
syllable/stt11_page_0010_c07_130.png,stt11,page_0010,7,人,ấy,,,SYLLABLE,syl_ctx:corpus4,"[542, 2339, 649, 2446]",813b78eac4a2
gold/stt11_page_0010_c08_132.png,stt11,page_0010,8,𥙷,bỏ,𥙷,U+25677,GOLD,s1_inter_s2_direct,"[389, 507, 488, 623]",3702ce32e764
gold/stt11_page_0010_c08_133.png,stt11,page_0010,8,仍,những,仍,U+4ECD,GOLD,s1_inter_s2_direct,"[389, 600, 488, 717]",b2f23848e8f3
gold/stt11_page_0010_c08_134.png,stt11,page_0010,8,形,hình,形,U+5F62,GOLD,s1_inter_s2_direct,"[389, 696, 487, 812]",a2c402f28f59
syllable/stt11_page_0010_c08_135.png,stt11,page_0010,8,𰂸,tượng,,,SYLLABLE,syl_ctx:bigram,"[395, 790, 496, 906]",54d75ac95b0a
gold/stt11_page_0010_c08_136.png,stt11,page_0010,8,鬼,quỷ,鬼,U+9B3C,GOLD,s1_inter_s2_direct,"[388, 885, 489, 1001]",9ead41fadd5b
syllable/stt11_page_0010_c08_137.png,stt11,page_0010,8,趍,đi,,,SYLLABLE,syl_ctx:corpus4,"[388, 979, 490, 1098]",63837f8aa20f
gold/stt11_page_0010_c08_138.png,stt11,page_0010,8,連,liền,連,U+9023,GOLD,s1_inter_s2_direct,"[394, 1075, 499, 1194]",72363fb55f2c
syllable/stt11_page_0010_c08_140.png,stt11,page_0010,8,眾,bốn,,,SYLLABLE,syl_ctx:corpus4,"[384, 1273, 492, 1394]",0aead304ab5f
gold/stt11_page_0010_c08_141.png,stt11,page_0010,8,邁,mươi,邁,U+9081,GOLD,s1_inter_s2_direct,"[383, 1367, 492, 1491]",5f13f796b1c1
gold/stt11_page_0010_c08_142.png,stt11,page_0010,8,車,xe,車,U+8ECA,GOLD,s1_inter_s2_direct,"[383, 1484, 491, 1604]",41525ca83287
gold/stt11_page_0010_c08_144.png,stt11,page_0010,8,仍,những,仍,U+4ECD,GOLD,s1_inter_s2_direct,"[386, 1675, 491, 1797]",9e6386a2d1f3
gold/stt11_page_0010_c08_145.png,stt11,page_0010,8,壳,xác,壳,U+58F3,GOLD,s1_inter_s2_direct,"[396, 1778, 499, 1902]",189391bf3e05
gold/stt11_page_0010_c08_146.png,stt11,page_0010,8,各,các,各,U+5404,GOLD,s1_inter_s2_direct,"[397, 1874, 498, 1995]",a539ca8cf0c1
gold/stt11_page_0010_c08_147.png,stt11,page_0010,8,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[397, 1969, 498, 2090]",8fb3e306214c
gold/stt11_page_0010_c08_148.png,stt11,page_0010,8,死,tử,死,U+6B7B,GOLD,s1_inter_s2_direct,"[398, 2077, 496, 2191]",3b776d44e33c
gold/stt11_page_0010_c08_149.png,stt11,page_0010,8,爲,vì,爲,U+7232,GOLD,s1_inter_s2_direct,"[398, 2163, 496, 2280]",6711f637b5fb
gold/stt11_page_0010_c08_150.png,stt11,page_0010,8,道,đạo,道,U+9053,GOLD,s1_inter_s2_direct,"[397, 2259, 498, 2376]",15bb72e0f3dc
syllable/stt11_page_0010_c08_151.png,stt11,page_0010,8,𭃡,xưa,,,SYLLABLE,syl_ctx:bigram,"[396, 2355, 500, 2461]",d3df4bba95d6
gold/stt11_page_0010_c09_152.png,stt11,page_0010,9,麻,mà,麻,U+9EBB,GOLD,s1_inter_s2_direct,"[239, 427, 341, 532]",db1353d8a651
syllable/stt11_page_0010_c09_153.png,stt11,page_0010,9,丸,đem,,,SYLLABLE,syl_ctx:bigram,"[242, 511, 339, 620]",f1581f3a54c2
syllable/stt11_page_0010_c09_154.png,stt11,page_0010,9,街,về,,,SYLLABLE,syl_ctx:corpus4,"[242, 602, 341, 716]",a20c82f89a52
gold/stt11_page_0010_c09_155.png,stt11,page_0010,9,塟,táng,塟,U+585F,GOLD,s1_inter_s2_direct,"[243, 690, 339, 800]",b5eb5a0ef982
gold/stt11_page_0010_c09_156.png,stt11,page_0010,9,中,trong,中,U+4E2D,GOLD,s1_inter_s2_direct,"[244, 784, 336, 893]",c55e1539d366
gold/stt11_page_0010_c09_157.png,stt11,page_0010,9,殿,đền,殿,U+6BBF,GOLD,s1_inter_s2_direct,"[242, 869, 338, 978]",4fea9ea40c44
syllable/stt11_page_0010_c09_158.png,stt11,page_0010,9,仪,ấy,,,SYLLABLE,syl_ctx:corpus4,"[244, 960, 338, 1072]",4791fd3922b9
gold/stt11_page_0010_c09_159.png,stt11,page_0010,9,吏,lại,吏,U+540F,GOLD,s1_inter_s2_direct,"[242, 1048, 338, 1157]",920ac39336f2
gold/stt11_page_0010_c09_161.png,stt11,page_0010,9,係,hễ,係,U+4FC2,GOLD,s1_inter_s2_direct,"[251, 1226, 347, 1336]",16cd625c7568
syllable/stt11_page_0010_c09_162.png,stt11,page_0010,9,異,là,,,SYLLABLE,syl_ctx:corpus4,"[253, 1313, 346, 1420]",fc1da927dafa
syllable/stt11_page_0010_c09_164.png,stt11,page_0010,9,醉,năm,,,SYLLABLE,syl_ctx:corpus4,"[251, 1481, 349, 1590]",a583b9d65c7e
gold/stt11_page_0010_c09_165.png,stt11,page_0010,9,蔑,một,蔑,U+8511,GOLD,s1_inter_s2_direct,"[252, 1576, 349, 1683]",a6ca10be3b1c
gold/stt11_page_0010_c09_166.png,stt11,page_0010,9,吝,lần,吝,U+541D,GOLD,s1_inter_s2_direct,"[253, 1662, 349, 1768]",d85e446ad03a
syllable/stt11_page_0010_c09_167.png,stt11,page_0010,9,内,làm,,,SYLLABLE,syl_ctx:corpus4,"[253, 1755, 349, 1864]",7cc72e291826
gold/stt11_page_0010_c09_168.png,stt11,page_0010,9,礼,lễ,礼,U+793C,GOLD,s1_inter_s2_direct,"[263, 1850, 357, 1958]",b35cd7ba26a1
gold/stt11_page_0010_c09_169.png,stt11,page_0010,9,敬,kính,敬,U+656C,GOLD,s1_inter_s2_direct,"[254, 1943, 348, 2052]",1acc0c4ffdd4
gold/stt11_page_0010_c09_170.png,stt11,page_0010,9,各,các,各,U+5404,GOLD,s1_inter_s2_direct,"[253, 2030, 347, 2138]",0b2c9e4ee04f
gold/stt11_page_0010_c09_171.png,stt11,page_0010,9,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[255, 2115, 345, 2223]",532fab9fc049
gold/stt11_page_0010_c09_172.png,stt11,page_0010,9,合,hợp,合,U+5408,GOLD,s1_inter_s2_direct,"[255, 2199, 346, 2308]",81e30f608e74
gold/stt11_page_0010_c09_173.png,stt11,page_0010,9,吏,lại,吏,U+540F,GOLD,s1_inter_s2_direct,"[254, 2291, 346, 2398]",291cfa4dde8a
