sample_id,pred,pred_seq,pred_mono,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M3_0061,旱,旱,旱,旱,冷悉夜麽宸惡固席旱伸詩公法蒼峯餘奉如溢,19,18,0.1671,㝵,ok
M3_0062,等,等,等,等,造塊郁梅飯時命曰每護圭等置尋特表壽尋明廩,20,20,0.1629,㝵,ok
M3_0063,葬,景,葬,葬,帝特教靜置這代旦得葬景真茲來体西生壽也,19,19,0.1464,㝵,ok
M3_0064,義,是,義,義,陣而戰鬼多義是義茹廉打廩涅歇爾巽麻奴,18,18,0.1497,㝵,ok
M3_0065,得,得,得,得,年臨邊麗年重年罪馬帥得吃罪馬虎闭徐咽低幾事選,22,22,0.1996,㝵,ok
M3_0066,,等,,,朗罢等麻罪王官其玄鐫但縣庄朱於政壽民庄,19,19,0.1481,㝵,ok
M3_0067,尋,尋,尋,尋,仍祠共仍死付朱尋察藝事僥凜几恪察生特奔黑尋,21,22,0.1575,㝵,ok
M3_0068,尋,尋,尋,尋,道南如我尋真魏因先要歌戶樣晉麻時羅爾共,19,19,0.1376,㝵,ok
M3_0069,是,是,是,是,取体尋旦否罪占色哈罪斯之連噪麻主宣旦敗体是咽,22,22,0.2128,㝵,ok
M3_0070,尋,尋,尋,尋,樞尋要庄朱心曰無玄政辭翁因審甚毒玉几主用寄翁,22,22,0.1832,㝵,ok
M3_0071,是,是,是,是,百常命腹式中脾吏礼先半席是末乃弄尋罪用徐是漢過,23,23,0.1294,㝵,ok
M3_0072,壽,得,壽,壽,廩朱年固聚吝体近哈形鬼爾戰命存壽得孔可討故,21,21,0.2247,㝵,ok
M3_0073,景,景,景,景,是意固沛事之庄連朱奴馭等騎麻奴赦景文算我固,21,22,0.1781,㝵,ok
M3_0074,撰,尋,撰,撰,寧涅共敵臻衡主丞襟毒坦裙化撰尋不曰無圭命欺化,22,22,0.2365,㝵,ok
M3_0075,得,得,得,得,駐城生丑虎都孫每蓮為禪壽得公虜事帶孔祈樂命,21,21,0.0988,㝵,ok
M3_0076,餘,等,餘,餘,調長強揮低女連遣然蓮樓炤悲餘等而興杓粹於,20,20,0.1176,㝵,ok
M3_0077,尋,尋,尋,尋,蓐皆事為不連差象官罰几因道仍麻体強折燒尋時,21,21,0.1586,㝵,ok
M3_0078,等,等,等,等,唐道麻滾笑然尋墓官該淚前蘭所麻禮清等,18,18,0.1664,㝵,ok
M3_0079,是,是,是,是,舜藝矯是些拜發文旦時舞俸新者有於君取葉事,20,20,0.1379,㝵,ok
M3_0080,尋,尋,尋,尋,早掇尋奴庶鬼古朱及當播体尋曠凜時曳歇古茹海干,22,22,0.2504,㝵,ok
M3_0081,景,景,景,景,代景曰示八本道辰度乃及正學道者折支尼耗焉体之丕油麻,25,23,0.1782,㝵,ok
M3_0082,書,書,押,書,得預席運陵麻印飛豫色爾徐各至押書興麻遣而禮,21,21,0.1786,㝵,ok
M3_0083,尋,尋,尋,尋,碑庄夫奴赦禪如赦隨尋初尼悲平奴正艮寺碑然尋,21,21,0.1781,㝵,ok
M3_0084,其,其,其,其點,此連召致包蜀國適點其召道田學洋用燒旱法固通有專,23,23,0.0818,㝵,ok
M3_0085,不,尋,尋,不,支秋庄平德主此吏辰尋空庄席主廚不尋戰死相,20,20,0.134,㝵,ok
M3_0086,尋,尋,尋,尋,代命至禮郡達中居窮凌沙固爵尋而官頗用准帥重,21,21,0.146,㝵,ok
M3_0087,,等,等,,固鹿寺善此等達宜如不反爾架真明丑清解罪來帝動,22,22,0.1566,㝵,ok
M3_0088,等,等,等,等,等於麻孤仍獅子共搶鵝往攝共磨據俗於舉屬詩強,21,21,0.1579,㝵,ok
M3_0089,尋,尋,尋,尋,江林麻辰尋君冷陰其者年貞主丞別藏為祗周年任,21,21,0.1767,㝵,ok
M3_0090,麻,是,是,麻,垂葩之焉姚由晉而茹君勿是麻餘今垂幸連星帝,20,20,0.1502,㝵,ok
M3_0091,,,,,聽其庫欺旦長壽置時艦孟無尋論王趨等些恨,19,21,0.1573,㝵,ok
M3_0092,尋,尋,尋,尋,勁想旦創時架連罪遣奴術詩体煞襖卒洽尋連,19,19,0.1631,㝵,ok
M3_0093,尋,尋,尋,尋,朗庄岸跋理女各尋人跡浪奏奉吊衆碎固別商之麻扒,22,22,0.1355,㝵,ok
M3_0094,尋,尋,尋,尋,品凡真色帝心你辛体尋閑而五時弄樞多尋真為功筆,22,23,0.1864,㝵,ok
M3_0095,是,是,是,是,計特舉義是妃垂人買兒掇朱方垂葩治罪歇官哥,20,20,0.1661,㝵,ok
M3_0096,尋,尋,尋,尋,對世商山庫祀事庫白廚守置持鬼為事意尋依事庫術,22,22,0.1258,㝵,ok
M3_0097,得,得,得,得,連豫此垂何將些麻晦宸調准眉畏投得臻辰開准碎仍,22,22,0.2369,㝵,ok
M3_0098,尋,尋,尋,尋,本道威長司鳥真哭方歇長命尋於盃麵安慰矯是陛戶,22,22,0.402,㝵,ok
M3_0099,是,是,是,是,凹固氏衣体是真固善兵命也生廉群沛頗解還壽弇至石嗔,24,24,0.1573,㝵,ok
M3_0100,丕,景,景,丕,矯有事折庄丕景能皮事久旦將韓色則生毒庄因,20,20,0.1356,㝵,ok
M3_0101,尋,尋,尋,尋,古佯幾尋中艙壽堪麻退得西福以体西丕占凜,19,19,0.1605,㝵,ok
M3_0102,是,是,是,是,唱信辰兀奸頓是抑唐麻折府置脉恩冬至,17,17,0.1341,㝵,ok
M3_0103,等,等,等,等,邦同除樂遣奴誥威波林等連而書代要婆真先要,20,19,0.1613,㝵,ok
M3_0104,尋,尋,尋,尋,涅是色每後祗姓切在醉朱困共祖壤底燭是末尋,20,20,0.1442,㝵,ok
M3_0105,凡,等,凡,凡,必更猶弁至魯虛修行飛為道傳凡等異是猶德更年,21,21,0.1454,㝵,ok
M3_0106,是,是,是,是,更主支秋真數碎是庄來調之弄女共真而左麻庄特,21,22,0.1824,㝵,ok
M3_0107,是,是,是,是,是盡燦我焉坦據搖濯淳四呢如几固疾動奮庶辰,20,20,0.1728,㝵,ok
M3_0108,是,是,是,是,判共昆先異發歌移禮是百架常燒初是,16,17,0.2256,㝵,ok
M3_0109,,痕,痕,,麻衛詩爾方或安早為真達臨尋麻噪痕看席依那,20,19,0.1553,㝵,ok
M3_0110,畢,畢,畢,畢,課父希沿淺嘗瑪先黑亞黎山稜方垂處之麥巴奴指壳畢,23,23,0.2558,㝵,ok
M3_0111,燒,是,燒,燒,買停役垂吉計發加吏諸來燒是郎重共白燒法造耶几列,23,23,0.2765,㝵,ok
M3_0112,是,是,是,是,由應林時是樂歌為麻志補而及困常謙議其庄治事陷似丕,24,24,0.2963,㝵,ok
M3_0113,尋,尋,尋,尋,固是得体几奸孔特盈尋童再廉鬼然固意債者尋我,21,21,0.2345,㝵,ok
M3_0114,尋,尋,尋,尋,法遙馬功業尋固几辰翁至君共而曰無威誣張接何,21,21,0.1785,㝵,ok
M3_0115,爲,是,爲,爲,黑色斷驛輿天堂爲是色等生時丕左塊巨楼早沛列麻,22,22,0.3361,㝵,ok
M3_0116,等,等,等,等,打特斷等連麾乾麻祀肅欺洋多壽師尼彼陰可,19,19,0.1789,㝵,ok
M3_0117,命,尋,命,命,事斷事戰切哥常命尋夢尺良糝強楼強困各官宣刻,21,21,0.177,㝵,ok
M3_0118,得,得,得,得,末外麻打取者别政奮作要体希瓜得被政如碎佐不因,22,22,0.1216,㝵,ok
M3_0119,哈,尋,哈,哈,鬼性是陶為信新我切母聳哈尋改雲架符水吃畏几祐,22,22,0.1437,㝵,ok
M3_0120,尋,尋,尋,尋,奴者有代祗修誓鼓沿鄉罪焉連如折尋為道行,19,19,0.1324,㝵,ok
M3_0121,尋,尋,尋,尋,童貞嘗備共及凡爾尋年屬證歲体研思連包用公前玉,22,21,0.1912,㝵,ok
M3_0122,燒,果,燒,燒,畢至翁至尼色固燒功帶福朱燒果時行主齊朱塊囚落,22,23,0.241,㝵,ok
M3_0123,得,得,得,得,該師衣結道知主吞廩麻得興連晦弇固役之低景疎宸,22,22,0.1715,㝵,ok
M3_0124,弄,尋,弄,弄,特創朗麻祐事中弄尋甚別几國美世僊主爾兀主因敗凡,23,23,0.1886,㝵,ok
M3_0125,庭,尋,尋,庭,此壯生悅之發勁時退意破雲仍庭尋禮事奉朱年夏,21,21,0.1578,㝵,ok
M3_0126,欺,是,是,欺,色几列怕低歲事尼女為異事選欺是伶生有固義,20,20,0.2565,㝵,ok
M3_0127,是,是,是,是,七壽是召多双爾在補在廟本道麻百嗟曲高理,19,19,0.201,㝵,ok
M3_0128,得,得,得,得,哈云牢得辰碎祭礼元称呢罷鬼年年欺記皇后律思凡,22,23,0.1195,㝵,ok
M3_0129,,是,遜,,瑪先罪發樣焉差几遜是孫李等生君事長吏是,19,19,0.1508,㝵,ok
M3_0130,等,等,等,等,吏真等衣翠倘我吝先併枯共房呢朱等詩尋食直,20,20,0.1551,㝵,ok
M3_0131,尋,尋,尋,尋,尋洋雜特巴得欺人方垂施之共各本道且帝明尋時記,22,22,0.1836,㝵,ok
M3_0132,尋,尋,尋,尋,事值理衛尋諫官生道運差山燒麻打闭徐尋眾有事,21,22,0.154,㝵,ok
M3_0133,是,是,是,是,是意固沛事之庄連朱奴馭等騎麻奴赦景文算我固,21,22,0.1781,㝵,ok
M3_0134,諸,得,得,諸,如干愈正廉咽嚴戶之蚤爵朱眉鬼雁尼麻諸得於,20,21,0.1331,㝵,ok
M3_0135,尋,尋,尋,尋,弇垂尼欺群祗諸固而曰無賊悲後瑪固几体尋外連耨如垂,24,24,0.1552,㝵,ok
M3_0136,等,親,等,等,迎等此卻朱攝朱如愧親等應徐至柩壽何迎,18,19,0.1442,㝵,ok
M3_0137,有,有,有,有,翁至尼生要於後於年但意仍尋与美學正有罢翁皇,21,23,0.132,㝵,ok
M3_0138,等,等,等,等,青班散形豫衣結等時乾相滅夕窗此牡鹿等別塘,20,20,0.1472,㝵,ok
M3_0139,尋,尋,尋,尋,下廢而歇虧朱昆宜奴中用燒畢女固夢尋異是其獻,21,21,0.1435,㝵,ok
M3_0140,得,得,得,得,主支取無忌庫為碎爾体呵在不麻曳末功壽代危得然城署耳,25,25,0.1227,㝵,ok
M3_0141,旱,旱,旱,旱,年縷糾朱旱些犯罪磊連袍矯割生歇欺畧奴丑凜左,21,21,0.1307,㝵,ok
M3_0142,尋,尋,尋,尋,齋尋真處斗中羽鸞尋些祐皮外麻看左丕命代坊這如沛南年運因,27,27,0.1284,㝵,ok
M3_0143,尋,尋,尋,尋,些乞安辰碎活襖朱尋文宋特浮命正仕韋碎云福焉碑餘,23,23,0.1795,㝵,ok
M3_0144,尋,尋,尋,尋,其甚奄尋先畏敬悲故在故書文慰本道泣每元之傳仍,22,22,0.1252,㝵,ok
M3_0145,尋,尋,尋,尋,時尋欽末派恩德主文歌為每事極正涅尋章廩客時,21,22,0.1671,㝵,ok
M3_0146,燒,旱,燒,燒,此連召致包蜀國適點其召道田學洋用燒旱法固通有專,23,23,0.0818,㝵,ok
M3_0147,尋,尋,尋,尋,吏真等衣翠倘我吝先併枯共房呢朱等詩尋食直,20,20,0.1551,㝵,ok
M3_0148,是,是,是,是,死察事等丞詩庫是些恆林推函特事嫌,16,17,0.3708,㝵,ok
M3_0149,是,是,是,是,婆共祀乳易雙些牢嚴代撩仍是女衣歟祗銀錄四弱,21,22,0.1608,㝵,ok
M3_0150,是,是,是,是,別燒理時時漸施之欺是岸詔垂夜計後加因曰無竟,21,23,0.1117,㝵,ok
M3_0151,尋,尋,尋,尋,年敗於則始我電帝煙汝也情財固尋勁置忽葬欲怨巴,22,22,0.1049,㝵,ok
M3_0152,是,是,是,是,連於饒几因通仍曰無共是即重麻言多辰車如拿達,21,21,0.1398,㝵,ok
M3_0153,畢,畢,畢,畢,畢鞋救几固罪時責浪分主丞補儿庄付命腐架洋腸几,22,22,0.1602,㝵,ok
M3_0154,等,等,等,等,蕭能顧等此事戕赴天下唐直連天遠取爵分盈等,20,20,0.1429,㝵,ok
M3_0155,得,得,得,得,下餘奉得社西鄰坤欣僥等毳,12,12,0.1049,㝵,ok
M3_0156,,尋,門,,补樂拘摔畧末豈門尋仍几傷尋時浪等豐冷固涅那,21,21,0.1419,㝵,ok
M3_0157,尋,尋,尋,尋,歇古常折歌尋些中化双清德主房朱守三偶,18,18,0.1498,㝵,ok
M3_0158,,尋,固,,骨時本別理事朱時杜昆信事若孛欺人固尋先異姚,21,21,0.1402,㝵,ok
M3_0159,尋,尋,尋,尋,領罢庄別存時尋庄真德主支秋我朱別韋讀經意,20,21,0.1271,㝵,ok
M3_0160,朱,尋,朱,朱,壽求共知主丞美弄朱尋劍朗麻臻方主支歌淫,19,19,0.1763,㝵,ok
M3_0161,早,早,早,早,約洶色楼希連付早生官其麻判裒奴庄祭礼孛百梁,21,21,0.1522,㝵,ok
M3_0162,尋,尋,尋,尋,趨打賦時尋沛巳故人油麻尋於中几走辛淫時拱停,21,21,0.1751,㝵,ok
M3_0163,身,身,身,身還,尋朝天庶成來攘奴咽築丕我窗欺切還身時仍帥共使,22,22,0.2224,㝵,ok
M3_0164,尋,尋,尋,尋,內亥壽云冷去曰五濟尼尋連直者乙冷共曰年耳爾真赦,23,22,0.2112,㝵,ok
M3_0165,等,等,等,等,弓赤乳是岳团除是祖事衣而呌垂固内實庄四隨等連,22,22,0.1836,㝵,ok
M3_0166,景,景,景,景,祐体數景運像恩占主歷初碎固舞啞麻晉主碎,19,19,0.1502,㝵,ok
M3_0167,是,是,是,是,朱吞包茲臻亮是回從醉公候其見昆設乘墓是罢,20,20,0.2714,㝵,ok
M3_0168,尋,尋,尋,尋,尋休舜尋創頭保宸明姬品中厥壽時年日在,18,19,0.1711,㝵,ok
M3_0169,是,是,是,是,丕壽德主爾吏朱眺歡欺葬葬女庄仍是海几庫中,20,20,0.1614,㝵,ok
M3_0170,尋,尋,尋,尋,尋陳浪化庄因弱初事之等兆事古而餘仍事牽尋三年,22,21,0.112,㝵,ok
M3_0171,旱,旱,旱,旱,凜作層禊罪斗錄撩連团除民干展卒尼庄沛旱,19,19,0.2014,㝵,ok
M3_0172,等,等,等,等,主丞乾改來風香等存涅那凜麻補每事世間燒,19,19,0.1694,㝵,ok
M3_0173,康,等,康,康,壽奴四祿困碑初君岳感社特康等重廩沛所拜,19,19,0.1496,㝵,ok
M3_0174,擒,攝,擒,擒,朦稜獅子擒攝其種路年今走數恨同意体而丕年与欲,22,22,0.1326,㝵,ok
M3_0175,尋,尋,尋,尋,巳囚孫親長班庶等置則信婦其是正可中廚者別尋德,22,21,0.1968,㝵,ok
M3_0176,旱,旱,旱,旱,康等展矣加捲末旱殿旦魏氏連色即壽是流百福,20,20,0.1617,㝵,ok
M3_0177,吃,尋,吃,吃,爾時陰景卷作先虎尋竈補帶度旦敢吃尋在体矣群莊,22,22,0.1635,㝵,ok
M3_0178,尋,尋,尋,尋,補包尋於帝受尋鬼度得各官多被麻林尋群無寧,20,21,0.226,㝵,ok
M3_0179,等,等,等,等,屬今百麻等於云丕焉彼欺群而作重歲民社共默視章,22,21,0.1453,㝵,ok
M3_0180,朱,是,朱,朱,尼廉尋毒買特麻歇便朱是把術如展命而之向至閣,21,22,0.1757,㝵,ok
M3_0181,尋,尋,尋,尋,朱特良每事其漸官我羿尋平囚欺化固弄如籍先古要,22,22,0.226,㝵,ok
M3_0182,忌,率,忌,忌,昆忌率冷白至誑異當白書從天下祝困際旱昧浪奏壽事,23,22,0.2307,㝵,ok
M3_0183,尋,尋,尋,尋,各官命丕旦欺奴打尚人壽尋升甚赦主未罰女爵,20,20,0.181,㝵,ok
M3_0184,是,是,是,是,奉連執早麻細朱宮官人体是當朝孟美固燒才能,20,21,0.1497,㝵,ok
M3_0185,是,是,是,是,固用道劫柩職該各曰無特叨再辭朱年奴唆折尋麻是,22,24,0.1789,㝵,ok
M3_0186,景,景,景,景,時產固術如旦店次巴体景罢界麻竈掉把淘入皮,20,20,0.1798,㝵,ok
M3_0187,等,等,等,等,旦朱年等齋貴改朱等少黃為付來等支將朱,18,19,0.1616,㝵,ok
M3_0188,是,是,是,是,朱是命沛旦時靜欺是莊而福朱天下隨壽刪天,19,19,0.1693,㝵,ok
M3_0189,等,等,等,等,色衛翁批晉徹虎各至冤衛旦歌等禮多戈稜席歇,20,20,0.1537,㝵,ok
M3_0190,老,得,老,老得,灵魂庄來翁該斷官体末功壽時老得多幼奔其,19,20,0.1546,㝵,ok
M3_0191,尋,尋,仍,尋,白宰今汝腰欲燒如受弄汝意無裝在仍尋男行涅而五其同,24,24,0.1201,㝵,ok
M3_0192,等,等,等,等,俘役尼朱年固蔑店歌等佯戰麻願体至天神,18,18,0.15,㝵,ok
M3_0193,尋,尋,尋,尋,欺朱本事傷庫中北獄周饒吝朱体夷忽尼鮮罪麻尋罰命同,24,24,0.1369,㝵,ok
M3_0194,等,,等,等,翁皇尼生罷於成哭矯那等軍殉作晉奇畏葺看發,20,22,0.1588,㝵,ok
M3_0195,景,景,景,景,本在拜碑停後御灵魂景些奉耳双爾在特恆文詩,20,20,0.1473,㝵,ok
M3_0196,等,等,等,等,哈制共奴毒言四結麼吆等茲君怪堪獵凜鬼体舞下而,22,22,0.1331,㝵,ok
M3_0197,尋,尋,尋,尋,德主枝秋常朱尋尽事困斷飛多外同略礼發麻,19,19,0.244,㝵,ok
M3_0198,尋,尋,尋,尋,限呌先之毒尋盛浪中弄碎固先極化碑道之非,19,21,0.17,㝵,ok
M3_0199,尋,尋,尋,尋,昭尋句之官扒長時救嘆之笑術者故文吃尋至時爭少折,23,24,0.174,㝵,ok
M3_0200,尋,尋,尋,尋,焉用南尋衣冠席可皮顧卻者体同庵尋接更歇,19,21,0.1157,㝵,ok
M3_0201,,尋,尋,,冥尋求朱是命尋本是意連矜思故麻要浪眉問於低正蚤,23,23,0.1261,㝵,ok
M3_0202,耳,耳,耳,耳,朱塊双禹沛召丕麻於朗旦茹婚休耳同胎時之事之債朱,23,23,0.1263,㝵,ok
M3_0203,,尋,,,稜吏周於作如四玉此爾此瑟干在朱多庶欺意尋為弄於,23,23,0.1508,㝵,ok
M3_0204,麻,尋,麻,麻尋,朱凡結事意年郎重答末天下為庄固法市選麻尋庄白因,23,23,0.1641,㝵,ok
M3_0205,等,等,等,等,昭奔展樂意白藝有事若或光祖法思庄德王之連差度等,23,23,0.0976,㝵,ok
M3_0206,尋,尋,尋,尋,廢再西主丞馬舜尋固婚庄固戰重之罢大要壽年至,21,21,0.1467,㝵,ok
M3_0207,得,得,得,得,綿願妃垂化首道衣蒞得連冠歌仍呌跡於命共,19,19,0.1425,㝵,ok
M3_0208,尋,尋,尋,尋,煙垂分她因冰燒几沛弄胸尋过理如象昆真聲尋尋燒吝,23,23,0.1329,㝵,ok
M3_0209,得,得,得,得,理朱特鬆左噬欲等甚席公英隨体得也伶我理,19,19,0.1186,㝵,ok
M3_0210,等,等,等,等,或磨等些要討庄丑時事街庫唐道庄丕尋神祀年返,21,22,0.1373,㝵,ok
M3_0211,麻,尋,麻,麻,朱辱麻生生麻尋些拱餘尋意玄思体福尋等所朱我因文,23,24,0.1427,㝵,ok
M3_0212,畢,,畢,畢,特把公体來功祀挺股輔麻打等紫命畢義陰樓仍几禮,22,24,0.1378,㝵,ok
M3_0213,尋,尋,尋,尋,中祐曰本因巴尋至君新為道德主丞輝歌各架視方,21,21,0.1571,㝵,ok
M3_0214,得,得,得,得,松增現廚祖邪兀尋先來來固奔得無釋矜燭些雅,20,20,0.2437,㝵,ok
M3_0215,得,得,得,得,几施体稱久甫吏模麻改朱得毒尋吏丰弁其吏換尋体,22,22,0.1495,㝵,ok
M3_0216,是,是,是,是,麻欺禱固旦君官公罪綽麻福是尊至批書庄來禰麻宸綿,23,23,0.1527,㝵,ok
M3_0217,尋,尋,尋,尋,壽尋丑戰衣饒解而福朱天下常虎共是龍為陰謁僥理,22,22,0.1856,㝵,ok
M3_0218,景,景,景,景,該師衣結道知主吞廩麻得興連晦弇固役之低景疎宸,22,22,0.1715,㝵,ok
