book,page,column,nom_idx,syllable,tier_old,ocr_char_old,predicted_nom,unicode,prob,in_dict,decision
stt11,page_0010,9,6,ấy,SYLLABLE,仪,衣,U+8863,0.7053,True,RESCUE_V3_MED
stt11,page_0010,9,10,là,SYLLABLE,異,罗,U+7F57,0.0934,True,RESCUE_V3_LOW_CONF
stt11,page_0010,9,11,một,REVIEW,農,实,U+5B9E,0.2458,False,NOT_IN_DICT
stt11,page_0010,9,12,năm,SYLLABLE,醉,穌,U+7A4C,0.1658,False,NOT_IN_DICT
stt11,page_0010,9,15,làm,SYLLABLE,内,各,U+5404,0.2904,False,NOT_IN_DICT
stt11,page_0010,9,22,làm,SYLLABLE,而,衣,U+8863,0.0668,False,NOT_IN_DICT
stt11,page_0010_p0028,2,0,sự,REVIEW,昇,𠊚,U+2029A,0.3609,False,NOT_IN_DICT
stt11,page_0010_p0028,2,1,về,REVIEW,麻,麻,U+9EBB,0.9537,False,NOT_IN_DICT
stt11,page_0010_p0028,2,2,i,REVIEW,除,除,U+9664,0.947,False,NOT_IN_DICT
stt11,page_0010_p0028,2,3,ghê,REVIEW,娄,娄,U+5A04,0.9579,False,NOT_IN_DICT
stt11,page_0010_p0028,2,4,rê,REVIEW,歡,歇,U+6B47,0.9594,False,NOT_IN_DICT
stt11,page_0010_p0028,2,5,gia,REVIEW,昇,欺,U+6B3A,0.1579,False,NOT_IN_DICT
stt11,page_0010_p0028,2,6,nước,REVIEW,莒,意,U+610F,0.2103,False,NOT_IN_DICT
stt11,page_0010_p0028,2,7,ấy,REVIEW,功,功,U+529F,0.6671,False,NOT_IN_DICT
stt11,page_0010_p0028,2,8,chẳng,REVIEW,業,業,U+696D,0.326,False,NOT_IN_DICT
stt11,page_0010_p0028,2,9,hay,REVIEW,共,共,U+5171,0.9623,False,NOT_IN_DICT
stt11,page_0010_p0028,2,10,đức,REVIEW,色,㐌,U+340C,0.7133,False,NOT_IN_DICT
stt11,page_0010_p0028,2,11,chúa,REVIEW,而,巴,U+5DF4,0.4032,False,NOT_IN_DICT
stt11,page_0010_p0028,2,12,trời,REVIEW,澆,燒,U+71D2,0.7864,False,NOT_IN_DICT
stt11,page_0010_p0028,2,13,trả,REVIEW,法,法,U+6CD5,0.9675,False,NOT_IN_DICT
stt11,page_0010_p0028,2,14,công,REVIEW,遇,邏,U+908F,0.884,False,NOT_IN_DICT
stt11,page_0010_p0028,2,15,nghiệp,REVIEW,固,固,U+56FA,0.9539,False,NOT_IN_DICT
stt11,page_0010_p0028,2,16,cho,REVIEW,意,意,U+610F,0.9452,False,NOT_IN_DICT
stt11,page_0010_p0028,2,17,mà,REVIEW,嗔,嗔,U+55D4,0.9175,False,NOT_IN_DICT
stt11,page_0010_p0028,2,18,đến,REVIEW,共,共,U+5171,0.9304,False,NOT_IN_DICT
stt11,page_0010_p0028,2,19,nhà,REVIEW,翁,翁,U+7FC1,0.9318,False,NOT_IN_DICT
stt11,page_0010_p0028,2,20,thờ,REVIEW,垩,垩,U+57A9,0.9406,False,NOT_IN_DICT
stt11,page_0010_p0028,2,21,ông,REVIEW,施,葩,U+8469,0.9558,False,NOT_IN_DICT
stt11,page_0010_p0028,2,22,thánh,REVIEW,之,几,U+51E0,0.1273,False,NOT_IN_DICT
stt11,page_0010_p0028,3,1,na,REVIEW,街,事,U+4E8B,0.9252,False,NOT_IN_DICT
stt11,page_0010_p0028,3,2,du,REVIEW,衣,𧗱,U+275F1,0.9019,False,NOT_IN_DICT
stt11,page_0010_p0028,3,3,ở,REVIEW,計,衣,U+8863,0.9316,False,NOT_IN_DICT
stt11,page_0010_p0028,3,4,thì,REVIEW,移,計,U+8A08,0.7701,False,NOT_IN_DICT
stt11,page_0010_p0028,3,5,người,REVIEW,即,禄,U+7984,0.1119,False,NOT_IN_DICT
stt11,page_0010_p0028,3,6,phải,SYLLABLE,涕,仍,U+4ECD,0.1064,False,NOT_IN_DICT
stt11,page_0010_p0028,3,7,liệt,REVIEW,人,渃,U+6E03,0.6742,False,NOT_IN_DICT
stt11,page_0010_p0028,3,8,cùng,REVIEW,庒,衣,U+8863,0.9323,False,NOT_IN_DICT
stt11,page_0010_p0028,3,9,chịu,REVIEW,略,庒,U+5E92,0.947,False,NOT_IN_DICT
stt11,page_0010_p0028,3,10,các,REVIEW,行,吒,U+5412,0.1,False,NOT_IN_DICT
stt11,page_0010_p0028,3,11,phép,REVIEW,主,主,U+4E3B,0.4513,False,NOT_IN_DICT
stt11,page_0010_p0028,3,12,sa,REVIEW,乔,主,U+4E3B,0.9495,False,NOT_IN_DICT
stt11,page_0010_p0028,3,13,ca,REVIEW,把,𡗶,U+215F6,0.4848,False,NOT_IN_DICT
stt11,page_0010_p0028,3,14,ra,REVIEW,功,把,U+628A,0.9612,False,NOT_IN_DICT
stt11,page_0010_p0028,3,15,men,REVIEW,榮,功,U+529F,0.8188,False,NOT_IN_DICT
stt11,page_0010_p0028,3,16,tô,REVIEW,朱,凜,U+51DC,0.1756,False,NOT_IN_DICT
stt11,page_0010_p0028,3,18,mặt,REVIEW,旦,旦,U+65E6,0.8816,False,NOT_IN_DICT
stt11,page_0010_p0028,3,20,kẻ,REVIEW,餘,蜍,U+870D,0.8356,False,NOT_IN_DICT
stt11,page_0010_p0028,3,21,chơi,REVIEW,翁,翁,U+7FC1,0.991,False,NOT_IN_DICT
stt11,page_0010_p0028,3,22,vậy,REVIEW,垩,垩,U+57A9,0.959,False,NOT_IN_DICT
stt11,page_0010_p0028,3,23,sinh,REVIEW,皮,改,U+6539,0.0608,False,NOT_IN_DICT
stt11,page_0010_p0028,4,8,tay,REVIEW,㠯,召,U+53EC,0.987,False,NOT_IN_DICT
stt11,page_0010_p0028,4,10,thầy,REVIEW,法,法,U+6CD5,0.9905,False,NOT_IN_DICT
stt11,page_0010_p0028,4,11,thánh,REVIEW,沙,沙,U+6C99,0.9183,False,NOT_IN_DICT
stt11,page_0010_p0028,4,12,ấy,REVIEW,𰙔,歌,U+6B4C,0.3199,False,NOT_IN_DICT
stt11,page_0010_p0028,4,13,ong,REVIEW,噀,秋,U+79CB,0.296,False,NOT_IN_DICT
stt11,page_0010_p0028,4,14,thánh,REVIEW,綿,綿,U+7DBF,0.7625,False,NOT_IN_DICT
stt11,page_0010_p0028,4,15,bê,REVIEW,穌,鮮,U+9BAE,0.1057,False,NOT_IN_DICT
stt11,page_0010_p0028,4,16,na,REVIEW,麻,麻,U+9EBB,0.9122,False,NOT_IN_DICT
stt11,page_0010_p0028,4,17,du,REVIEW,盃,麻,U+9EBB,0.8654,False,NOT_IN_DICT
stt11,page_0010_p0028,4,18,chép,REVIEW,末,盃,U+76C3,0.7762,False,NOT_IN_DICT
stt11,page_0010_p0028,4,19,truyện,REVIEW,奴,末,U+672B,0.8845,False,NOT_IN_DICT
stt11,page_0010_p0028,4,20,người,REVIEW,几,几,U+51E0,0.4145,False,NOT_IN_DICT
stt11,page_0010_p0028,4,21,và,REVIEW,制,几,U+51E0,0.8862,False,NOT_IN_DICT
stt11,page_0010_p0028,4,22,khen,REVIEW,丕,丕,U+4E15,0.8504,False,NOT_IN_DICT
stt11,page_0010_p0028,4,23,lăm,REVIEW,生,生,U+751F,0.5837,False,NOT_IN_DICT
stt11,page_0010_p0028,5,2,đức,SYLLABLE,石,之,U+4E4B,0.1286,False,NOT_IN_DICT
stt11,page_0010_p0028,5,6,giê,REVIEW,女,双,U+53CC,0.6896,False,NOT_IN_DICT
stt11,page_0010_p0028,5,11,ra,REVIEW,号,欺,U+6B3A,0.0956,False,NOT_IN_DICT
stt11,page_0010_p0028,5,12,đời,REVIEW,柴,時,U+6642,0.1424,False,NOT_IN_DICT
stt11,page_0010_p0028,5,14,cho,REVIEW,翁,時,U+6642,0.1677,False,NOT_IN_DICT
stt11,page_0010_p0028,5,15,đến,REVIEW,茄,仍,U+4ECD,0.1404,False,NOT_IN_DICT
stt11,page_0010_p0028,5,16,ông,REVIEW,垩,時,U+6642,0.0976,False,NOT_IN_DICT
stt11,page_0010_p0028,5,19,này,REVIEW,人,時,U+6642,0.1041,False,NOT_IN_DICT
stt11,page_0010_p0028,5,22,được,REVIEW,号,之,U+4E4B,0.0273,False,NOT_IN_DICT
stt11,page_0010_p0028,5,25,một,REVIEW,榮,時,U+6642,0.3251,False,NOT_IN_DICT
stt11,page_0010_p0028,5,26,trăm,REVIEW,曰,年,U+5E74,0.0687,False,NOT_IN_DICT
stt11,page_0010_p0028,5,37,bốn,REVIEW,石,事,U+4E8B,0.0453,False,NOT_IN_DICT
stt11,page_0010_p0028,5,38,mươi,REVIEW,早,事,U+4E8B,0.1229,False,NOT_IN_DICT
stt11,page_0010_p0028,5,39,tám,REVIEW,孤,丕,U+4E15,0.0462,False,NOT_IN_DICT
stt11,page_0010_p0028,5,40,148,REVIEW,嗜,朱,U+6731,0.2247,False,NOT_IN_DICT
stt11,page_0010_p0028,6,1,mồng,REVIEW,垩,垩,U+57A9,0.9089,False,NOT_IN_DICT
stt11,page_0010_p0028,6,2,bốn,REVIEW,尼,尼,U+5C3C,0.9226,False,NOT_IN_DICT
stt11,page_0010_p0028,6,3,ông,REVIEW,生,生,U+751F,0.9853,False,NOT_IN_DICT
stt11,page_0010_p0028,6,4,thánh,REVIEW,哷,於,U+65BC,0.9099,False,NOT_IN_DICT
stt11,page_0010_p0028,6,19,rô,REVIEW,蒸,烝,U+70DD,0.5703,False,NOT_IN_DICT
stt11,page_0010_p0028,6,20,lô,REVIEW,早,恩,U+6069,0.3577,False,NOT_IN_DICT
stt11,page_0010_p0028,6,21,viết,REVIEW,油,油,U+6CB9,0.2495,False,NOT_IN_DICT
stt11,page_0010_p0028,6,22,vồ,REVIEW,麻,麻,U+9EBB,0.9242,False,NOT_IN_DICT
stt11,page_0010_p0028,6,23,truyện,REVIEW,異,麻,U+9EBB,0.7469,False,NOT_IN_DICT
stt11,page_0010_p0028,7,3,này,REVIEW,苑,葩,U+8469,0.9809,False,NOT_IN_DICT
stt11,page_0010_p0028,7,4,sinh,REVIEW,之,多,U+591A,0.0682,False,NOT_IN_DICT
stt11,page_0010_p0028,7,5,ra,REVIEW,丕,丕,U+4E15,0.9252,False,NOT_IN_DICT
stt11,page_0010_p0028,7,7,thành,REVIEW,次,次,U+6B21,0.8767,False,NOT_IN_DICT
stt11,page_0010_p0028,7,8,mi,REVIEW,举,罪,U+7F6A,0.2673,False,NOT_IN_DICT
stt11,page_0010_p0028,7,9,long,REVIEW,共,共,U+5171,0.9337,False,NOT_IN_DICT
stt11,page_0010_p0028,7,10,là,REVIEW,朝,朝,U+671D,0.3473,False,NOT_IN_DICT
stt11,page_0010_p0028,7,11,gương,REVIEW,朱,朱,U+6731,0.6366,False,NOT_IN_DICT
stt11,page_0010_p0028,7,12,các,REVIEW,固,固,U+56FA,0.8833,False,NOT_IN_DICT
stt11,page_0010_p0028,7,13,cả,REVIEW,凜,凜,U+51DC,0.8606,False,NOT_IN_DICT
stt11,page_0010_p0028,7,14,xem,REVIEW,時,時,U+6642,0.923,False,NOT_IN_DICT
stt11,page_0010_p0028,7,15,mà,REVIEW,庒,庒,U+5E92,0.8676,False,NOT_IN_DICT
stt11,page_0010_p0028,7,16,bắt,REVIEW,計,計,U+8A08,0.8375,False,NOT_IN_DICT
stt11,page_0010_p0028,7,17,chước,REVIEW,事,事,U+4E8B,0.9525,False,NOT_IN_DICT
stt11,page_0010_p0028,7,18,vì,REVIEW,反,衣,U+8863,0.7467,False,NOT_IN_DICT
stt11,page_0010_p0028,7,19,chưng,REVIEW,平,平,U+5E73,0.6746,False,NOT_IN_DICT
stt11,page_0010_p0028,7,20,người,REVIEW,執,執,U+57F7,0.9019,False,NOT_IN_DICT
stt11,page_0010_p0028,7,21,dù,REVIEW,灵,灵,U+7075,0.7898,False,NOT_IN_DICT
stt11,page_0010_p0028,7,22,ma,REVIEW,魂,魂,U+9B42,0.798,False,NOT_IN_DICT
stt11,page_0010_p0028,8,0,cháu,REVIEW,㝵,𠊚,U+2029A,0.2607,False,NOT_IN_DICT
stt11,page_0010_p0028,8,1,ông,REVIEW,些,些,U+4E9B,0.9653,False,NOT_IN_DICT
stt11,page_0010_p0028,8,2,thánh,REVIEW,避,連,U+9023,0.9724,False,NOT_IN_DICT
stt11,page_0010_p0028,8,3,pha,REVIEW,天,天,U+5929,0.9412,False,NOT_IN_DICT
stt11,page_0010_p0028,8,4,pha,REVIEW,堂,堂,U+5802,0.9913,False,NOT_IN_DICT
stt11,page_0010_p0028,8,7,ô,REVIEW,䏷,時,U+6642,0.9581,False,NOT_IN_DICT
stt11,page_0010_p0028,8,8,thứ,REVIEW,昇,𠊚,U+2029A,0.2139,False,NOT_IN_DICT
stt11,page_0010_p0028,8,9,bốn,REVIEW,仍,仍,U+4ECD,0.9833,False,NOT_IN_DICT
stt11,page_0010_p0028,8,10,cùng,REVIEW,呫,咍,U+548D,0.2599,False,NOT_IN_DICT
stt11,page_0010_p0028,8,11,giàu,REVIEW,斫,斫,U+65AB,0.9088,False,NOT_IN_DICT
stt11,page_0010_p0028,8,12,có,REVIEW,共,共,U+5171,0.8554,False,NOT_IN_DICT
stt11,page_0010_p0028,8,13,lắm,REVIEW,早,些,U+4E9B,0.5826,False,NOT_IN_DICT
stt11,page_0010_p0028,8,14,thì,REVIEW,些,些,U+4E9B,0.7315,False,NOT_IN_DICT
stt11,page_0010_p0028,8,15,chăng,REVIEW,特,特,U+7279,0.7855,False,NOT_IN_DICT
stt11,page_0010_p0028,8,16,kế,REVIEW,愧,塊,U+584A,0.7319,False,NOT_IN_DICT
stt11,page_0010_p0028,8,17,sự,REVIEW,稠,腮,U+816E,0.5921,False,NOT_IN_DICT
stt11,page_0010_p0028,8,18,ấy,REVIEW,思,尼,U+5C3C,0.2358,False,NOT_IN_DICT
stt11,page_0010_p0028,8,19,bằng,REVIEW,昇,昆,U+6606,0.0885,False,NOT_IN_DICT
stt11,page_0010_p0028,8,20,giúp,REVIEW,該,該,U+8A72,0.3448,False,NOT_IN_DICT
stt11,page_0010_p0028,8,21,linh,REVIEW,城,城,U+57CE,0.9771,False,NOT_IN_DICT
stt11,page_0010_p0028,8,22,hồn,REVIEW,噶,嗔,U+55D4,0.177,False,NOT_IN_DICT
stt11,page_0010_p0028,9,4,đức,SYLLABLE,行,主,U+4E3B,0.8714,False,NOT_IN_DICT
stt11,page_0010_p0028,9,6,trời,REVIEW,瓦,巴,U+5DF4,0.3368,False,NOT_IN_DICT
stt11,page_0010_p0028,9,9,ấy,SYLLABLE,人,空,U+7A7A,0.0678,False,NOT_IN_DICT
stt11,page_0010_p0028,9,11,phải,REVIEW,挿,沛,U+6C9B,0.3209,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0028,9,15,nhiều,SYLLABLE,燒,油,U+6CB9,0.0599,False,NOT_IN_DICT
stt11,page_0010_p0028,9,18,người,REVIEW,㝵,𠊚,U+2029A,0.1767,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0028,9,19,liều,REVIEW,判,扒,U+6252,0.0494,False,NOT_IN_DICT
stt11,page_0010_p0028,9,20,mình,REVIEW,風,翁,U+7FC1,0.1653,False,NOT_IN_DICT
stt11,page_0010_p0220,1,0,trăm,REVIEW,嘉,真,U+771F,0.0805,False,NOT_IN_DICT
stt11,page_0010_p0220,1,1,người,SYLLABLE,昇,𠊚,U+2029A,0.4137,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,1,4,một,SYLLABLE,戞,更,U+66F4,0.8878,True,RESCUE_V3_HIGH
stt11,page_0010_p0220,1,5,năm,SYLLABLE,醉,厨,U+53A8,0.2494,False,NOT_IN_DICT
stt11,page_0010_p0220,1,10,bảy,SYLLABLE,䵟,罢,U+7F62,0.4782,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,1,14,thờ,SYLLABLE,蛛,蜍,U+870D,0.4399,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,1,15,đức,SYLLABLE,分,主,U+4E3B,0.5211,False,NOT_IN_DICT
stt11,page_0010_p0220,1,20,song,REVIEW,电,沛,U+6C9B,0.3545,False,NOT_IN_DICT
stt11,page_0010_p0220,1,21,vua,SYLLABLE,希,君,U+541B,0.3374,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,2,0,mắng,REVIEW,拳,辱,U+8FB1,0.0911,False,NOT_IN_DICT
stt11,page_0010_p0220,2,3,làm,SYLLABLE,而,事,U+4E8B,0.5465,False,NOT_IN_DICT
stt11,page_0010_p0220,2,7,một,SYLLABLE,多,更,U+66F4,0.875,True,RESCUE_V3_HIGH
stt11,page_0010_p0220,2,18,nhiều,SYLLABLE,燒,燒,U+71D2,0.7999,False,NOT_IN_DICT
stt11,page_0010_p0220,2,19,người,REVIEW,㝵,𠊚,U+2029A,0.2177,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,3,2,nhiều,REVIEW,女,女,U+5973,0.5246,False,NOT_IN_DICT
stt11,page_0010_p0220,3,3,nữa,REVIEW,曉,燒,U+71D2,0.8521,False,NOT_IN_DICT
stt11,page_0010_p0220,3,5,dạy,REVIEW,眠,代,U+4EE3,0.8554,True,RESCUE_V3_HIGH
stt11,page_0010_p0220,3,6,buộc,SYLLABLE,外,外,U+5916,0.4193,False,NOT_IN_DICT
stt11,page_0010_p0220,3,8,người,REVIEW,早,昆,U+6606,0.0796,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,3,9,vào,REVIEW,民,包,U+5305,0.3627,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,3,10,dây,REVIEW,姨,像,U+50CF,0.1164,False,NOT_IN_DICT
stt11,page_0010_p0220,3,11,neo,REVIEW,事,市,U+5E02,0.0557,False,NOT_IN_DICT
stt11,page_0010_p0220,3,15,tàu,REVIEW,魄,嬏,U+5B0F,0.1892,False,NOT_IN_DICT
stt11,page_0010_p0220,3,17,ném,SYLLABLE,稔,除,U+9664,0.2603,False,NOT_IN_DICT
stt11,page_0010_p0220,3,18,xuống,SYLLABLE,竈,富,U+5BCC,0.1451,False,NOT_IN_DICT
stt11,page_0010_p0220,4,0,đầy,SYLLABLE,莒,每,U+6BCF,0.074,False,NOT_IN_DICT
stt11,page_0010_p0220,4,2,lấy,SYLLABLE,袍,礼,U+793C,0.6426,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,4,4,người,SYLLABLE,昇,𠊚,U+2029A,0.1387,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,4,8,bồn,SYLLABLE,本,本,U+672C,0.9763,False,NOT_IN_DICT
stt11,page_0010_p0220,4,10,nghe,SYLLABLE,直,宜,U+5B9C,0.7063,True,RESCUE_V3_MED
stt11,page_0010_p0220,4,12,dữ,REVIEW,𤆛,与,U+4E0E,0.8101,True,RESCUE_V3_MED
stt11,page_0010_p0220,4,13,ấy,SYLLABLE,人,衣,U+8863,0.3435,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,4,15,lóc,REVIEW,攺,次,U+6B21,0.2814,False,NOT_IN_DICT
stt11,page_0010_p0220,4,18,tiếng,SYLLABLE,𠴲,省,U+7701,0.5969,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,5,0,5,REVIEW,契,实,U+5B9E,0.8692,False,NOT_IN_DICT
stt11,page_0010_p0220,5,2,ra,SYLLABLE,崿,咍,U+548D,0.2556,False,NOT_IN_DICT
stt11,page_0010_p0220,5,4,bấy,REVIEW,苾,些,U+4E9B,0.2243,False,NOT_IN_DICT
stt11,page_0010_p0220,5,6,người,REVIEW,㝵,𠊚,U+2029A,0.298,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,5,9,cầm,SYLLABLE,捧,扲,U+6272,0.828,True,RESCUE_V3_MED
stt11,page_0010_p0220,5,10,nước,SYLLABLE,送,渃,U+6E03,0.6426,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,5,14,khi,REVIEW,数,奴,U+5974,0.3329,False,NOT_IN_DICT
stt11,page_0010_p0220,5,16,người,REVIEW,旱,𠊚,U+2029A,0.0631,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,5,17,xuống,SYLLABLE,庵,黄,U+9EC4,0.4568,False,NOT_IN_DICT
stt11,page_0010_p0220,5,18,biển,REVIEW,渡,段,U+6BB5,0.099,False,NOT_IN_DICT
stt11,page_0010_p0220,5,20,bon,SYLLABLE,本,本,U+672C,0.8984,False,NOT_IN_DICT
stt11,page_0010_p0220,6,5,xem,REVIEW,衫,袩,U+88A9,0.1477,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,6,11,đức,SYLLABLE,分,官,U+5B98,0.0665,False,NOT_IN_DICT
stt11,page_0010_p0220,6,13,trời,SYLLABLE,斥,𡗶,U+215F6,0.6255,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,6,20,người,REVIEW,早,𠊚,U+2029A,0.4288,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,6,21,nguyen,REVIEW,領,願,U+9858,0.7822,False,NOT_IN_DICT
stt11,page_0010_p0220,7,1,lạy,SYLLABLE,祖,礼,U+793C,0.212,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,7,2,chúa,SYLLABLE,土,主,U+4E3B,0.096,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,7,4,rước,REVIEW,紳,綽,U+7DBD,0.2949,True,RESCUE_V3_LOW_CONF
stt11,page_0010_p0220,7,11,biển,REVIEW,憂,段,U+6BB5,0.2033,False,NOT_IN_DICT
