sample_id,book,page,column,tier,rule,K,syllable,label,R_size,P,P_y,P_all,G,G_op,P6c,P5c,PVL,Gf,K_inR,A1_fired,A1_prop,A2_fired,A2_prop,A3_fired,A3_prop,A4_fired,A4_prop,A5_fired,A5_prop,A1v_fired,A1v_prop,A2v_fired,A2v_prop,A4v_fired,A4v_prop,B1_fired,B1_prop,B2_fired,B2_prop,B3_fired,B3_prop,B4_fired,B4_prop,B5_fired,B5_prop,B6_fired,B6_prop,C1_fired,C1_prop,C2_fired,C2_prop,C3_fired,C3_prop,C4_fired,C4_prop,C5_fired,C5_prop,C6_fired,C6_prop,D1_fired,D1_prop,D2_fired,D2_prop,D3_fired,D3_prop
M2_0010,stt2,page_0230,4,SILVER,s2_inter_s3_corrected,良,dân,民,7,氏,氏,氏,民,sub,女,民,艾,民,False,False,,False,,False,,False,,False,,False,,False,,False,,True,民,True,民,False,,True,民,False,,True,民,True,,True,,True,,True,,False,,True,,True,民,True,民,True,民
M2_0011,stt2,page_0226,4,SYLLABLE,nghia_consensus_tu_silver,淚,nước,,13,流,流,流,流,sub,质,流,乙,,False,True,流,False,,True,流,False,,False,,True,流,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,True,,False,,False,,False,,False,
M2_0012,stt2,page_0110,6,SYLLABLE,nghia_consensus,弇,ông,,17,朱,朱,朱,彂,sub,如,象,金,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0013,stt2,page_0106,3,SYLLABLE,nghia_consensus,解,năm,,19,解,解,解,,del,再,期,齋,,False,False,,False,,True,解,True,解,False,,False,,False,,True,解,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0014,stt2,page_0300,3,SYLLABLE,nghia_consensus_tu_silver,弄,toan,,23,弄,弄,弄,弄,eq,善,善,等,,False,True,弄,False,,True,弄,True,弄,True,弄,True,弄,False,,True,弄,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
M2_0015,stt2,page_0062,4,SILVER,s2_inter_s3_corrected,傾,a,阿,118,何,何,何,何,sub,荷,商,何,,False,True,何,False,,True,何,False,,False,,True,何,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,True,,False,,False,,False,,False,
M2_0016,stt2,page_0150,2,SYLLABLE,nghia_consensus,咽,nói,,14,咽,咽,咽,咽,eq,必,,内,云,False,True,咽,False,,True,咽,True,咽,True,咽,True,咽,False,,True,咽,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,内,False,
M2_0017,stt2,page_0128,7,SYLLABLE,nghia_consensus,坌,ông,,17,弇,弇,弇,弁,sub,生,李,幸,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0018,stt2,page_0296,4,SILVER,s2_inter_s3_corrected,府,thì,寺,56,詩,詩,詩,前,sub,萧,寺,寺,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,True,寺,False,
M2_0019,stt2,page_0076,6,SYLLABLE,nghia_consensus,芒,là,,31,光,光,光,咒,sub,,,乙,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0020,stt2,page_0032,6,SYLLABLE,nghia_consensus_tu_silver,敗,khi,,31,敗,敗,敗,戢,sub,敷,欺,欺,,False,False,,False,,True,敗,True,敗,False,,False,,False,,True,敗,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,True,欺,False,
M2_0021,stt2,page_0320,5,SYLLABLE,nghia_consensus,常,và,,17,嘗,嘗,嘗,哩,sub,止,味,嗟,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0022,stt2,page_0280,1,SILVER,s2_inter_s3_corrected,𬒳,vẻ,彼,17,彼,彼,彼,,del,被,被,彼,波,False,False,,False,,False,,False,,False,,False,,False,,False,,True,彼,True,彼,True,彼,False,,False,,True,彼,True,,False,,False,,True,,False,,True,,True,彼,True,彼,False,
M2_0023,stt2,page_0240,2,SYLLABLE,nghia_consensus_tu_silver,虎,xác,,34,虎,虎,虎,虎,eq,虎,壳,虎,,False,True,虎,False,,True,虎,True,虎,True,虎,True,虎,False,,True,虎,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,壳,False,
M2_0024,stt2,page_0162,7,SYLLABLE,nghia_consensus,弇,ông,,17,奔,奔,奔,耸,sub,弃,全,公,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0025,stt2,page_0290,9,SILVER,s2_inter_s3_corrected,𣣔,hết,歇,23,歇,歇,歇,歇,sub,象,歌,歆,,False,True,歇,True,歇,True,歇,False,,False,,True,歇,True,歇,False,,True,歇,True,歇,True,歇,True,歇,True,歇,True,歇,True,,True,,True,,True,,True,,True,,True,歇,True,歇,True,歇
M2_0026,stt2,page_0124,5,SYLLABLE,nghia_consensus,而,làm,,17,而,而,而,,del,公,,,,False,False,,False,,True,而,True,而,False,,False,,False,,True,而,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0027,stt2,page_0104,6,SYLLABLE,nghia_consensus_tu_silver,冬,các,,21,徐,徐,徐,徐,sub,全,客,何,,False,True,徐,False,,True,徐,False,,False,,True,徐,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,True,,False,,False,,False,,False,
M2_0028,stt2,page_0186,9,SYLLABLE,nghia_consensus_tu_silver,改,đoạn,,35,隨,隨,隨,懇,sub,设,限,山,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0029,stt2,page_0046,7,SYLLABLE,nghia_consensus,都,đoạn,,35,都,歌,歌,新,sub,敬,敬,款,拓,False,False,,False,,True,都,True,都,False,,False,,False,,True,都,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,False,,False,
M2_0030,stt2,page_0192,9,SYLLABLE,nghia_consensus,𭰖,nước,,13,虛,虛,虛,滋,sub,冷,注,一,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0031,stt2,page_0272,1,SYLLABLE,nghia_consensus,百,làm,,17,等,等,等,百,eq,,,寺,,False,False,,False,,True,百,True,百,False,,False,,False,,True,百,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0032,stt2,page_0210,2,SILVER,s2_inter_s3_corrected,放,nhớ,汝,11,啟,啟,啟,放,eq,安,汝,度,,False,False,,False,,True,放,True,放,False,,False,,False,,True,放,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,True,汝,False,
M2_0033,stt2,page_0102,9,SILVER,s2_inter_s3_corrected,底,đêm,店,16,庶,庶,庶,痣,sub,我,店,志,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,True,店,False,
M2_0034,stt2,page_0242,4,SYLLABLE,nghia_consensus_tu_silver,冬,các,,21,冬,冬,冬,,del,冬,冬,冬,,False,False,,False,,True,冬,True,冬,False,,False,,False,,True,冬,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0035,stt2,page_0034,2,SYLLABLE,nghia_consensus_tu_silver,直,nghe,,24,揖,揖,揖,頂,sub,值,宜,真,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,True,宜,False,
M2_0036,stt2,page_0138,4,SYLLABLE,nghia_consensus_tu_silver,吞,trời,,13,丞,丞,丞,吞,eq,基,奉,至,,False,False,,False,,True,吞,True,吞,False,,False,,False,,True,吞,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0037,stt2,page_0164,8,SILVER,s2_inter_s3_corrected,履,răng,浪,16,在,在,在,複,sub,衣,夜,茂,谊,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0038,stt2,page_0228,9,SYLLABLE,nghia_consensus_tu_silver,𠬧,song,,47,双,双,双,,del,双,双,双,,False,False,,False,,False,,False,,False,,False,,False,,False,,True,双,True,双,True,双,False,,False,,True,双,True,,False,,False,,True,,False,,True,,True,双,True,双,False,
M2_0039,stt2,page_0318,7,SILVER,s2_inter_s3_corrected,極,su,秋,11,支,支,支,救,sub,文,文,艾,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0040,stt2,page_0114,3,SYLLABLE,nghia_consensus,𠇭,mình,,12,命,命,命,命,sub,命,今,命,,False,True,命,True,命,True,命,False,,False,,True,命,True,命,False,,True,命,True,命,True,命,True,命,True,命,True,命,True,,True,,True,,True,,True,,True,,True,命,True,命,True,命
M2_0041,stt2,page_0160,4,SYLLABLE,nghia_consensus,知,đức,,21,壽,壽,壽,謜,sub,前,时,耐,歸,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0042,stt2,page_0100,8,SYLLABLE,nghia_consensus,遥,lạ,,29,夜,夜,夜,遐,sub,例,夜,例,遠,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0043,stt2,page_0134,5,SYLLABLE,nghia_consensus_tu_silver,及,chịu,,8,対,対,対,对,sub,对,艾,对,只,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0044,stt2,page_0178,7,SYLLABLE,nghia_consensus,族,ai,,30,族,族,族,娛,sub,笑,族,笺,,False,False,,False,,True,族,True,族,False,,False,,False,,True,族,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,False,,False,
M2_0045,stt2,page_0176,5,SYLLABLE,nghia_consensus,入,ấy,,32,在,在,在,,del,合,,众,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0046,stt2,page_0080,9,SYLLABLE,nghia_consensus,尒,làm,,17,唐,唐,唐,,del,燕,燕,慈,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0047,stt2,page_0152,2,SYLLABLE,nghia_consensus,而,làm,,17,而,色,色,邑,sub,白,,巳,,False,False,,False,,True,而,True,而,False,,False,,False,,True,而,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,False,,False,
M2_0048,stt2,page_0024,6,SILVER,s2_inter_s3_corrected,福,xu,樞,19,樞,樞,樞,猩,sub,福,福,福,,False,False,,False,,False,,False,,False,,False,,False,,False,,True,樞,True,樞,True,樞,False,,False,,True,樞,True,,True,,True,,True,,False,,True,,True,樞,True,樞,False,
M2_0049,stt2,page_0130,2,SYLLABLE,nghia_consensus_tu_silver,詩,thì,,56,毒,毒,毒,,del,奇,奇,奇,二,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0050,stt2,page_0262,4,SYLLABLE,nghia_consensus,河,a,,118,施,末,末,河,eq,施,施,施,境,False,False,,False,,True,河,True,河,False,,False,,False,,True,河,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0051,stt2,page_0236,3,SILVER,s2_inter_s3_corrected,極,su,樞,11,掘,掘,掘,,del,樞,枢,搖,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,True,樞,False,
M2_0052,stt2,page_0058,1,SILVER,s2_inter_s3_corrected,安,cùng,共,44,井,井,井,井,sub,共,共,共,,False,True,井,False,,True,井,False,,False,,True,井,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,True,,False,,False,,True,共,False,
M2_0053,stt2,page_0218,1,SYLLABLE,nghia_consensus,常,và,,17,韋,韋,韋,常,eq,品,常,常,,False,False,,False,,True,常,True,常,False,,False,,False,,True,常,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0054,stt2,page_0022,8,SYLLABLE,nghia_consensus_tu_silver,居,nước,,13,活,活,活,话,sub,诱,话,话,峨,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0055,stt2,page_0132,5,SYLLABLE,nghia_consensus_tu_silver,仪,ấy,,32,仪,仪,仪,,del,衣,仪,议,,False,False,,False,,True,仪,True,仪,False,,False,,False,,True,仪,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,False,,True,衣,False,
M2_0056,stt2,page_0030,6,SYLLABLE,nghia_consensus,吞,trời,,13,歷,歷,歷,蚕,sub,丞,泰,悉,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0057,stt2,page_0250,7,SYLLABLE,nghia_consensus_tu_silver,入,ấy,,32,公,公,公,人,sub,重,人,李,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0058,stt2,page_0170,2,SYLLABLE,nghia_consensus,而,làm,,17,事,事,事,必,sub,事,事,事,八,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0059,stt2,page_0122,5,SYLLABLE,nghia_consensus_tu_silver,𭮀,pha,,29,至,至,至,弁,sub,主,垂,至,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0060,stt2,page_0050,1,SYLLABLE,nghia_consensus,而,làm,,17,接,接,接,不,sub,按,按,接,一,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0061,stt2,page_0092,8,SILVER,s2_inter_s3_corrected,屰,nào,市,22,羊,羊,羊,,del,第,辛,等,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0062,stt2,page_0206,7,SYLLABLE,nghia_consensus,喀,hai,,18,路,路,路,,del,哈,,鉴,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0063,stt2,page_0118,3,SYLLABLE,nghia_consensus_tu_silver,逆,lại,,55,更,更,更,,del,,芽,等,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0064,stt2,page_0244,2,SYLLABLE,nghia_consensus,而,làm,,17,晉,晉,晉,而,eq,百,古,一,答,False,False,,False,,True,而,True,而,False,,False,,False,,True,而,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0065,stt2,page_0322,5,SYLLABLE,nghia_consensus,餘,thờ,,25,臻,臻,臻,除,sub,,除,珎,一,False,False,,False,,False,,False,,False,,False,,False,,False,,True,除,True,除,False,,True,除,False,,True,除,True,,True,,True,,True,,False,,True,,True,除,True,除,True,除
M2_0066,stt2,page_0220,2,SYLLABLE,nghia_consensus,馬,vì,,7,馬,馬,馬,馬,eq,馬,店,庙,,False,True,馬,False,,True,馬,True,馬,True,馬,True,馬,False,,True,馬,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
M2_0067,stt2,page_0278,8,SILVER,s2_inter_s3_corrected,𡜞,em,㛪,16,,,,婚,sub,俺,婚,俺,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,True,俺,False,
M2_0068,stt2,page_0016,5,SILVER,s2_inter_s3_corrected,面,phô,甫,26,爾,爾,爾,儒,sub,傅,唐,南,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0069,stt2,page_0264,4,SILVER,s2_inter_s3_corrected,之,đời,匕,7,代,代,代之,乙,sub,化,代,,,False,False,,False,,False,,False,,False,,False,,False,,False,,True,代,True,代,True,代,False,,False,,True,代,True,,True,,True,,True,,False,,True,,True,代,True,代,False,
M2_0070,stt2,page_0036,1,SILVER,s2_inter_s3_corrected,隨,đoạn,段,35,隨,隨,隨,险,sub,旋,故,,,False,False,,False,,True,隨,True,隨,False,,False,,False,,True,隨,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,False,,False,
M2_0071,stt2,page_0330,5,SYLLABLE,nghia_consensus,羅,trước,,29,,,,器,sub,地,烟,把,遠,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,False,,False,
M2_0072,stt2,page_0182,2,SYLLABLE,nghia_consensus,馬,vì,,7,為,為,為,高,sub,,香,高,,False,False,,False,,False,,False,,False,,False,,False,,False,,True,為,True,為,True,為,False,,False,,True,為,True,,True,,True,,True,,False,,True,,True,為,True,為,False,
M2_0073,stt2,page_0326,5,SYLLABLE,nghia_consensus,夜,lời,,27,廟,廟,廟,,del,商,前,前,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0074,stt2,page_0304,7,SYLLABLE,nghia_consensus,𫝰,xuống,,17,竈,竈,竈,竜,sub,完,電,宅,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0075,stt2,page_0202,6,SYLLABLE,nghia_consensus_tu_silver,𡚶,ăn,,6,安,安,安,哆,sub,奴,婚,妙,始,False,False,,False,,False,,False,,False,,False,,False,,False,,True,安,True,安,True,安,False,,False,,True,安,True,,True,,True,,True,,False,,True,,True,安,True,安,False,
M2_0076,stt2,page_0108,9,SYLLABLE,nghia_consensus,行,đức,,21,宰,宰,宰,万,sub,甲,甲,甲,二,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0077,stt2,page_0064,2,SYLLABLE,nghia_consensus_tu_silver,䍐,ra,,37,興,興,興,麻,sub,舉,票,筆,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0078,stt2,page_0084,5,SYLLABLE,nghia_consensus_tu_silver,䍐,ra,,37,呢,呢,呢翁,罷,sub,润,常,筆,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0079,stt2,page_0266,8,SILVER,s2_inter_s3_corrected,股,đoạn,段,35,後,後,後,設,sub,设,设,设,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0080,stt2,page_0286,2,SYLLABLE,nghia_consensus_tu_silver,辰,rằng,,12,展,展,展,隈,sub,限,限,福,口,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0081,stt2,page_0074,1,SYLLABLE,nghia_consensus,罪,là,,31,罡,罡,罡,咒,sub,迁,花,法,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0082,stt2,page_0174,8,SYLLABLE,nghia_consensus_tu_silver,䓁,toan,,23,等,等,等,,del,等,等,等,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0083,stt2,page_0306,6,SYLLABLE,nghia_consensus_tu_silver,技,giê,,9,殺,主,主,技,eq,枝,袁,姦,,False,False,,False,,True,技,True,技,False,,False,,False,,True,技,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,True,枝,False,
M2_0084,stt2,page_0208,1,SYLLABLE,nghia_consensus,六,làm,,17,因,因,因,必,sub,医,因,因,界,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0085,stt2,page_0216,8,SYLLABLE,nghia_consensus_tu_silver,賦,giặc,,15,,,,,del,同,麻,福,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0086,stt2,page_0044,6,SILVER,s2_inter_s3_corrected,達,trên,連,9,連,連,連,虛,sub,事,季,才,,False,False,,False,,False,,False,,False,,False,,False,,False,,True,連,True,連,True,連,False,,False,,True,連,True,,True,,True,,True,,False,,True,,True,連,True,連,False,
M2_0087,stt2,page_0088,5,SYLLABLE,nghia_consensus_tu_silver,依,ấy,,32,公,公,公,,del,会,茶,公,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0088,stt2,page_0156,9,SILVER,s2_inter_s3_corrected,合,ấy,衣,32,食,食,食,公,sub,可,可,寸,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0089,stt2,page_0086,6,SYLLABLE,nghia_consensus,万,đức,,21,死,死,死,歹,sub,万,方,万,口,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0090,stt2,page_0014,6,SYLLABLE,nghia_consensus,𡰱,chịu,,8,忌,忌,忌,只,sub,尽,民,己,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0091,stt2,page_0140,1,SILVER,s2_inter_s3_corrected,房,nước,渃,13,庶,庶,庶,活,sub,书,书,竹,口,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0092,stt2,page_0040,9,SYLLABLE,nghia_consensus,志,thăng,,16,西,西,西,,del,,南,齒,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0093,stt2,page_0312,3,SYLLABLE,nghia_consensus,而,làm,,17,而,而,而,而,eq,白,的,勾,語,False,True,而,False,,True,而,True,而,True,而,True,而,False,,True,而,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
M2_0094,stt2,page_0204,4,SYLLABLE,nghia_consensus_tu_silver,吞,trời,,13,吞,吞,吞,幸,sub,吞,吞,至,女,False,False,,False,,True,吞,True,吞,False,,False,,False,,True,吞,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,False,,False,
