syllable,label,unicode,population,audit_n,audit_wrong,audit_rate,exp_wrong,ocr_chars,dict_ok,tiers
nữ,女,U+5973,56,0,0,,,女/文/玄/立,True,GOLD/SILVER
đồng,童,U+7AE5,56,0,0,,,望/童/重,True,GOLD/SILVER
càng,强,U+5F3A,54,0,0,,,䏻/宛/幽/强/旌,True,GOLD/SILVER
cất,拮,U+62EE,54,0,0,,,去/我/扶/技/拈,True,GOLD/SILVER
cực,極,U+6975,54,0,0,,,極,True,GOLD
đường,唐,U+5510,53,0,0,,,唐/塵/庚/度/李,True,GOLD/SILVER
phán,判,U+5224,52,0,0,,,判/刦/到/制/刾,True,GOLD/SILVER
vô,無,U+7121,52,0,0,,,壬/無/通/𬻝/𭴾,True,GOLD/SILVER
tô,穌,U+7A4C,51,0,0,,,殊/珠/穌/鉌/銖,True,GOLD/SILVER
xem,袩,U+88A9,51,0,0,,,後/拈/枮/枯/砧,True,GOLD/SILVER
cả,竒,U+7AD2,50,0,0,,,㝵/今/付/哥/器,True,GOLD/SILVER
lạ,邏,U+908F,50,0,0,,,是/無/逕/遇/運,True,GOLD/SILVER
mở,美,U+7F8E,49,0,0,,,夷/美/羙/羡/義,True,GOLD/SILVER
quân,軍,U+8ECD,49,0,0,,,軍/𥝝,True,GOLD/SILVER
lắm,廪,U+5EEA,48,0,0,,,亷/廪/禦/𫝗,True,GOLD/SILVER
a,亜,U+4E9C,47,0,0,,,並/亜/匝/更/而,True,GOLD/SILVER
anh,孾,U+5B7E,47,0,0,,,妻/妾/姜/琵/要,True,GOLD/SILVER
lo,卢,U+5362,47,0,0,,,与/五/克/占/卢,True,GOLD/SILVER
lâu,楼,U+697C,45,0,0,,,接/棲/楼,True,GOLD/SILVER
nghiệp,業,U+696D,45,0,0,,,䇿/昔/業/菜/華,True,GOLD/SILVER
thánh,堊,U+580A,45,0,0,,,堊/奎/望/棄/璽,True,GOLD/SILVER
toan,筭,U+7B6D,45,0,0,,,䓁/善/壽/弄/旱,True,GOLD/SILVER
áo,袄,U+8884,45,0,0,,,杖/砍/祅/祇/祓,True,GOLD/SILVER
bổn,本,U+672C,43,0,0,,,本/采,True,GOLD/SILVER
giận,陣,U+9663,43,0,0,,,倬/淖/渾/陣,True,GOLD/SILVER
lê,黎,U+9ECE,43,0,0,,,㳟/恭/添/系/聚,True,GOLD/SILVER
người,𠊚,U+2029A,43,0,0,,,冒/因/子/尋/得,True,GOLD/SILVER
thờ,除,U+9664,43,0,0,,,降/除/餘,True,GOLD/SILVER
máu,泖,U+6CD6,42,0,0,,,仰/帥/抑/柳/泖,True,GOLD/SILVER
mắt,末,U+672B,42,0,0,,,未/末/相,True,GOLD/SILVER
mô,模,U+6A21,41,0,0,,,㨗/侯/授/楼/模,True,GOLD/SILVER
ngày,㝵,U+3775,41,0,0,,,㝵/冒/唱/寄/尋,True,GOLD/SILVER
tù,囚,U+56DA,41,0,0,,,内/冈/囚,True,GOLD/SILVER
đội,隊,U+968A,41,0,0,,,叚/啄/塚/恢/椓,True,GOLD/SILVER
chốc,祝,U+795D,40,0,0,,,祀/祝/裾,True,GOLD/SILVER
lấy,𢬦,U+22B26,40,0,0,,,抛/杷/桃/相/祀,True,GOLD/SILVER
lối,磊,U+78CA,40,0,0,,,姦/恊/昼/爲/磊,True,GOLD/SILVER
mươi,迈,U+8FC8,40,0,0,,,迂/迈/近/返/还,True,GOLD/SILVER
trinh,貞,U+8C9E,40,0,0,,,与/匀/員/有/直,True,GOLD/SILVER
si,瘥,U+7625,39,0,0,,,捃/撓/故/槎/瘥,True,GOLD/SILVER
tâu,奏,U+594F,39,0,0,,,奏,True,GOLD
vi,為,U+70BA,39,0,0,,,為,True,GOLD
dòng,用,U+7528,37,0,0,,,挺/用/翅/𨳩,True,GOLD/SILVER
dấu,𧿫,U+27FEB,37,0,0,,,㪷/呌/料/斜/斟,True,GOLD/SILVER
hành,行,U+884C,37,0,0,,,山/行,True,GOLD/SILVER
kể,計,U+8A08,37,0,0,,,計/討,True,GOLD
rút,椊,U+690A,37,0,0,,,抨/掉/桴/梓/棹,True,GOLD/SILVER
sợ,𢜝,U+2271D,37,0,0,,,事/侓/庫/悸/情,True,GOLD/SILVER
dám,敢,U+6562,36,0,0,,,敀/敢/敬,True,GOLD/SILVER
hình,形,U+5F62,36,0,0,,,形,True,GOLD
mình,𠇮,U+201EE,36,0,0,,,令/仭/分/勝/厨,True,GOLD/SILVER
một,殳,U+6BB3,36,0,0,,,仗/兾/及/受/叚,True,GOLD/SILVER
ngày,𣈜,U+2321C,36,0,0,,,䏷/呼/唱/喝/将,True,GOLD/SILVER
nhà,如,U+5982,35,0,0,,,品/如/姦/於/燕,True,GOLD/SILVER
suy,推,U+63A8,35,0,0,,,惟/推,True,GOLD
vợ,嬏,U+5B0F,35,0,0,,,偹/婚/婿/媚/嬌,True,GOLD/SILVER
xấu,丑,U+4E11,35,0,0,,,丑/刄/留,True,GOLD/SILVER
bảy,罢,U+7F62,34,0,0,,,䵟/數/異/罢/罰,True,GOLD/SILVER
rô,嚕,U+5695,34,0,0,,,嘻/噶/嚌/増/屠,True,SILVER
xin,填,U+586B,34,0,0,,,㜑/值/填/宜/寘,True,GOLD/SILVER
ủi,慰,U+6170,34,0,0,,,尅/慰,True,GOLD/SILVER
bây,悲,U+60B2,33,0,0,,,厯/啓/巷/恐/悲,True,GOLD/SILVER
lâu,娄,U+5A04,33,0,0,,,妻/委/姜/娄/麦,True,GOLD/SILVER
y,衣,U+8863,33,0,0,,,八/在/夂/衣,True,GOLD/SILVER
giu,樞,U+6A1E,32,0,0,,,樞,False,SILVER
mi,眉,U+7709,32,0,0,,,㸔/乃/眉/胷/蜀,True,GOLD/SILVER
ti,𤰞,U+24C1E,32,0,0,,,年/早/昇/𤰞,True,GOLD/SILVER
câu,拘,U+62D8,31,0,0,,,抱/拘/救/杓/狗,True,GOLD/SILVER
giải,觧,U+89E7,31,0,0,,,海/澼/觧/𪠘,True,GOLD/SILVER
trẻ,礼,U+793C,31,0,0,,,䄂/他/桃/礼/祀,True,GOLD/SILVER
bạn,伴,U+4F34,30,0,0,,,件/伴,True,GOLD/SILVER
lạy,礼,U+793C,30,0,0,,,桃/礼/祀/祖/祧,True,GOLD/SILVER
lắm,廩,U+5EE9,30,0,0,,,厚/原/廩/溽/𫝗,True,GOLD/SILVER
rừng,棱,U+68F1,30,0,0,,,㧞/後/援/族/枝,True,GOLD/SILVER
tật,疾,U+75BE,30,0,0,,,疾,True,GOLD
xét,察,U+5BDF,30,0,0,,,察/蔡,True,GOLD/SILVER
cai,該,U+8A72,29,0,0,,,兹/該,True,GOLD/SILVER
dân,民,U+6C11,29,0,0,,,歸/氏/民/良,True,GOLD/SILVER
khăn,中,U+4E2D,29,0,0,,,中/由/甲/申,True,GOLD/SILVER
ngã,我,U+6211,29,0,0,,,㢤/我,True,GOLD/SILVER
ni,尼,U+5C3C,29,0,0,,,后/君/尺/尼/巳,True,GOLD/SILVER
tối,最,U+6700,29,0,0,,,是/暈/曩/最/𭆞,True,GOLD/SILVER
hiện,現,U+73FE,28,0,0,,,現/𠒇,True,GOLD/SILVER
lời,例,U+4F8B,28,0,0,,,例/刻/剡/剤/司,True,GOLD/SILVER
một,沒,U+6C92,28,0,0,,,受/度/戔/授/放,True,GOLD/SILVER
sáu,老,U+8001,28,0,0,,,元/卷/尅/教/秋,True,GOLD/SILVER
trách,責,U+8CAC,28,0,0,,,春/煑/責,True,GOLD/SILVER
tử,子,U+5B50,28,0,0,,,子,True,GOLD
hèn,閑,U+9591,27,0,0,,,困/閉/閑/関/闌,True,GOLD/SILVER
nghĩa,义,U+4E49,27,0,0,,,䓁/又/差/必/支,True,GOLD/SILVER
bạc,泊,U+6CCA,26,0,0,,,为/均/泊/漏/的,True,GOLD/SILVER
ca,歌,U+6B4C,26,0,0,,,教/敬/欹/歌/歙,True,GOLD/SILVER
cái,丐,U+4E10,26,0,0,,,与/丐,True,GOLD/SILVER
năng,䏻,U+43FB,26,0,0,,,䏻/潮/猷/駐,True,GOLD/SILVER
sửa,所,U+6240,26,0,0,,,所/𢦶,True,GOLD/SILVER
tuổi,歲,U+6B72,26,0,0,,,戲/昏/星/歲/𫞓,True,GOLD/SILVER
buồn,盆,U+76C6,25,0,0,,,盆/益/蔓,True,GOLD/SILVER
cửa,㪯,U+3AAF,25,0,0,,,㪯/夅/奉/宰/朝,True,GOLD/SILVER
dối,対,U+5BFE,25,0,0,,,対/封/尅/时/衬,True,GOLD/SILVER
gia,加,U+52A0,24,0,0,,,加/反/叔/四/奴,True,GOLD/SILVER
giống,種,U+7A2E,24,0,0,,,禋/種/踵,True,GOLD/SILVER
hoa,花,U+82B1,24,0,0,,,花,True,GOLD
làm,爫,U+722B,24,0,0,,,之/人/四/夕/白,True,GOLD/SILVER
sư,獅,U+7345,24,0,0,,,卿/獅/解/那,True,GOLD/SILVER
truyền,傳,U+50B3,24,0,0,,,侍/傉/傳,True,GOLD/SILVER
trình,呈,U+5448,24,0,0,,,呈/皇,True,GOLD
viếng,𣱵,U+23C75,24,0,0,,,𣱵,True,GOLD
vật,物,U+7269,24,0,0,,,救/牧/物,True,GOLD/SILVER
đầy,苔,U+82D4,24,0,0,,,兹/玄/畜/苔/茗,True,GOLD/SILVER
bấy,悲,U+60B2,23,0,0,,,啓/怨/恋/恐/悲,True,GOLD/SILVER
giờ,徐,U+5F90,23,0,0,,,徐/餘,True,GOLD
linh,㚑,U+3691,23,0,0,,,㚑/尺,True,GOLD/SILVER
phi,丕,U+4E15,23,0,0,,,丕/左/无/石,True,GOLD/SILVER
sãi,仕,U+4ED5,23,0,0,,,仕,True,GOLD
thánh,圣,U+5723,23,0,0,,,圣/夅/至,True,GOLD/SILVER
trá,詐,U+8A50,23,0,0,,,兹/敵/烦/詐/雄,True,GOLD/SILVER
đã,也,U+4E5F,23,0,0,,,也/在/征/𬼜,True,GOLD/SILVER
đầu,頭,U+982D,23,0,0,,,碩/須/頋/頌/頭,True,GOLD/SILVER
cháy,𤈜,U+2421C,22,0,0,,,垤/桎/炷/煙/蛭,True,GOLD/SILVER
gọi,噲,U+5672,22,0,0,,,㑹/噲/澮/險,True,GOLD/SILVER
hôm,歆,U+6B46,22,0,0,,,敔/教/欲/欹/歆,True,GOLD/SILVER
ngựa,馭,U+99AD,22,0,0,,,馭,True,GOLD
no,奴,U+5974,22,0,0,,,内/叔/奴/故,True,GOLD/SILVER
phá,破,U+7834,22,0,0,,,双/歿/殿/破,True,GOLD/SILVER
tu,修,U+4FEE,22,0,0,,,修,True,GOLD
tô,蘇,U+8607,22,0,0,,,蘇,True,GOLD
đặt,逹,U+9039,22,0,0,,,逹/遠,True,GOLD/SILVER
ước,約,U+7D04,22,0,0,,,約,True,GOLD
bồng,捧,U+6367,21,0,0,,,俸,True,GOLD
chi,支,U+652F,21,0,0,,,丈/支/艾,True,GOLD/SILVER
hãy,唉,U+5509,21,0,0,,,咲/唉/喉/失/疾,True,GOLD/SILVER
khôn,坤,U+5764,21,0,0,,,坤,True,GOLD
rất,慄,U+6144,21,0,0,,,悰/惸/慄/慓/懷,True,GOLD/SILVER
thánh,聖,U+8056,21,0,0,,,罡/罢/聖/華/里,True,GOLD/SILVER
đí,帝,U+5E1D,21,0,0,,,希/帝,True,GOLD
đẹp,葉,U+8449,21,0,0,,,棄/葉/𫟒,True,GOLD/SILVER
dâng,鄧,U+9127,20,0,0,,,鄧,True,GOLD
giữ,抒,U+6292,20,0,0,,,乎/俘/好/存,True,GOLD/SILVER
họ,户,U+6237,20,0,0,,,户,True,GOLD
mến,勉,U+52C9,20,0,0,,,勉,True,GOLD
ngăm,吟,U+541F,20,0,0,,,今/吟/朞/𪞘/𫝆,True,GOLD/SILVER
nhau,燒,U+71D2,20,0,0,,,燒,True,GOLD
như,茄,U+8304,20,0,0,,,加/叔,True,GOLD/SILVER
sạch,泟,U+6CDF,20,0,0,,,征/正/死/汪/疝,True,GOLD/SILVER
thắng,𤯝,U+24BDD,20,0,0,,,与/尚/放/滿/為,True,GOLD/SILVER
trái,債,U+50B5,20,0,0,,,倩/債,True,GOLD
táng,塟,U+585F,20,0,0,,,塟,True,GOLD
đau,𤴬,U+24D2C,20,0,0,,,㫄/劝/勿/妨/汸,True,GOLD/SILVER
được,持,U+6301,20,0,0,,,持,True,GOLD
ban,班,U+73ED,19,0,0,,,乖/班,True,GOLD/SILVER
chưng,烝,U+70DD,19,0,0,,,烝,True,GOLD
do,由,U+7531,19,0,0,,,予/序/由,True,GOLD/SILVER
dùng,用,U+7528,19,0,0,,,用,True,GOLD
dễ,易,U+6613,19,0,0,,,易/昜,True,GOLD
dựng,鄧,U+9127,19,0,0,,,勵/却/鄧,True,GOLD/SILVER
giúp,執,U+57F7,19,0,0,,,執/朝,True,GOLD/SILVER
nhân,因,U+56E0,19,0,0,,,因,True,GOLD
năng,能,U+80FD,19,0,0,,,能/配,True,GOLD/SILVER
rước,綽,U+7DBD,19,0,0,,,綽/緯/绰/葬,True,GOLD/SILVER
san,山,U+5C71,19,0,0,,,山,True,GOLD
sóc,朔,U+6714,19,0,0,,,初/园/朔/朝/相,True,GOLD/SILVER
yếu,要,U+8981,19,0,0,,,要,True,GOLD
đâu,兜,U+515C,19,0,0,,,亮/兇/党/兜/荒,True,GOLD/SILVER
đòi,隊,U+968A,19,0,0,,,成/汤/深/漲/版,True,GOLD/SILVER
ai,唉,U+5509,18,0,0,,,侯/咲/族,True,GOLD/SILVER
anh,英,U+82F1,18,0,0,,,呪/夷/奕/戾/英,True,GOLD/SILVER
chút,拙,U+62D9,18,0,0,,,刦/将/拙,True,GOLD/SILVER
giây,之,U+4E4B,18,0,0,,,之,True,GOLD
lần,各,U+5404,18,0,0,,,厺/各/吞,True,GOLD/SILVER
nhà,茄,U+8304,18,0,0,,,兹/应/弘/茄,True,GOLD/SILVER
nhân,仁,U+4EC1,18,0,0,,,仁,True,GOLD
xa,賖,U+8CD6,18,0,0,,,賖/躱/餘,True,GOLD/SILVER
xe,車,U+8ECA,18,0,0,,,事/单/李/率/車,True,GOLD/SILVER
đá,𥒥,U+254A5,18,0,0,,,歿/發/破/磣/移,True,GOLD/SILVER
đói,対,U+5BFE,18,0,0,,,姓/対/封/时,True,GOLD/SILVER
đến,且,U+4E14,18,0,0,,,三/且,True,GOLD/SILVER
đọc,讀,U+8B80,18,0,0,,,藿/請/讀,True,GOLD/SILVER
bà,婆,U+5A46,17,0,0,,,婆/晏/要,True,GOLD/SILVER
bánh,餅,U+9905,17,0,0,,,併/餅,True,GOLD/SILVER
can,干,U+5E72,17,0,0,,,十/千/干,True,GOLD
cung,共,U+5171,17,0,0,,,共/其/戈,True,GOLD/SILVER
cấm,禁,U+7981,17,0,0,,,禁/葉,True,GOLD/SILVER
hàng,行,U+884C,17,0,0,,,仍/行,True,GOLD/SILVER
hỏi,每,U+6BCF,17,0,0,,,匆/妄/安/晦/毎,True,GOLD/SILVER
khiêm,謙,U+8B19,17,0,0,,,禅/謙/謹/謾/譁,True,GOLD/SILVER
khỏi,瑰,U+7470,17,0,0,,,地/思/瑰/隗/𢙣,True,GOLD/SILVER
lăm,林,U+6797,17,0,0,,,休/板/林,True,GOLD/SILVER
lửa,呂,U+5442,17,0,0,,,炫/烟/煆/煜/煴,True,SILVER
mai,埋,U+57CB,17,0,0,,,埋/理,True,GOLD/SILVER
mười,迈,U+8FC8,17,0,0,,,迈/近/返,True,GOLD
mạnh,孟,U+5B5F,17,0,0,,,孟/应/盂/益,True,GOLD/SILVER
phô,甫,U+752B,17,0,0,,,浦/甫/陣/面,True,GOLD/SILVER
riêng,盈,U+76C8,17,0,0,,,盈,True,GOLD
rình,伶,U+4F36,17,0,0,,,伶/俗,True,GOLD/SILVER
thay,台,U+53F0,17,0,0,,,与/允/台/各/合,True,GOLD/SILVER
triều,朝,U+671D,17,0,0,,,朝,True,GOLD
trên,蓮,U+84EE,17,0,0,,,蓬/蓮/遵,True,GOLD/SILVER
tuổi,歳,U+6B73,17,0,0,,,歳/𫞓,True,GOLD/SILVER
tốt,𡨧,U+21A27,17,0,0,,,享/宰/寧/庫/濘,True,GOLD/SILVER
đến,但,U+4F46,17,0,0,,,三/但/四/巴/色,True,GOLD/SILVER
già,茶,U+8336,16,0,0,,,本/秦/茶/荼,True,GOLD/SILVER
là,号,U+53F7,16,0,0,,,亐/号/咢/弓/畏,True,GOLD/SILVER
nhiêu,僥,U+50E5,16,0,0,,,僥/曉/燒,True,GOLD/SILVER
nuôi,餒,U+9912,16,0,0,,,餒,True,GOLD
nửa,女,U+5973,16,0,0,,,女/如/玄,True,GOLD/SILVER
quá,过,U+8FC7,16,0,0,,,过,True,GOLD
quỳ,跪,U+8DEA,16,0,0,,,䋲/屍/昛/昵/缩,True,GOLD/SILVER
rộng,曠,U+66E0,16,0,0,,,媵/攓/暱/曠,True,GOLD/SILVER
thiếu,少,U+5C11,16,0,0,,,少/火,True,GOLD/SILVER
trở,把,U+628A,16,0,0,,,把,True,GOLD
tôi,砕,U+7815,16,0,0,,,殚/砰/秤/那/𥓓,True,GOLD/SILVER
tốt,窣,U+7AA3,16,0,0,,,寧/率/窣,True,GOLD/SILVER
yêu,夭,U+592D,16,0,0,,,天/夭,True,GOLD
đóng,㨂,U+3A02,16,0,0,,,㨂/揀/據/視/豫,True,GOLD/SILVER
đền,殿,U+6BBF,16,0,0,,,殿/𭮺,True,GOLD/SILVER
động,動,U+52D5,16,0,0,,,動/致/𭄴,True,GOLD/SILVER
bi,悲,U+60B2,15,0,0,,,厯/悲/應,True,GOLD/SILVER
cắt,割,U+5272,15,0,0,,,割,True,GOLD
cổ,古,U+53E4,15,0,0,,,云/古/左,True,GOLD/SILVER
hề,兮,U+516E,15,0,0,,,今/兮,True,GOLD
khắp,泣,U+6CE3,15,0,0,,,位/应/泣,True,GOLD/SILVER
lai,吏,U+540F,15,0,0,,,吏/布/杢,True,GOLD/SILVER
lành,令,U+4EE4,15,0,0,,,今/令/会/卷/泠,True,GOLD/SILVER
mũi,每,U+6BCF,15,0,0,,,每,True,GOLD
nao,市,U+5E02,15,0,0,,,屰/市/希/带/弟,True,GOLD/SILVER
nhớ,汝,U+6C5D,15,0,0,,,放/汝,True,GOLD/SILVER
nết,𣵀,U+23D40,15,0,0,,,渥/滛/𡰱/𣵀,True,GOLD/SILVER
phù,扶,U+6276,15,0,0,,,扶/状,True,GOLD
rạc,落,U+843D,15,0,0,,,啓/廢/落,True,GOLD/SILVER
thái,太,U+592A,15,0,0,,,丸/太,True,GOLD/SILVER
thêm,𣸸,U+23E38,15,0,0,,,凃/染/𣸸,True,GOLD/SILVER
thưởng,賞,U+8CDE,15,0,0,,,噎/壹/煑/燾/處,True,GOLD/SILVER
thể,体,U+4F53,15,0,0,,,体,True,GOLD
tra,查,U+67E5,15,0,0,,,杳/查,True,GOLD/SILVER
trị,治,U+6CBB,15,0,0,,,冶/汤/沉/治/沼,True,GOLD/SILVER
tức,即,U+5373,15,0,0,,,即/郎,True,GOLD/SILVER
vâng,邦,U+90A6,15,0,0,,,邦,True,GOLD
với,貝,U+8C9D,15,0,0,,,见/貝,True,GOLD/SILVER
vừa,皮,U+76AE,15,0,0,,,及/友/皮,True,GOLD
xuống,下,U+4E0B,15,0,0,,,審/毫/窀/竈/麾,True,SILVER
đàng,唐,U+5510,15,0,0,,,唐/庚/麁,True,GOLD/SILVER
bày,排,U+6392,14,0,0,,,徙/排/非,True,GOLD/SILVER
chối,咥,U+54A5,14,0,0,,,侄/咥/至,True,GOLD/SILVER
cùng,穹,U+7A79,14,0,0,,,后/妄/庐/庭/言,True,GOLD/SILVER
da,耶,U+8036,14,0,0,,,耶/𫆀,True,GOLD/SILVER
gần,𧵆,U+27D46,14,0,0,,,則/敗/斯/財,True,GOLD/SILVER
lan,蘭,U+862D,14,0,0,,,菊/蘭,True,GOLD/SILVER
liệt,烈,U+70C8,14,0,0,,,烈,True,GOLD
lóc,禄,U+7984,14,0,0,,,禄,True,GOLD
nghĩa,義,U+7FA9,14,0,0,,,盖/義,True,GOLD/SILVER
ong,蜂,U+8702,14,0,0,,,蛻/蜂/蜱/蠏/鋒,True,GOLD/SILVER
thử,此,U+6B64,14,0,0,,,此,True,GOLD
tiếc,惜,U+60DC,14,0,0,,,借/惜/腊,True,GOLD/SILVER
uống,㕵,U+3575,14,0,0,,,吐/旺/汪/王,True,GOLD/SILVER
vẻ,尾,U+5C3E,14,0,0,,,尾,True,GOLD
vồ,釪,U+91EA,14,0,0,,,丑/任/母/毎/每,True,GOLD/SILVER
ý,衣,U+8863,14,0,0,,,人/仅/从/仪/入,True,GOLD/SILVER
ấy,乙,U+4E59,14,0,0,,,乞/人/仍/分/厶,True,GOLD/SILVER
a,稼,U+7A3C,13,0,0,,,移,True,GOLD
