image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox
,stt2,page_0012,2,乕,vì,,,,REVIEW,below_visual_threshold,0.171,,,,,,train,stt2|page_0012|c2,"[1287, 1527, 1391, 1644]"
gold/stt2_page_0012_c02_014.png,stt2,page_0012,2,道,đao,道,U+9053,char,GOLD,s1_inter_s2_direct,,0.175,121.0,136.0,1354087943ae,ok,train,stt2|page_0012|c2,"[1287, 1624, 1391, 1741]"
silver/stt2_page_0012_c02_015.png,stt2,page_0012,2,傳,truyen,傳,U+50B3,char,SILVER,s1_inter_s3_out_of_dict,0.935,0.189,128.0,130.0,76012b49d00a,ok,train,stt2|page_0012|c2,"[1287, 1722, 1391, 1828]"
gold/stt2_page_0012_c03_016.png,stt2,page_0012,3,翁,ông,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.226,121.0,119.0,80a7018b6015,ok,train,stt2|page_0012|c3,"[1122, 463, 1221, 560]"
,stt2,page_0012,3,圭,thánh,,,,REVIEW,below_visual_threshold,0.263,,,,,,train,stt2|page_0012|c3,"[1111, 551, 1243, 661]"
,stt2,page_0012,3,君,này,,,,REVIEW,below_visual_threshold,0.028,,,,,,train,stt2|page_0012|c3,"[1111, 643, 1243, 753]"
syllable/stt2_page_0012_c03_019.png,stt2,page_0012,3,要,là,,,syllable,SYLLABLE,nghia_consensus,0.078,0.176,162.0,132.0,d53575575beb,ok,train,stt2|page_0012|c3,"[1111, 735, 1243, 845]"
,stt2,page_0012,3,兹,đầy,,,,REVIEW,below_visual_threshold,0.159,,,,,,train,stt2|page_0012|c3,"[1111, 827, 1243, 936]"
gold/stt2_page_0012_c03_021.png,stt2,page_0012,3,四,tớ,四,U+56DB,char,GOLD,s1_inter_s2_direct,,0.124,162.0,131.0,919eea1d32b5,ok,train,stt2|page_0012|c3,"[1111, 918, 1243, 1028]"
gold/stt2_page_0012_c03_022.png,stt2,page_0012,3,翁,ông,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.164,162.0,136.0,565cc228583d,ok,train,stt2|page_0012|c3,"[1111, 1010, 1243, 1120]"
gold/stt2_page_0012_c03_023.png,stt2,page_0012,3,垩,thánh,垩,U+57A9,char,GOLD,s1_inter_s2_direct,,0.148,162.0,128.0,b06c612415b9,ok,train,stt2|page_0012|c3,"[1111, 1102, 1243, 1212]"
silver/stt2_page_0012_c03_024.png,stt2,page_0012,3,樞,giu,樞,U+6A1E,char,SILVER,s1_inter_s3_out_of_dict,0.067,0.231,162.0,135.0,fdc13532696a,ok,train,stt2|page_0012|c3,"[1111, 1194, 1243, 1303]"
,stt2,page_0012,3,幹,ong,,,,REVIEW,below_visual_threshold,0.309,,,,,,train,stt2|page_0012|c3,"[1111, 1285, 1243, 1395]"
,stt2,page_0012,3,梁,là,,,,REVIEW,below_visual_threshold,0.066,,,,,,train,stt2|page_0012|c3,"[1111, 1377, 1243, 1487]"
silver/stt2_page_0012_c03_027.png,stt2,page_0012,3,兹,đầy,苔,U+82D4,char,SILVER,s2_inter_s3_corrected,0.675,0.162,147.0,132.0,e5e8a983ed85,ok,train,stt2|page_0012|c3,"[1111, 1469, 1243, 1579]"
gold/stt2_page_0012_c03_028.png,stt2,page_0012,3,四,tớ,四,U+56DB,char,GOLD,s1_inter_s2_direct,,0.163,142.0,127.0,c39ab09d5f3f,ok,train,stt2|page_0012|c3,"[1111, 1561, 1243, 1671]"
gold/stt2_page_0012_c03_029.png,stt2,page_0012,3,奇,cả,奇,U+5947,char,GOLD,s1_inter_s2_direct,,0.14,162.0,135.0,8a6e6595f33b,ok,train,stt2|page_0012|c3,"[1111, 1653, 1243, 1762]"
gold/stt2_page_0012_c03_030.png,stt2,page_0012,3,徳,đức,徳,U+5FB3,char,GOLD,s1_inter_s2_direct,,0.16,162.0,136.0,f8b0f3b61b5b,ok,train,stt2|page_0012|c3,"[1111, 1744, 1243, 1854]"
gold/stt2_page_0012_c03_031.png,stt2,page_0012,3,主,chúa,主,U+4E3B,char,GOLD,s1_inter_s2_direct,,0.19,145.0,136.0,2d82a8411699,ok,train,stt2|page_0012|c3,"[1111, 1836, 1243, 1946]"
gold/stt2_page_0012_c03_032.png,stt2,page_0012,3,支,giê,支,U+652F,char,GOLD,s1_inter_s2_direct,,0.159,142.0,132.0,fc442ebb5590,ok,train,stt2|page_0012|c3,"[1111, 1928, 1243, 2038]"
gold/stt2_page_0012_c03_033.png,stt2,page_0012,3,秋,su,秋,U+79CB,char,GOLD,s1_inter_s2_direct,,0.166,162.0,135.0,a1957dc19f4d,ok,train,stt2|page_0012|c3,"[1111, 2020, 1243, 2129]"
silver/stt2_page_0012_c03_034.png,stt2,page_0012,3,去,cùng,共,U+5171,char,SILVER,s2_inter_s3_corrected,0.696,0.163,162.0,129.0,72b869cee3f2,ok,train,stt2|page_0012|c3,"[1111, 2111, 1243, 2221]"
gold/stt2_page_0012_c03_035.png,stt2,page_0012,3,体,thấy,体,U+4F53,char,GOLD,s1_inter_s2_direct,,0.114,162.0,135.0,4afe05846799,ok,train,stt2|page_0012|c3,"[1111, 2203, 1243, 2313]"
silver/stt2_page_0012_c03_036.png,stt2,page_0012,3,慓,rất,慄,U+6144,char,SILVER,s2_inter_s3_corrected,0.497,0.203,132.0,103.0,294fcffe2f0f,ok,train,stt2|page_0012|c3,"[1128, 2316, 1238, 2406]"
,stt2,page_0012,3,圭,thánh,,,,REVIEW,below_visual_threshold,0.273,,,,,,train,stt2|page_0012|c3,"[1129, 2383, 1237, 2483]"
gold/stt2_page_0012_c04_038.png,stt2,page_0012,4,徳,đức,徳,U+5FB3,char,GOLD,s1_inter_s2_direct,,0.224,142.0,146.0,dbf387e34725,ok,train,stt2|page_0012|c4,"[967, 464, 1083, 582]"
gold/stt2_page_0012_c04_039.png,stt2,page_0012,4,婆,bà,婆,U+5A46,char,GOLD,s1_inter_s2_direct,,0.208,146.0,139.0,aa1cc24c01c1,ok,train,stt2|page_0012|c4,"[956, 562, 1074, 682]"
syllable/stt2_page_0012_c04_040.png,stt2,page_0012,4,瑪,ma,,,syllable,SYLLABLE,nghia_consensus,0.137,0.215,145.0,142.0,c734037843d4,ok,train,stt2|page_0012|c4,"[955, 655, 1073, 776]"
,stt2,page_0012,4,傾,ri,,,,REVIEW,below_visual_threshold,0.367,,,,,,train,stt2|page_0012|c4,"[963, 761, 1080, 883]"
gold/stt2_page_0012_c04_042.png,stt2,page_0012,4,亜,a,亜,U+4E9C,char,GOLD,s1_inter_s2_direct,,0.173,141.0,138.0,03542bc1fdb5,ok,train,stt2|page_0012|c4,"[958, 858, 1073, 978]"
gold/stt2_page_0012_c04_043.png,stt2,page_0012,4,羣,còn,羣,U+7FA3,char,GOLD,s1_inter_s2_direct,,0.214,140.0,147.0,c6f18364097f,ok,train,stt2|page_0012|c4,"[966, 954, 1080, 1073]"
gold/stt2_page_0012_c04_044.png,stt2,page_0012,4,於,ở,於,U+65BC,char,GOLD,s1_inter_s2_direct,,0.203,145.0,150.0,93a6782627f3,ok,train,stt2|page_0012|c4,"[965, 1048, 1082, 1170]"
gold/stt2_page_0012_c04_045.png,stt2,page_0012,4,世,thế,世,U+4E16,char,GOLD,s1_inter_s2_direct,,0.214,134.0,139.0,7deaa074b27e,ok,train,stt2|page_0012|c4,"[965, 1135, 1079, 1253]"
gold/stt2_page_0012_c04_046.png,stt2,page_0012,4,間,gian,間,U+9593,char,GOLD,s1_inter_s2_direct,,0.201,117.0,141.0,80de65f8c0cb,ok,train,stt2|page_0012|c4,"[957, 1227, 1072, 1349]"
gold/stt2_page_0012_c04_047.png,stt2,page_0012,4,朱,cho,朱,U+6731,char,GOLD,s1_inter_s2_direct,,0.218,96.0,143.0,6b23bb03f7ab,ok,train,stt2|page_0012|c4,"[966, 1316, 1077, 1433]"
gold/stt2_page_0012_c04_048.png,stt2,page_0012,4,年,nên,年,U+5E74,char,GOLD,s1_inter_s2_direct,,0.186,131.0,138.0,3e86f848b6d3,ok,train,stt2|page_0012|c4,"[967, 1402, 1079, 1517]"
gold/stt2_page_0012_c04_049.png,stt2,page_0012,4,㝵,người,㝵,U+3775,char,GOLD,s1_inter_s2_direct,,0.195,136.0,136.0,b2f1c17d7f92,ok,train,stt2|page_0012|c4,"[968, 1497, 1080, 1612]"
syllable/stt2_page_0012_c04_050.png,stt2,page_0012,4,而,làm,,,syllable,SYLLABLE,nghia_consensus,0.003,0.163,128.0,132.0,d7c53252e9fc,ok,train,stt2|page_0012|c4,"[969, 1586, 1078, 1694]"
gold/stt2_page_0012_c04_051.png,stt2,page_0012,4,垩,thánh,垩,U+57A9,char,GOLD,s1_inter_s2_direct,,0.14,118.0,120.0,dd923b8cd5d7,ok,train,stt2|page_0012|c4,"[967, 1679, 1079, 1792]"
gold/stt2_page_0012_c04_052.png,stt2,page_0012,4,奇,cả,奇,U+5947,char,GOLD,s1_inter_s2_direct,,0.181,152.0,142.0,41fc5f7ada81,ok,train,stt2|page_0012|c4,"[960, 1807, 1084, 1923]"
gold/stt2_page_0012_c04_053.png,stt2,page_0012,4,韋,và,喡,U+55A1,char,REVIEW,s1_inter_s2_similar|demoted_lowcos_s3,0.422,0.177,118.0,142.0,5a6d51d0bf76,ok,train,stt2|page_0012|c4,"[960, 1903, 1084, 2019]"
gold/stt2_page_0012_c04_054.png,stt2,page_0012,4,曰,viết,曰,U+66F0,char,GOLD,s1_inter_s2_direct,,0.15,135.0,137.0,7e865b8ec5f2,ok,train,stt2|page_0012|c4,"[960, 2000, 1084, 2115]"
gold/stt2_page_0012_c04_055.png,stt2,page_0012,4,無,vô,無,U+7121,char,GOLD,s1_inter_s2_direct,,0.146,125.0,142.0,8616e894b3e6,ok,train,stt2|page_0012|c4,"[960, 2096, 1084, 2212]"
gold/stt2_page_0012_c04_056.png,stt2,page_0012,4,城,thành,城,U+57CE,char,GOLD,s1_inter_s2_direct,,0.21,128.0,136.0,c617d726116e,ok,train,stt2|page_0012|c4,"[971, 2211, 1077, 2321]"
silver/stt2_page_0012_c04_057.png,stt2,page_0012,4,女,an,安,U+5B89,char,SILVER,s2_inter_s3_corrected,0.598,0.224,130.0,135.0,867f90e29e59,ok,train,stt2|page_0012|c4,"[970, 2305, 1078, 2414]"
gold/stt2_page_0012_c04_058.png,stt2,page_0012,4,卑,ti,卑,U+5351,char,GOLD,s1_inter_s2_direct,,0.221,131.0,121.0,785246da6d5d,ok,train,stt2|page_0012|c4,"[970, 2388, 1077, 2487]"
gold/stt2_page_0012_c05_059.png,stt2,page_0012,5,怎,ô,塢,U+5862,char,GOLD,s1_inter_s2_similar,0.96,0.184,136.0,140.0,325826e0a58c,ok,train,stt2|page_0012|c5,"[809, 465, 919, 582]"
silver/stt2_page_0012_c05_060.png,stt2,page_0012,5,冥,ki,箕,U+7B95,char,SILVER,s2_inter_s3_corrected,0.63,0.187,138.0,147.0,db10f944d1ee,ok,train,stt2|page_0012|c5,"[806, 552, 919, 671]"
silver/stt2_page_0012_c05_061.png,stt2,page_0012,5,般,khi,欺,U+6B3A,char,SILVER,s2_inter_s3_corrected,0.824,0.178,139.0,148.0,8b0345eae1d8,ok,train,stt2|page_0012|c5,"[806, 646, 919, 766]"
gold/stt2_page_0012_c05_062.png,stt2,page_0012,5,意,ấy,意,U+610F,char,GOLD,s1_inter_s2_direct,,0.193,140.0,150.0,84f532d0e6fd,ok,train,stt2|page_0012|c5,"[806, 740, 920, 862]"
gold/stt2_page_0012_c05_063.png,stt2,page_0012,5,君,vua,君,U+541B,char,GOLD,s1_inter_s2_direct,,0.166,132.0,149.0,c8fc216e299c,ok,train,stt2|page_0012|c5,"[809, 837, 917, 958]"
gold/stt2_page_0012_c05_064.png,stt2,page_0012,5,署,nước,箸,U+7BB8,char,REVIEW,s1_inter_s2_similar|demoted_lowcos_s3,0.461,0.234,93.0,148.0,d50818069546,ok,train,stt2|page_0012|c5,"[811, 1028, 916, 1148]"
syllable/stt2_page_0012_c05_065.png,stt2,page_0012,5,瑪,ma,,,syllable,SYLLABLE,nghia_consensus,0.028,0.182,130.0,148.0,b19fc1849c35,ok,train,stt2|page_0012|c5,"[809, 1133, 918, 1253]"
gold/stt2_page_0012_c05_066.png,stt2,page_0012,5,先,tên,先,U+5148,char,GOLD,s1_inter_s2_direct,,0.177,128.0,148.0,9764777e1ba2,ok,train,stt2|page_0012|c5,"[810, 1229, 918, 1349]"
syllable/stt2_page_0012_c05_067.png,stt2,page_0012,5,罪,là,,,syllable,SYLLABLE,nghia_consensus,0.051,0.177,116.0,140.0,21875dbef942,ok,train,stt2|page_0012|c5,"[811, 1335, 918, 1454]"
gold/stt2_page_0012_c05_068.png,stt2,page_0012,5,查,tra,查,U+67E5,char,GOLD,s1_inter_s2_direct,,0.188,119.0,147.0,c0ad0ce1de7e,ok,train,stt2|page_0012|c5,"[810, 1431, 919, 1550]"
gold/stt2_page_0012_c05_069.png,stt2,page_0012,5,加,gia,加,U+52A0,char,GOLD,s1_inter_s2_direct,,0.218,121.0,147.0,4dae29c7e192,ok,train,stt2|page_0012|c5,"[809, 1527, 920, 1646]"
gold/stt2_page_0012_c05_070.png,stt2,page_0012,5,奴,nô,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.21,124.0,143.0,8a01aed40bf1,ok,train,stt2|page_0012|c5,"[809, 1632, 921, 1751]"
,stt2,page_0012,5,麽,đi,,,,REVIEW,below_visual_threshold,0.26,,,,,,train,stt2|page_0012|c5,"[809, 1731, 920, 1845]"
gold/stt2_page_0012_c05_072.png,stt2,page_0012,5,打,đánh,打,U+6253,char,GOLD,s1_inter_s2_direct,,0.181,118.0,134.0,100487956454,ok,train,stt2|page_0012|c5,"[810, 1817, 920, 1930]"
gold/stt2_page_0012_c05_073.png,stt2,page_0012,5,特,được,特,U+7279,char,GOLD,s1_inter_s2_direct,,0.18,104.0,135.0,52588fc93b3d,ok,train,stt2|page_0012|c5,"[811, 1919, 921, 2035]"
gold/stt2_page_0012_c05_074.png,stt2,page_0012,5,賊,giặc,賊,U+8CCA,char,GOLD,s1_inter_s2_direct,,0.263,118.0,136.0,7bc903c61fa9,ok,train,stt2|page_0012|c5,"[813, 2008, 918, 2122]"
gold/stt2_page_0012_c05_075.png,stt2,page_0012,5,渃,nước,渃,U+6E03,char,GOLD,s1_inter_s2_direct,,0.217,118.0,140.0,1e3e3e0561e9,ok,train,stt2|page_0012|c5,"[813, 2103, 919, 2217]"
gold/stt2_page_0012_c05_076.png,stt2,page_0012,5,批,phê,批,U+6279,char,GOLD,s1_inter_s2_direct,,0.18,114.0,136.0,2d16101c3bb3,ok,train,stt2|page_0012|c5,"[814, 2199, 917, 2311]"
gold/stt2_page_0012_c05_077.png,stt2,page_0012,5,吹,xi,吹,U+5439,char,GOLD,s1_inter_s2_direct,,0.16,129.0,136.0,b1961c95aaf5,ok,train,stt2|page_0012|c5,"[822, 2293, 927, 2405]"
,stt2,page_0012,5,何,aé,,,,REVIEW,below_visual_threshold,0.387,,,,,,train,stt2|page_0012|c5,"[822, 2383, 926, 2487]"
gold/stt2_page_0012_c06_079.png,stt2,page_0012,6,麻,mà,麻,U+9EBB,char,GOLD,s1_inter_s2_direct,,0.221,136.0,124.0,0d911f5fc0b7,ok,train,stt2|page_0012|c6,"[660, 471, 770, 582]"
gold/stt2_page_0012_c06_080.png,stt2,page_0012,6,術,về,𧗱,U+275F1,char,GOLD,s1_inter_s2_similar,0.981,0.189,134.0,144.0,4df8e92ba835,ok,train,stt2|page_0012|c6,"[660, 561, 769, 682]"
gold/stt2_page_0012_c06_081.png,stt2,page_0012,6,寺,thì,寺,U+5BFA,char,GOLD,s1_inter_s2_direct,,0.191,137.0,151.0,6799148a29b0,ok,train,stt2|page_0012|c6,"[658, 663, 769, 789]"
,stt2,page_0012,6,用,vua,,,,REVIEW,below_visual_threshold,0.467,,,,,,train,stt2|page_0012|c6,"[660, 769, 768, 893]"
gold/stt2_page_0012_c06_083.png,stt2,page_0012,6,戈,qua,戈,U+6208,char,GOLD,s1_inter_s2_direct,,0.169,125.0,152.0,e324fc780ea1,ok,train,stt2|page_0012|c6,"[663, 865, 767, 989]"
gold/stt2_page_0012_c06_084.png,stt2,page_0012,6,成,thành,成,U+6210,char,GOLD,s1_inter_s2_direct,,0.198,114.0,155.0,05c38504019d,ok,train,stt2|page_0012|c6,"[664, 960, 767, 1085]"
silver/stt2_page_0012_c06_085.png,stt2,page_0012,6,女,an,安,U+5B89,char,SILVER,s2_inter_s3_corrected,0.892,0.176,126.0,152.0,43f325acf449,ok,train,stt2|page_0012|c6,"[664, 1056, 767, 1182]"
gold/stt2_page_0012_c06_086.png,stt2,page_0012,6,𤰞,ti,𤰞,U+24C1E,char,GOLD,s1_inter_s2_direct,,0.157,104.0,148.0,4d8452dc1f64,ok,train,stt2|page_0012|c6,"[665, 1164, 767, 1288]"
gold/stt2_page_0012_c06_087.png,stt2,page_0012,6,烏,ô,烏,U+70CF,char,GOLD,s1_inter_s2_direct,,0.139,127.0,151.0,4d012301f4fc,ok,train,stt2|page_0012|c6,"[665, 1260, 768, 1383]"
silver/stt2_page_0012_c06_088.png,stt2,page_0012,6,冥,ki,其,U+5176,char,SILVER,s2_inter_s3_corrected,0.902,0.128,124.0,151.0,30f9480c1d04,ok,train,stt2|page_0012|c6,"[665, 1366, 767, 1489]"
gold/stt2_page_0012_c06_089.png,stt2,page_0012,6,連,liên,連,U+9023,char,GOLD,s1_inter_s2_direct,,0.158,130.0,152.0,e16ac2afdb11,ok,train,stt2|page_0012|c6,"[663, 1471, 770, 1596]"
,stt2,page_0012,6,師,đòi,,,,REVIEW,below_visual_threshold,0.04,,,,,,train,stt2|page_0012|c6,"[664, 1567, 770, 1691]"
gold/stt2_page_0012_c06_091.png,stt2,page_0012,6,㝵,người,㝵,U+3775,char,GOLD,s1_inter_s2_direct,,0.139,105.0,138.0,79c9537bb646,ok,train,stt2|page_0012|c6,"[664, 1673, 769, 1796]"
gold/stt2_page_0012_c06_092.png,stt2,page_0012,6,麻,mà,麻,U+9EBB,char,GOLD,s1_inter_s2_direct,,0.202,109.0,130.0,a068c80ec4b7,ok,train,stt2|page_0012|c6,"[664, 1779, 769, 1901]"
,stt2,page_0012,6,噪,quở,,,,REVIEW,below_visual_threshold,0.246,,,,,,train,stt2|page_0012|c6,"[663, 1873, 770, 1999]"
gold/stt2_page_0012_c06_094.png,stt2,page_0012,6,浪,răng,浪,U+6D6A,char,GOLD,s1_inter_s2_direct,,0.212,93.0,152.0,774556fcb639,ok,train,stt2|page_0012|c6,"[665, 1971, 768, 2096]"
gold/stt2_page_0012_c06_095.png,stt2,page_0012,6,眉,mày,眉,U+7709,char,GOLD,s1_inter_s2_direct,,0.166,107.0,155.0,9e9f24f941a7,ok,train,stt2|page_0012|c6,"[665, 2075, 768, 2200]"
gold/stt2_page_0012_c06_096.png,stt2,page_0012,6,怖,phải,伂,U+4F02,char,GOLD,s1_inter_s2_similar,0.934,0.19,87.0,150.0,fcf767b02913,ok,train,stt2|page_0012|c6,"[665, 2182, 768, 2304]"
,stt2,page_0012,6,依,i,,,,REVIEW,below_visual_threshold,0.503,,,,,,train,stt2|page_0012|c6,"[665, 2279, 768, 2399]"
gold/stt2_page_0012_c06_098.png,stt2,page_0012,6,那,na,那,U+90A3,char,GOLD,s1_inter_s2_direct,,0.177,128.0,138.0,9dd53bcf391e,ok,train,stt2|page_0012|c6,"[664, 2377, 768, 2489]"
gold/stt2_page_0012_c07_099.png,stt2,page_0012,7,樞,xu,樞,U+6A1E,char,GOLD,s1_inter_s2_direct,,0.219,127.0,142.0,3ee543ebe990,ok,val,stt2|page_0012|c7,"[511, 479, 614, 595]"
gold/stt2_page_0012_c07_100.png,stt2,page_0012,7,㝵,người,㝵,U+3775,char,GOLD,s1_inter_s2_direct,,0.164,124.0,146.0,af6cdb4c67bc,ok,val,stt2|page_0012|c7,"[511, 574, 614, 701]"
gold/stt2_page_0012_c07_101.png,stt2,page_0012,7,些,ta,些,U+4E9B,char,GOLD,s1_inter_s2_direct,,0.157,120.0,157.0,6dff34129ef9,ok,val,stt2|page_0012|c7,"[511, 679, 614, 806]"
silver/stt2_page_0012_c07_102.png,stt2,page_0012,7,㑹,gọi,噲,U+5672,char,SILVER,s2_inter_s3_corrected,0.663,0.175,127.0,153.0,167c855fc2cb,ok,val,stt2|page_0012|c7,"[511, 785, 614, 912]"
gold/stt2_page_0012_c07_103.png,stt2,page_0012,7,浪,răng,浪,U+6D6A,char,GOLD,s1_inter_s2_direct,,0.224,91.0,154.0,89aaa35f730c,ok,val,stt2|page_0012|c7,"[511, 891, 614, 1018]"
,stt2,page_0012,7,銕,dêu,,,,REVIEW,below_visual_threshold,0.02,,,,,,val,stt2|page_0012|c7,"[511, 996, 614, 1123]"
gold/stt2_page_0012_c07_105.png,stt2,page_0012,7,批,phê,批,U+6279,char,GOLD,s1_inter_s2_direct,,0.149,138.0,127.0,53f8fcd5bb4f,ok,val,stt2|page_0012|c7,"[501, 1136, 613, 1241]"
silver/stt2_page_0012_c07_106.png,stt2,page_0012,7,𦝫,rô,嚕,U+5695,char,SILVER,s2_inter_s3_corrected,0.024,0.178,130.0,166.0,1106d391c942,ok,val,stt2|page_0012|c7,"[503, 1211, 612, 1345]"
silver/stt2_page_0012_c07_107.png,stt2,page_0012,7,昜,dể,易,U+6613,char,SILVER,s3_head_bank_consensus,0.898,0.172,114.0,159.0,a007035a8019,ok,val,stt2|page_0012|c7,"[515, 1330, 618, 1459]"
silver/stt2_page_0012_c07_108.png,stt2,page_0012,7,局,vua,君,U+541B,char,SILVER,s2_inter_s3_corrected,0.572,0.166,132.0,166.0,32f1a4c9a408,ok,val,stt2|page_0012|c7,"[503, 1424, 613, 1558]"
gold/stt2_page_0012_c07_109.png,stt2,page_0012,7,庒,chăng,庒,U+5E92,char,GOLD,s1_inter_s2_direct,,0.147,126.0,149.0,21580751fa46,ok,val,stt2|page_0012|c7,"[514, 1524, 619, 1651]"
silver/stt2_page_0012_c07_110.png,stt2,page_0012,7,餘,thờ,蜍,U+870D,char,SILVER,s2_inter_s3_corrected,0.936,0.172,125.0,152.0,4fdd1fb9e995,ok,val,stt2|page_0012|c7,"[505, 1638, 609, 1767]"
silver/stt2_page_0012_c07_111.png,stt2,page_0012,7,季,bụt,孛,U+5B5B,char,SILVER,s2_inter_s3_corrected,0.955,0.13,119.0,157.0,fb8c8e3d006c,ok,val,stt2|page_0012|c7,"[505, 1746, 610, 1873]"
gold/stt2_page_0012_c07_112.png,stt2,page_0012,7,庄,chăng,庄,U+5E84,char,GOLD,s1_inter_s2_direct,,0.139,114.0,160.0,c42361206eac,ok,val,stt2|page_0012|c7,"[505, 1850, 610, 1980]"
gold/stt2_page_0012_c07_113.png,stt2,page_0012,7,㝵,người,㝵,U+3775,char,GOLD,s1_inter_s2_direct,,0.148,130.0,158.0,49e4b3826afd,ok,val,stt2|page_0012|c7,"[504, 1958, 610, 2086]"
silver/stt2_page_0012_c07_114.png,stt2,page_0012,7,煉,thưa,踈,U+8E08,char,SILVER,s2_inter_s3_corrected,0.918,0.153,127.0,150.0,4b1625b9c077,ok,val,stt2|page_0012|c7,"[505, 2062, 611, 2192]"
gold/stt2_page_0012_c07_115.png,stt2,page_0012,7,浪,răng,浪,U+6D6A,char,GOLD,s1_inter_s2_direct,,0.133,129.0,146.0,918edd4d0082,ok,val,stt2|page_0012|c7,"[505, 2170, 610, 2296]"
gold/stt2_page_0012_c07_116.png,stt2,page_0012,7,奏,tâu,奏,U+594F,char,GOLD,s1_inter_s2_direct,,0.131,132.0,133.0,2db36dd86beb,ok,val,stt2|page_0012|c7,"[503, 2276, 611, 2402]"
silver/stt2_page_0012_c07_117.png,stt2,page_0012,7,局,vua,君,U+541B,char,SILVER,s2_inter_s3_corrected,0.61,0.119,128.0,137.0,b77df9fc3732,ok,val,stt2|page_0012|c7,"[505, 2378, 609, 2491]"
,stt2,page_0012,8,雄,phải,,,,REVIEW,below_visual_threshold,0.105,,,,,,train,stt2|page_0012|c8,"[333, 476, 444, 592]"
gold/stt2_page_0012_c08_119.png,stt2,page_0012,8,碎,tôi,碎,U+788E,char,GOLD,s1_inter_s2_direct,,0.143,129.0,144.0,2bbdee6f625a,ok,train,stt2|page_0012|c8,"[340, 569, 453, 691]"
gold/stt2_page_0012_c08_120.png,stt2,page_0012,8,㝵,người,㝵,U+3775,char,GOLD,s1_inter_s2_direct,,0.143,124.0,151.0,31f1921d3a63,ok,train,stt2|page_0012|c8,"[332, 654, 444, 777]"
