ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
至,thánh,61,46,3,"REVIEW,SYLLABLE",True,cháy chí giạ gịa điệt,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,圣,0,,,syllable/stt2_page_0228_c04_065.png syllable/stt2_page_0230_c03_057.png syllable/stt2_page_0238_c02_023.png syllable/stt2_page_0238_c07_116.png syllable/stt2_page_0244_c01_010.png
𦤳,thánh,58,43,2,"REVIEW,SYLLABLE",True,chí,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,0,,,syllable/stt4_page_0012_c01_005.png syllable/stt4_page_0022_c08_168.png syllable/stt4_page_0026_c05_097.png syllable/stt4_page_0030_c06_123.png syllable/stt4_page_0030_c09_185.png
因,có,58,51,3,"REVIEW,SYLLABLE",True,dăn nhân nhăn nhơn nhưng nhận nhằn,15,世 个 個 古 同 固 堵 故 杏 沛 窖 箇 者 𣎏 󰡏,,20,,,syllable/stt2_page_0228_c08_137.png syllable/stt2_page_0238_c03_049.png syllable/stt2_page_0238_c07_125.png syllable/stt2_page_0260_c01_011.png syllable/stt2_page_0264_c03_046.png
君,này,57,41,2,REVIEW,True,quân vua,16,又 呢 尼 怩 昵 㖠 㞾 䛏 𠉞 𠼱 𠽬 𡰱 𡲌 𣭙 𫢩 󱟼,,19,,,
好,đức,57,41,2,"REVIEW,SYLLABLE",True,hiếu háo háu hão hảo hấu hẩu hếu,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,1,,,syllable/stt2_page_0024_c07_141.png syllable/stt2_page_0024_c09_193.png syllable/stt2_page_0030_c08_167.png syllable/stt2_page_0054_c09_173.png syllable/stt2_page_0058_c04_085.png
炤,lửa,56,37,3,"REVIEW,SYLLABLE",True,bảnh chiu chiêu chiếu chiểu,8, 𱪵 呂 帞 火 焒 󰌎 󰌕,,1,,,syllable/stt2_page_0030_c08_176.png syllable/stt2_page_0044_c04_073.png syllable/stt2_page_0048_c06_110.png syllable/stt2_page_0058_c02_023.png syllable/stt2_page_0058_c02_043.png
色,đã,54,45,3,"REVIEW,SYLLABLE",True,hình sắc sắo sắt sặc,16,乑 也 卒 吏 吔 它 拖 易 胣 諸 陀 㐌 𠰹 𢒕 𣦁 𧭷,也 㐌,3,,,syllable/stt2_page_0094_c02_039.png syllable/stt2_page_0262_c05_083.png syllable/stt2_page_0298_c09_164.png syllable/stt2_page_0302_c09_152.png syllable/stt2_page_0304_c04_074.png
之,pha,54,40,3,"REVIEW,SYLLABLE",True,ap chi chỉ chị giây gì gì; sao,29,叵 坡 岥 披 波 玻 皅 破 簸 翍 芭 苩 萉 葩 陂 頗 颇 㓟 㩺 䔤,,327,,,syllable/stt2_page_0116_c08_138.png syllable/stt2_page_0122_c02_024.png syllable/stt2_page_0122_c05_105.png syllable/stt2_page_0246_c07_136.png syllable/stt4_page_0012_c06_107.png
移,rê,53,43,3,REVIEW,True,chòm day di dày dây dè dê dầy dị dời giay lả,24,咦 嚟 挗 犂 菞 黎 黧 㴝 䊍 𠴓 𠼪 𥟖 𥡓 𥡚 𥢀 𦴙 𦺙 𨛫 𨝟 𪏭,,13,,,
用,bấy,52,47,3,SYLLABLE,True,dong dung dòng dùng dúng dầu dộng dụng giòng giùm giùng giọng,34,卑 悲 曊 碑 罢 罷 貝 買 閇 閈 閉 闭 䠋 𠇍 𠐌 𠾚 𡭼 𡮁 𤰞 𥓓,,53,,,syllable/stt2_page_0036_c09_166.png syllable/stt2_page_0054_c03_045.png syllable/stt2_page_0076_c02_036.png syllable/stt2_page_0092_c01_022.png syllable/stt2_page_0096_c01_000.png
旱,người,52,41,2,REVIEW,True,hãn hạn khan,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,㝵,0,,,gold/stt4_page_0108_c06_113.png gold/stt11_page_0014_c09_177.png gold/stt11_page_0026_c02_035.png gold/stt11_page_0028_c01_008.png gold/stt11_page_0046_c04_046.png
洋,còn,50,43,2,"REVIEW,SYLLABLE",True,dương tiêu,15, 哙 喂 噲 存 羣 群 自 䭽 𠹩 𡥵 𫲳 󰅹 󱟟 󱫦,群,0,,,syllable/stt2_page_0044_c04_078.png syllable/stt2_page_0086_c03_065.png syllable/stt2_page_0094_c03_057.png syllable/stt2_page_0148_c02_038.png syllable/stt2_page_0148_c08_151.png
僥,nhiều,49,39,2,"REVIEW,SYLLABLE",True,khiếu khỉu kiểu nghiêu nghêu nghẹo nghễu nghệu nhau nhiêu,18, 堯 嬈 澆 蜫 迻 饒 𡗉 𡗊 𤄮 𩜙 𬲢 𬼀 󰕦 󰕩 󰕭 󰞬 󰬥,堯 嬈 澆 饒,18,,,syllable/stt2_page_0018_c01_009.png syllable/stt2_page_0020_c04_070.png syllable/stt2_page_0026_c04_069.png syllable/stt2_page_0026_c05_096.png syllable/stt2_page_0032_c01_008.png
罪,là,49,41,2,"REVIEW,SYLLABLE",True,tội tụi,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,149,,,syllable/stt2_page_0012_c05_067.png syllable/stt2_page_0016_c01_000.png syllable/stt2_page_0030_c07_142.png syllable/stt2_page_0052_c08_152.png syllable/stt2_page_0054_c01_005.png
餘,thờ,48,42,3,"REVIEW,SYLLABLE",True,dơ dư dờ hơn thừa,25,𰨂 俆 徐 悇 扵 承 於 烏 祀 祠 蜍 蠩 賒 踈 除 䜹 𠄜 𣱏 𤋬 𤕘,徐 悇 蜍,2,,,syllable/stt2_page_0026_c06_117.png syllable/stt2_page_0026_c08_155.png syllable/stt2_page_0050_c07_148.png syllable/stt2_page_0060_c03_061.png syllable/stt2_page_0082_c03_061.png
以,làm,47,45,3,"REVIEW,SYLLABLE",True,dãi dí dĩ lấy,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,1,,,syllable/stt2_page_0014_c05_105.png syllable/stt2_page_0126_c02_029.png syllable/stt2_page_0164_c08_130.png syllable/stt2_page_0168_c04_057.png syllable/stt2_page_0228_c08_144.png
礼,lê,47,40,3,"REVIEW,SYLLABLE",True,lãi lưỡi lạy lấy lẩy lẫy lẻ lẽ lể lễ lệ lởi,48,栛 梨 梸 棃 犁 犂 琍 璃 瓈 筣 茘 荔 莉 菞 蔾 藜 蠡 黎 黧 㰀,,271,,,syllable/stt2_page_0038_c07_140.png syllable/stt2_page_0074_c04_076.png syllable/stt2_page_0080_c03_064.png syllable/stt2_page_0104_c07_130.png syllable/stt2_page_0208_c09_155.png
夜,lời,46,42,3,"REVIEW,SYLLABLE",True,dà dạ dại dịch già rà rá rạ,27,例 俐 分 利 吝 唎 坘 塁 痢 行 調 𠅜 𠇮 𠜫 𠳐 𠳒 𡗶 𢈱 𢚸 𥒥,,1,,,syllable/stt2_page_0012_c09_159.png syllable/stt2_page_0014_c03_045.png syllable/stt2_page_0018_c02_033.png syllable/stt2_page_0022_c01_015.png syllable/stt2_page_0022_c07_127.png
百,làm,44,30,1,SYLLABLE,True,bá bách mạch trăm,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,0,,,syllable/stt2_page_0148_c04_074.png syllable/stt2_page_0232_c07_135.png syllable/stt2_page_0236_c01_010.png syllable/stt2_page_0244_c03_053.png syllable/stt2_page_0244_c05_080.png
𡬦,ông,42,35,2,SYLLABLE,True,đấng đẳng đứng,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,0,,,syllable/stt2_page_0118_c08_173.png syllable/stt2_page_0170_c04_059.png syllable/stt2_page_0170_c09_152.png syllable/stt2_page_0172_c09_166.png syllable/stt11_page_0014_c04_068.png
㸔,khen,42,40,3,"REVIEW,SYLLABLE",True,khan khán khản,9,  看 㗂 𠰙 𠸦 𪮒 𫽯 𠳦,,0,,,syllable/stt2_page_0034_c06_105.png syllable/stt2_page_0082_c07_121.png syllable/stt2_page_0094_c09_184.png syllable/stt2_page_0148_c05_099.png syllable/stt2_page_0164_c04_051.png
罡,là,39,34,2,"REVIEW,SYLLABLE",True,cang cương,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt2_page_0018_c02_028.png syllable/stt2_page_0022_c07_130.png syllable/stt2_page_0030_c04_069.png syllable/stt2_page_0054_c08_149.png syllable/stt2_page_0058_c08_167.png
䍐,ra,39,37,3,REVIEW,True,hãn hắn hẳn,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,
弇,ông,39,35,2,"REVIEW,SYLLABLE",True,yêm yểm,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,0,,,syllable/stt2_page_0030_c05_102.png syllable/stt2_page_0030_c05_106.png syllable/stt2_page_0046_c05_095.png syllable/stt2_page_0048_c06_114.png syllable/stt2_page_0098_c03_054.png
庄,chắng,39,38,2,SYLLABLE,True,bành chăng chăng? chằng chẳng dặng giằng không trang ằng,1,𪭽,,609,,,syllable/stt2_page_0016_c08_146.png syllable/stt2_page_0042_c08_158.png syllable/stt2_page_0062_c07_137.png syllable/stt2_page_0070_c03_028.png syllable/stt2_page_0078_c05_094.png
計,ghê,38,32,3,"REVIEW,SYLLABLE",True,ghế gầy ké kê kẻ kẽ kế kể ể,19,世 乩 卟 稽 䭫 䭬 𠺳 𡃊 𥞞 𥟵 𥠻 𥡞 𥡳 𥡴 𩠜 𩠥 𩠦 𩠨 󰏲,,43,,,syllable/stt2_page_0116_c08_152.png syllable/stt2_page_0134_c08_169.png syllable/stt2_page_0206_c01_009.png syllable/stt2_page_0246_c07_128.png syllable/stt2_page_0262_c02_029.png
入,ấy,38,28,2,SYLLABLE,True,nhép nhạp nhấp nhập nhắp nhẹp vào,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt2_page_0176_c05_075.png syllable/stt2_page_0230_c05_093.png syllable/stt2_page_0230_c09_189.png syllable/stt2_page_0232_c07_125.png syllable/stt2_page_0234_c05_087.png
吞,trời,37,32,1,"REVIEW,SYLLABLE",True,thôn xôn,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt2_page_0014_c09_186.png syllable/stt2_page_0022_c06_117.png syllable/stt2_page_0024_c05_091.png syllable/stt2_page_0030_c01_004.png syllable/stt2_page_0030_c06_133.png
思,quỷ,35,31,3,REVIEW,True,mơ tai tay ti tơ tư tứ tử,25,佹 傀 垝 姽 庋 庪 恑 祪 蛫 觤 詭 诡 騩 鬼 𢇼 𢝾 𢧩 𣆠 𤱲 𩲚,鬼,14,,,
槎,si,35,34,3,"REVIEW,SYLLABLE",True,chà già sậy tra xay,99,嗟 嗤 妛 媸 差 希 彨 彲 徙 抬 摛 柴 殦 灑 痴 瘥 癡 眵 瞝 知,蹉,0,,,syllable/stt2_page_0108_c09_152.png syllable/stt2_page_0244_c03_051.png syllable/stt2_page_0262_c08_150.png syllable/stt2_page_0274_c01_005.png syllable/stt2_page_0282_c08_159.png
廪,lăm,35,34,2,"REVIEW,SYLLABLE",True,bám bấm bẩm bẳm bặm bụm lúm lũm lẫm lắm rắm,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,44,,,syllable/stt2_page_0032_c04_074.png syllable/stt2_page_0042_c07_140.png syllable/stt2_page_0070_c04_054.png syllable/stt2_page_0086_c03_064.png syllable/stt2_page_0092_c02_039.png
䏻,đi,35,27,1,"REVIEW,SYLLABLE",True,hay năn năng nưng nấng nằng toe,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,24,,,syllable/stt2_page_0030_c06_119.png syllable/stt2_page_0038_c03_043.png syllable/stt2_page_0038_c07_144.png syllable/stt2_page_0050_c02_036.png syllable/stt2_page_0050_c06_110.png
街,về,35,31,3,"REVIEW,SYLLABLE",True,dai nhai nhây,23,𱸳 揮 撝 皮 米 耒 衛 衞 還 駆 䘙 𠀄 𡗅 𢠿 𧗱 𩤸 𬩍 󰓟 󰡲 󱘌,衛 𧗱,0,,,syllable/stt2_page_0184_c04_061.png syllable/stt2_page_0234_c05_089.png syllable/stt2_page_0284_c04_070.png syllable/stt4_page_0014_c01_018.png syllable/stt4_page_0042_c03_053.png
可,làm,34,23,1,SYLLABLE,True,ca cà há hả khá khả khắc,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,5,,,syllable/stt2_page_0236_c04_070.png syllable/stt2_page_0252_c03_051.png syllable/stt2_page_0254_c02_026.png syllable/stt2_page_0254_c04_055.png syllable/stt2_page_0254_c07_111.png
㓜,chém,34,25,3,"REVIEW,SYLLABLE",True,ao âu ấu,22,剣 剱 劍 劎 劒 劔 占 呫 斬 釰 釼 鉆 鐱 㓠 𠛤 𠝏 𠠆 𡃍 𪟂 𫥸,,7,,,syllable/stt2_page_0046_c03_061.png syllable/stt2_page_0052_c07_132.png syllable/stt2_page_0084_c01_018.png syllable/stt2_page_0096_c07_147.png syllable/stt2_page_0110_c07_137.png
肆,sau,34,32,2,SYLLABLE,True,dị thích tư tớ tứ,37,嗟 娄 婁 差 搂 楼 牢 畧 畱 瘥 窂 罒 荖 蹉 䁟 𡕘 𡘠 𡢐 𢀞 𢀠,,0,,,syllable/stt2_page_0076_c03_052.png syllable/stt2_page_0100_c09_167.png syllable/stt2_page_0160_c09_138.png syllable/stt2_page_0170_c03_053.png syllable/stt2_page_0194_c02_037.png
乇,cha,33,25,2,REVIEW,True,ngước ngược thác thách thước thướt thốc trách,25,乍 作 偺 吒 咋 咤 咱 喒 喥 嗻 囃 托 爹 爺 皻 皽 詐 醡 𠆦 𠷆,吒 托,0,,,
人,làm,33,29,1,REVIEW,True,ngã nhi nhân nhơn,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,2,,,
鲁,rô,33,28,3,"REVIEW,SYLLABLE",True,lỗ trổ,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,噜 嚕,1,,,syllable/stt2_page_0212_c07_102.png syllable/stt2_page_0240_c02_023.png syllable/stt2_page_0246_c03_055.png syllable/stt2_page_0318_c03_045.png syllable/stt2_page_0326_c02_035.png
分,đức,33,25,2,SYLLABLE,True,biện bẹ hề lời phen phân phấn phần phận,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,62,,,syllable/stt2_page_0084_c04_086.png syllable/stt2_page_0098_c09_155.png syllable/stt2_page_0148_c03_048.png syllable/stt11_page_0022_c01_005.png syllable/stt11_page_0056_c05_089.png
衣,i,32,28,3,SYLLABLE,True,e y ý ấy ỉ ỵ,9,匱 季 揆 櫃 貴 跪 軌 鬼 䠏,,281,,,syllable/stt2_page_0018_c02_029.png syllable/stt2_page_0024_c09_186.png syllable/stt2_page_0026_c04_079.png syllable/stt2_page_0086_c01_013.png syllable/stt2_page_0106_c02_028.png
