ocr_char,syllable,so_o,so_sach,so_trang,similar_hit,char_in_dict,gold_count,diem_unihan,nghieng_ve,vi_tri_1,vi_tri_2,NGUOI_DUYET,GHI_CHU
曷,rầy,16,2,13,,hạthộthợtát,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0012 c5 [884, 1032, 997, 1151]","stt11/page_0028 c6 [725, 581, 828, 691]",,
爾,lời,16,2,13,,nenhãinhénhĩnhẫy,0,0.0213,A_TU_DIEN_THIEU,"stt2/page_0120 c9 [196, 660, 302, 777]","stt4/page_0068 c4 [671, 397, 739, 473]",,
主,chứa,14,3,13,,chúchúachụchủvương,1080,0.0000,B_nghi,"stt11/page_0086 c7 [556, 2375, 647, 2471]","stt11/page_0090 c2 [1308, 1464, 1415, 1567]",,
何,vua,14,2,13,,gãhàhờ,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0230 c6 [714, 1103, 819, 1218]","stt2/page_0270 c1 [1440, 1832, 1545, 1941]",,
如,làm,14,3,14,,bơdừngơnhanhà,214,0.0000,B_nghi,"stt11/page_0178 c4 [1007, 813, 1114, 931]","stt2/page_0044 c5 [807, 1123, 912, 1237]",,
粤,là,14,2,14,,việt,0,0.0068,A_TU_DIEN_THIEU,"stt11/page_0018 c6 [703, 2187, 806, 2303]","stt11/page_0020 c4 [1022, 884, 1122, 988]",,
与,đức,13,2,13,,dưdữdựgiữđử,69,0.0000,B_nghi,"stt11/page_0010 c3 [1150, 2047, 1268, 2170]","stt11/page_0014 c6 [693, 1396, 811, 1512]",,
兹,nhà,13,3,13,,tytưtừ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0100 c3 [1170, 1789, 1275, 1913]","stt2/page_0184 c3 [1170, 1500, 1286, 1637]",,
教,đi,13,2,12,,dáodìudạygiaogiáo,6,0.0000,A_TU_DIEN_THIEU,"stt11/page_0032 c6 [700, 1054, 808, 1171]","stt11/page_0036 c2 [1364, 2294, 1473, 2411]",,
思,khỏi,12,2,11,,mơtaitaytitơ,14,0.0000,A_TU_DIEN_THIEU,"stt2/page_0238 c6 [699, 2076, 805, 2206]","stt4/page_0018 c3 [736, 991, 813, 1065]",,
槎,xi,12,2,10,,chàgiàsậytraxay,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0036 c8 [350, 2200, 461, 2317]","stt2/page_0038 c6 [693, 579, 806, 701]",,
与,nghĩ,11,3,11,,dưdữdựgiữđử,69,0.0000,B_nghi,"stt11/page_0054 c6 [744, 2124, 852, 2236]","stt11/page_0056 c9 [269, 1726, 375, 1841]",,
以,hay,11,2,10,,dãidídĩlấy,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0022 c9 [233, 2370, 322, 2462]","stt11/page_0024 c1 [1468, 689, 1567, 800]",,
在,chẳng,11,3,10,,dổnhổtại,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0288 c8 [449, 785, 550, 896]","stt2/page_0202 c2 [1314, 1516, 1421, 1638]",,
希,nào,11,2,11,,hehihoehyhây,4,0.0000,A_TU_DIEN_THIEU,"stt2/page_0096 c3 [1136, 2258, 1244, 2367]","stt2/page_0150 c6 [687, 1599, 799, 1724]",,
朝,vua,11,2,9,,chiềuchàochìuchầugiàu,34,0.0000,B_nghi,"stt2/page_0234 c5 [824, 2417, 928, 2527]","stt2/page_0236 c3 [1124, 2378, 1236, 2499]",,
爾,vua,11,2,9,,nenhãinhénhĩnhẫy,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0236 c6 [693, 680, 805, 812]","stt2/page_0242 c1 [1425, 930, 1539, 1075]",,
理,tay,11,2,9,,lílýlẽmay,122,0.0000,B_nghi,"stt11/page_0138 c1 [1470, 1546, 1579, 1651]","stt11/page_0176 c8 [437, 2375, 541, 2486]",,
眾,bốn,11,3,8,,chúnggiốngvới,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0010 c4 [1013, 1812, 1113, 1923]","stt11/page_0010 c8 [384, 1273, 492, 1394]",,
象,chạy,11,2,11,,tuồngtươngtướngtượng,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0044 c4 [956, 1277, 1061, 1383]","stt2/page_0062 c7 [511, 1114, 644, 1242]",,
尚,thăng,10,3,9,,chuộngsượngthượngthảngthằng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0116 c3 [1205, 1996, 1309, 2120]","stt11/page_0158 c9 [264, 691, 362, 800]",,
理,lễ,10,3,10,,lílýlẽmay,122,0.0000,B_nghi,"stt11/page_0012 c1 [1497, 829, 1598, 948]","stt11/page_0148 c4 [1034, 1368, 1139, 1485]",,
石,vậy,10,2,9,,sạchthạchthệuđáđán,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0194 c6 [644, 1152, 750, 1288]","stt2/page_0206 c6 [684, 588, 790, 714]",,
辰,rằng,10,2,10,,gìnthìthìnthầnthời,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0258 c4 [1000, 1571, 1109, 1707]","stt2/page_0294 c8 [399, 1759, 504, 1886]",,
𫠉,dốc,10,3,10,,,0,,A_TU_DIEN_THIEU,"stt11/page_0068 c9 [243, 1274, 339, 1377]","stt11/page_0210 c8 [543, 2415, 638, 2514]",,
以,hai,9,2,9,,dãidídĩlấy,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0100 c7 [576, 963, 682, 1082]","stt11/page_0162 c9 [366, 1537, 461, 1637]",,
吹,si,9,2,9,,sôixixiêuxoayxoe,11,0.0000,A_TU_DIEN_THIEU,"stt11/page_0278 c8 [412, 985, 506, 1098]","stt2/page_0016 c4 [969, 2420, 1072, 2522]",,
四,tó,9,3,8,,tưtớtứ,51,0.0000,B_nghi,"stt11/page_0042 c7 [585, 1205, 690, 1308]","stt11/page_0066 c9 [261, 541, 360, 650]",,
多,một,9,2,7,,dađađiđáđơ,218,0.0146,B_nghi,"stt11/page_0176 c7 [597, 1357, 704, 1472]","stt11/page_0212 c5 [872, 1639, 980, 1764]",,
族,ai,9,2,9,,sộcthấuthốctấutọc,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0178 c7 [561, 2292, 664, 2419]","stt4/page_0074 c8 [265, 1042, 343, 1114]",,
杜,dồ,9,3,9,,dòdõdỗgiỗnhổ,12,,A_TU_DIEN_THIEU,"stt11/page_0194 c4 [1017, 1182, 1132, 1307]","stt11/page_0254 c9 [251, 1755, 351, 1866]",,
計,ghe,9,2,8,,ghếgầykékêkẻ,42,0.0000,B_nghi,"stt11/page_0080 c9 [259, 2265, 368, 2389]","stt11/page_0106 c3 [1194, 653, 1294, 769]",,
魏,sau,9,2,9,,ngoainguyngùyngụy,0,0.0121,A_TU_DIEN_THIEU,"stt2/page_0070 c4 [996, 504, 1106, 616]","stt2/page_0102 c1 [1423, 1840, 1525, 1960]",,
品,chịu,8,2,8,,phẩm,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0084 c6 [680, 571, 786, 682]","stt4/page_0026 c5 [551, 1363, 620, 1432]",,
哭,là,8,3,8,,khóckhốc,56,0.0000,B_nghi,"stt11/page_0174 c1 [1455, 2197, 1556, 2311]","stt2/page_0264 c8 [362, 1315, 472, 1449]",,
孤,bắt,8,2,7,,cocòcòicôcôi,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0074 c9 [206, 1593, 315, 1709]","stt2/page_0108 c1 [1447, 1952, 1553, 2062]",,
寧,tốt,8,2,7,,nanhninhnànhtrữ,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0086 c4 [1005, 2252, 1113, 2364]","stt4/page_0070 c9 [171, 413, 239, 486]",,
屠,nước,8,2,8,,chưđồ,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0050 c9 [249, 1613, 349, 1717]","stt2/page_0230 c7 [558, 2166, 660, 2278]",,
府,mà,8,3,7,,phủ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0124 c6 [731, 1618, 830, 1730]","stt11/page_0136 c1 [1530, 1995, 1639, 2102]",,
望,thánh,8,2,8,,nguyệtphụcvànhvọng,5,0.0000,A_TU_DIEN_THIEU,"stt2/page_0248 c9 [256, 1688, 358, 1809]","stt4/page_0012 c3 [766, 796, 844, 875]",,
每,đức,8,2,8,,hỏimaimôimũimọi,190,0.0000,B_nghi,"stt11/page_0046 c8 [389, 1089, 495, 1206]","stt11/page_0050 c3 [1170, 782, 1271, 897]",,
玄,đầy,8,2,7,,huyênhuyền,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0018 c7 [502, 1493, 611, 1611]","stt2/page_0254 c5 [840, 2197, 951, 2330]",,
生,chắng,8,2,8,,chăngdínhhưquêsanh,270,,B_nghi,"stt2/page_0056 c9 [225, 839, 319, 943]","stt4/page_0026 c3 [763, 583, 837, 659]",,
用,khốn,8,3,7,,dongdungdòngdùngdúng,53,0.0000,B_nghi,"stt11/page_0136 c1 [1530, 2260, 1639, 2367]","stt11/page_0178 c3 [1161, 436, 1260, 540]",,
益,nhà,8,2,8,,dátdậtíchảiịch,9,0.0000,A_TU_DIEN_THIEU,"stt2/page_0158 c1 [1462, 1200, 1566, 1315]","stt2/page_0160 c5 [799, 1147, 923, 1264]",,
祖,lạy,8,3,7,,chõchỗgiỏgiỗtô,3,0.0000,A_TU_DIEN_THIEU,"stt11/page_0120 c6 [707, 1861, 815, 1974]","stt11/page_0220 c2 [1351, 2255, 1444, 2363]",,
象,một,8,2,8,,tuồngtươngtướngtượng,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0012 c2 [1348, 631, 1451, 739]","stt11/page_0050 c3 [1170, 1494, 1272, 1605]",,
𭩮,là,8,2,8,,,0,,A_TU_DIEN_THIEU,"stt2/page_0090 c3 [1125, 661, 1226, 773]","stt2/page_0094 c4 [969, 2221, 1076, 2331]",,
与,làm,7,3,7,,dưdữdựgiữđử,69,0.0000,B_nghi,"stt11/page_0232 c9 [281, 598, 374, 710]","stt11/page_0248 c1 [1485, 2165, 1589, 2272]",,
丕,vây,7,2,7,,bậychăngchẳngphiphơ,449,0.0000,B_nghi,"stt11/page_0028 c5 [869, 2380, 977, 2478]","stt11/page_0094 c1 [1468, 2325, 1574, 2438]",,
丶,pha,7,2,7,,chuachõchúchủgiú,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0124 c6 [730, 1522, 832, 1634]","stt11/page_0216 c1 [1499, 1271, 1598, 1377]",,
主,chẳng,7,2,7,,chúchúachụchủvương,1080,0.0000,B_nghi,"stt2/page_0230 c3 [1143, 1984, 1243, 2094]","stt2/page_0240 c1 [1448, 1873, 1557, 2003]",,
后,đức,7,2,7,,hấuhậu,2,0.0000,A_TU_DIEN_THIEU,"stt11/page_0036 c1 [1513, 1179, 1619, 1291]","stt11/page_0090 c3 [1162, 1211, 1260, 1313]",,
吹,dạy,7,2,7,,sôixixiêuxoayxoe,11,0.0000,A_TU_DIEN_THIEU,"stt11/page_0078 c2 [1310, 1131, 1410, 1238]","stt11/page_0116 c3 [1211, 544, 1318, 662]",,
哭,ra,7,3,6,,khóckhốc,56,0.0000,B_nghi,"stt11/page_0130 c1 [1464, 1724, 1574, 1841]","stt2/page_0234 c2 [1259, 991, 1367, 1120]",,
唱,hai,7,2,7,,sướngxangxươngxướngxắng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0016 c3 [1202, 2213, 1309, 2333]","stt11/page_0044 c5 [914, 1764, 1013, 1872]",,
四,làm,7,2,7,,tưtớtứ,51,0.0000,B_nghi,"stt11/page_0278 c9 [263, 594, 361, 705]","stt4/page_0024 c3 [770, 990, 841, 1063]",,
夜,i,7,2,6,,dàdạdạidịchgià,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0020 c2 [1315, 648, 1422, 756]","stt11/page_0020 c5 [861, 1290, 981, 1391]",,
房,nước,7,2,7,,buồngbàngphòng,8,0.0000,A_TU_DIEN_THIEU,"stt2/page_0018 c8 [372, 2209, 469, 2324]","stt4/page_0024 c9 [185, 642, 253, 716]",,
民,là,7,3,5,,dânmiênrân,26,0.0000,B_nghi,"stt11/page_0024 c2 [1332, 1801, 1429, 1916]","stt11/page_0024 c4 [1024, 1845, 1127, 1954]",,
祀,lạy,7,2,7,,thờtờtừtự,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0064 c3 [1230, 622, 1333, 739]","stt11/page_0114 c2 [1312, 712, 1421, 831]",,
究,đem,7,2,7,,cứukhiếukhuỷukhíukhỉu,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0072 c8 [349, 1148, 448, 1265]","stt2/page_0180 c6 [658, 1432, 764, 1564]",,
罢,bay,7,3,7,,bãibìbưởibảybấy,203,0.0000,B_nghi,"stt11/page_0144 c9 [273, 712, 378, 838]","stt2/page_0224 c5 [853, 1750, 950, 1866]",,
罪,tôi,7,2,7,,tộitụi,149,0.0085,B_nghi,"stt11/page_0026 c6 [702, 942, 807, 1049]","stt11/page_0070 c6 [715, 1919, 822, 2034]",,
魏,tay,7,3,7,,ngoainguyngùyngụy,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0278 c2 [1318, 830, 1424, 955]","stt2/page_0032 c9 [210, 1950, 301, 2059]",,
𭩮,ra,7,2,7,,,0,,A_TU_DIEN_THIEU,"stt11/page_0136 c5 [935, 933, 1039, 1041]","stt11/page_0140 c3 [1181, 875, 1278, 984]",,
丕,vay,6,3,6,,bậychăngchẳngphiphơ,449,0.0000,B_nghi,"stt11/page_0072 c2 [1327, 2274, 1427, 2368]","stt11/page_0132 c1 [1494, 2434, 1597, 2529]",,
之,đời,6,3,6,,apchichỉchịgiây,327,0.0000,B_nghi,"stt11/page_0022 c3 [1141, 1197, 1252, 1304]","stt2/page_0160 c8 [350, 483, 463, 607]",,
依,ấy,6,2,6,,emặtyêỉa,7,0.0082,A_TU_DIEN_THIEU,"stt11/page_0096 c6 [720, 1884, 836, 2002]","stt11/page_0150 c1 [1421, 700, 1529, 816]",,
侯,mẹ,6,2,6,,hầuhậu,7,0.0000,A_TU_DIEN_THIEU,"stt11/page_0210 c9 [390, 1839, 487, 1951]","stt11/page_0238 c4 [1019, 1164, 1126, 1278]",,
兹,đầy,6,3,6,,tytưtừ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0178 c3 [1160, 783, 1260, 896]","stt2/page_0012 c3 [1111, 827, 1243, 936]",,
卷,này,6,2,6,,cuốncuộncỏncổnen,2,0.0000,A_TU_DIEN_THIEU,"stt2/page_0228 c3 [1130, 1198, 1248, 1342]","stt2/page_0236 c2 [1280, 1586, 1396, 1727]",,
四,miệng,6,2,6,,tưtớtứ,51,0.0000,B_nghi,"stt11/page_0048 c7 [528, 1367, 641, 1489]","stt11/page_0136 c5 [945, 1872, 1044, 1976]",,
國,vua,6,2,6,,cuốchoắchoặcnướcquốc,2,0.0000,A_TU_DIEN_THIEU,"stt2/page_0234 c5 [825, 459, 929, 571]","stt4/page_0068 c4 [676, 1453, 746, 1530]",,
在,chắng,6,2,6,,dổnhổtại,1,,A_TU_DIEN_THIEU,"stt2/page_0172 c9 [217, 804, 326, 939]","stt2/page_0272 c8 [382, 889, 492, 1010]",,
垂,thánh,6,2,6,,chùychúidồithùytrùy,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0090 c6 [682, 1649, 785, 1760]","stt11/page_0130 c6 [698, 1286, 812, 1396]",,
奎,trọng,6,3,6,,khuê,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0168 c6 [732, 925, 836, 1015]","stt11/page_0226 c1 [1456, 2108, 1558, 2215]",,
委,lâu,6,2,5,,uyuếủy,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0156 c3 [1124, 1417, 1238, 1538]","stt4/page_0044 c6 [475, 1455, 547, 1524]",,
屬,lọn,6,2,6,,chuộcchúchúcthuộc,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0048 c8 [357, 1563, 487, 1682]","stt11/page_0056 c4 [1041, 2169, 1150, 2287]",,
抑,chết,6,3,6,,intỉyýấn,1,0.0060,A_TU_DIEN_THIEU,"stt11/page_0160 c1 [1491, 1519, 1581, 1618]","stt2/page_0022 c3 [1121, 1938, 1223, 2054]",,
李,học,6,2,6,,lílý,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0140 c7 [554, 1404, 677, 1512]","stt11/page_0146 c3 [1136, 885, 1244, 995]",,
果,quở,6,2,6,,ahủkhỏaquàquả,3,0.0000,A_TU_DIEN_THIEU,"stt2/page_0122 c8 [388, 1679, 496, 1789]","stt4/page_0052 c7 [360, 779, 433, 859]",,
死,chịu,6,2,6,,chếtthithâytử,65,0.0000,B_nghi,"stt2/page_0232 c5 [859, 650, 971, 779]","stt4/page_0170 c6 [515, 1518, 592, 1598]",,
消,quên,6,2,6,,teotiutiêutỏe,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0132 c1 [1494, 2088, 1597, 2192]","stt11/page_0232 c4 [1031, 1099, 1139, 1220]",,
無,là,6,3,6,,môvuvô,39,0.0000,B_nghi,"stt11/page_0028 c3 [1177, 1684, 1283, 1805]","stt11/page_0080 c5 [870, 598, 973, 713]",,
爵,le,6,2,5,,tước,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0148 c5 [830, 2287, 938, 2406]","stt2/page_0254 c3 [1123, 1844, 1233, 1980]",,
用,hèn,6,2,5,,dongdungdòngdùngdúng,53,0.0000,B_nghi,"stt11/page_0196 c6 [734, 702, 836, 821]","stt11/page_0220 c6 [740, 1567, 843, 1676]",,
碎,tồi,6,2,6,,choichuichótchũingươi,489,0.0132,B_nghi,"stt11/page_0220 c7 [571, 1233, 674, 1347]","stt4/page_0048 c3 [771, 814, 842, 902]",,
羽,thịt,6,2,6,,võvũ,0,0.0260,A_TU_DIEN_THIEU,"stt11/page_0258 c3 [1156, 2113, 1252, 2227]","stt2/page_0014 c7 [521, 986, 619, 1093]",,
至,a,6,3,6,果,cháychígiạgịađiệt,0,0.0000,B_OCR_NHAM,"stt11/page_0210 c2 [1446, 583, 1548, 697]","stt11/page_0218 c7 [524, 1644, 626, 1764]",,
事,làm,5,2,5,,sựxìxư,959,0.0000,B_nghi,"stt11/page_0218 c4 [988, 963, 1092, 1074]","stt2/page_0252 c4 [1014, 1109, 1123, 1243]",,
侵,việc,5,2,5,,thẩmtâmtẩmtủmxâm,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0308 c3 [1140, 1934, 1248, 2053]","stt4/page_0098 c4 [652, 1061, 722, 1139]",,
俸,bông,5,2,5,,bongbóngbọngbốngbổng,7,0.0000,A_TU_DIEN_THIEU,"stt11/page_0092 c1 [1470, 1261, 1570, 1374]","stt11/page_0154 c2 [1260, 547, 1365, 664]",,
凡,phong,5,3,5,,hoànkẻphàm,4,0.0000,A_TU_DIEN_THIEU,"stt11/page_0026 c1 [1438, 1680, 1547, 1789]","stt11/page_0056 c1 [1487, 1385, 1593, 1504]",,
吹,lóc,5,2,5,,sôixixiêuxoayxoe,11,0.0000,A_TU_DIEN_THIEU,"stt11/page_0078 c3 [1137, 1557, 1241, 1666]","stt11/page_0174 c6 [715, 583, 819, 693]",,
呌,dấu,5,3,5,𧿫,keokhiêukhiếukháokhéo,57,0.0000,B_OCR_NHAM,"stt11/page_0222 c7 [579, 881, 681, 992]","stt11/page_0238 c6 [703, 1205, 808, 1321]",,
四,nói,5,3,5,,tưtớtứ,51,0.0000,B_nghi,"stt11/page_0090 c7 [532, 1097, 639, 1213]","stt11/page_0100 c5 [865, 1779, 968, 1898]",,
固,co,5,3,5,,cócúacốcớgiầy,786,0.0000,B_nghi,"stt11/page_0196 c1 [1486, 2303, 1592, 2420]","stt2/page_0082 c7 [507, 2038, 614, 2152]",,
奉,trời,5,2,5,,bóngbồngbổngphóngphụng,13,0.0000,A_TU_DIEN_THIEU,"stt11/page_0126 c6 [713, 1461, 822, 1575]","stt2/page_0048 c7 [529, 730, 628, 834]",,
姦,nhà,5,2,5,,gian,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0074 c7 [512, 1763, 622, 1881]","stt2/page_0102 c9 [194, 2190, 306, 2313]",,
子,người,5,2,4,,chíchchỉtítíttý,28,0.0000,B_nghi,"stt11/page_0110 c9 [259, 2349, 356, 2449]","stt4/page_0182 c3 [814, 1492, 880, 1558]",,
常,va,5,2,5,,hằngsànthìthườngtrường,8,0.0000,A_TU_DIEN_THIEU,"stt11/page_0118 c7 [556, 2293, 665, 2417]","stt2/page_0162 c8 [376, 1059, 494, 1208]",,
度,biển,5,3,5,,dácdạctrạchđođác,3,0.0000,A_TU_DIEN_THIEU,"stt11/page_0132 c3 [1201, 2047, 1288, 2159]","stt2/page_0094 c8 [366, 1570, 472, 1689]",,
必,hai,5,2,5,,tấttắtắt,3,0.0000,A_TU_DIEN_THIEU,"stt11/page_0134 c1 [1481, 1869, 1593, 1976]","stt11/page_0202 c5 [873, 619, 978, 728]",,
打,chết,5,2,5,,dừngtáđànhđáđánh,106,0.0000,B_nghi,"stt11/page_0036 c9 [323, 1671, 426, 1779]","stt11/page_0108 c2 [1304, 610, 1410, 728]",,
杜,đồ,5,3,5,,dòdõdỗgiỗnhổ,12,0.0197,A_TU_DIEN_THIEU,"stt11/page_0036 c3 [1210, 527, 1322, 644]","stt2/page_0212 c7 [534, 1180, 644, 1306]",,
正,làm,5,3,5,,chinhchiếngchánhchênhchín,6,0.0000,A_TU_DIEN_THIEU,"stt11/page_0268 c7 [573, 1925, 675, 2037]","stt2/page_0054 c2 [1277, 1295, 1387, 1410]",,
死,từ,5,2,5,,chếtthithâytử,65,0.0000,B_nghi,"stt11/page_0122 c6 [743, 1619, 845, 1741]","stt11/page_0262 c8 [410, 1473, 509, 1587]",,
母,là,5,2,5,,mômẫumẹvô,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0124 c9 [287, 2141, 377, 2249]","stt11/page_0212 c1 [1478, 901, 1584, 1019]",,
民,một,5,2,5,,dânmiênrân,26,0.0000,B_nghi,"stt11/page_0108 c5 [848, 1821, 957, 1943]","stt11/page_0118 c2 [1332, 1614, 1438, 1734]",,
練,lòi,5,2,4,,luyếnluyệnlénlượnlẹn,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0062 c5 [848, 2007, 957, 2120]","stt11/page_0282 c2 [1316, 1632, 1424, 1748]",,
肆,ruột,5,2,5,,dịthíchtưtớtứ,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0018 c7 [507, 1075, 612, 1196]","stt2/page_0094 c1 [1422, 986, 1541, 1093]",,
荒,đâu,5,2,5,,hoanghoănghoảng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0216 c9 [269, 421, 381, 530]","stt11/page_0220 c6 [740, 1651, 844, 1761]",,
華,thánh,5,2,5,,hoahóahuê,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0202 c6 [706, 1406, 830, 1474]","stt2/page_0042 c1 [1427, 923, 1527, 1036]",,
蜀,mới,5,2,5,,thụcxoạcxọcđục,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0136 c9 [326, 2308, 423, 2419]","stt11/page_0138 c4 [1025, 717, 1134, 825]",,
餘,ong,5,2,5,,dơdưdờhơnthừa,2,0.0000,A_TU_DIEN_THIEU,"stt11/page_0024 c9 [257, 2117, 378, 2225]","stt11/page_0074 c2 [1340, 1120, 1448, 1240]",,
𭔿,ong,5,2,5,,,0,,A_TU_DIEN_THIEU,"stt11/page_0028 c5 [866, 581, 978, 697]","stt11/page_0130 c1 [1476, 2095, 1582, 2214]",,
㑹,gọi,4,2,4,,cuốihộihụi,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0306 c5 [862, 2178, 971, 2306]","stt2/page_0320 c7 [550, 462, 668, 589]",,
