image,book,page,column,syllable,ocr_char,chu_cau_de_xuat,tier_hien_tai,rule_hien_tai,diem_nghia,so_trang_lap
silver/stt11_page_0062_c01_011.png,stt11,page_0062,1,cầu,来,求,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
silver/stt11_page_0062_c06_122.png,stt11,page_0062,6,dấu,呌,𧿫,SILVER_uncalibrated,s2_inter_s3_corrected,0.0043,17
silver/stt11_page_0062_c09_169.png,stt11,page_0062,9,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
silver/stt11_page_0066_c07_133.png,stt11,page_0066,7,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
,stt11,page_0068,1,trong,重,盅,REVIEW,diverged_column,0.0000,1
,stt11,page_0068,2,ấy,伐,𧘇,REVIEW,diverged_column,,21
silver/stt11_page_0068_c09_193.png,stt11,page_0068,9,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
,stt11,page_0072,8,hai,呫,咍,REVIEW,diverged_column,0.0000,1
silver/stt11_page_0074_c02_022.png,stt11,page_0074,2,si,槎,蹉,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,26
silver/stt11_page_0074_c07_147.png,stt11,page_0074,7,si,槎,蹉,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,26
,stt11,page_0076,1,chết,机,划,REVIEW,no_s1_inter_s2,0.0000,1
,stt11,page_0078,9,làm,勺,乄,REVIEW,no_s1_inter_s2,0.0000,4
,stt11,page_0086,5,làm,勺,乄,REVIEW,no_s1_inter_s2,0.0000,4
,stt11,page_0088,2,có,中,古,REVIEW,no_s1_inter_s2,0.0158,1
silver/stt11_page_0088_c09_212.png,stt11,page_0088,9,trong,甲,中,SILVER_uncalibrated,s2_inter_s3_corrected,0.0062,3
silver/stt11_page_0092_c06_102.png,stt11,page_0092,6,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
silver/stt11_page_0092_c07_113.png,stt11,page_0092,7,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0098,4,làm,勺,乄,REVIEW,no_s1_inter_s2,0.0000,4
silver/stt11_page_0098_c09_149.png,stt11,page_0098,9,thánh,至,圣,SILVER_uncalibrated,s2_inter_s3_corrected,0.0669,21
silver/stt11_page_0100_c07_141.png,stt11,page_0100,7,áo,秋,㤇,SILVER_uncalibrated,s2_inter_s3_corrected,0.0041,1
silver/stt11_page_0104_c08_154.png,stt11,page_0104,8,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0106_c01_004.png,stt11,page_0106,1,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0106,1,mẹ,族,媄,REVIEW,no_s1_inter_s2,0.0632,3
silver/stt11_page_0108_c02_023.png,stt11,page_0108,2,vậy,还,丕,SILVER_uncalibrated,s2_inter_s3_corrected,0.0498,1
,stt11,page_0110,6,điều,誣,調,REVIEW,diverged_column,0.0225,1
silver/stt11_page_0110_c09_181.png,stt11,page_0110,9,nhạo,楽,樂,SILVER_uncalibrated,s2_inter_s3_corrected,0.0673,4
silver/stt11_page_0114_c01_003.png,stt11,page_0114,1,cầu,来,求,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
,stt11,page_0114,1,sống,報,𧚠,REVIEW,no_s1_inter_s2,,3
silver/stt11_page_0114_c02_038.png,stt11,page_0114,2,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0114,8,hay,必,処,REVIEW,no_s1_inter_s2,0.0000,2
,stt11,page_0116,5,lạy,袍,𥚄,REVIEW,no_s1_inter_s2,,4
silver/stt11_page_0116_c06_113.png,stt11,page_0116,6,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0116,8,quỷ,思,鬼,REVIEW,diverged_column,0.0000,57
,stt11,page_0120,1,nhà,戾,牙,REVIEW,no_s1_inter_s2,0.0000,1
,stt11,page_0124,5,hay,百,台,REVIEW,no_s1_inter_s2,0.0000,1
silver/stt11_page_0128_c06_123.png,stt11,page_0128,6,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
,stt11,page_0134,4,chữa,勔,助,REVIEW,no_s1_inter_s2,0.0000,1
,stt11,page_0134,8,vợ,媚,婦,REVIEW,no_s1_inter_s2,0.0241,2
silver/stt11_page_0142_c04_077.png,stt11,page_0142,4,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0142_c05_096.png,stt11,page_0142,5,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0144,1,ma,瑪,嗎,REVIEW,diverged_column,0.0514,16
silver/stt11_page_0144_c07_141.png,stt11,page_0144,7,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
silver/stt11_page_0146_c01_014.png,stt11,page_0146,1,si,槎,蹉,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,26
,stt11,page_0146,6,học,季,斈,REVIEW,no_s1_inter_s2,0.0809,1
silver/stt11_page_0148_c01_011.png,stt11,page_0148,1,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0148,2,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0150_c07_139.png,stt11,page_0150,7,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0152_c01_007.png,stt11,page_0152,1,của,右,古,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
silver/stt11_page_0152_c04_066.png,stt11,page_0152,4,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0152_c04_068.png,stt11,page_0152,4,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0152,6,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0154_c05_091.png,stt11,page_0154,5,rừng,撥,澄,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
silver/stt11_page_0156_c02_042.png,stt11,page_0156,2,cầu,來,求,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
silver/stt11_page_0156_c03_053.png,stt11,page_0156,3,cầu,來,求,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
silver/stt11_page_0156_c06_128.png,stt11,page_0156,6,cầu,來,求,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
,stt11,page_0158,7,nhạo,楽,樂,REVIEW,diverged_column,0.0673,4
,stt11,page_0162,5,yêu,腸,腰,REVIEW,no_s1_inter_s2,0.0085,1
,stt11,page_0166,3,ma,瑪,嗎,REVIEW,diverged_column,0.0514,16
silver/stt11_page_0166_c08_168.png,stt11,page_0166,8,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
,stt11,page_0168,1,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0170_c08_094.png,stt11,page_0170,8,dấu,呌,𧿫,SILVER_uncalibrated,s2_inter_s3_corrected,0.0043,17
silver/stt11_page_0176_c01_015.png,stt11,page_0176,1,chê,跂,吱,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,1
silver/stt11_page_0178_c06_123.png,stt11,page_0178,6,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0182,1,dây,姨,洟,REVIEW,no_s1_inter_s2,0.0000,4
,stt11,page_0182,8,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0182_c08_166.png,stt11,page_0182,8,liên,逹,莲,SILVER_uncalibrated,s2_inter_s3_corrected,0.0260,1
silver/stt11_page_0188_c09_173.png,stt11,page_0188,9,thánh,至,圣,SILVER_uncalibrated,s2_inter_s3_corrected,0.0669,21
,stt11,page_0194,6,hãy,突,唉,REVIEW,no_s1_inter_s2,0.0082,3
silver/stt11_page_0196_c02_022.png,stt11,page_0196,2,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
,stt11,page_0198,9,đền,佃,田,REVIEW,diverged_column,0.0142,1
silver/stt11_page_0200_c03_043.png,stt11,page_0200,3,mà,昧,菻,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
silver/stt11_page_0200_c05_103.png,stt11,page_0200,5,rừng,撥,澄,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
,stt11,page_0200,5,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
,stt11,page_0200,9,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0202_c09_168.png,stt11,page_0202,9,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
silver/stt11_page_0208_c06_112.png,stt11,page_0208,6,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
,stt11,page_0210,2,a,至,果,REVIEW,no_s1_inter_s2,0.0000,10
silver/stt11_page_0212_c05_102.png,stt11,page_0212,5,si,槎,蹉,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,26
silver/stt11_page_0212_c09_177.png,stt11,page_0212,9,bằng,年,平,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,1
silver/stt11_page_0214_c08_162.png,stt11,page_0214,8,xuống,窀,笹,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,1
silver/stt11_page_0218_c02_035.png,stt11,page_0218,2,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
,stt11,page_0218,3,mùa,券,务,REVIEW,no_s1_inter_s2,0.0897,2
,stt11,page_0218,7,a,至,果,REVIEW,no_s1_inter_s2,0.0000,10
,stt11,page_0218,8,quý,實,貴,REVIEW,no_s1_inter_s2,0.0428,1
silver/stt11_page_0220_c03_055.png,stt11,page_0220,3,tế,癸,齐,SILVER_uncalibrated,s2_inter_s3_corrected,0.0412,1
,stt11,page_0220,3,ví,蛮,𠸠,REVIEW,no_s1_inter_s2,,1
silver/stt11_page_0220_c08_171.png,stt11,page_0220,8,cho,床,咮,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
,stt11,page_0222,7,dấu,呌,𧿫,REVIEW,no_s1_inter_s2,0.0043,17
silver/stt11_page_0224_c02_031.png,stt11,page_0224,2,a,至,果,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,10
silver/stt11_page_0224_c05_105.png,stt11,page_0224,5,si,槎,蹉,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,26
,stt11,page_0234,2,ma,瑪,嗎,REVIEW,diverged_column,0.0514,16
silver/stt11_page_0236_c06_129.png,stt11,page_0236,6,tù,内,囚,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
,stt11,page_0236,8,làm,女,乄,REVIEW,diverged_column,0.0000,1
,stt11,page_0238,1,mẹ,娛,媄,REVIEW,no_s1_inter_s2,0.0632,1
,stt11,page_0238,6,dấu,呌,𧿫,REVIEW,no_s1_inter_s2,0.0043,17
,stt11,page_0242,1,biển,渡,𣷷,REVIEW,no_s1_inter_s2,,2
,stt11,page_0244,8,lạy,袍,𥚄,REVIEW,no_s1_inter_s2,,4
silver/stt11_page_0244_c08_167.png,stt11,page_0244,8,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0246_c09_191.png,stt11,page_0246,9,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
silver/stt11_page_0248_c09_197.png,stt11,page_0248,9,trong,甲,中,SILVER_uncalibrated,s2_inter_s3_corrected,0.0062,3
silver/stt11_page_0250_c01_011.png,stt11,page_0250,1,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt11_page_0250_c09_200.png,stt11,page_0250,9,hay,必,処,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
,stt11,page_0252,5,phô,賄,哺,REVIEW,no_s1_inter_s2,0.0097,2
silver/stt11_page_0256_c03_050.png,stt11,page_0256,3,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
silver/stt11_page_0256_c04_076.png,stt11,page_0256,4,chim,鵠,𪀄,SILVER_uncalibrated,s2_inter_s3_corrected,,1
,stt11,page_0256,5,phô,賄,哺,REVIEW,no_s1_inter_s2,0.0097,2
,stt11,page_0262,7,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0266_c08_121.png,stt11,page_0266,8,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
silver/stt11_page_0266_c08_122.png,stt11,page_0266,8,a,至,果,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,10
silver/stt11_page_0270_c01_012.png,stt11,page_0270,1,cho,失,木,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
silver/stt11_page_0272_c01_017.png,stt11,page_0272,1,đầu,碩,頭,SILVER_uncalibrated,s2_inter_s3_corrected,0.0567,1
silver/stt11_page_0272_c05_077.png,stt11,page_0272,5,si,槎,蹉,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,26
silver/stt11_page_0272_c07_132.png,stt11,page_0272,7,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
,stt11,page_0272,8,lạy,袍,𥚄,REVIEW,no_s1_inter_s2,,4
,stt11,page_0274,8,dấu,呌,𧿫,REVIEW,no_s1_inter_s2,0.0043,17
silver/stt11_page_0276_c09_178.png,stt11,page_0276,9,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0278,3,nhạo,楽,樂,REVIEW,diverged_column,0.0673,4
,stt11,page_0278,9,làm,勺,乄,REVIEW,no_s1_inter_s2,0.0000,4
,stt11,page_0282,3,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0282_c06_117.png,stt11,page_0282,6,phải,洋,拜,SILVER_uncalibrated,s2_inter_s3_corrected,0.0337,1
silver/stt11_page_0282_c09_188.png,stt11,page_0282,9,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0284_c01_011.png,stt11,page_0284,1,hai,皆,怡,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,1
silver/stt11_page_0284_c01_017.png,stt11,page_0284,1,tù,内,囚,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
,stt11,page_0288,7,trâu,楼,𤠋,REVIEW,no_s1_inter_s2,0.0197,1
silver/stt11_page_0290_c03_048.png,stt11,page_0290,3,khuyên,勘,勧,SILVER_uncalibrated,s2_inter_s3_corrected,0.0468,2
,stt11,page_0290,3,sống,報,𧚠,REVIEW,no_s1_inter_s2,,3
,stt11,page_0292,4,lạy,袍,𥚄,REVIEW,no_s1_inter_s2,,4
,stt11,page_0294,2,dây,姨,洟,REVIEW,no_s1_inter_s2,0.0000,4
silver/stt11_page_0296_c06_105.png,stt11,page_0296,6,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt2,page_0012,1,bát,六,癶,REVIEW,no_s1_inter_s2,0.0000,1
,stt2,page_0014,9,giữ,侍,佇,REVIEW,no_s1_inter_s2,0.0173,2
silver/stt2_page_0016_c03_055.png,stt2,page_0016,3,cho,失,木,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
silver/stt2_page_0016_c03_065.png,stt2,page_0016,3,của,右,古,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
silver/stt2_page_0016_c04_078.png,stt2,page_0016,4,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
,stt2,page_0018,1,lần,吞,吝,REVIEW,no_s1_inter_s2,0.0268,7
,stt2,page_0018,6,mặt,栖,湎,REVIEW,no_s1_inter_s2,0.0000,4
silver/stt2_page_0022_c07_143.png,stt2,page_0022,7,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
,stt2,page_0024,1,dấu,呌,𧿫,REVIEW,no_s1_inter_s2,0.0043,17
silver/stt2_page_0026_c01_015.png,stt2,page_0026,1,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0026_c02_042.png,stt2,page_0026,2,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
,stt2,page_0026,5,ti,牟,糸,REVIEW,no_s1_inter_s2,0.0273,1
silver/stt2_page_0028_c05_090.png,stt2,page_0028,5,phán,刾,判,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
silver/stt2_page_0028_c05_106.png,stt2,page_0028,5,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0030_c02_023.png,stt2,page_0030,2,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0030_c03_052.png,stt2,page_0030,3,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0030_c05_107.png,stt2,page_0030,5,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0034_c04_073.png,stt2,page_0034,4,ấy,収,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,1
silver/stt2_page_0036_c07_123.png,stt2,page_0036,7,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0036_c09_153.png,stt2,page_0036,9,trên,蓬,𨖲,SILVER_uncalibrated,s2_inter_s3_corrected,,5
silver/stt2_page_0042_c07_134.png,stt2,page_0042,7,mặt,栖,湎,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,4
silver/stt2_page_0042_c07_147.png,stt2,page_0042,7,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0046_c02_025.png,stt2,page_0046,2,dấu,呌,𧿫,SILVER_uncalibrated,s2_inter_s3_corrected,0.0043,17
silver/stt2_page_0048_c08_147.png,stt2,page_0048,8,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
,stt2,page_0050,5,trên,蓬,𨖲,REVIEW,no_s1_inter_s2,,5
,stt2,page_0050,8,sáu,都,𦒹,REVIEW,no_s1_inter_s2,,1
,stt2,page_0052,1,ma,瑪,嗎,REVIEW,diverged_column,0.0514,16
,stt2,page_0052,4,ấy,徐,衣,REVIEW,no_s1_inter_s2,0.0151,1
,stt2,page_0056,5,lần,吞,吝,REVIEW,no_s1_inter_s2,0.0268,7
,stt2,page_0060,5,a,至,果,REVIEW,no_s1_inter_s2,0.0000,10
silver/stt2_page_0060_c08_164.png,stt2,page_0060,8,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt2_page_0060_c09_182.png,stt2,page_0060,9,mặt,栖,湎,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,4
silver/stt2_page_0066_c03_055.png,stt2,page_0066,3,dấu,呌,𧿫,SILVER_uncalibrated,s2_inter_s3_corrected,0.0043,17
,stt2,page_0066,5,láng,朝,朗,REVIEW,no_s1_inter_s2,0.0079,2
,stt2,page_0068,4,lạy,裀,𥛉,REVIEW,no_s1_inter_s2,,1
,stt2,page_0070,5,so,爐,嚧,REVIEW,no_s1_inter_s2,,1
silver/stt2_page_0072_c04_064.png,stt2,page_0072,4,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
silver/stt2_page_0074_c05_101.png,stt2,page_0074,5,lại,在,右,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
silver/stt2_page_0076_c02_028.png,stt2,page_0076,2,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
silver/stt2_page_0076_c07_132.png,stt2,page_0076,7,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
silver/stt2_page_0078_c04_067.png,stt2,page_0078,4,trời,癸,𡗶,SILVER_uncalibrated,s2_inter_s3_corrected,,1
,stt2,page_0078,7,ngực,膽,𦞐,REVIEW,no_s1_inter_s2,,1
,stt2,page_0082,4,ngày,得,𣈜,REVIEW,diverged_column,,50
,stt2,page_0082,5,đem,定,𨑴,REVIEW,diverged_column,,1
,stt2,page_0082,6,mặt,相,𩈘,REVIEW,diverged_column,,4
silver/stt2_page_0082_c08_155.png,stt2,page_0082,8,nhạo,楽,樂,SILVER_uncalibrated,s3_head_bank_consensus,0.0673,4
silver/stt2_page_0084_c02_025.png,stt2,page_0084,2,lành,合,令,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
silver/stt2_page_0086_c04_068.png,stt2,page_0086,4,trên,蓬,𨖲,SILVER_uncalibrated,s2_inter_s3_corrected,,5
,stt2,page_0086,9,cóp,汲,級,REVIEW,no_s1_inter_s2,0.0279,1
silver/stt2_page_0088_c03_051.png,stt2,page_0088,3,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
,stt2,page_0090,4,ngày,睜,時,REVIEW,no_s1_inter_s2,0.0000,1
silver/stt2_page_0092_c02_031.png,stt2,page_0092,2,vua,峒,𢃊,SILVER_uncalibrated,s2_inter_s3_corrected,,1
silver/stt2_page_0094_c03_061.png,stt2,page_0094,3,trên,蓬,𨖲,SILVER_uncalibrated,s2_inter_s3_corrected,,5
silver/stt2_page_0096_c07_151.png,stt2,page_0096,7,cho,失,木,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
,stt2,page_0100,1,dưới,滯,𠁑,REVIEW,no_s1_inter_s2,,1
,stt2,page_0100,8,ấy,伐,𧘇,REVIEW,diverged_column,,21
silver/stt2_page_0102_c03_042.png,stt2,page_0102,3,yêu,矢,夭,SILVER_uncalibrated,s2_inter_s3_corrected,0.0118,1
silver/stt2_page_0104_c05_094.png,stt2,page_0104,5,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
,stt2,page_0108,7,quỷ,思,鬼,REVIEW,diverged_column,0.0000,57
silver/stt2_page_0110_c01_007.png,stt2,page_0110,1,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
,stt2,page_0114,1,thay,出,卋,REVIEW,no_s1_inter_s2,0.0361,4
silver/stt2_page_0114_c06_114.png,stt2,page_0114,6,vợ,媚,婦,SILVER_uncalibrated,s2_inter_s3_corrected,0.0241,2
,stt2,page_0116,9,a,至,果,REVIEW,no_s1_inter_s2,0.0000,10
,stt2,page_0118,4,mùa,券,务,REVIEW,no_s1_inter_s2,0.0897,2
,stt2,page_0118,9,làm,寿,乄,REVIEW,no_s1_inter_s2,0.0000,1
silver/stt2_page_0124_c06_113.png,stt2,page_0124,6,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
silver/stt2_page_0124_c09_171.png,stt2,page_0124,9,thánh,至,圣,SILVER_uncalibrated,s2_inter_s3_corrected,0.0669,21
silver/stt2_page_0126_c05_107.png,stt2,page_0126,5,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt2_page_0128_c05_106.png,stt2,page_0128,5,mà,昧,菻,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
silver/stt2_page_0130_c02_040.png,stt2,page_0130,2,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
