book,page,column,nom_idx,syl_idx,bbox,fold,tier,tier_v3,syllable_v3,syl_in_classes,ok,p_syl_v3,argmax,max_prob,top5,p_left,p_right
stt11,page_0010,2,16,17,"[1308, 2063, 1423, 2187]",4,GOLD,CHAR_A,phúc,1,1,0.897873,phúc,0.897873,"[[""phúc"", 0.89787], [""li"", 0.00459], [""tớ"", 0.00428], [""vợ"", 0.00405], [""lấy"", 0.00336]]",6.27671e-07,0.000584174
stt11,page_0010,2,17,18,"[1320, 2160, 1432, 2282]",4,GOLD,CHAR_A,cực,1,1,0.239384,cực,0.239384,"[[""cực"", 0.23938], [""bồn"", 0.03482], [""tra"", 0.01438], [""dù"", 0.01279], [""đường"", 0.01164]]",0.00019264,0.00530937
stt11,page_0010,2,18,19,"[1298, 2267, 1413, 2384]",4,GOLD,CHAR_A,trọng,1,1,0.0917514,trọng,0.0917514,"[[""trọng"", 0.09175], [""chồng"", 0.07188], [""trong"", 0.05522], [""sớm"", 0.04184], [""lăm"", 0.02528]]",0.00141788,0.000985979
stt11,page_0010,2,19,20,"[1299, 2364, 1411, 2474]",4,SYLLABLE,SYL,là,1,1,0.980299,là,0.980299,"[[""là"", 0.9803], [""cùng"", 0.00135], [""ra"", 0.00083], [""thế"", 0.0005], [""đẹp"", 0.00048]]",2.52158e-06,
stt11,page_0010,3,0,0,"[1153, 415, 1263, 526]",4,GOLD,CHAR_A,thấy,1,1,0.924962,thấy,0.924962,"[[""thấy"", 0.92496], [""những"", 0.0104], [""bồng"", 0.00819], [""làm"", 0.00459], [""thể"", 0.00344]]",,0.000175401
stt11,page_0010,3,1,1,"[1155, 505, 1262, 624]",4,SYLLABLE,SYL,đức,1,1,0.967165,đức,0.967165,"[[""đức"", 0.96716], [""kẻo"", 0.00308], [""đinh"", 0.00232], [""cùng"", 0.00168], [""đứa"", 0.00111]]",1.74665e-06,0.000343418
stt11,page_0010,3,2,2,"[1153, 599, 1262, 720]",4,GOLD,CHAR_A,chúa,1,1,0.917092,chúa,0.917092,"[[""chúa"", 0.91709], [""ngọc"", 0.00855], [""quê"", 0.00676], [""trời"", 0.00226], [""giê"", 0.00192]]",0.00159416,0.00225693
stt11,page_0010,3,3,3,"[1151, 695, 1262, 815]",4,GOLD,CHAR_B,trời,1,1,0.927279,trời,0.927279,"[[""trời"", 0.92728], [""để"", 0.00308], [""ưa"", 0.00288], [""mồ"", 0.00206], [""muốn"", 0.00198]]",0.00128596,0.000122449
stt11,page_0010,3,4,4,"[1152, 797, 1260, 918]",4,GOLD,CHAR_A,tỏ,1,1,0.586723,tỏ,0.586723,"[[""tỏ"", 0.58672], [""giảng"", 0.02815], [""chắng"", 0.01501], [""cai"", 0.0134], [""sửa"", 0.01284]]",0.000228766,0.00243081
stt11,page_0010,3,5,5,"[1151, 886, 1264, 1004]",4,GOLD,CHAR_A,tường,1,1,0.873814,tường,0.873814,"[[""tường"", 0.87381], [""toan"", 0.01304], [""trình"", 0.00961], [""khiêm"", 0.00648], [""kể"", 0.00407]]",0.00293211,1.76035e-06
stt11,page_0010,3,6,6,"[1150, 1019, 1268, 1142]",4,GOLD,CHAR_A,đời,1,1,0.986256,đời,0.986256,"[[""đời"", 0.98626], [""ra"", 0.00207], [""dạy"", 0.00063], [""bạn"", 0.0004], [""tuổi"", 0.00029]]",2.07419e-06,0.986256
stt11,page_0010,3,7,7,"[1150, 1122, 1268, 1245]",4,REVIEW,REVIEW,đời,1,1,0.00151523,một,0.347961,"[[""một"", 0.34796], [""dạy"", 0.07489], [""pha"", 0.0495], [""lăm"", 0.01996], [""no"", 0.0181]]",0.00151523,0.347961
stt11,page_0010,3,8,8,"[1150, 1225, 1268, 1348]",4,GOLD,CHAR_B,một,1,1,0.366445,một,0.366445,"[[""một"", 0.36645], [""sự"", 0.10581], [""mới"", 0.02279], [""bỏ"", 0.01449], [""thờ"", 0.01335]]",8.41582e-05,0.105812
stt11,page_0010,3,9,9,"[1150, 1328, 1268, 1451]",4,GOLD,CHAR_A,sự,1,1,0.102958,làm,0.831664,"[[""làm"", 0.83166], [""sự"", 0.10296], [""ấy"", 0.02248], [""ở"", 0.0039], [""bắt"", 0.0028]]",1.73305e-06,0.831664
stt11,page_0010,3,10,10,"[1150, 1430, 1268, 1554]",4,SYLLABLE,SYL,làm,1,1,0.690822,làm,0.690822,"[[""làm"", 0.69082], [""cho"", 0.09597], [""thay"", 0.01864], [""cáo"", 0.01206], [""dữ"", 0.0091]]",0.000164774,0.0959671
stt11,page_0010,3,11,11,"[1150, 1533, 1268, 1656]",4,GOLD,CHAR_A,cho,1,1,0.580454,cho,0.580454,"[[""cho"", 0.58045], [""mất"", 0.07562], [""đến"", 0.03938], [""hôi"", 0.01796], [""con"", 0.00816]]",0.00170362,
stt11,page_0010,3,12,12,"[1150, 1636, 1268, 1759]",4,REVIEW,REVIEW,trọn,0,1,,mình,0.0765116,"[[""mình"", 0.07651], [""lọn"", 0.07592], [""ủi"", 0.07272], [""này"", 0.03476], [""bỏ"", 0.01629]]",0.000335463,0.000305442
stt11,page_0010,3,13,13,"[1161, 1719, 1275, 1835]",4,GOLD,CHAR_A,vui,1,1,0.870726,vui,0.870726,"[[""vui"", 0.87073], [""chịu"", 0.02201], [""nay"", 0.0146], [""thần"", 0.01269], [""lôi"", 0.00714]]",,
stt11,page_0010,3,14,14,"[1150, 1842, 1268, 1965]",4,REVIEW,REVIEW,trọn,0,1,,lọn,0.72221,"[[""lọn"", 0.72221], [""sang"", 0.02253], [""nhọc"", 0.01835], [""nơi"", 0.01234], [""xứ"", 0.00643]]",1.92235e-05,0.000106386
stt11,page_0010,3,15,15,"[1154, 1982, 1262, 2101]",4,GOLD,CHAR_A,lành,1,1,0.845793,lành,0.845793,"[[""lành"", 0.84579], [""chừa"", 0.02675], [""phép"", 0.00509], [""gọi"", 0.0048], [""rình"", 0.00459]]",,2.79701e-05
stt11,page_0010,3,16,16,"[1150, 2047, 1268, 2170]",4,SYLLABLE,SYL,đức,1,1,0.689811,đức,0.689811,"[[""đức"", 0.68981], [""lành"", 0.09786], [""bao"", 0.01234], [""chúa"", 0.01164], [""ở"", 0.0104]]",0.0978599,0.0116421
stt11,page_0010,3,17,17,"[1155, 2175, 1260, 2290]",4,GOLD,CHAR_A,chúa,1,1,0.948343,chúa,0.948343,"[[""chúa"", 0.94834], [""quê"", 0.01345], [""đức"", 0.00984], [""trời"", 0.00263], [""ngọc"", 0.00064]]",0.00984203,0.00262833
stt11,page_0010,3,18,18,"[1156, 2270, 1259, 2385]",4,SYLLABLE,SYL,trời,1,1,0.954818,trời,0.954818,"[[""trời"", 0.95482], [""phạt"", 0.00254], [""vậy"", 0.00175], [""ưa"", 0.00146], [""xét"", 0.00141]]",0.000137674,3.6766e-05
stt11,page_0010,3,19,19,"[1155, 2366, 1261, 2471]",4,SYLLABLE,SYL,là,1,1,0.214582,là,0.214582,"[[""là"", 0.21458], [""ra"", 0.1663], [""làm"", 0.07401], [""cùng"", 0.06443], [""vồ"", 0.04192]]",1.07834e-05,
stt11,page_0010,4,0,0,"[1013, 412, 1125, 523]",4,GOLD,CHAR_A,mạch,1,1,0.101361,mạch,0.101361,"[[""mạch"", 0.10136], [""nó"", 0.04911], [""thấy"", 0.0275], [""sang"", 0.0275], [""lăm"", 0.02723]]",,0.00526806
stt11,page_0010,4,1,1,"[1011, 502, 1125, 625]",4,GOLD,CHAR_A,mọi,1,1,0.834003,mọi,0.834003,"[[""mọi"", 0.834], [""mặt"", 0.02675], [""đẹp"", 0.01142], [""moi"", 0.00597], [""tớ"", 0.00525]]",9.02885e-05,0.00256745
stt11,page_0010,4,2,2,"[1004, 599, 1117, 720]",4,GOLD,CHAR_A,sự,1,1,0.872641,sự,0.872641,"[[""sự"", 0.87264], [""mở"", 0.00618], [""ấy"", 0.00463], [""thiên"", 0.00456], [""trong"", 0.0041]]",0.000195674,5.92127e-05
stt11,page_0010,4,3,3,"[1003, 695, 1115, 815]",4,GOLD,CHAR_A,thịnh,1,1,0.335613,thịnh,0.335613,"[[""thịnh"", 0.33561], [""tra"", 0.06017], [""cám"", 0.03714], [""thành"", 0.01748], [""am"", 0.01668]]",5.2255e-05,0.00203897
stt11,page_0010,4,5,4,"[1003, 798, 1115, 920]",4,GOLD,CHAR_A,ông,1,1,0.542895,ông,0.542895,"[[""ông"", 0.54289], [""đến"", 0.15807], [""ong"", 0.11374], [""khen"", 0.01623], [""đoạn"", 0.00917]]",6.35259e-05,0.00725705
stt11,page_0010,4,6,5,"[1003, 902, 1116, 1026]",4,GOLD,CHAR_A,thánh,1,1,0.90486,thánh,0.90486,"[[""thánh"", 0.90486], [""ông"", 0.03524], [""bởi"", 0.00201], [""chối"", 0.00179], [""bà"", 0.00152]]",0.0352354,0.00010231
stt11,page_0010,4,7,6,"[1004, 997, 1116, 1124]",4,GOLD,CHAR_A,pha,1,1,0.972611,pha,0.972611,"[[""pha"", 0.97261], [""táng"", 0.00458], [""thánh"", 0.00147], [""mát"", 0.00088], [""lăm"", 0.00071]]",0.00146861,0.972611
stt11,page_0010,4,8,7,"[1004, 1102, 1116, 1227]",4,SYLLABLE,SYL,pha,1,1,0.998191,pha,0.998191,"[[""pha"", 0.99819], [""ra"", 0.00053], [""mạnh"", 8e-05], [""ay"", 7e-05], [""hề"", 6e-05]]",0.998191,
stt11,page_0010,4,9,8,"[1004, 1199, 1115, 1322]",4,GOLD,CHAR_A,bô,0,1,,phô,0.0745934,"[[""phô"", 0.07459], [""ru"", 0.04998], [""khốn"", 0.03977], [""bỏ"", 0.03707], [""dòng"", 0.0295]]",0.000989839,0.0028419
stt11,page_0010,4,10,9,"[1004, 1294, 1116, 1417]",4,GOLD,CHAR_A,ni,1,1,0.0196115,này,0.62716,"[[""này"", 0.62716], [""nơi"", 0.20737], [""nay"", 0.10156], [""ni"", 0.01961], [""thay"", 0.00311]]",,0.000176776
stt11,page_0010,4,11,10,"[1005, 1392, 1114, 1510]",4,SYLLABLE,SYL,pha,1,1,0.979836,pha,0.979836,"[[""pha"", 0.97984], [""bà"", 0.00144], [""táng"", 0.00089], [""làm"", 0.0008], [""nào"", 0.00075]]",6.30316e-05,2.68421e-06
stt11,page_0010,4,12,11,"[1003, 1484, 1116, 1607]",4,SYLLABLE,SYL,si,1,1,0.973131,si,0.973131,"[[""si"", 0.97313], [""xi"", 0.00351], [""bởi"", 0.00138], [""mô"", 0.00121], [""tin"", 0.00082]]",1.42857e-05,2.94803e-06
stt11,page_0010,4,13,12,"[1004, 1590, 1116, 1711]",4,GOLD,CHAR_A,ô,1,1,0.938095,ô,0.938095,"[[""ô"", 0.9381], [""sang"", 0.00433], [""dốc"", 0.00427], [""dữ"", 0.00332], [""vì"", 0.00288]]",0.000278108,0.000225219
stt11,page_0010,4,14,13,"[1003, 1686, 1117, 1804]",4,GOLD,CHAR_A,thứ,1,1,0.981092,thứ,0.981092,"[[""thứ"", 0.98109], [""ô"", 0.00227], [""song"", 0.00141], [""này"", 0.00103], [""si"", 0.00092]]",0.00227463,2.68421e-06
stt11,page_0010,4,15,14,"[1004, 1782, 1114, 1900]",4,SYLLABLE,SYL,bốn,1,1,0.902708,bốn,0.902708,"[[""bốn"", 0.90271], [""bởi"", 0.01128], [""khóc"", 0.00375], [""chúng"", 0.00301], [""gia"", 0.00262]]",0.000220002,0.000540272
stt11,page_0010,4,16,15,"[995, 1888, 1105, 2005]",4,GOLD,CHAR_A,thấy,1,1,0.988817,thấy,0.988817,"[[""thấy"", 0.98882], [""y"", 0.0007], [""bỏ"", 0.0006], [""chân"", 0.00033], [""le"", 0.00033]]",0.000307838,1.54141e-06
stt11,page_0010,4,17,16,"[995, 1984, 1104, 2101]",4,SYLLABLE,SYL,một,1,1,0.757424,một,0.757424,"[[""một"", 0.75742], [""dái"", 0.01426], [""kính"", 0.01169], [""i"", 0.00776], [""le"", 0.00684]]",0.00255744,2.77524e-05
stt11,page_0010,4,18,17,"[994, 2088, 1105, 2203]",4,GOLD,CHAR_A,nhà,1,1,0.699819,nhà,0.699819,"[[""nhà"", 0.69982], [""nó"", 0.01789], [""le"", 0.01761], [""linh"", 0.01714], [""dân"", 0.00928]]",0.00500722,1.99893e-05
stt11,page_0010,4,19,18,"[1003, 2183, 1116, 2298]",4,GOLD,CHAR_A,quỷ,1,1,0.795617,quỷ,0.795617,"[[""quỷ"", 0.79562], [""nhà"", 0.06506], [""vàng"", 0.02782], [""trước"", 0.00643], [""nó"", 0.00633]]",0.0650615,0.000833528
stt11,page_0010,4,20,19,"[1005, 2278, 1115, 2395]",4,GOLD,CHAR_A,ở,1,1,0.955547,ở,0.955547,"[[""ở"", 0.95555], [""sáu"", 0.00692], [""này"", 0.00548], [""khỏi"", 0.00226], [""bao"", 0.00183]]",0.000827041,0.00117088
stt11,page_0010,4,21,20,"[1014, 2376, 1126, 2483]",4,GOLD,CHAR_A,thành,1,1,0.791645,thành,0.791645,"[[""thành"", 0.79164], [""ở"", 0.06029], [""công"", 0.00842], [""khi"", 0.00764], [""mồ"", 0.00565]]",0.0602897,
stt11,page_0010,5,0,0,"[859, 413, 967, 529]",4,SYLLABLE,SYL,rô,1,1,0.833494,rô,0.833494,"[[""rô"", 0.83349], [""ra"", 0.01483], [""ma"", 0.00886], [""vàng"", 0.00531], [""lê"", 0.00229]]",,0.00885686
stt11,page_0010,5,1,1,"[860, 510, 964, 636]",4,SYLLABLE,SYL,ma,1,1,0.943061,ma,0.943061,"[[""ma"", 0.94306], [""dân"", 0.00264], [""thôi"", 0.00172], [""mà"", 0.00146], [""dữ"", 0.00143]]",7.14241e-05,5.06473e-05
stt11,page_0010,5,2,2,"[858, 607, 965, 733]",4,GOLD,CHAR_A,khéo,1,1,0.0591236,cùng,0.181936,"[[""cùng"", 0.18194], [""khéo"", 0.05912], [""mong"", 0.05878], [""thương"", 0.02067], [""tốt"", 0.01977]]",0.000265373,1.1213e-05
stt11,page_0010,5,3,3,"[857, 705, 966, 827]",4,GOLD,CHAR_A,lắm,1,1,0.145335,lăm,0.817872,"[[""lăm"", 0.81787], [""lắm"", 0.14534], [""ra"", 0.00205], [""cấm"", 0.00085], [""chồng"", 0.00068]]",9.02885e-05,1.59369e-05
stt11,page_0010,5,4,4,"[855, 806, 966, 935]",4,GOLD,CHAR_A,ông,1,1,0.537881,ông,0.537881,"[[""ông"", 0.53788], [""ong"", 0.07049], [""vua"", 0.03067], [""đến"", 0.02209], [""bảo"", 0.01748]]",0.00203102,3.27003e-05
stt11,page_0010,5,5,5,"[856, 913, 965, 1038]",4,GOLD,CHAR_A,kia,1,1,0.667609,kia,0.667609,"[[""kia"", 0.66761], [""phong"", 0.01201], [""về"", 0.00984], [""thả"", 0.00973], [""con"", 0.00935]]",0.00167721,0.000200314
stt11,page_0010,5,6,6,"[856, 1019, 966, 1143]",4,GOLD,CHAR_A,tên,1,1,0.116211,kia,0.241026,"[[""kia"", 0.24103], [""cho"", 0.20277], [""tên"", 0.11621], [""cáo"", 0.04024], [""người"", 0.03336]]",0.241026,0.00835282
stt11,page_0010,5,7,7,"[856, 1113, 966, 1240]",4,SYLLABLE,SYL,là,1,1,0.0314617,tên,0.879915,"[[""tên"", 0.87992], [""là"", 0.03146], [""đem"", 0.01011], [""người"", 0.009], [""cho"", 0.00791]]",0.879915,6.86879e-05
stt11,page_0010,5,8,8,"[857, 1229, 967, 1353]",4,SYLLABLE,SYL,a,1,1,0.0396937,là,0.881313,"[[""là"", 0.88131], [""a"", 0.03969], [""lăm"", 0.00465], [""ra"", 0.00315], [""ri"", 0.00277]]",0.881313,0.000710174
stt11,page_0010,5,9,9,"[856, 1326, 968, 1447]",4,GOLD,CHAR_B,ki,1,1,0.0323339,răng,0.262912,"[[""răng"", 0.26291], [""ơn"", 0.09921], [""đến"", 0.03635], [""ki"", 0.03233], [""rằng"", 0.01694]]",0.000840065,5.7841e-05
stt11,page_0010,5,10,10,"[857, 1412, 966, 1532]",4,GOLD,CHAR_A,li,1,1,0.0237485,song,0.0692576,"[[""song"", 0.06926], [""thì"", 0.04351], [""vua"", 0.04259], [""ki"", 0.04095], [""li"", 0.02375]]",0.0409537,6.10923e-05
stt11,page_0010,5,11,11,"[849, 1508, 955, 1625]",4,GOLD,CHAR_A,pha,1,1,6.35259e-05,le,0.960254,"[[""le"", 0.96025], [""cùng"", 0.00563], [""thăng"", 0.00228], [""li"", 0.00217], [""cầm"", 0.00204]]",0.00217047,6.06169e-05
stt11,page_0010,5,12,12,"[849, 1603, 955, 1720]",4,SYLLABLE,SYL,làm,1,1,0.22313,pha,0.704963,"[[""pha"", 0.70496], [""làm"", 0.22313], [""nơi"", 0.00782], [""ấy"", 0.00752], [""thay"", 0.00412]]",0.704963,1.69647e-05
stt11,page_0010,5,13,13,"[847, 1706, 957, 1827]",4,SYLLABLE,SYL,xưa,1,1,0.960254,xưa,0.960254,"[[""xưa"", 0.96025], [""làm"", 0.00623], [""ước"", 0.00548], [""lễ"", 0.00277], [""áo"", 0.0016]]",0.00623158,5.01476e-06
stt11,page_0010,5,14,14,"[846, 1810, 958, 1934]",4,GOLD,CHAR_A,mà,1,1,0.921131,mà,0.921131,"[[""mà"", 0.92113], [""về"", 0.00766], [""được"", 0.00286], [""xưa"", 0.00173], [""đánh"", 0.00163]]",0.00173045,0.00028029
stt11,page_0010,5,15,15,"[844, 1917, 958, 2038]",4,SYLLABLE,SYL,thờ,1,1,0.880667,thờ,0.880667,"[[""thờ"", 0.88067], [""lên"", 0.00595], [""vô"", 0.00539], [""tô"", 0.00527], [""chóng"", 0.00521]]",0.00238379,0.000439238
stt11,page_0010,5,16,16,"[844, 2014, 960, 2133]",4,GOLD,CHAR_A,nó,1,1,0.91452,nó,0.91452,"[[""nó"", 0.91452], [""thờ"", 0.0181], [""ngoài"", 0.00886], [""song"", 0.00785], [""nô"", 0.00776]]",0.0181023,5.02531e-05
stt11,page_0010,5,17,17,"[848, 2111, 957, 2224]",4,GOLD,CHAR_A,ông,1,1,0.121314,su,0.405618,"[[""su"", 0.40562], [""ong"", 0.13706], [""ông"", 0.12131], [""đi"", 0.03862], [""giê"", 0.03233]]",0.0186769,0.000390667
stt11,page_0010,5,18,18,"[858, 2206, 966, 2320]",4,GOLD,CHAR_A,thánh,1,1,0.0756202,ông,0.229316,"[[""ông"", 0.22932], [""cũng"", 0.10561], [""thánh"", 0.07562], [""hình"", 0.03317], [""giết"", 0.02222]]",0.229316,0.00332252
stt11,page_0010,5,19,19,"[860, 2290, 963, 2404]",4,SYLLABLE,SYL,pha,1,1,0.0982429,thánh,0.542365,"[[""thánh"", 0.54236], [""pha"", 0.09824], [""bà"", 0.04111], [""anh"", 0.01879], [""đức"", 0.01064]]",0.542365,0.0982429
stt11,page_0010,5,20,20,"[848, 2367, 955, 2476]",4,SYLLABLE,SYL,pha,1,1,0.888388,pha,0.888388,"[[""pha"", 0.88839], [""nào"", 0.00769], [""ở"", 0.0072], [""mạnh"", 0.00544], [""chắng"", 0.00531]]",0.888388,
stt11,page_0010,6,0,0,"[697, 412, 808, 527]",4,GOLD,CHAR_A,thấy,1,1,0.935351,thấy,0.935351,"[[""thấy"", 0.93535], [""bổn"", 0.00695], [""bốn"", 0.00372], [""thể"", 0.00369], [""thiên"", 0.00252]]",,
stt11,page_0010,6,1,2,"[698, 504, 807, 627]",4,REVIEW,REVIEW,hạ,1,1,0.831258,hạ,0.831258,"[[""hạ"", 0.83126], [""thiên"", 0.07741], [""ngủ"", 0.00521], [""ý"", 0.00368], [""trời"", 0.00361]]",,0.000269552
stt11,page_0010,6,2,3,"[698, 607, 806, 730]",4,SYLLABLE,SYL,đã,1,1,0.860687,đã,0.860687,"[[""đã"", 0.86069], [""sửa"", 0.00581], [""vào"", 0.0044], [""tên"", 0.00412], [""tháng"", 0.00359]]",7.54389e-05,8.15689e-05
stt11,page_0010,6,3,4,"[696, 704, 808, 826]",4,SYLLABLE,SYL,học,1,1,0.663547,học,0.663547,"[[""học"", 0.66355], [""nết"", 0.01031], [""bụt"", 0.00988], [""cửa"", 0.00788], [""lỗi"", 0.00737]]",0.00175085,0.000377171
stt11,page_0010,6,4,5,"[686, 822, 803, 922]",4,GOLD,CHAR_A,đạo,1,1,0.185524,đạo,0.185524,"[[""đạo"", 0.18552], [""phi"", 0.036], [""lớn"", 0.03146], [""truyện"", 0.02904], [""bao"", 0.02384]]",0.00751672,0.00283082
stt11,page_0010,6,5,6,"[690, 905, 802, 1025]",4,GOLD,CHAR_A,thật,1,1,0.99343,thật,0.99343,"[[""thật"", 0.99343], [""cho"", 0.00155], [""bên"", 0.00059], [""tông"", 0.00026], [""tên"", 0.00024]]",3.45384e-05,3.13157e-07
stt11,page_0010,6,6,7,"[697, 1026, 802, 1148]",4,GOLD,CHAR_A,chăng,1,1,0.670877,chăng,0.670877,"[[""chăng"", 0.67088], [""chẳng"", 0.24843], [""chắng"", 0.01169], [""vì"", 0.00703], [""cũng"", 0.00208]]",4.39107e-06,0.000120551
