book,page,column,nom_idx,syllable,ocr_char_old,predicted_nom,unicode,prob,in_dict,decision,image
stt11,page_0010_p0028,5,26,trăm,曰,命,U+547D,0.0726,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,37,bốn,石,乄,U+4E44,0.073,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,38,mươi,早,事,U+4E8B,0.1951,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,39,tám,孤,卒,U+5352,0.0493,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,40,148,嗜,几,U+51E0,0.0934,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,1,mồng,垩,垩,U+57A9,0.8814,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,2,bốn,尼,尼,U+5C3C,0.9194,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,3,ông,生,生,U+751F,0.9748,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,4,thánh,哷,於,U+65BC,0.9437,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,19,rô,蒸,烝,U+70DD,0.5784,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,20,lô,早,𠊚,U+2029A,0.3573,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,21,viết,油,𠊚,U+2029A,0.689,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,22,vồ,麻,麻,U+9EBB,0.9686,False,NOT_IN_DICT,
stt11,page_0010_p0028,6,23,truyện,異,麻,U+9EBB,0.4805,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,3,này,苑,葩,U+8469,0.9438,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,4,sinh,之,丕,U+4E15,0.1497,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,5,ra,丕,丕,U+4E15,0.5359,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,7,thành,次,次,U+6B21,0.9301,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,8,mi,举,罪,U+7F6A,0.2012,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,9,long,共,共,U+5171,0.9637,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,10,là,朝,朝,U+671D,0.8998,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,11,gương,朱,朱,U+6731,0.497,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,12,các,固,固,U+56FA,0.9763,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,13,cả,凜,凜,U+51DC,0.8613,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,14,xem,時,時,U+6642,0.9844,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,15,mà,庒,麻,U+9EBB,0.0018,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,7,16,bắt,計,計,U+8A08,0.9483,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,17,chước,事,事,U+4E8B,0.9841,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,18,vì,反,衣,U+8863,0.2107,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,19,chưng,平,中,U+4E2D,0.3227,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,20,người,執,昆,U+6606,0.0008,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,7,21,dù,灵,灵,U+7075,0.7671,False,NOT_IN_DICT,
stt11,page_0010_p0028,7,22,ma,魂,魂,U+9B42,0.7896,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,0,cháu,㝵,𠊚,U+2029A,0.9682,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,1,ông,些,些,U+4E9B,0.9862,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,2,thánh,避,連,U+9023,0.9352,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,3,pha,天,天,U+5929,0.9673,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,4,pha,堂,堂,U+5802,0.9664,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,7,ô,䏷,時,U+6642,0.9525,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,8,thứ,昇,𠊚,U+2029A,0.9748,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,9,bốn,仍,仍,U+4ECD,0.9874,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,10,cùng,呫,穷,U+7A77,0.4086,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,8,11,giàu,斫,斫,U+65AB,0.9173,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,12,có,共,世,U+4E16,0.0087,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,8,13,lắm,早,𠊚,U+2029A,0.8522,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,14,thì,些,時,U+6642,0.0083,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,8,15,chăng,特,特,U+7279,0.9257,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,16,kế,愧,塊,U+584A,0.9178,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,17,sự,稠,腮,U+816E,0.7609,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,18,ấy,思,昆,U+6606,0.5577,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,19,bằng,昇,𠊚,U+2029A,0.9877,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,20,giúp,該,該,U+8A72,0.7793,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,21,linh,城,城,U+57CE,0.9587,False,NOT_IN_DICT,
stt11,page_0010_p0028,8,22,hồn,噶,喝,U+559D,0.2092,False,NOT_IN_DICT,
stt11,page_0010_p0028,9,6,trời,瓦,中,U+4E2D,0.1281,False,NOT_IN_DICT,
stt11,page_0010_p0028,9,11,phải,挿,沛,U+6C9B,0.0511,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,9,19,liều,判,料,U+6599,0.0428,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,9,20,mình,風,命,U+547D,0.1066,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,1,0,trăm,嘉,麻,U+9EBB,0.1429,False,NOT_IN_DICT,
stt11,page_0010_p0220,1,20,song,电,油,U+6CB9,0.0764,False,NOT_IN_DICT,
stt11,page_0010_p0220,2,0,mắng,拳,奉,U+5949,0.1575,False,NOT_IN_DICT,
stt11,page_0010_p0220,3,2,nhiều,女,如,U+5982,0.3931,False,NOT_IN_DICT,
stt11,page_0010_p0220,3,3,nữa,曉,燒,U+71D2,0.4992,False,NOT_IN_DICT,
stt11,page_0010_p0220,3,5,dạy,眠,代,U+4EE3,0.3154,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,3,9,vào,民,包,U+5305,0.2719,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,3,10,dây,姨,飭,U+98ED,0.1736,False,NOT_IN_DICT,
stt11,page_0010_p0220,3,11,neo,事,市,U+5E02,0.3102,False,NOT_IN_DICT,
stt11,page_0010_p0220,3,15,tàu,魄,矯,U+77EF,0.2912,False,NOT_IN_DICT,
stt11,page_0010_p0220,4,12,dữ,𤆛,与,U+4E0E,0.5042,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,4,15,lóc,攺,次,U+6B21,0.3028,False,NOT_IN_DICT,
stt11,page_0010_p0220,5,0,5,契,实,U+5B9E,0.8962,False,NOT_IN_DICT,
stt11,page_0010_p0220,5,4,bấy,苾,悲,U+60B2,0.258,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,5,14,khi,数,次,U+6B21,0.4574,False,NOT_IN_DICT,
stt11,page_0010_p0220,5,18,biển,渡,彼,U+5F7C,0.213,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,6,5,xem,衫,袩,U+88A9,0.3777,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,6,9,tiếng,肾,省,U+7701,0.7477,True,RESCUE_GOLD_MED,
stt11,page_0010_p0220,6,21,nguyen,領,翁,U+7FC1,0.3544,False,NOT_IN_DICT,
stt11,page_0010_p0220,7,4,rước,紳,綽,U+7DBD,0.5231,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,7,11,biển,憂,彼,U+5F7C,0.0282,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,7,20,rằng,眼,浪,U+6D6A,0.9739,True,RESCUE_GOLD_HIGH,
stt11,page_0010_p0220,8,8,chúng,碎,碎,U+788E,0.7096,False,NOT_IN_DICT,
stt11,page_0010_p0220,8,9,tôi,众,众,U+4F17,0.3273,False,NOT_IN_DICT,
stt11,page_0010_p0220,8,22,đi,超,移,U+79FB,0.037,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,9,5,nhà,成,茹,U+8339,0.0803,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,9,8,nhà,应,茹,U+8339,0.8809,True,RESCUE_GOLD_HIGH,
stt11,page_0010_p0220,9,13,săng,梭,棱,U+68F1,0.3342,True,RESCUE_LOW_CONF,
stt11,page_0010_p0220,9,16,xác,壹,壳,U+58F3,0.9291,True,RESCUE_GOLD_HIGH,
stt11,page_0010_p0220,9,21,sắt,銖,鉄,U+9244,0.5725,True,RESCUE_LOW_CONF,
stt11,page_0012,2,4,làm,𡿨,乄,U+4E44,0.0694,True,RESCUE_LOW_CONF,
stt11,page_0012,2,12,đủ,坊,堵,U+5835,0.1036,True,RESCUE_LOW_CONF,
stt11,page_0012,2,21,nghìn,顔,没,U+6CA1,0.0915,False,NOT_IN_DICT,
stt11,page_0012,3,19,trông,邕,遣,U+9063,0.0639,False,NOT_IN_DICT,
stt11,page_0012,4,5,còn,咩,群,U+7FA4,0.7765,True,RESCUE_GOLD_MED,
stt11,page_0012,5,9,cùng,艾,共,U+5171,0.685,True,RESCUE_LOW_CONF,
stt11,page_0012,5,13,sót,李,卒,U+5352,0.2448,True,RESCUE_LOW_CONF,
stt11,page_0012,5,18,nghĩa,美,义,U+4E49,0.0662,True,RESCUE_LOW_CONF,
stt11,page_0012,6,5,vua,帮,君,U+541B,0.337,True,RESCUE_LOW_CONF,
stt11,page_0012,6,14,r1,移,移,U+79FB,0.3346,False,NOT_IN_DICT,
stt11,page_0012,6,15,e,喚,城,U+57CE,0.111,False,NOT_IN_DICT,
stt11,page_0012,6,16,ro,曽,畧,U+7567,0.1297,False,NOT_IN_DICT,
stt11,page_0012,7,7,mình,仭,安,U+5B89,0.9069,False,NOT_IN_DICT,
stt11,page_0012,7,13,một,𫈼,秋,U+79CB,0.1471,False,NOT_IN_DICT,
stt11,page_0012,8,7,có,園,固,U+56FA,0.9159,True,RESCUE_GOLD_HIGH,
stt11,page_0012,8,15,ăn,喚,安,U+5B89,0.9742,True,RESCUE_GOLD_HIGH,
stt11,page_0012,8,21,hậu,魚,徳,U+5FB3,0.2086,False,NOT_IN_DICT,
stt11,page_0012,9,2,va,椲,像,U+50CF,0.0584,False,NOT_IN_DICT,
stt11,page_0012,9,18,dọn,連,迍,U+8FCD,0.043,True,RESCUE_LOW_CONF,
stt11,page_0014,2,7,trị,浴,泣,U+6CE3,0.1725,False,NOT_IN_DICT,
stt11,page_0014,2,20,lap,立,女,U+5973,0.2233,False,NOT_IN_DICT,
stt11,page_0014,3,15,dong,奮,庫,U+5EAB,0.4062,False,NOT_IN_DICT,
stt11,page_0014,4,5,mai,𭣣,折,U+6298,0.4377,False,NOT_IN_DICT,
stt11,page_0014,4,20,giê,夫,支,U+652F,0.1375,True,RESCUE_LOW_CONF,
stt11,page_0014,5,7,hai,顺,代,U+4EE3,0.9926,False,NOT_IN_DICT,
stt11,page_0014,5,15,vêu,腰,腰,U+8170,0.6686,False,NOT_IN_DICT,
stt11,page_0014,7,9,lên,遫,連,U+9023,0.0589,True,RESCUE_LOW_CONF,
stt11,page_0014,9,3,hậu,忽,位,U+4F4D,0.2877,False,NOT_IN_DICT,
stt11,page_0014,9,4,ấy,人,衣,U+8863,0.2218,True,RESCUE_LOW_CONF,
stt11,page_0016,1,15,ghê,針,計,U+8A08,0.9852,False,NOT_IN_DICT,
stt11,page_0016,2,9,phải,希,沛,U+6C9B,0.3986,True,RESCUE_LOW_CONF,
stt11,page_0016,2,10,rốn,朕,腰,U+8170,0.7047,False,NOT_IN_DICT,
stt11,page_0016,3,3,tai,聰,賊,U+8CCA,0.1242,False,NOT_IN_DICT,
stt11,page_0016,3,15,nào,事,𠊚,U+2029A,0.0727,False,NOT_IN_DICT,
stt11,page_0016,4,6,ý,八,勧,U+52E7,0.8222,False,NOT_IN_DICT,
stt11,page_0016,4,7,khuyên,觔,各,U+5404,0.8124,False,NOT_IN_DICT,
stt11,page_0016,4,12,gương,詞,差,U+5DEE,0.0736,False,NOT_IN_DICT,
stt11,page_0016,4,13,sáng,劄,創,U+5275,0.3279,True,RESCUE_LOW_CONF,
stt11,page_0016,5,8,là,卅,庒,U+5E92,0.8868,False,NOT_IN_DICT,
stt11,page_0016,5,10,phải,𨸲,沛,U+6C9B,0.537,True,RESCUE_LOW_CONF,
stt11,page_0016,5,16,là,兴,罗,U+7F57,0.1566,True,RESCUE_LOW_CONF,
stt11,page_0016,6,1,thịt,醐,調,U+8ABF,0.3636,False,NOT_IN_DICT,
stt11,page_0016,6,5,phải,弟,沛,U+6C9B,0.9356,True,RESCUE_GOLD_HIGH,
stt11,page_0016,6,12,còn,卑,群,U+7FA4,0.921,True,RESCUE_GOLD_HIGH,
stt11,page_0016,6,19,nghịch,運,連,U+9023,0.2502,False,NOT_IN_DICT,
stt11,page_0016,7,3,phải,吕,民,U+6C11,0.0671,False,NOT_IN_DICT,
stt11,page_0016,7,4,cậy,嫌,朱,U+6731,0.2239,False,NOT_IN_DICT,
stt11,page_0016,8,2,phải,姊,沛,U+6C9B,0.8914,True,RESCUE_GOLD_HIGH,
stt11,page_0016,8,18,mình,紛,命,U+547D,0.3339,True,RESCUE_LOW_CONF,
stt11,page_0016,8,20,dấu,斟,𧿫,U+27FEB,0.1099,True,RESCUE_LOW_CONF,
stt11,page_0018,1,0,vào,乞,包,U+5305,0.2024,True,RESCUE_LOW_CONF,
stt11,page_0018,1,6,nghìn,屛,弄,U+5F04,0.17,False,NOT_IN_DICT,
stt11,page_0018,1,11,mình,兮,命,U+547D,0.0636,True,RESCUE_LOW_CONF,
stt11,page_0018,1,12,là,卅,省,U+7701,0.1119,False,NOT_IN_DICT,
stt11,page_0018,2,7,thịt,越,壳,U+58F3,0.2816,False,NOT_IN_DICT,
stt11,page_0018,2,18,phi,王,丕,U+4E15,0.9656,True,RESCUE_GOLD_HIGH,
stt11,page_0018,2,20,trách,煑,責,U+8CAC,0.5809,True,RESCUE_LOW_CONF,
stt11,page_0018,3,5,rằng,飡,浪,U+6D6A,0.9585,True,RESCUE_GOLD_HIGH,
stt11,page_0018,3,9,tin,道,道,U+9053,0.9477,False,NOT_IN_DICT,
stt11,page_0018,3,10,đạo,信,信,U+4FE1,0.9862,False,NOT_IN_DICT,
stt11,page_0018,3,11,đức,灯,主,U+4E3B,0.7288,False,NOT_IN_DICT,
stt11,page_0018,4,9,làm,今,丕,U+4E15,0.1299,False,NOT_IN_DICT,
stt11,page_0018,5,0,sao,串,牢,U+7262,0.1135,True,RESCUE_LOW_CONF,
stt11,page_0018,5,17,ay,伐,衣,U+8863,0.9207,False,NOT_IN_DICT,
stt11,page_0018,5,19,hôm,欹,及,U+53CA,0.1187,False,NOT_IN_DICT,
stt11,page_0018,6,3,xem,拈,袩,U+88A9,0.679,True,RESCUE_LOW_CONF,
stt11,page_0018,6,10,cùng,仰,共,U+5171,0.936,True,RESCUE_GOLD_HIGH,
stt11,page_0018,6,13,lên,倒,連,U+9023,0.1128,True,RESCUE_LOW_CONF,
stt11,page_0018,7,6,tình,牆,堵,U+5835,0.1962,False,NOT_IN_DICT,
stt11,page_0018,7,23,chon,雀,准,U+51C6,0.2331,False,NOT_IN_DICT,
stt11,page_0018,9,14,608,糁,獄,U+7344,0.1751,False,NOT_IN_DICT,
stt11,page_0020,1,6,hồn,谓,塊,U+584A,0.543,True,RESCUE_LOW_CONF,
stt11,page_0020,2,20,chưa,涛,渚,U+6E1A,0.4923,True,RESCUE_LOW_CONF,
stt11,page_0020,2,21,sạch,疝,碎,U+788E,0.3902,False,NOT_IN_DICT,
stt11,page_0020,3,7,đã,包,㐌,U+340C,0.8535,True,RESCUE_GOLD_HIGH,
stt11,page_0020,3,17,lửa,煴,落,U+843D,0.9162,False,NOT_IN_DICT,
stt11,page_0020,6,5,dữ,典,燒,U+71D2,0.0907,False,NOT_IN_DICT,
stt11,page_0020,7,0,đê,辰,氐,U+6C10,0.006,True,RESCUE_LOW_CONF,
stt11,page_0020,7,1,a,𭮀,亜,U+4E9C,0.4478,True,RESCUE_LOW_CONF,
stt11,page_0020,7,5,rửa,沿,治,U+6CBB,0.1437,False,NOT_IN_DICT,
stt11,page_0020,7,13,ong,𧊵,翁,U+7FC1,0.0932,True,RESCUE_LOW_CONF,
stt11,page_0020,7,14,và,障,喡,U+55A1,0.0509,True,RESCUE_LOW_CONF,
stt11,page_0020,8,6,sạch,疝,死,U+6B7B,0.4105,False,NOT_IN_DICT,
stt11,page_0020,8,12,nói,唱,固,U+56FA,0.9855,False,NOT_IN_DICT,
stt11,page_0020,9,8,chó,涛,麻,U+9EBB,0.9457,False,NOT_IN_DICT,
stt11,page_0020,9,14,lửa,熳,强,U+5F3A,0.1738,False,NOT_IN_DICT,
stt11,page_0020,9,16,tội,𭻃,翁,U+7FC1,0.5904,False,NOT_IN_DICT,
stt11,page_0020,9,20,la,粤,𠊚,U+2029A,0.1732,False,NOT_IN_DICT,
stt11,page_0020,9,22,a,更,亜,U+4E9C,0.6307,True,RESCUE_LOW_CONF,
stt11,page_0022,1,0,đe,唆,四,U+56DB,0.0653,False,NOT_IN_DICT,
stt11,page_0022,1,16,khác,恰,恪,U+606A,0.7793,True,RESCUE_GOLD_MED,
stt11,page_0022,1,19,nấu,濟,耨,U+8028,0.272,True,RESCUE_LOW_CONF,
stt11,page_0022,1,22,sạch,丕,逐,U+9010,0.3397,False,NOT_IN_DICT,
stt11,page_0022,2,0,ở,觧,觧,U+89E7,0.3086,False,NOT_IN_DICT,
stt11,page_0022,2,1,lửa,燭,塊,U+584A,0.2416,False,NOT_IN_DICT,
stt11,page_0022,2,13,đâu,𠅙,兜,U+515C,0.189,True,RESCUE_LOW_CONF,
stt11,page_0022,3,0,dơ,浸,沛,U+6C9B,0.8244,False,NOT_IN_DICT,
stt11,page_0022,3,10,hai,叨,四,U+56DB,0.1784,False,NOT_IN_DICT,
stt11,page_0022,3,11,câu,摩,麻,U+9EBB,0.1028,False,NOT_IN_DICT,
stt11,page_0022,3,20,giảng,朅,講,U+8B1B,0.256,True,RESCUE_LOW_CONF,
stt11,page_0022,4,11,bê,殹,皮,U+76AE,0.5362,True,RESCUE_LOW_CONF,
stt11,page_0022,4,15,lấy,把,𢬦,U+22B26,0.7502,True,RESCUE_GOLD_MED,
stt11,page_0022,5,0,răng,悵,浪,U+6D6A,0.7528,True,RESCUE_GOLD_MED,
stt11,page_0022,5,7,nặng,晨,之,U+4E4B,0.6453,False,NOT_IN_DICT,
stt11,page_0022,6,7,ay,𫝄,衣,U+8863,0.6289,False,NOT_IN_DICT,
stt11,page_0022,6,9,hai,吩,咍,U+548D,0.26,True,RESCUE_LOW_CONF,
stt11,page_0022,6,15,nếu,憂,浪,U+6D6A,0.1941,False,NOT_IN_DICT,
stt11,page_0022,6,20,tha,故,赦,U+8D66,0.7942,True,RESCUE_GOLD_MED,
stt11,page_0022,7,0,thật,㬰,实,U+5B9E,0.9504,True,RESCUE_GOLD_HIGH,
stt11,page_0022,7,20,ây,人,衣,U+8863,0.4156,False,NOT_IN_DICT,
