image,tier,book,page,assigned,syllable,head_alt,p_assigned,p_alt
gold/yen2_page_0046_c04_081.png,GOLD,yen2,page_0046,堊,Thánh,垩,0.0,1.0
gold/yen2_page_0046_c08_153.png,GOLD,yen2,page_0046,塊,khỏi,囉,0.0,0.982
gold/yen2_page_0046_c08_155.png,GOLD,yen2,page_0046,天,Thiên,渃,0.0,0.999
gold/yen2_page_0046_c08_156.png,GOLD,yen2,page_0046,下,hạ,天,0.0,1.0
gold/yen2_page_0046_c08_161.png,GOLD,yen2,page_0046,朗,láng,創,0.0,1.0
gold/yen2_page_0046_c08_162.png,GOLD,yen2,page_0046,𤈜,chói,朗,0.0,1.0
gold/yen2_page_0046_c08_165.png,GOLD,yen2,page_0046,官,quan,麻,0.0,1.0
gold/yen2_page_0046_c09_176.png,GOLD,yen2,page_0046,昆,con,悶,0.032,0.654
gold/yen2_page_0046_c09_178.png,GOLD,yen2,page_0046,召,chịu,福,0.0,1.0
gold/yen2_page_0046_c09_179.png,GOLD,yen2,page_0046,福,phúc,沫,0.0,0.909
silver/yen2_page_0048_c07_131.png,SILVER,yen2,page_0048,粂,chay,茶,0.006,0.992
gold/yen2_page_0050_c03_048.png,GOLD,yen2,page_0050,之,gì,事,0.223,0.776
gold/yen2_page_0050_c03_053.png,GOLD,yen2,page_0050,馭,ngựa,賖,0.022,0.942
gold/yen2_page_0050_c03_062.png,GOLD,yen2,page_0050,拱,Cùng,共,0.117,0.737
gold/yen2_page_0050_c08_158.png,GOLD,yen2,page_0050,支,Giê,垩,0.028,0.953
silver/yen2_page_0050_c08_159.png,SILVER,yen2,page_0050,尼,ni,支,0.002,0.997
gold/yen2_page_0052_c09_170.png,GOLD,yen2,page_0052,椤,la,烏,0.0,0.999
gold/yen2_page_0052_c09_174.png,GOLD,yen2,page_0052,傳,truyền,固,0.0,1.0
gold/yen2_page_0052_c09_180.png,GOLD,yen2,page_0052,道,đạo,明,0.003,0.995
gold/yen2_page_0054_c06_101.png,GOLD,yen2,page_0054,聖,THÁNH,垩,0.0,0.996
gold/yen2_page_0058_c03_049.png,GOLD,yen2,page_0058,平,bằng,塊,0.0,0.97
gold/yen2_page_0058_c03_060.png,GOLD,yen2,page_0058,偵,trinh,责,0.042,0.6
silver/yen2_page_0058_c03_062.png,SILVER,yen2,page_0058,把,bà,寺,0.006,0.853
gold/yen2_page_0058_c05_092.png,GOLD,yen2,page_0058,欽,sớm,歛,0.004,0.911
silver/yen2_page_0058_c05_099.png,SILVER,yen2,page_0058,迍,dọn,連,0.039,0.959
gold/yen2_page_0058_c05_100.png,GOLD,yen2,page_0058,檜,củi,𢶒,0.003,0.972
gold/yen2_page_0058_c08_155.png,GOLD,yen2,page_0058,徐,giờ,除,0.001,0.996
gold/yen2_page_0058_c09_176.png,GOLD,yen2,page_0058,伂,phải,沛,0.001,0.999
gold/yen2_page_0060_c08_160.png,GOLD,yen2,page_0060,挨,Ai,埃,0.0,1.0
silver/yen2_page_0064_c02_038.png,SILVER,yen2,page_0064,囉,ra,断,0.223,0.754
gold/yen2_page_0068_c08_156.png,GOLD,yen2,page_0068,没,một,蔑,0.001,0.944
gold/yen2_page_0068_c08_158.png,GOLD,yen2,page_0068,𥒥,đá,移,0.003,0.619
gold/yen2_page_0068_c08_160.png,GOLD,yen2,page_0068,㡳,để,底,0.001,0.957
gold/yen2_page_0068_c08_165.png,GOLD,yen2,page_0068,𥓓,bia,中,0.0,0.998
gold/yen2_page_0070_c04_062.png,GOLD,yen2,page_0070,那,na,遣,0.0,0.803
gold/yen2_page_0070_c09_157.png,GOLD,yen2,page_0070,獄,ngục,共,0.001,0.998
gold/yen2_page_0070_c09_158.png,GOLD,yen2,page_0070,其,cùng,共,0.0,0.998
gold/yen2_page_0070_c09_161.png,GOLD,yen2,page_0070,特,được,時,0.018,0.982
gold/yen2_page_0072_c05_073.png,GOLD,yen2,page_0072,治,trị,渃,0.074,0.915
gold/yen2_page_0072_c05_078.png,GOLD,yen2,page_0072,烖,Tai,姑,0.0,1.0
gold/yen2_page_0072_c05_079.png,GOLD,yen2,page_0072,姑,cô,体,0.0,1.0
gold/yen2_page_0072_c05_086.png,GOLD,yen2,page_0072,時,ngày,特,0.22,0.768
gold/yen2_page_0072_c07_116.png,GOLD,yen2,page_0072,差,sai,美,0.11,0.868
gold/yen2_page_0072_c07_128.png,GOLD,yen2,page_0072,仍,những,退,0.0,0.626
gold/yen2_page_0072_c07_129.png,GOLD,yen2,page_0072,本,bốn,仍,0.0,0.999
gold/yen2_page_0072_c07_130.png,GOLD,yen2,page_0072,道,đạo,本,0.0,1.0
gold/yen2_page_0072_c07_131.png,GOLD,yen2,page_0072,於,ở,道,0.0,1.0
gold/yen2_page_0072_c07_132.png,GOLD,yen2,page_0072,門,muôn,於,0.0,1.0
gold/yen2_page_0072_c07_134.png,GOLD,yen2,page_0072,萬,vàn,邁,0.001,0.574
gold/yen2_page_0074_c01_005.png,GOLD,yen2,page_0074,陂,bê,巴,0.0,1.0
gold/yen2_page_0074_c09_170.png,GOLD,yen2,page_0074,𣳔,dòng,用,0.0,1.0
gold/yen2_page_0074_c09_176.png,GOLD,yen2,page_0074,咥,chối,巴,0.0,1.0
gold/yen2_page_0074_c09_177.png,GOLD,yen2,page_0074,麻,mà,咥,0.006,0.99
gold/yen2_page_0074_c09_181.png,GOLD,yen2,page_0074,命,mình,扒,0.092,0.9
gold/yen2_page_0074_c09_184.png,GOLD,yen2,page_0074,皮,bề,官,0.0,0.985
gold/yen2_page_0074_c09_186.png,GOLD,yen2,page_0074,庄,chăng,連,0.0,0.905
gold/yen2_page_0074_c09_187.png,GOLD,yen2,page_0074,固,có,庄,0.0,1.0
gold/yen2_page_0074_c09_188.png,GOLD,yen2,page_0074,差,sai,固,0.0,1.0
gold/yen2_page_0076_c02_026.png,GOLD,yen2,page_0076,丕,Vậy,赦,0.017,0.97
gold/yen2_page_0076_c02_032.png,GOLD,yen2,page_0076,台,thay,包,0.0,0.867
gold/yen2_page_0076_c02_040.png,GOLD,yen2,page_0076,中,trong,於,0.0,0.998
gold/yen2_page_0076_c05_097.png,GOLD,yen2,page_0076,穹,cùng,穷,0.001,0.997
gold/yen2_page_0078_c01_002.png,GOLD,yen2,page_0078,祿,Lộc,禄,0.0,0.998
gold/yen2_page_0078_c01_009.png,GOLD,yen2,page_0078,門,muôn,固,0.002,0.888
gold/yen2_page_0080_c01_010.png,GOLD,yen2,page_0080,庄,chẳng,各,0.011,0.968
gold/yen2_page_0080_c01_016.png,GOLD,yen2,page_0080,支,Giê,主,0.0,1.0
silver/yen2_page_0080_c01_021.png,SILVER,yen2,page_0080,生,sinh,衣,0.011,0.654
gold/yen2_page_0080_c02_029.png,GOLD,yen2,page_0080,支,Chi,垩,0.164,0.828
gold/yen2_page_0080_c02_040.png,GOLD,yen2,page_0080,㐌,đã,㝵,0.0,0.999
gold/yen2_page_0080_c03_052.png,GOLD,yen2,page_0080,巴,ba,奴,0.0,1.0
gold/yen2_page_0080_c03_053.png,GOLD,yen2,page_0080,奴,nô,几,0.0,0.754
gold/yen2_page_0080_c03_056.png,GOLD,yen2,page_0080,封,phong,賊,0.0,0.948
gold/yen2_page_0080_c03_057.png,GOLD,yen2,page_0080,職,chức,朱,0.0,1.0
gold/yen2_page_0080_c03_058.png,GOLD,yen2,page_0080,朱,cho,㝵,0.0,1.0
silver/yen2_page_0080_c03_063.png,SILVER,yen2,page_0080,爫,làm,丕,0.013,0.56
gold/yen2_page_0082_c02_027.png,GOLD,yen2,page_0082,斮,chước,斫,0.0,0.996
gold/yen2_page_0082_c02_032.png,GOLD,yen2,page_0082,所,chước,扒,0.0,1.0
gold/yen2_page_0082_c02_038.png,GOLD,yen2,page_0082,离,le,双,0.003,0.997
gold/yen2_page_0082_c02_042.png,GOLD,yen2,page_0082,𡗶,Trời,主,0.0,0.999
gold/yen2_page_0084_c09_157.png,GOLD,yen2,page_0084,聖,THÁNH,垩,0.0,1.0
gold/yen2_page_0086_c04_084.png,GOLD,yen2,page_0086,抒,giữ,佇,0.002,0.994
gold/yen2_page_0086_c04_086.png,GOLD,yen2,page_0086,鮮,tươi,觧,0.003,0.946
silver/yen2_page_0086_c04_087.png,SILVER,yen2,page_0086,𡨧,tốt,信,0.171,0.71
gold/yen2_page_0086_c04_088.png,GOLD,yen2,page_0086,生,chăng,庄,0.001,0.98
silver/yen2_page_0086_c04_089.png,SILVER,yen2,page_0086,沛,phải,爲,0.074,0.674
gold/yen2_page_0086_c07_139.png,GOLD,yen2,page_0086,伂,phải,沛,0.0,1.0
gold/yen2_page_0090_c06_105.png,GOLD,yen2,page_0090,教,giáo,赦,0.006,0.854
gold/yen2_page_0090_c06_110.png,GOLD,yen2,page_0090,除,giờ,天,0.114,0.885
gold/yen2_page_0090_c06_111.png,GOLD,yen2,page_0090,天,thiên,下,0.0,1.0
gold/yen2_page_0090_c06_112.png,GOLD,yen2,page_0090,下,hạ,察,0.0,0.949
gold/yen2_page_0090_c06_113.png,GOLD,yen2,page_0090,莽,mắng,省,0.0,1.0
gold/yen2_page_0090_c06_117.png,GOLD,yen2,page_0090,折,giết,時,0.0,1.0
gold/yen2_page_0090_c06_118.png,GOLD,yen2,page_0090,特,được,昆,0.0,0.972
gold/yen2_page_0092_c08_166.png,GOLD,yen2,page_0092,冬,đông,各,0.0,1.0
gold/yen2_page_0092_c08_175.png,GOLD,yen2,page_0092,断,Đoạn,末,0.0,0.707
gold/yen2_page_0092_c08_177.png,GOLD,yen2,page_0092,綴,trói,磊,0.006,0.936
gold/yen2_page_0092_c08_184.png,GOLD,yen2,page_0092,底,để,㡳,0.08,0.918
gold/yen2_page_0094_c02_036.png,GOLD,yen2,page_0094,昆,con,旦,0.0,0.997
gold/yen2_page_0094_c02_037.png,GOLD,yen2,page_0094,末,mắt,昆,0.0,1.0
gold/yen2_page_0094_c02_038.png,GOLD,yen2,page_0094,碎,tôi,末,0.0,1.0
gold/yen2_page_0094_c02_042.png,GOLD,yen2,page_0094,中,trong,赦,0.0,0.766
gold/yen2_page_0094_c02_045.png,GOLD,yen2,page_0094,也,đã,碎,0.001,0.943
gold/yen2_page_0094_c04_070.png,GOLD,yen2,page_0094,汝,nhớ,女,0.021,0.957
gold/yen2_page_0094_c04_073.png,GOLD,yen2,page_0094,共,cùng,朱,0.075,0.924
gold/yen2_page_0094_c04_074.png,GOLD,yen2,page_0094,朱,cho,灵,0.063,0.588
gold/yen2_page_0094_c04_075.png,GOLD,yen2,page_0094,灵,linh,魂,0.031,0.966
gold/yen2_page_0094_c04_076.png,GOLD,yen2,page_0094,魂,hồn,塊,0.063,0.878
gold/yen2_page_0094_c04_080.png,GOLD,yen2,page_0094,段,đoạn,於,0.0,1.0
gold/yen2_page_0094_c04_081.png,GOLD,yen2,page_0094,於,ở,浪,0.048,0.947
gold/yen2_page_0094_c04_088.png,GOLD,yen2,page_0094,丕,vậy,体,0.021,0.979
gold/yen2_page_0094_c04_089.png,GOLD,yen2,page_0094,語,ngỡ,丕,0.0,0.999
gold/yen2_page_0094_c05_104.png,GOLD,yen2,page_0094,灯,đinh,打,0.0,1.0
gold/yen2_page_0096_c07_143.png,GOLD,yen2,page_0096,事,sự,体,0.0,1.0
gold/yen2_page_0096_c08_162.png,GOLD,yen2,page_0096,曳,dái,君,0.0,0.969
gold/yen2_page_0096_c08_163.png,GOLD,yen2,page_0096,天,thiên,曳,0.0,0.989
gold/yen2_page_0096_c09_186.png,GOLD,yen2,page_0096,願,nguyện,顛,0.003,0.928
gold/yen2_page_0096_c09_188.png,GOLD,yen2,page_0096,徐,giờ,除,0.0,1.0
gold/yen2_page_0098_c02_030.png,GOLD,yen2,page_0098,列,liệt,烈,0.04,0.822
gold/yen2_page_0098_c03_057.png,GOLD,yen2,page_0098,欣,hơn,没,0.0,0.647
gold/yen2_page_0098_c05_066.png,GOLD,yen2,page_0098,翁,Ông,垩,0.004,0.994
silver/yen2_page_0098_c05_068.png,SILVER,yen2,page_0098,尼,này,生,0.0,0.996
silver/yen2_page_0098_c05_078.png,SILVER,yen2,page_0098,唯,dõi,准,0.013,0.986
gold/yen2_page_0102_c04_063.png,GOLD,yen2,page_0102,蘇,tô,穌,0.0,1.0
gold/yen2_page_0102_c04_067.png,GOLD,yen2,page_0102,城,thành,阿,0.054,0.939
gold/yen2_page_0102_c04_073.png,GOLD,yen2,page_0102,寺,thì,埃,0.044,0.833
gold/yen2_page_0102_c06_107.png,GOLD,yen2,page_0102,挼,nuôi,几,0.0,0.997
gold/yen2_page_0104_c01_015.png,GOLD,yen2,page_0104,持,được,特,0.045,0.954
gold/yen2_page_0108_c01_008.png,GOLD,yen2,page_0108,𪜀,là,罢,0.0,0.635
gold/yen2_page_0108_c08_127.png,GOLD,yen2,page_0108,僥,nhau,朱,0.0,0.998
gold/yen2_page_0108_c08_131.png,GOLD,yen2,page_0108,夭,yêu,欺,0.0,1.0
gold/yen2_page_0108_c08_143.png,GOLD,yen2,page_0108,及,gặp,僥,0.0,0.723
gold/yen2_page_0110_c04_069.png,GOLD,yen2,page_0110,中,trong,孾,0.0,0.906
gold/yen2_page_0110_c04_070.png,GOLD,yen2,page_0110,城,thành,中,0.026,0.971
gold/yen2_page_0110_c04_071.png,GOLD,yen2,page_0110,衣,ấy,城,0.015,0.981
gold/yen2_page_0110_c04_079.png,GOLD,yen2,page_0110,𢚸,Trời,寺,0.0,0.863
silver/yen2_page_0110_c09_163.png,SILVER,yen2,page_0110,支,Giê,秋,0.008,0.988
gold/yen2_page_0110_c09_175.png,GOLD,yen2,page_0110,女,nữa,吝,0.0,1.0
gold/yen2_page_0110_c09_176.png,GOLD,yen2,page_0110,共,cũng,女,0.0,1.0
gold/yen2_page_0110_c09_177.png,GOLD,yen2,page_0110,嗔,xin,共,0.0,1.0
gold/yen2_page_0112_c01_004.png,GOLD,yen2,page_0112,唭,cười,嗔,0.004,0.996
gold/yen2_page_0112_c01_008.png,GOLD,yen2,page_0112,冷,lành,共,0.007,0.99
gold/yen2_page_0112_c01_009.png,GOLD,yen2,page_0112,其,cùng,共,0.0,1.0
gold/yen2_page_0112_c01_011.png,GOLD,yen2,page_0112,伶,rình,折,0.0,1.0
gold/yen2_page_0112_c01_019.png,GOLD,yen2,page_0112,癸,ấy,翁,0.0,0.807
gold/yen2_page_0112_c04_071.png,GOLD,yen2,page_0112,夭,yêu,㝵,0.001,0.555
gold/yen2_page_0112_c08_150.png,GOLD,yen2,page_0112,哭,khóc,連,0.148,0.85
gold/yen2_page_0112_c08_155.png,GOLD,yen2,page_0112,理,lẽ,嬈,0.071,0.736
gold/yen2_page_0112_c08_157.png,GOLD,yen2,page_0112,𥙷,bỏ,矯,0.0,0.71
gold/yen2_page_0112_c08_158.png,GOLD,yen2,page_0112,渃,nước,𥙷,0.0,0.969
gold/yen2_page_0112_c08_160.png,GOLD,yen2,page_0112,堂,đàng,天,0.0,1.0
gold/yen2_page_0114_c03_047.png,GOLD,yen2,page_0114,几,kẻ,庄,0.001,0.999
gold/yen2_page_0114_c03_048.png,GOLD,yen2,page_0114,庄,chăng,赦,0.0,1.0
gold/yen2_page_0114_c08_149.png,GOLD,yen2,page_0114,支,Giê,秋,0.0,1.0
gold/yen2_page_0116_c01_016.png,GOLD,yen2,page_0116,犯,phạm,几,0.0,0.998
gold/yen2_page_0116_c04_065.png,GOLD,yen2,page_0116,沙,sa,固,0.0,1.0
gold/yen2_page_0116_c06_100.png,GOLD,yen2,page_0116,其,cùng,共,0.001,0.999
gold/yen2_page_0116_c08_139.png,GOLD,yen2,page_0116,共,cùng,几,0.0,0.999
gold/yen2_page_0116_c08_140.png,GOLD,yen2,page_0116,几,kẻ,撰,0.001,0.734
gold/yen2_page_0116_c08_141.png,GOLD,yen2,page_0116,撰,chọn,翁,0.0,1.0
gold/yen2_page_0116_c08_143.png,GOLD,yen2,page_0116,奴,nọ,翁,0.0,0.997
gold/yen2_page_0116_c08_157.png,GOLD,yen2,page_0116,𠄼,năm,願,0.0,0.601
gold/yen2_page_0116_c08_159.png,GOLD,yen2,page_0116,聖,Thánh,垩,0.0,1.0
gold/yen2_page_0118_c02_037.png,GOLD,yen2,page_0118,呂,trở,吏,0.018,0.534
gold/yen2_page_0118_c02_038.png,GOLD,yen2,page_0118,吏,lại,仍,0.011,0.989
gold/yen2_page_0120_c02_029.png,GOLD,yen2,page_0120,虎,hổ,虖,0.0,0.984
gold/yen2_page_0120_c02_035.png,GOLD,yen2,page_0120,蓮,liền,連,0.0,0.991
gold/yen2_page_0122_c06_110.png,GOLD,yen2,page_0122,堊,thánh,垩,0.0,1.0
gold/yen2_page_0122_c06_113.png,GOLD,yen2,page_0122,过,qua,代,0.02,0.955
gold/yen2_page_0122_c06_114.png,GOLD,yen2,page_0122,代,đời,㝵,0.0,1.0
gold/yen2_page_0126_c06_120.png,GOLD,yen2,page_0126,矯,kẻo,恪,0.031,0.888
gold/yen2_page_0126_c06_123.png,GOLD,yen2,page_0126,尋,tìm,些,0.0,1.0
gold/yen2_page_0126_c06_124.png,GOLD,yen2,page_0126,時,được,尋,0.0,1.0
gold/yen2_page_0126_c06_125.png,GOLD,yen2,page_0126,女,nữa,特,0.0,0.976
gold/yen2_page_0126_c06_126.png,GOLD,yen2,page_0126,庄,Chăng,女,0.0,1.0
gold/yen2_page_0126_c07_132.png,GOLD,yen2,page_0126,性,dính,𢂎,0.0,0.73
gold/yen2_page_0128_c03_045.png,GOLD,yen2,page_0128,邛,cùng,共,0.0,0.999
gold/yen2_page_0128_c03_060.png,GOLD,yen2,page_0128,魂,hồn,灵,0.023,0.977
gold/yen2_page_0130_c04_075.png,GOLD,yen2,page_0130,如,như,代,0.029,0.971
gold/yen2_page_0130_c04_079.png,GOLD,yen2,page_0130,朱,cho,翁,0.0,0.608
gold/yen2_page_0130_c04_083.png,GOLD,yen2,page_0130,宗,tông,麻,0.0,0.999
gold/yen2_page_0132_c07_131.png,GOLD,yen2,page_0132,囉,ra,代,0.076,0.917
gold/yen2_page_0132_c07_136.png,GOLD,yen2,page_0132,垩,Thánh,尼,0.001,0.999
gold/yen2_page_0132_c09_178.png,GOLD,yen2,page_0132,閍,muôn,於,0.0,0.51
silver/yen2_page_0134_c06_114.png,SILVER,yen2,page_0134,𡗶,Trời,主,0.0,1.0
silver/yen2_page_0136_c04_042.png,SILVER,yen2,page_0136,堯,nhiều,古,0.0,0.664
gold/yen2_page_0136_c04_048.png,GOLD,yen2,page_0136,𣳔,dòng,用,0.0,1.0
gold/yen2_page_0136_c04_053.png,GOLD,yen2,page_0136,代,dạy,烏,0.0,1.0
gold/yen2_page_0136_c04_054.png,GOLD,yen2,page_0136,浪,răng,代,0.0,1.0
gold/yen2_page_0138_c04_088.png,GOLD,yen2,page_0138,莳,thì,寺,0.0,1.0
gold/yen2_page_0138_c05_101.png,GOLD,yen2,page_0138,其,cùng,共,0.033,0.965
gold/yen2_page_0138_c05_107.png,GOLD,yen2,page_0138,离,le,双,0.0,1.0
silver/yen2_page_0138_c05_110.png,SILVER,yen2,page_0138,𡗶,Trời,主,0.0,1.0
gold/yen2_page_0138_c09_192.png,GOLD,yen2,page_0138,佇,giữ,抒,0.01,0.986
gold/yen2_page_0138_c09_194.png,GOLD,yen2,page_0138,歇,hết,敬,0.168,0.799
gold/yen2_page_0140_c04_050.png,GOLD,yen2,page_0140,誠,thành,巴,0.0,0.765
gold/yen2_page_0140_c04_056.png,GOLD,yen2,page_0140,處,xứ,𠙚,0.001,0.971
gold/yen2_page_0140_c07_114.png,GOLD,yen2,page_0140,持,được,特,0.0,1.0
gold/yen2_page_0142_c02_021.png,GOLD,yen2,page_0142,仍,những,調,0.0,1.0
gold/yen2_page_0148_c03_040.png,GOLD,yen2,page_0148,仍,nhưng,麻,0.195,0.803
silver/yen2_page_0148_c03_050.png,SILVER,yen2,page_0148,𡗶,Trời,主,0.0,1.0
gold/yen2_page_0148_c05_087.png,GOLD,yen2,page_0148,助,chữa,𦔳,0.0,1.0
gold/yen2_page_0148_c05_093.png,GOLD,yen2,page_0148,㝵,người,世,0.0,1.0
gold/yen2_page_0148_c05_102.png,GOLD,yen2,page_0148,亊,sự,事,0.0,1.0
gold/yen2_page_0148_c07_134.png,GOLD,yen2,page_0148,抒,giữ,佇,0.018,0.978
gold/yen2_page_0148_c07_138.png,GOLD,yen2,page_0148,寺,thì,奴,0.166,0.83
gold/yen2_page_0150_c05_097.png,GOLD,yen2,page_0150,稜,rừng,楼,0.064,0.933
gold/yen2_page_0150_c05_100.png,GOLD,yen2,page_0150,唉,ai,埃,0.0,1.0
gold/yen2_page_0150_c08_152.png,GOLD,yen2,page_0150,愈,gió,喬,0.066,0.593
gold/yen2_page_0150_c08_157.png,GOLD,yen2,page_0150,礼,lấy,連,0.0,1.0
gold/yen2_page_0150_c08_160.png,GOLD,yen2,page_0150,丑,giấu,卒,0.0,0.949
gold/yen2_page_0150_c08_163.png,GOLD,yen2,page_0150,黙,mặc,噲,0.023,0.85
gold/yen2_page_0150_c08_165.png,GOLD,yen2,page_0150,泟,rách,沚,0.163,0.688
gold/yen2_page_0152_c03_049.png,GOLD,yen2,page_0152,其,cùng,共,0.0,1.0
gold/yen2_page_0152_c03_057.png,GOLD,yen2,page_0152,所,chước,斫,0.0,1.0
silver/yen2_page_0152_c03_060.png,SILVER,yen2,page_0152,离,le,双,0.002,0.998
gold/yen2_page_0152_c03_061.png,GOLD,yen2,page_0152,中,trong,离,0.003,0.975
gold/yen2_page_0152_c09_166.png,GOLD,yen2,page_0152,獄,ngục,連,0.085,0.879
gold/yen2_page_0154_c02_025.png,GOLD,yen2,page_0154,閉,Bấy,闭,0.0,0.682
gold/yen2_page_0156_c02_027.png,GOLD,yen2,page_0156,廪,lắm,凜,0.0,1.0
gold/yen2_page_0156_c06_100.png,GOLD,yen2,page_0156,闭,Bấy,除,0.001,0.999
gold/yen2_page_0156_c06_105.png,GOLD,yen2,page_0156,哴,rằng,浪,0.009,0.92
gold/yen2_page_0156_c06_107.png,GOLD,yen2,page_0156,号,là,眉,0.0,0.98
gold/yen2_page_0156_c06_113.png,GOLD,yen2,page_0156,噐,khí,哭,0.0,0.608
gold/yen2_page_0158_c03_042.png,GOLD,yen2,page_0158,其,cùng,共,0.0,0.999
gold/yen2_page_0158_c03_052.png,GOLD,yen2,page_0158,吏,lại,固,0.008,0.991
gold/yen2_page_0158_c03_056.png,GOLD,yen2,page_0158,刧,cướp,折,0.0,0.927
gold/yen2_page_0160_c07_116.png,GOLD,yen2,page_0160,求,cầu,朱,0.011,0.855
gold/yen2_page_0160_c07_117.png,GOLD,yen2,page_0160,朱,cho,段,0.0,1.0
gold/yen2_page_0160_c07_119.png,GOLD,yen2,page_0160,灵,linh,魂,0.0,0.999
gold/yen2_page_0160_c07_120.png,GOLD,yen2,page_0160,魂,hồn,連,0.001,0.823
gold/yen2_page_0160_c07_122.png,GOLD,yen2,page_0160,瑰,khỏi,壳,0.0,1.0
gold/yen2_page_0160_c07_124.png,GOLD,yen2,page_0160,蓮,lên,准,0.0,0.77
gold/yen2_page_0160_c07_126.png,GOLD,yen2,page_0160,極,cực,冷,0.0,1.0
gold/yen2_page_0160_c07_127.png,GOLD,yen2,page_0160,冷,lành,連,0.0,0.567
gold/yen2_page_0160_c07_128.png,GOLD,yen2,page_0160,蓮,trên,𡗶,0.0,1.0
gold/yen2_page_0160_c08_133.png,GOLD,yen2,page_0160,存,còn,庄,0.003,0.783
silver/yen2_page_0160_c09_137.png,SILVER,yen2,page_0160,𣈜,Ngày,㝵,0.096,0.89
gold/yen2_page_0160_c09_140.png,GOLD,yen2,page_0160,箕,kia,其,0.116,0.874
silver/yen2_page_0160_c09_145.png,SILVER,yen2,page_0160,庄,chẳng,体,0.013,0.985
