book,page,col,ocr_char,syllable,confirmed,tier,rule
yen2,page_0012,2,徳,Đức,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,主,Chúa,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,支,Giê,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,秋,su,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,去,cùng,0,REVIEW,unconfirmed
yen2,page_0012,2,体,thấy,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,慓,rất,0,REVIEW,unconfirmed
yen2,page_0012,2,圭,Thánh,0,REVIEW,unconfirmed
yen2,page_0012,3,徳,Đức,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,婆,Bà,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,瑪,Ma,0,REVIEW,diverged_column
yen2,page_0012,3,傾,ri,0,REVIEW,diverged_column
yen2,page_0012,3,亜,a,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,羣,còn,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,於,ở,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,世,thế,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,間,gian,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,朱,cho,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,年,nên,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,而,làm,0,REVIEW,diverged_column
yen2,page_0012,3,垩,Thánh,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,奇,cả,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,韋,và,1,GOLD,s1_inter_s2_similar
yen2,page_0012,3,曰,viết,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,無,vô,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,城,thành,1,GOLD,s1_inter_s2_direct
yen2,page_0012,3,女,An,0,REVIEW,diverged_column
yen2,page_0012,3,卑,ti,1,REVIEW,diverged_column
yen2,page_0012,4,怎,ô,1,GOLD,s1_inter_s2_similar
yen2,page_0012,4,冥,ki,0,REVIEW,unconfirmed
yen2,page_0012,4,般,Khi,0,REVIEW,unconfirmed
yen2,page_0012,4,意,ấy,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,君,vua,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,署,nước,1,GOLD,s1_inter_s2_similar
yen2,page_0012,4,瑪,ma,0,REVIEW,unconfirmed
yen2,page_0012,4,先,tên,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,罪,là,0,REVIEW,unconfirmed
yen2,page_0012,4,查,Tra,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,加,gia,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,奴,nô,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,麽,đi,0,REVIEW,unconfirmed
yen2,page_0012,4,打,đánh,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,特,được,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,賊,giặc,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,渃,nước,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,批,Phê,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,吹,xi,1,GOLD,s1_inter_s2_direct
yen2,page_0012,4,何,aé,0,REVIEW,out_of_dict_no_visual
yen2,page_0012,5,麻,mà,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,術,về,1,GOLD,s1_inter_s2_similar
yen2,page_0012,5,寺,thì,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,用,vua,0,REVIEW,unconfirmed
yen2,page_0012,5,戈,qua,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,成,thành,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,女,An,0,REVIEW,unconfirmed
yen2,page_0012,5,𤰞,ti,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,烏,ô,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,冥,ki,0,REVIEW,unconfirmed
yen2,page_0012,5,連,liên,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,師,đòi,0,REVIEW,unconfirmed
yen2,page_0012,5,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,麻,mà,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,噪,quở,0,REVIEW,unconfirmed
yen2,page_0012,5,浪,răng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,眉,Mày,1,GOLD,s1_inter_s2_direct
yen2,page_0012,5,怖,phải,1,GOLD,s1_inter_s2_similar
yen2,page_0012,5,依,I,0,REVIEW,unconfirmed
yen2,page_0012,5,那,na,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,樞,xu,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,些,ta,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,㑹,gọi,0,REVIEW,unconfirmed
yen2,page_0012,6,浪,răng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,銕,Dêu,0,REVIEW,unconfirmed
yen2,page_0012,6,批,phê,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,𦝫,rô,0,REVIEW,unconfirmed
yen2,page_0012,6,昜,dể,1,GOLD,s1_inter_s2_similar
yen2,page_0012,6,局,vua,0,REVIEW,unconfirmed
yen2,page_0012,6,庒,chăng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,餘,thờ,1,GOLD,s1_inter_s2_similar
yen2,page_0012,6,季,bụt,0,REVIEW,unconfirmed
yen2,page_0012,6,庄,chăng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,煉,thưa,0,REVIEW,unconfirmed
yen2,page_0012,6,浪,răng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,奏,Tâu,1,GOLD,s1_inter_s2_direct
yen2,page_0012,6,局,vua,0,REVIEW,unconfirmed
yen2,page_0012,7,雄,phải,0,REVIEW,unconfirmed
yen2,page_0012,7,碎,Tôi,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,些,ta,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,噲,gọi,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,浪,răng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,纊,Dêu,0,REVIEW,unconfirmed
yen2,page_0012,7,批,phê,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,屠,rô,0,REVIEW,unconfirmed
yen2,page_0012,7,爲,vì,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,中,trong,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,弄,lòng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,恒,hăng,0,REVIEW,unconfirmed
yen2,page_0012,7,想,tưởng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,徳,Đức,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,主,Chúa,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,主,Giê,0,REVIEW,unconfirmed
yen2,page_0012,7,秋,su,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,冊,là,0,REVIEW,unconfirmed
yen2,page_0012,7,主,Chúa,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,衆,chúng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,7,暉,tôi,0,REVIEW,unconfirmed
yen2,page_0012,8,困,Vua,0,REVIEW,diverged_column
yen2,page_0012,8,海,hỏi,0,REVIEW,diverged_column
yen2,page_0012,8,浪,răng,1,REVIEW,diverged_column
yen2,page_0012,8,疲,Ví,0,REVIEW,diverged_column
yen2,page_0012,8,平,băng,0,REVIEW,diverged_column
yen2,page_0012,8,固,có,1,GOLD,s1_inter_s2_direct
yen2,page_0012,8,摠,tưởng,1,GOLD,s1_inter_s2_similar
yen2,page_0012,8,石,vậy,0,REVIEW,diverged_column
yen2,page_0012,8,馬,vì,0,REVIEW,diverged_column
yen2,page_0012,8,奎,tao,0,REVIEW,diverged_column
yen2,page_0012,8,庄,chăng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,8,想,Tưởng,1,GOLD,s1_inter_s2_direct
yen2,page_0012,8,寺,bụt,0,REVIEW,diverged_column
yen2,page_0012,8,𦔳,chữa,1,REVIEW,diverged_column
yen2,page_0012,8,落,nước,0,REVIEW,diverged_column
yen2,page_0012,8,文,nữa,0,REVIEW,diverged_column
yen2,page_0012,8,呻,ru,0,REVIEW,diverged_column
yen2,page_0012,8,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0012,8,把,trả,1,GOLD,s1_inter_s2_direct
yen2,page_0012,8,夜,lời,0,REVIEW,diverged_column
yen2,page_0012,8,浪,răng,1,REVIEW,diverged_column
yen2,page_0012,8,用,Vua,0,REVIEW,diverged_column
yen2,page_0014,0,忌,cậy,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,法,phép,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,学,bụt,1,GOLD,s1_inter_s2_similar
yen2,page_0014,0,之,gì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,固,có,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,覄,một,0,REVIEW,diverged_column
yen2,page_0014,0,法,phép,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,徳,Đức,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,主,Chúa,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,羣,Trời,0,REVIEW,diverged_column
yen2,page_0014,0,却,dựng,0,REVIEW,diverged_column
yen2,page_0014,0,年,nên,1,REVIEW,diverged_column
yen2,page_0014,0,季,trời,0,REVIEW,diverged_column
yen2,page_0014,0,坦,đất,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,兵,cùng,1,GOLD,s1_inter_s2_similar
yen2,page_0014,0,門,muôn,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,救,vật,0,REVIEW,diverged_column
yen2,page_0014,0,固,có,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,法,phép,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,破,phá,1,GOLD,s1_inter_s2_direct
yen2,page_0014,0,学,bụt,1,GOLD,s1_inter_s2_similar
yen2,page_0014,0,共,cùng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,我,diệt,0,REVIEW,unconfirmed
yen2,page_0014,1,医,nước,0,REVIEW,unconfirmed
yen2,page_0014,1,麻,mà,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,传,chó,0,REVIEW,unconfirmed
yen2,page_0014,1,乙,Chó,0,REVIEW,unconfirmed
yen2,page_0014,1,之,gì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,相,vua,0,REVIEW,unconfirmed
yen2,page_0014,1,别,biết,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,事,sự,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,侣,này,0,REVIEW,unconfirmed
yen2,page_0014,1,訴,tỏ,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,詳,tường,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,寺,thì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,主,chăng,0,REVIEW,unconfirmed
yen2,page_0014,1,户,lo,1,GOLD,s1_inter_s2_similar
yen2,page_0014,1,賊,giặc,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,兵,cùng,1,GOLD,s1_inter_s2_similar
yen2,page_0014,1,每,mọi,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,事,sự,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,庫,khó,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,女,nữa,1,GOLD,s1_inter_s2_direct
yen2,page_0014,1,月,Vua,0,REVIEW,unconfirmed
yen2,page_0014,2,宜,nghe,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,夜,lời,0,REVIEW,unconfirmed
yen2,page_0014,2,意,ấy,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,建,liền,1,GOLD,s1_inter_s2_similar
yen2,page_0014,2,履,rằng,0,REVIEW,unconfirmed
yen2,page_0014,2,内,Nói,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,旦,đến,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,事,sự,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,意,ấy,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,石,làm,0,REVIEW,unconfirmed
yen2,page_0014,2,之,gì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,眉,Mày,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,閣,muốn,1,GOLD,s1_inter_s2_similar
yen2,page_0014,2,葉,đẹp,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,弄,lòng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,蚕,tao,1,GOLD,s1_inter_s2_similar
yen2,page_0014,2,寺,thì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,𥙷,bỏ,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,意,ý,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,眉,mày,1,GOLD,s1_inter_s2_direct
yen2,page_0014,2,麻,mà,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,蚕,tao,1,GOLD,s1_inter_s2_similar
yen2,page_0014,3,朱,cho,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,聀,chức,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,𡖋,làm,0,REVIEW,diverged_column
yen2,page_0014,3,仕,sãi,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,奇,cả,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,翁,Ông,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,垩,Thánh,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,衣,ấy,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,交,lại,0,REVIEW,diverged_column
yen2,page_0014,3,浪,rằng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,聀,Chức,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,衣,ấy,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,罷,là,0,REVIEW,diverged_column
yen2,page_0014,3,事,sự,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,重,trọng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,双,song,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,离,le,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,𡖋,làm,0,REVIEW,diverged_column
yen2,page_0014,3,困,khôn,1,GOLD,s1_inter_s2_similar
yen2,page_0014,3,灵,linh,1,GOLD,s1_inter_s2_direct
yen2,page_0014,3,地,hồn,0,REVIEW,diverged_column
yen2,page_0014,3,几,kẻ,1,REVIEW,diverged_column
yen2,page_0014,4,召,chịu,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,共,cùng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,几,kẻ,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,朱,cho,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,固,có,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,運,tội,0,REVIEW,unconfirmed
yen2,page_0014,4,常,và,0,REVIEW,unconfirmed
yen2,page_0014,4,㘴,hai,0,REVIEW,unconfirmed
yen2,page_0014,4,碎,Tôi,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,畏,là,0,REVIEW,unconfirmed
yen2,page_0014,4,郎,sa,0,REVIEW,unconfirmed
yen2,page_0014,4,獅,se,0,REVIEW,unconfirmed
yen2,page_0014,4,由,do,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,司,tê,0,REVIEW,unconfirmed
yen2,page_0014,4,蔑,một,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,時,ngày,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,茂,một,0,REVIEW,unconfirmed
yen2,page_0014,4,以,làm,0,REVIEW,unconfirmed
yen2,page_0014,4,禮,lê,0,REVIEW,unconfirmed
yen2,page_0014,4,眉,mi,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,小,sa,0,REVIEW,unconfirmed
yen2,page_0014,4,敬,kính,1,GOLD,s1_inter_s2_direct
yen2,page_0014,4,徳,Đức,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,主,Chúa,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,支,Giê,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,耿,su,1,GOLD,s1_inter_s2_similar
yen2,page_0014,5,乇,đã,0,REVIEW,unconfirmed
yen2,page_0014,5,𡰱,chịu,0,REVIEW,unconfirmed
yen2,page_0014,5,庫,khó,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,爲,vì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,碎,tôi,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,姻,Vua,0,REVIEW,unconfirmed
yen2,page_0014,5,体,thấy,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,呵,nói,0,REVIEW,unconfirmed
yen2,page_0014,5,而,làm,0,REVIEW,unconfirmed
yen2,page_0014,5,不,vậy,1,GOLD,s1_inter_s2_similar
yen2,page_0014,5,麻,mà,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,曳,dái,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,末,mất,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,功,công,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,寺,thì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,代,dạy,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,危,đem,0,REVIEW,unconfirmed
yen2,page_0014,5,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,繈,đi,0,REVIEW,unconfirmed
yen2,page_0014,5,城,thành,1,GOLD,s1_inter_s2_direct
yen2,page_0014,5,署,Rô,0,REVIEW,unconfirmed
yen2,page_0014,5,瑪,ma,0,REVIEW,unconfirmed
yen2,page_0014,6,麻,mà,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,𥙷,bỏ,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,朱,cho,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,獅,sư,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,子,tử,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,安,ăn,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,羽,thịt,0,REVIEW,unconfirmed
yen2,page_0014,6,㝵,Người,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,直,nghe,1,GOLD,s1_inter_s2_similar
yen2,page_0014,6,信,tin,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,伐,ấy,0,REVIEW,unconfirmed
yen2,page_0014,6,寺,thì,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,明,mừng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,濼,lăm,0,REVIEW,unconfirmed
yen2,page_0014,6,伙,hơn,0,REVIEW,unconfirmed
yen2,page_0014,6,几,kẻ,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,特,được,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,古,của,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,重,trọng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,共,cùng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,聀,chức,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,郎,sang,1,GOLD,s1_inter_s2_direct
yen2,page_0014,6,各,các,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,本,bốn,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,道,đạo,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,城,thành,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,妄,An,0,REVIEW,unconfirmed
yen2,page_0014,7,司,ti,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,烏,ô,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,其,ki,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,哭,khóc,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,六,lóc,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,歇,hết,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,民,một,0,REVIEW,unconfirmed
yen2,page_0014,7,命,mình,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,於,ở,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,盃,vui,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,柘,mặt,0,REVIEW,unconfirmed
yen2,page_0014,7,安,an,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,慰,ủi,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,冠,kẻo,0,REVIEW,unconfirmed
yen2,page_0014,7,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0014,7,陞,ta,0,REVIEW,unconfirmed
yen2,page_0014,7,户,lo,1,GOLD,s1_inter_s2_similar
yen2,page_0014,8,盆,buồn,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,女,cùng,1,GOLD,s1_inter_s2_similar
yen2,page_0014,8,真,xin,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,徳,Đức,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,主,Chúa,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,吞,Trời,0,REVIEW,unconfirmed
yen2,page_0014,8,㕓,gìn,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,侍,giữ,0,REVIEW,unconfirmed
yen2,page_0014,8,各,các,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,本,bốn,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,道,đạo,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,如,như,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,昆,con,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,氊,chiên,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,犒,kẻo,0,REVIEW,unconfirmed
yen2,page_0014,8,沛,phải,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,瑰,tay,0,REVIEW,unconfirmed
yen2,page_0014,8,族,sói,0,REVIEW,unconfirmed
yen2,page_0014,8,罟,là,0,REVIEW,unconfirmed
yen2,page_0014,8,鬼,quỷ,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,共,cùng,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,几,kẻ,1,GOLD,s1_inter_s2_direct
yen2,page_0014,8,县,giữ,0,REVIEW,unconfirmed
yen2,page_0016,0,罪,là,0,REVIEW,unconfirmed
yen2,page_0016,0,軍,quân,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,奴,nó,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,攺,Đoạn,0,REVIEW,unconfirmed
yen2,page_0016,0,者,giã,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,冬,các,0,REVIEW,unconfirmed
yen2,page_0016,0,本,bổn,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,道,đạo,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,丘,đã,0,REVIEW,unconfirmed
yen2,page_0016,0,塊,coi,1,GOLD,s1_inter_s2_similar
yen2,page_0016,0,朔,sóc,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,深,bốn,0,REVIEW,unconfirmed
yen2,page_0016,0,迈,mươi,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,辭,năm,0,REVIEW,unconfirmed
yen2,page_0016,0,麻,Mà,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,欺,khi,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,軍,quân,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,阁,muốn,0,REVIEW,unconfirmed
yen2,page_0016,0,扒,bắt,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,㝵,người,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,寺,thì,1,GOLD,s1_inter_s2_direct
yen2,page_0016,0,祕,lấy,0,REVIEW,unconfirmed
yen2,page_0016,0,練,lòi,0,REVIEW,unconfirmed
yen2,page_0016,1,纎,tói,1,GOLD,s1_inter_s2_similar
yen2,page_0016,1,麻,mà,1,GOLD,s1_inter_s2_direct
yen2,page_0016,1,郊,buộc,0,REVIEW,unconfirmed
yen2,page_0016,1,𠇭,mình,0,REVIEW,unconfirmed
yen2,page_0016,1,買,mới,1,GOLD,s1_inter_s2_direct
yen2,page_0016,1,付,phó,1,GOLD,s1_inter_s2_direct
yen2,page_0016,1,朱,cho,1,GOLD,s1_inter_s2_direct
yen2,page_0016,1,冬,các,0,REVIEW,unconfirmed
yen2,page_0016,1,官,quan,1,GOLD,s1_inter_s2_direct
yen2,page_0016,1,危,đem,0,REVIEW,unconfirmed
yen2,page_0016,1,然,đi,0,REVIEW,unconfirmed
yen2,page_0016,1,獨,Dọc,1,GOLD,s1_inter_s2_direct
yen2,page_0016,1,庚,đường,0,REVIEW,unconfirmed
yen2,page_0016,1,翁,ông,1,GOLD,s1_inter_s2_direct
