sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0154,峨,"""峨""",0.341,3,36
M1_0155,d,"""d""",0.306,2,46
M1_0156,答案,"""答案""",0.252,2,46
M1_0157,峨,"""峨""",0.332,3,41
M1_0158,←,"""←""",0.328,3,46
M1_0159,]],"""]]""",0.333,2,46
M1_0160,心,"""心""",0.332,2,46
M1_0161,年,"""年""",0.270,2,40
M1_0162,---,"""---""",0.236,2,40
M1_0163,一,"""一""",0.289,2,46
M1_0164,1,"""    1""",0.346,4,46
M1_0165,English,"""English""",0.335,2,52
M1_0166,---,"""---""",0.348,2,52
M1_0167,削,"""削""",0.275,2,40
M1_0168,代,"""代""",0.268,2,41
M1_0169,𐬭,"""𐬭""",0.387,5,46
M1_0170,^     |,"""    ^\n    |""",0.414,6,46
M1_0171,峨,"""峨""",0.385,3,58
M1_0172,峨眉,"""峨眉""",0.386,4,46
M1_0173,^     ㅎ,"""    ^\n    ㅎ""",0.467,9,40
M1_0174,𐬨,"""𐬨""",0.397,5,41
M1_0175,阅,"""阅""",0.325,2,40
M1_0176,）,"""    ）""",0.342,3,46
M1_0177,.....,""".....""",0.279,2,40
M1_0178,九,"""九""",0.300,2,51
M1_0179,---,"""---""",0.297,2,40
M1_0180,</code>,"""    </code>""",0.384,5,46
M1_0181,古体,"""古体""",0.345,3,41
M1_0182,]],"""]]""",0.351,2,52
M1_0183,0.1,"""0.1""",0.317,4,46
M1_0184,11,"""    11""",0.385,5,40
M1_0185,</body> </html>,"""    </body>\n</html>""",0.497,8,46
M1_0186,峨,"""峨""",0.335,3,36
M1_0187,প্রথম,"""প্রথম""",0.525,9,52
M1_0188,۱۲,"""۱۲""",0.323,3,52
M1_0189,</span>,"""    </span>""",0.396,5,46
M1_0190,]],"""]]""",0.308,2,46
M1_0191,峙,"""峙""",0.378,3,51
M1_0192,1.,"""    1.""",0.391,5,46
M1_0193,境,"""境""",0.244,2,36
M1_0194,---,"""---""",0.326,2,46
M1_0195,一,"""一""",0.284,2,46
M1_0196,]],"""]]""",0.304,2,46
M1_0197,^,"""    ^""",0.347,3,44
M1_0198,---,"""---""",0.302,2,46
M1_0199,Answer:,"""Answer:""",0.293,3,41
M1_0200,）,"""    ）""",0.267,3,28
M1_0201,人,"""人""",0.252,2,28
M1_0202,二,"""二""",0.254,2,25
M1_0203,فر,"""فر""",0.272,2,25
M1_0204,ক,"""ক""",0.286,3,28
M1_0205,四会,"""四会""",0.268,3,25
M1_0206,02,"""02""",0.297,3,32
M1_0207,瀛,"""瀛""",0.263,3,25
M1_0208,z,"""z""",0.276,2,28
M1_0209,alimus,"""alimus""",0.317,4,28
M1_0210,朱,"""朱""",0.255,2,25
M1_0211,𐬭,"""𐬭""",0.315,5,28
M1_0212,重,"""重""",0.221,2,24
M1_0213,出,"""出""",0.272,2,28
M1_0214,𐬨,"""𐬨""",0.347,5,28
M1_0215,জ,"""জ""",0.293,3,28
M1_0216,生,"""生""",0.284,2,28
M1_0217,.....,""".....""",0.246,2,28
M1_0218,庄,"""庄""",0.199,2,28
M1_0219,）,"""    ）""",0.308,3,28
M1_0220,）,"""    ）""",0.272,3,28
M1_0221,遷,"""遷""",0.282,3,25
M1_0222,境,"""境""",0.257,2,24
M1_0223,.....,""".....""",0.267,2,32
M1_0224,重,"""重""",0.258,2,28
M1_0225,.....,""".....""",0.208,2,25
M1_0226,.,"""    .""",0.315,3,36
M1_0227,峨,"""峨""",0.272,3,24
M1_0228,巳,"""巳""",0.286,3,28
M1_0229,答,"""    答""",0.368,4,25
M1_0230,光,"""光""",0.243,2,28
M1_0231,ক,"""ক""",0.224,3,32
M1_0232,丐,"""丐""",0.302,3,28
M1_0233,---,"""---""",0.277,2,25
M1_0234,jie,"""jie""",0.296,3,28
M1_0235,ข,"""ข""",0.308,3,28
M1_0236,庥,"""庥""",0.287,3,32
M1_0237,六,"""六""",0.228,2,28
M1_0238,..,"""..""",0.257,2,28
M1_0239,崡,"""崡""",0.297,3,28
M1_0240,八,"""    八""",0.268,3,25
M1_0241,স্টেট,"""স্টেট""",0.458,7,32
M1_0242,生,"""生""",0.286,2,28
M1_0243,فر,"""فر""",0.235,2,28
M1_0244,德,"""德""",0.278,2,28
M1_0245,峪,"""峪""",0.263,3,28
M1_0246,+ ```,"""+\n```""",0.290,3,32
M1_0247,**,"""**""",0.266,2,32
M1_0248,^,"""    ^""",0.309,3,32
M1_0249,𐬭,"""𐬭""",0.336,5,28
M1_0250,---,"""---""",0.211,2,28
M1_0251,境,"""境""",0.270,2,28
M1_0252,度,"""    度""",0.310,4,25
M1_0253,自,"""自""",0.255,2,28
M1_0254,兀,"""兀""",0.328,3,28
M1_0255,.....,""".....""",0.257,2,25
M1_0256,ส,"""ส""",0.239,3,32
M1_0257,𐬭,"""𐬭""",0.358,5,25
M1_0258,佐,"""    佐""",0.321,4,25
M1_0259,何,"""何""",0.272,2,32
M1_0260,联,"""联""",0.277,2,32
M1_0261,境,"""境""",0.261,2,25
M1_0262,主,"""主""",0.185,2,28
M1_0263,共,"""共""",0.283,2,28
M1_0264,𐬭,"""𐬭""",0.332,5,25
M1_0265,五,"""五""",0.256,2,32
M1_0266,末,"""末""",0.282,2,28
M1_0267,、,"""、""",0.264,2,32
M1_0268,生,"""生""",0.223,2,25
M1_0269,𐬨,"""𐬨""",0.294,5,28
M1_0270,干朱,"""干朱""",0.314,3,24
M1_0271,...,"""...""",0.252,2,28
M1_0272,竹,"""竹""",0.246,2,28
M1_0273,徲,"""    徲""",0.365,5,28
M1_0274,连,"""    连""",0.314,4,28
M1_0275,朱,"""朱""",0.199,2,28
M1_0276,一,"""一""",0.254,2,28
M1_0277,未,"""未""",0.253,2,25
M1_0278,王億,"""王億""",0.322,4,28
M1_0279,丌 德,"""    丌\n德""",0.432,7,28
M1_0280,境,"""境""",0.285,2,25
M1_0281,自,"""自""",0.206,2,28
M1_0282,阁,"""阁""",0.229,2,28
M1_0283,境,"""境""",0.268,2,25
M1_0284,心,"""心""",0.253,2,25
M1_0285,）,"""    ）""",0.280,3,25
M1_0286,）,"""    ）""",0.299,3,28
M1_0287,百,"""百""",0.263,2,24
M1_0288,嵴,"""嵴""",0.181,2,28
M1_0289,一,"""一""",0.270,2,32
M1_0290,·,"""·""",0.243,2,28
M1_0291,立,"""立""",0.275,2,25
M1_0292,）,"""    ）""",0.300,3,25
M1_0293,化,"""化""",0.288,2,28
M1_0294,牛法,"""    牛法""",0.345,5,28
M1_0295,峨,"""峨""",0.274,3,32
M1_0296,朱,"""朱""",0.258,2,28
M1_0297,年位,"""年位""",0.287,3,28
M1_0298,境,"""境""",0.258,2,25
M1_0299,5,"""5""",0.291,2,32
M1_0300,𐬨,"""𐬨""",0.340,5,28
M1_0301,হ,"""হ""",0.241,3,32
M1_0302,）,"""    ）""",0.296,3,32
M1_0303,მართვის,"""მართვის""",0.554,11,28
M1_0304,𐬨,"""𐬨""",0.374,5,28
M1_0305,未,"""未""",0.250,2,32
M1_0306,10,"""    10""",0.268,5,25
M1_0307,图,"""图""",0.235,2,28
M1_0308,．,"""．""",0.247,2,25
M1_0309,',"""'""",0.258,2,25
M1_0310,力,"""力""",0.236,2,28
M1_0311,峨,"""峨""",0.304,3,28
M1_0312,重,"""重""",0.261,2,28
M1_0313,ম,"""ম""",0.226,3,32
M1_0314,）,"""    ）""",0.274,3,28
M1_0315,体,"""体""",0.238,2,32
M1_0316,次,"""次""",0.271,2,28
M1_0317,境,"""境""",0.248,2,28
M1_0318,峦,"""峦""",0.325,3,28
M1_0319,）,"""    ）""",0.253,3,28
M1_0320,出,"""出""",0.231,2,28
M1_0321,兵,"""兵""",0.237,2,28
M1_0322,庫,"""庫""",0.242,2,28
M1_0323,）,"""    ）""",0.308,3,28
M1_0324,華,"""    華""",0.386,5,25
M1_0325,𠕃,"""𠕃""",0.341,5,28
M1_0326,忆,"""忆""",0.207,2,28
M1_0327,一,"""一""",0.268,2,28
M1_0328,字,"""    字""",0.311,4,28
M1_0329,f,"""f""",0.264,2,25
M1_0330,士,"""士""",0.270,2,28
M1_0331,安,"""安""",0.266,2,25
M1_0332,庄,"""庄""",0.223,2,28
M1_0333,...,"""...""",0.280,2,25
M1_0334,征程,"""征程""",0.247,2,28
M1_0335,王,"""王""",0.259,2,28
M1_0336,𐬭,"""𐬭""",0.343,5,28
M1_0337,别,"""别""",0.276,2,25
M1_0338,',"""'""",0.258,2,25
M1_0339,𐬭,"""𐬭""",0.315,5,24
M1_0340,犭,"""犭""",0.304,3,28
M1_0341,）,"""    ）""",0.281,3,32
M1_0342,五,"""五""",0.265,2,28
M1_0343,物,"""物""",0.271,2,28
M1_0344,式,"""式""",0.259,2,25
M1_0345,1,"""    1""",0.253,4,28
M1_0346,王尼,"""王尼""",0.318,3,28
M1_0347,交,"""    交""",0.311,4,28
M1_0348,莲,"""    莲""",0.311,4,25
M1_0349,）,"""    ）""",0.307,3,28
M1_0350,𐬭,"""𐬭""",0.350,5,28
M1_0351,県,"""県""",0.201,2,28
M1_0352,"Actually, the image shows ""蜂"" at the top","""Actually, the image shows \""蜂\"" at the top""",0.605,12,25
M1_0353,遅,"""遅""",0.267,3,25
M1_0354,স,"""স""",0.305,3,28
M1_0355,𠀁,"""𠀁""",0.371,5,28
M1_0356,旧,"""旧""",0.185,2,28
M1_0357,峨,"""峨""",0.264,3,28
M1_0358,..,"""..""",0.266,2,32
M1_0359,境,"""境""",0.260,2,28
M1_0360,象,"""    象""",0.322,4,25
M1_0361,）,"""    ）""",0.287,3,28
M1_0362,体,"""体""",0.253,2,32
M1_0363,朱,"""朱""",0.203,2,32
M1_0364,二,"""二""",0.258,2,25
M1_0365,𐬭𐬭,"""𐬭𐬭""",0.490,9,32
M1_0366,شار,"""شار""",0.252,2,28
M1_0367,重,"""重""",0.264,2,25
M1_0368,席,"""席""",0.260,2,28
M1_0369,亦,"""亦""",0.197,2,28
M1_0370,待,"""    待""",0.376,4,41
M1_0371,frac,"""frac""",0.273,3,28
M1_0372,讼,"""讼""",0.287,2,32
M1_0373,崬,"""崬""",0.326,3,28
M1_0374,懷,"""懷""",0.318,3,32
M1_0375,义几,"""    义几""",0.318,5,28
M1_0376,曰,"""曰""",0.290,2,28
M1_0377,朱,"""朱""",0.253,2,25
M1_0378,',"""'""",0.246,2,32
M1_0379,）,"""    ）""",0.300,3,32
M1_0380,図,"""図""",0.287,3,25
M1_0381,例,"""例""",0.217,2,28
M1_0382,尬,"""尬""",0.224,2,25
M1_0383,年,"""年""",0.305,2,32
M1_0384,মান,"""মান""",0.322,5,25
M1_0385,事,"""    事""",0.360,4,32
M1_0386,ম,"""ম""",0.290,3,28
M1_0387,স্ব,"""স্ব""",0.318,5,32
M1_0388,連,"""    連""",0.285,4,28
M1_0389,朱如,"""朱如""",0.304,3,28
M1_0390,一,"""一""",0.269,2,28
M1_0391,文     游,"""    文\n    游""",0.423,7,28
M1_0392,）,"""    ）""",0.311,3,25
M1_0393,体否,"""体否""",0.286,3,28
M1_0394,角,"""    角""",0.332,4,28
M1_0395,言,"""    言""",0.324,4,28
M1_0396,尬,"""尬""",0.258,2,28
M1_0397,ম,"""ম""",0.309,3,28
M1_0398,库,"""    库""",0.318,4,25
M1_0399,本,"""本""",0.211,2,28
M1_0400,楼,"""楼""",0.275,2,41
M1_0401,一,"""一""",0.276,2,36
M1_0402,遜,"""遜""",0.322,3,40
M1_0403,.....,""".....""",0.303,2,36
M1_0404,心,"""心""",0.324,2,46
M1_0405,）,"""    ）""",0.274,3,36
M1_0406,^     ㅎ,"""    ^\n    ㅎ""",0.501,9,40
M1_0407,歪,"""歪""",0.285,2,36
M1_0408,上,"""上""",0.285,2,34
M1_0409,峨,"""峨""",0.356,3,40
M1_0410,一,"""一""",0.249,2,31
M1_0411,প্রতিষ্ঠান,"""প্রতিষ্ঠান""",0.519,12,32
M1_0412,一,"""一""",0.286,2,41
M1_0413,境,"""境""",0.295,2,36
M1_0414,例,"""例""",0.312,2,40
M1_0415,...,"""...""",0.322,2,40
M1_0416,遠,"""遠""",0.314,3,41
M1_0417,^,"""    ^""",0.337,3,41
M1_0418,.....,""".....""",0.288,2,40
M1_0419,---,"""---""",0.275,2,36
M1_0420,降,"""    降""",0.381,4,40
M1_0421,1.,"""    1.""",0.364,5,36
M1_0422,位,"""位""",0.219,2,40
M1_0423,---,"""---""",0.350,2,52
M1_0424,</p> </body> </html>,"""    </p>\n</body>\n</html>""",0.573,11,46
M1_0425,代表,"""代表""",0.314,2,36
M1_0426,to,"""to""",0.289,2,40
M1_0427,মূল,"""মূল""",0.399,7,36
M1_0428,叶,"""叶""",0.332,2,40
M1_0429,伴,"""    伴""",0.337,4,34
M1_0430,沫,"""沫""",0.307,2,46
M1_0431,年,"""年""",0.281,2,36
M1_0432,^,"""    ^""",0.308,3,40
M1_0433,ক,"""ক""",0.261,3,46
M1_0434,年,"""年""",0.298,2,34
M1_0435,1.,"""    1.""",0.379,5,36
M1_0436,）,"""    ）""",0.303,3,36
M1_0437,',"""'""",0.293,2,36
M1_0438,---,"""---""",0.295,2,40
M1_0439,山,"""山""",0.251,2,41
M1_0440,峨,"""峨""",0.353,3,40
M1_0441,峨,"""峨""",0.326,3,40
M1_0442,𐬨,"""𐬨""",0.402,5,36
M1_0443,生,"""生""",0.268,2,28
M1_0444,峙,"""峙""",0.288,3,41
M1_0445,^     ^,"""    ^\n    ^""",0.427,6,46
M1_0446,..,"""..""",0.278,2,40
M1_0447,---,"""---""",0.270,2,41
M1_0448,...,"""...""",0.322,2,36
M1_0449,1. 汉字：乌 2.,"""    1. 汉字：乌\n2. """,0.550,12,32
M1_0450,____,"""    ____""",0.291,3,41
M1_0451,বেশি,"""বেশি""",0.438,6,41
M1_0452,ম,"""ম""",0.285,3,28
M1_0453,中,"""中""",0.323,2,36
M1_0454,遠,"""遠""",0.366,3,46
M1_0455,明,"""明""",0.215,2,40
M1_0456,┌───────────┐     └,"""    ┌───────────┐\n    └""",0.597,12,36
M1_0457,...,"""...""",0.289,2,36
M1_0458,域,"""域""",0.302,2,36
M1_0459,𐬭𐬭,"""    𐬭𐬭""",0.576,11,46
M1_0460,庥,"""庥""",0.282,3,46
M1_0461,一,"""一""",0.308,2,36
M1_0462,瀚,"""瀚""",0.308,3,46
M1_0463,যে,"""যে""",0.354,4,36
M1_0464,...,"""...""",0.308,2,40
M1_0465,答案：,"""答案：""",0.286,3,40
M1_0466,）,"""    ）""",0.285,3,36
M1_0467,1,"""    1""",0.331,4,32
M1_0468,峨来,"""峨来""",0.349,4,40
M1_0469,）,"""    ）""",0.342,3,41
M1_0470,答曰,"""    答曰""",0.407,5,36
M1_0471,---,"""---""",0.262,2,40
M1_0472,𐬨,"""𐬨""",0.401,5,36
M1_0473,六,"""六""",0.305,2,40
M1_0474,社,"""社""",0.291,2,40
M1_0475,的,"""的""",0.339,2,36
M1_0476,𐬨,"""𐬨""",0.330,5,31
M1_0477,1,"""    1""",0.261,4,32
M1_0478,1,"""    1""",0.374,4,36
M1_0479,心,"""心""",0.273,2,40
M1_0480,）,"""    ）""",0.326,3,36
M1_0481,一,"""一""",0.355,2,58
M1_0482,^,"""    ^""",0.284,3,36
M1_0483,）,"""    ）""",0.289,3,41
M1_0484,---,"""---""",0.321,2,40
M1_0485,体,"""体""",0.246,2,32
M1_0486,庄,"""庄""",0.282,2,36
M1_0487,派,"""派""",0.315,2,36
M1_0488,一,"""一""",0.281,2,36
M1_0489,^,"""    ^""",0.286,3,46
M1_0490,4,"""    4""",0.366,4,40
M1_0491,体,"""体""",0.287,2,46
M1_0492,一,"""一""",0.323,2,40
M1_0493,→,"""→""",0.279,2,28
M1_0494,峨,"""峨""",0.295,3,40
M1_0495,L,"""L""",0.310,2,41
M1_0496,วัน,"""วัน""",0.358,5,32
M1_0497,峨,"""峨""",0.309,3,40
M1_0498,峪,"""峪""",0.324,3,40
M1_0499,外,"""外""",0.307,2,46
M1_0500,底,"""底""",0.221,2,40
M1_0501,）,"""）""",0.303,2,40
M1_0502,^,"""    ^""",0.326,3,36
M1_0503,點,"""點""",0.297,2,40
M1_0504,প্র,"""প্র""",0.430,5,36
M1_0505,体,"""体""",0.286,2,36
M1_0506,一,"""一""",0.243,2,36
M1_0507,犄,"""犄""",0.298,3,25
M1_0508,年,"""年""",0.279,2,31
M1_0509,種,"""種""",0.309,2,46
M1_0510,境,"""境""",0.286,2,32
M1_0511,Answer,"""Answer""",0.288,2,40
M1_0512,峪,"""峪""",0.259,3,36
M1_0513,ম,"""ম""",0.300,3,28
M1_0514,一,"""一""",0.289,2,36
M1_0515,</span>,"""    </span>""",0.365,5,36
M1_0516,____,"""____""",0.300,2,40
M1_0517,保,"""保""",0.283,2,40
M1_0518,"Actually, it looks like a simple character or symbol.","""Actually, it looks like a simple character or symbol.\n""",0.523,12,28
M1_0519,m,"""m""",0.317,2,36
M1_0520,一,"""一""",0.297,2,41
M1_0521,离,"""    离""",0.324,4,28
M1_0522,বিশ্ব,"""বিশ্ব""",0.440,7,40
M1_0523,安,"""安""",0.248,2,41
M1_0524,别,"""别""",0.291,2,36
M1_0525,32,"""32""",0.339,3,40
M1_0526,5,"""5""",0.291,2,36
M1_0527,1.,"""    1.""",0.364,5,32
M1_0528,---,"""---""",0.359,2,52
M1_0529,7,"""7""",0.235,2,36
M1_0530,---,"""---""",0.290,2,46
M1_0531,---,"""---""",0.287,2,41
M1_0532,^,"""    ^""",0.304,3,40
M1_0533,工,"""工""",0.289,2,36
M1_0534,𐬨,"""𐬨""",0.380,5,40
M1_0535,此,"""此""",0.230,2,41
M1_0536,時,"""時""",0.310,2,40
M1_0537,1,"""    1""",0.376,4,34
M1_0538,𐬭,"""𐬭""",0.392,5,31
M1_0539,۱/۲,"""۱/۲""",0.343,4,36
M1_0540,七,"""七""",0.249,2,40
M1_0541,）,"""    ）""",0.315,3,36
M1_0542,峙,"""峙""",0.334,3,40
M1_0543,一,"""一""",0.291,2,40
M1_0544,朱,"""朱""",0.330,2,41
M1_0545,!,"""!""",0.299,2,46
M1_0546,時,"""時""",0.260,2,40
M1_0547,一,"""一""",0.297,2,41
M1_0548,2.,"""    2.""",0.376,5,32
M1_0549,峰,"""峰""",0.286,2,36
M1_0550,遠,"""遠""",0.376,3,40
M1_0551,---,"""---""",0.278,2,36
M1_0552,生,"""生""",0.242,2,40
M1_0553,瀚,"""瀚""",0.320,3,36
M1_0554,𐬭,"""𐬭""",0.378,5,36
M1_0555,二,"""二""",0.261,2,40
M1_0556,見,"""    見""",0.381,4,40
M1_0557,主,"""主""",0.314,2,41
M1_0558,山,"""山""",0.229,2,40
M1_0559,÷,"""÷""",0.346,3,41
M1_0560,হ,"""হ""",0.318,3,36
M1_0561,ম,"""ম""",0.315,3,46
M1_0562,┌──────────────────────────────────────────────────────────────,"""    ┌──────────────────────────────────────────────────────────────""",0.597,12,36
M1_0563,1.,"""    1.""",0.341,5,36
M1_0564,傅,"""    傅""",0.377,4,36
M1_0565,答案,"""答案""",0.293,2,40
M1_0566,答案：A,"""答案：A""",0.355,4,40
M1_0567,峨,"""峨""",0.317,3,36
M1_0568,女,"""女""",0.257,2,31
M1_0569,）,"""    ）""",0.297,3,46
M1_0570,𐬭,"""𐬭""",0.402,5,40
M1_0571,各,"""各""",0.289,2,41
M1_0572,心,"""心""",0.306,2,40
M1_0573,𐬨,"""𐬨""",0.384,5,31
M1_0574,一,"""一""",0.237,2,40
M1_0575,）,"""    ）""",0.264,3,32
M1_0576,---,"""---""",0.285,2,41
M1_0577,國,"""國""",0.293,2,36
M1_0578,..,"""..""",0.278,2,31
M1_0579,---,"""---""",0.287,2,40
M1_0580,12,"""    12""",0.390,5,36
M1_0581,^     為,"""    ^\n    為""",0.453,7,40
M1_0582,）,"""    ）""",0.303,3,40
M1_0583,.....,""".....""",0.330,2,36
M1_0584,---,"""---""",0.327,2,40
M1_0585,峨,"""峨""",0.300,3,36
M1_0586,2,"""    2""",0.308,4,46
M1_0587,...,"""...""",0.277,2,31
M1_0588,וּ,"""וּ""",0.360,4,46
M1_0589,一,"""一""",0.301,2,36
M1_0590,）,"""    ）""",0.345,3,41
M1_0591,</form>,"""    </form>""",0.373,5,46
M1_0592,答案,"""答案""",0.316,2,36
M1_0593,答案,"""答案""",0.283,2,40
M1_0594,+ =,"""+\n=""",0.326,3,40
M1_0595,---,"""---""",0.308,2,36
M1_0596,吏,"""    吏""",0.319,4,28
M1_0597,）,"""    ）""",0.263,3,40
M1_0598,^11,"""    ^11""",0.390,5,34
M1_0599,이,"""이""",0.292,2,36
