sample_id,image,book,page,column,ocr_char,syllable,label,tier,rule,bbox,crop_w,crop_h,R_candidates,R_size,ocr_in_R,pred,sec,pred_cjk,n_cjk,one_cjk,first,first_in_R,any_in_R,eq_kinh,first_in_vocab,kinh_in_R,is_empty,latin,multi,no_cjk
M3_0010,gold/stt2_page_0128_c01_012.png,stt2,page_0128,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1424, 1680, 1535, 1806]",121,147,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.132,,0,False,,False,False,False,False,True,True,False,False,True
M3_0011,gold/stt2_page_0210_c03_047.png,stt2,page_0210,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1156, 1382, 1266, 1509]",128,155,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.330,,0,False,,False,False,False,False,True,True,False,False,True
M3_0012,gold/stt2_page_0096_c05_096.png,stt2,page_0096,5,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[832, 817, 934, 923]",104,130,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.902,,0,False,,False,False,False,False,True,True,False,False,True
M3_0013,gold/stt4_page_0092_c03_043.png,stt4,page_0092,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[758, 445, 831, 525]",69,96,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.559,,0,False,,False,False,False,False,True,True,False,False,True
M3_0014,gold/stt4_page_0078_c08_163.png,stt4,page_0078,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[306, 476, 374, 563]",76,107,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.645,,0,False,,False,False,False,False,True,True,False,False,True
M3_0015,gold/stt4_page_0078_c01_002.png,stt4,page_0078,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[981, 384, 1048, 455]",66,75,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.458,,0,False,,False,False,False,False,True,True,False,False,True
M3_0016,gold/stt2_page_0040_c03_043.png,stt2,page_0040,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1173, 763, 1282, 884]",118,139,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.052,,0,False,,False,False,False,False,True,True,False,False,True
M3_0017,gold/stt4_page_0062_c04_079.png,stt4,page_0062,4,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[653, 1160, 726, 1236]",82,94,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.597,,0,False,,False,False,False,False,True,True,False,False,True
M3_0018,gold/stt4_page_0026_c09_191.png,stt4,page_0026,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[155, 1510, 225, 1587]",61,91,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.541,,0,False,,False,False,False,False,True,True,False,False,True
M3_0019,gold/stt11_page_0284_c02_035.png,stt11,page_0284,2,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1346, 2232, 1483, 2362]",71,156,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.790,,0,False,,False,False,False,False,True,True,False,False,True
M3_0020,gold/stt2_page_0202_c01_018.png,stt2,page_0202,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1456, 2348, 1568, 2466]",129,146,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.169,,0,False,,False,False,False,False,True,True,False,False,True
M3_0021,gold/stt2_page_0206_c02_021.png,stt2,page_0206,2,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1284, 700, 1395, 833]",120,140,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.009,,0,False,,False,False,False,False,True,True,False,False,True
M3_0022,gold/stt4_page_0030_c07_153.png,stt4,page_0030,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[363, 1172, 434, 1252]",87,87,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.584,,0,False,,False,False,False,False,True,True,False,False,True
M3_0023,gold/stt2_page_0174_c01_005.png,stt2,page_0174,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1442, 958, 1546, 1077]",112,147,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.053,,0,False,,False,False,False,False,True,True,False,False,True
M3_0024,gold/stt2_page_0028_c04_067.png,stt2,page_0028,4,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[960, 466, 1065, 566]",129,123,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.026,,0,False,,False,False,False,False,True,True,False,False,True
M3_0025,gold/stt2_page_0296_c09_144.png,stt2,page_0296,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[264, 837, 385, 989]",136,165,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.331,,0,False,,False,False,False,False,True,True,False,False,True
M3_0026,gold/stt4_page_0204_c05_100.png,stt4,page_0204,5,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[569, 758, 633, 830]",66,88,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.525,,0,False,,False,False,False,False,True,True,False,False,True
M3_0027,gold/stt2_page_0138_c09_190.png,stt2,page_0138,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[232, 2034, 333, 2148]",101,137,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.948,,0,False,,False,False,False,False,True,True,False,False,True
M3_0028,gold/stt2_page_0016_c07_137.png,stt2,page_0016,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[510, 2413, 602, 2520]",114,131,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.874,,0,False,,False,False,False,False,True,True,False,False,True
M3_0029,gold/stt4_page_0092_c01_013.png,stt4,page_0092,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[948, 1200, 1040, 1288]",113,108,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.894,,0,False,,False,False,False,False,True,True,False,False,True
M3_0030,gold/stt2_page_0280_c05_102.png,stt2,page_0280,5,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[842, 1876, 958, 1990]",116,140,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.985,,0,False,,False,False,False,False,True,True,False,False,True
M3_0031,gold/stt2_page_0214_c07_120.png,stt2,page_0214,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[551, 488, 662, 600]",137,131,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.062,,0,False,,False,False,False,False,True,True,False,False,True
M3_0032,gold/stt4_page_0118_c09_184.png,stt4,page_0118,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[182, 628, 251, 704]",81,90,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.566,,0,False,,False,False,False,False,True,True,False,False,True
M3_0033,gold/stt2_page_0312_c03_061.png,stt2,page_0312,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1141, 2077, 1241, 2191]",102,136,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.873,,0,False,,False,False,False,False,True,True,False,False,True
M3_0034,gold/stt4_page_0120_c02_025.png,stt4,page_0120,2,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[849, 422, 922, 499]",76,91,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.559,,0,False,,False,False,False,False,True,True,False,False,True
M3_0035,gold/stt4_page_0242_c08_149.png,stt4,page_0242,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[318, 754, 387, 836]",75,84,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.497,,0,False,,False,False,False,False,True,True,False,False,True
M3_0036,gold/stt4_page_0152_c04_083.png,stt4,page_0152,4,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[662, 1446, 733, 1521]",77,91,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.578,,0,False,,False,False,False,False,True,True,False,False,True
M3_0037,gold/stt2_page_0148_c08_160.png,stt2,page_0148,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[374, 1999, 483, 2123]",131,152,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.324,,0,False,,False,False,False,False,True,True,False,False,True
M3_0038,gold/stt4_page_0166_c05_096.png,stt4,page_0166,5,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[565, 721, 638, 797]",74,94,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.653,,0,False,,False,False,False,False,True,True,False,False,True
M3_0039,gold/stt11_page_0292_c07_133.png,stt11,page_0292,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[596, 1293, 697, 1410]",87,145,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.881,,0,False,,False,False,False,False,True,True,False,False,True
M3_0040,gold/stt11_page_0292_c09_175.png,stt11,page_0292,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[310, 1273, 403, 1387]",107,140,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.004,,0,False,,False,False,False,False,True,True,False,False,True
M3_0041,gold/stt2_page_0304_c03_044.png,stt2,page_0304,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1163, 933, 1272, 1054]",111,149,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.007,,0,False,,False,False,False,False,True,True,False,False,True
M3_0042,gold/stt2_page_0088_c01_017.png,stt2,page_0088,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1435, 2134, 1530, 2251]",100,138,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.939,,0,False,,False,False,False,False,True,True,False,False,True
M3_0043,gold/stt11_page_0074_c08_151.png,stt11,page_0074,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[433, 602, 537, 712]",117,131,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.951,,0,False,,False,False,False,False,True,True,False,False,True
M3_0044,gold/stt2_page_0184_c05_074.png,stt2,page_0184,5,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[867, 773, 977, 894]",125,147,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.248,,0,False,,False,False,False,False,True,True,False,False,True
M3_0045,gold/stt2_page_0084_c06_122.png,stt2,page_0084,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[679, 1776, 781, 1886]",126,128,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.943,,0,False,,False,False,False,False,True,True,False,False,True
M3_0046,gold/stt2_page_0138_c03_061.png,stt2,page_0138,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1155, 1939, 1258, 2052]",112,131,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.965,,0,False,,False,False,False,False,True,True,False,False,True
M3_0047,gold/stt4_page_0080_c06_119.png,stt4,page_0080,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[485, 1047, 553, 1127]",55,96,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.518,,0,False,,False,False,False,False,True,True,False,False,True
M3_0048,gold/stt4_page_0048_c03_055.png,stt4,page_0048,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[765, 1128, 836, 1219]",87,106,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.657,,0,False,,False,False,False,False,True,True,False,False,True
M3_0049,gold/stt2_page_0110_c04_064.png,stt2,page_0110,4,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[984, 883, 1093, 1005]",125,149,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.219,,0,False,,False,False,False,False,True,True,False,False,True
M3_0050,gold/stt2_page_0180_c03_049.png,stt2,page_0180,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1122, 1690, 1232, 1819]",100,146,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.973,,0,False,,False,False,False,False,True,True,False,False,True
M3_0051,gold/stt2_page_0104_c02_036.png,stt2,page_0104,2,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1287, 1796, 1396, 1910]",130,137,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.136,,0,False,,False,False,False,False,True,True,False,False,True
M3_0052,gold/stt4_page_0068_c09_204.png,stt4,page_0068,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[179, 1452, 246, 1526]",59,87,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.522,,0,False,,False,False,False,False,True,True,False,False,True
M3_0053,gold/stt2_page_0050_c04_080.png,stt2,page_0050,4,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1014, 1865, 1114, 1977]",113,138,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.928,,0,False,,False,False,False,False,True,True,False,False,True
M3_0054,gold/stt4_page_0160_c04_083.png,stt4,page_0160,4,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[667, 1277, 738, 1353]",82,94,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.615,,0,False,,False,False,False,False,True,True,False,False,True
M3_0055,gold/stt2_page_0186_c06_108.png,stt2,page_0186,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[635, 1909, 748, 2031]",138,148,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.306,,0,False,,False,False,False,False,True,True,False,False,True
M3_0056,gold/stt2_page_0066_c06_109.png,stt2,page_0066,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[688, 587, 800, 706]",138,130,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.156,,0,False,,False,False,False,False,True,True,False,False,True
M3_0057,gold/stt2_page_0294_c06_107.png,stt2,page_0294,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[694, 955, 802, 1076]",132,129,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.036,,0,False,,False,False,False,False,True,True,False,False,True
M3_0058,gold/stt2_page_0314_c08_143.png,stt2,page_0314,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[397, 465, 510, 587]",120,126,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.036,,0,False,,False,False,False,False,True,True,False,False,True
M3_0059,gold/stt4_page_0024_c02_032.png,stt4,page_0024,2,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[870, 1045, 937, 1124]",63,97,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.424,,0,False,,False,False,False,False,True,True,False,False,True
M3_0060,gold/stt2_page_0226_c02_023.png,stt2,page_0226,2,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1327, 923, 1436, 1054]",120,161,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.291,,0,False,,False,False,False,False,True,True,False,False,True
M3_0061,gold/stt2_page_0174_c05_091.png,stt2,page_0174,5,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[846, 1348, 950, 1475]",127,155,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.183,,0,False,,False,False,False,False,True,True,False,False,True
M3_0062,gold/stt2_page_0142_p0132_c09_183.png,stt2,page_0142_p0132,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[241, 1585, 345, 1707]",126,139,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.153,,0,False,,False,False,False,False,True,True,False,False,True
M3_0063,gold/stt2_page_0162_c03_050.png,stt2,page_0162,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1129, 1561, 1245, 1693]",142,154,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.408,,0,False,,False,False,False,False,True,True,False,False,True
M3_0064,gold/stt2_page_0234_c06_107.png,stt2,page_0234,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[682, 1157, 796, 1297]",110,169,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.325,,0,False,,False,False,False,False,True,True,False,False,True
M3_0065,gold/stt2_page_0052_c08_151.png,stt2,page_0052,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[379, 1400, 481, 1518]",115,143,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.030,,0,False,,False,False,False,False,True,True,False,False,True
M3_0066,gold/stt2_page_0210_c07_105.png,stt2,page_0210,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[545, 702, 655, 834]",125,159,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.379,,0,False,,False,False,False,False,True,True,False,False,True
M3_0067,gold/stt4_page_0066_c01_008.png,stt4,page_0066,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[956, 752, 1021, 826]",62,81,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.381,,0,False,,False,False,False,False,True,True,False,False,True
M3_0068,gold/stt2_page_0180_c04_061.png,stt2,page_0180,4,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[962, 898, 1078, 1033]",127,153,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,一,1.340,一,1,True,一,False,False,False,True,True,False,False,False,False
M3_0069,gold/stt2_page_0122_c08_172.png,stt2,page_0122,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[378, 2338, 487, 2434]",127,118,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.939,,0,False,,False,False,False,False,True,True,False,False,True
M3_0070,gold/stt4_page_0234_c06_091.png,stt4,page_0234,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[472, 292, 547, 372]",86,98,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.634,,0,False,,False,False,False,False,True,True,False,False,True
M3_0071,gold/stt2_page_0094_c01_020.png,stt2,page_0094,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1422, 2231, 1541, 2338]",111,131,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.968,,0,False,,False,False,False,False,True,True,False,False,True
