sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0185,Answer: 侄,"""Answer: 侄""",1.230,6,333
M1_0186,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.169,12,286
M1_0187,𧋬,"""𧋬""",1.546,5,504
M1_0188,𤕝,"""𤕝""",1.427,5,403
M1_0189,𱢑,"""𱢑""",1.362,5,515
M1_0190,Answer: 𠯹,"""Answer: 𠯹""",1.486,8,356
M1_0191,𠀁,"""𠀁""",1.412,5,485
M1_0192,正确答案：炷,"""正确答案：炷""",1.340,6,339
M1_0193,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",1.265,12,331
M1_0194,正确答案：軍,"""正确答案：軍""",1.368,5,572
M1_0195,𠿒,"""𠿒""",1.274,5,398
M1_0196,答案：桅,"""答案：桅""",1.049,5,316
M1_0197,𠥼,"""𠥼""",1.280,5,396
M1_0198,"Actually, the image shows a single character. It's ""","""Actually, the image shows a single character. It's \""""",1.483,12,379
M1_0199,"Actually, the image shows a few more characters. I'll","""Actually, the image shows a few more characters. I'll""",1.344,12,357
M1_0200,"Explanation: The character in the image is ""","""Explanation: The character in the image is \""""",0.934,12,219
M1_0201,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",0.940,12,203
M1_0202,"Actually, the image shows ""僸"" and ""","""Actually, the image shows \""僸\"" and \""""",0.820,12,167
M1_0203,𬧻,"""𬧻""",0.771,5,263
M1_0204,ex,"""ex""",0.537,2,180
M1_0205,"Yes, that's correct. The character in the image is ""","""Yes, that's correct. The character in the image is \""""",0.994,12,232
M1_0206,𱍸,"""𱍸""",0.807,5,307
M1_0207,𤯑,"""𤯑""",0.744,5,267
M1_0208,ex,"""ex""",0.496,2,167
M1_0209,𬈴,"""𬈴""",0.734,5,369
M1_0210,答案：嘤,"""答案：嘤""",0.654,5,168
M1_0211,---,"""---""",0.549,2,186
M1_0212,"Actually, the image shows ""𡍴""","""Actually, the image shows \""𡍴\""""",0.818,12,187
M1_0213,参考答案：嘤,"""参考答案：嘤""",0.656,6,166
M1_0214,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",0.917,12,201
M1_0215,Answer: 𩤳,"""Answer: 𩤳""",0.697,8,183
M1_0216,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.964,12,234
M1_0217,𦥮,"""𦥮""",0.737,5,203
M1_0218,"Actually, the image shows ""儿庄"" in a","""Actually, the image shows \""儿庄\"" in a""",1.027,12,265
M1_0219,"Actually, the image shows 12 characters. I'll","""Actually, the image shows 12 characters. I'll""",0.927,12,234
M1_0220,---,"""---""",0.476,2,181
M1_0221,𩽴,"""𩽴""",0.734,5,278
M1_0222,解析：根据越南喃字古籍中的手写文字,"""解析：根据越南喃字古籍中的手写文字""",0.840,12,190
M1_0223,𫴮,"""𫴮""",0.741,5,237
M1_0224,---,"""---""",0.646,2,211
M1_0225,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.874,12,228
M1_0226,𠫤,"""𠫤""",1.120,5,371
M1_0227,𢬊,"""𢬊""",0.624,5,250
M1_0228,"Actually, the image shows 12 characters. I'll","""Actually, the image shows 12 characters. I'll""",0.962,12,238
M1_0229,𦥮,"""𦥮""",0.660,5,163
M1_0230,𠆧,"""𠆧""",0.831,5,492
M1_0231,𢩫,"""𢩫""",0.840,5,236
M1_0232,𠇁,"""𠇁""",0.739,5,269
M1_0233,解析：根据越南语“ngục”的发音和结构,"""解析：根据越南语“ngục”的发音和结构""",0.866,12,146
M1_0234,答案：桅,"""答案：桅""",0.799,5,198
M1_0235,𠫤,"""𠫤""",0.709,5,283
M1_0236,---,"""---""",0.722,2,250
M1_0237,𦲬,"""𦲬""",0.750,5,238
M1_0238,"Actually, the image shows ""đã"" as a","""Actually, the image shows \""đã\"" as a""",0.961,12,214
M1_0239,Answer: 𣇫,"""Answer: 𣇫""",0.870,8,195
M1_0240,Answer: 侄,"""Answer: 侄""",0.594,6,142
M1_0241,悸,"""悸""",0.897,3,352
M1_0242,"Actually, the image shows a character with a dot above","""Actually, the image shows a character with a dot above""",0.884,12,214
M1_0243,---,"""---""",0.674,2,242
M1_0244,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.981,12,243
M1_0245,答案：,"""答案：""",0.586,3,178
M1_0246,try,"""try""",0.651,2,183
M1_0247,𣨰,"""𣨰""",0.840,5,250
M1_0248,天,"""天""",0.847,2,533
M1_0249,---,"""---""",0.438,2,157
M1_0250,---,"""---""",0.552,2,208
M1_0251,Answer: 𩖍,"""Answer: 𩖍""",0.754,8,189
M1_0252,"Actually, the image shows ""曼又夢"".","""Actually, the image shows \""曼又夢\"".""",0.858,12,255
M1_0253,自,"""自""",0.563,2,282
M1_0254,"Actually, the image shows ""朶儿"" which","""Actually, the image shows \""朶儿\"" which""",0.962,12,232
M1_0255,𬮤,"""𬮤""",0.729,5,214
M1_0256,𬮤,"""𬮤""",0.692,5,225
M1_0257,𠁦,"""𠁦""",0.714,5,339
M1_0258,Bao,"""Bao""",0.670,3,381
M1_0259,答案：哆,"""答案：哆""",0.964,5,540
M1_0260,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",1.102,12,265
M1_0261,---,"""---""",0.528,2,189
M1_0262,chua,"""chua""",0.719,3,181
M1_0263,供,"""供""",0.692,2,309
M1_0264,𤔑,"""𤔑""",0.691,5,243
M1_0265,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.035,12,239
M1_0266,𬆞,"""𬆞""",0.818,5,375
M1_0267,𬃻,"""𬃻""",0.816,5,334
M1_0268,"Actually, the image shows a character with a horizontal stroke","""Actually, the image shows a character with a horizontal stroke""",0.893,12,198
M1_0269,正确答案：吧,"""正确答案：吧""",0.650,5,315
M1_0270,答案：桅,"""答案：桅""",0.589,5,155
M1_0271,---,"""---""",0.672,2,202
M1_0272,𤯑,"""𤯑""",0.774,5,297
M1_0273,"Actually, the image shows ""侩"" and ""","""Actually, the image shows \""侩\"" and \""""",0.956,12,215
M1_0274,---,"""---""",0.639,2,203
M1_0275,答案：桅,"""答案：桅""",0.622,5,166
M1_0276,"Actually, the image shows a handwritten character. It","""Actually, the image shows a handwritten character. It""",1.028,12,263
M1_0277,答案：暃,"""答案：暃""",0.641,5,178
M1_0278,𱐩,"""𱐩""",0.766,5,243
M1_0279,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.989,12,255
M1_0280,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.878,12,217
M1_0281,𤐕,"""𤐕""",0.846,5,346
M1_0282,𠄭,"""𠄭""",0.707,5,379
M1_0283,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.928,12,217
M1_0284,𠃜,"""𠃜""",0.734,5,341
M1_0285,𠀁,"""𠀁""",0.677,5,266
M1_0286,𬗝,"""𬗝""",0.685,5,179
M1_0287,𱍸,"""𱍸""",0.652,5,241
M1_0288,𠫤,"""𠫤""",0.621,5,251
M1_0289,𠀁,"""𠀁""",0.825,5,279
M1_0290,Answer: 𫺲,"""Answer: 𫺲""",0.784,8,192
M1_0291,答案：嘤,"""答案：嘤""",0.593,5,158
M1_0292,---,"""---""",0.569,2,194
M1_0293,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.898,12,206
M1_0294,𬦃,"""𬦃""",0.764,5,287
M1_0295,𫮒,"""𫮒""",0.808,5,195
M1_0296,答案：嘤,"""答案：嘤""",0.584,5,177
M1_0297,𱐩,"""𱐩""",0.722,5,243
M1_0298,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.880,12,195
M1_0299,𬙞,"""𬙞""",0.678,5,227
M1_0300,𬧻,"""𬧻""",0.772,5,274
M1_0301,𠨱,"""𠨱""",0.900,5,395
M1_0302,𱐩,"""𱐩""",0.981,5,304
M1_0303,---,"""---""",0.638,2,217
M1_0304,"Actually, the image shows a few more characters. The","""Actually, the image shows a few more characters. The""",0.874,12,210
M1_0305,𧋆,"""𧋆""",0.789,5,196
M1_0306,𱐩 𱝮,"""𱐩 𱝮 """,0.886,12,225
M1_0307,exact,"""exact""",0.639,3,189
M1_0308,𡅳,"""𡅳""",0.680,5,165
M1_0309,𠾕,"""𠾕""",0.631,5,224
M1_0310,𠖠,"""𠖠""",0.731,5,211
M1_0311,𠺶,"""𠺶""",0.739,5,190
M1_0312,"Actually, the image shows ""閃室"" which","""Actually, the image shows \""閃室\"" which""",0.856,12,198
M1_0313,𬠱,"""𬠱""",0.814,5,225
M1_0314,---,"""---""",0.681,2,242
M1_0315,"Actually, the image shows ""体"" and ""","""Actually, the image shows \""体\"" and \""""",1.041,12,242
M1_0316,---,"""---""",0.502,2,168
M1_0317,𤔑,"""𤔑""",0.688,5,223
M1_0318,𠫤,"""𠫤""",0.760,5,271
M1_0319,"Explanation: The character in the image is ""","""Explanation: The character in the image is \""""",0.817,12,181
M1_0320,---,"""---""",0.630,2,244
M1_0321,𱍸,"""𱍸""",0.743,5,274
M1_0322,𢲬,"""𢲬""",0.709,5,217
M1_0323,𠨱,"""𠨱""",0.783,5,383
M1_0324,𬠎,"""𬠎""",0.731,5,274
M1_0325,"Actually, the image shows ""𪥘""","""Actually, the image shows \""𪥘\""""",0.816,12,174
M1_0326,---,"""---""",0.556,2,181
M1_0327,𩵽,"""𩵽""",0.766,5,196
M1_0328,"Actually, the image shows a sequence of characters. The","""Actually, the image shows a sequence of characters. The""",0.846,12,222
M1_0329,𫐴,"""𫐴""",0.640,5,192
M1_0330,答案：炷,"""答案：炷""",0.719,5,159
M1_0331,正确答案：侬,"""正确答案：侬""",0.632,6,367
M1_0332,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",1.030,12,288
M1_0333,---,"""---""",0.578,2,162
M1_0334,𠁼,"""𠁼""",0.742,5,351
M1_0335,exclude,"""exclude""",0.586,3,175
M1_0336,答案：炷,"""答案：炷""",0.683,5,150
M1_0337,𠔁,"""𠔁""",0.591,5,241
M1_0338,𠾕,"""𠾕""",0.625,5,204
M1_0339,---,"""---""",0.493,2,149
M1_0340,𱍸,"""𱍸""",0.705,5,272
M1_0341,𦲬,"""𦲬""",0.815,5,262
M1_0342,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.938,12,198
M1_0343,𢪱,"""𢪱""",0.699,5,200
M1_0344,供,"""供""",0.668,2,267
M1_0345,English: One of the following is a character from Vietnames,"""English: One of the following is a character from Vietnames""",0.971,12,234
M1_0346,𫢩,"""𫢩""",0.711,5,208
M1_0347,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.930,12,199
M1_0348,𠫤,"""𠫤""",0.704,5,263
M1_0349,English:,"""English:""",0.667,3,226
M1_0350,𱍽,"""𱍽""",0.607,5,193
M1_0351,Answer: 摁,"""Answer: 摁""",0.709,6,162
M1_0352,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.912,12,226
M1_0353,"Actually, the image shows 16 characters. I'll","""Actually, the image shows 16 characters. I'll""",0.824,12,227
M1_0354,---,"""---""",0.609,2,221
M1_0355,𠨱,"""𠨱""",0.805,5,351
M1_0356,𱍸,"""𱍸""",0.681,5,263
M1_0357,"Actually, the image shows ""呐"" and ""","""Actually, the image shows \""呐\"" and \""""",0.853,12,171
M1_0358,---,"""---""",0.729,2,221
M1_0359,Answer: 棱,"""Answer: 棱""",0.595,5,174
M1_0360,exet,"""exet""",0.583,3,163
M1_0361,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.931,12,219
M1_0362,"Actually, the image shows ""烩体"" which","""Actually, the image shows \""烩体\"" which""",1.040,12,242
M1_0363,答案：桅,"""答案：桅""",0.841,5,221
M1_0364,𧬑,"""𧬑""",0.715,5,349
M1_0365,𤟸,"""𤟸""",0.807,5,214
M1_0366,B,"""B""",0.675,2,320
M1_0367,---,"""---""",0.591,2,203
M1_0368,𧁷,"""𧁷""",0.722,5,209
M1_0369,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",0.936,12,210
M1_0370,𠊚,"""𠊚""",1.186,5,368
M1_0371,𥞞,"""𥞞""",0.725,5,239
M1_0372,𢶀,"""𢶀""",0.821,5,212
M1_0373,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",0.866,12,193
M1_0374,𫭔,"""𫭔""",0.713,5,207
M1_0375,"Actually, the image shows ""兀几"" which","""Actually, the image shows \""兀几\"" which""",0.939,12,211
M1_0376,"Actually, the image shows a few more characters. The","""Actually, the image shows a few more characters. The""",0.969,12,244
M1_0377,答案：栐,"""答案：栐""",0.666,5,178
M1_0378,解释：,"""解释：""",0.745,3,199
M1_0379,𱍸,"""𱍸""",0.785,5,296
M1_0380,explanation,"""explanation""",0.556,4,159
M1_0381,𱍸,"""𱍸""",0.771,5,272
M1_0382,𬧻,"""𬧻""",0.608,5,254
M1_0383,𠬺,"""𠬺""",0.845,5,263
M1_0384,---,"""---""",0.646,2,199
M1_0385,"Actually, the image shows ""悚事"" which","""Actually, the image shows \""悚事\"" which""",0.972,12,245
M1_0386,解析：根据越南喃字古籍中的手写汉字,"""解析：根据越南喃字古籍中的手写汉字""",0.808,12,158
M1_0387,𱍸,"""𱍸""",0.770,5,307
M1_0388,𨑗,"""𨑗""",0.793,5,213
M1_0389,"Actually, the image shows a few more characters. The","""Actually, the image shows a few more characters. The""",0.967,12,203
M1_0390,请在下列选项中选择一个符合要求的字。,"""请在下列选项中选择一个符合要求的字。""",0.728,11,107
M1_0391,---,"""---""",0.530,2,177
M1_0392,---,"""---""",0.661,2,246
M1_0393,"Actually, the image shows ""体獕"" which","""Actually, the image shows \""体獕\"" which""",0.903,12,209
M1_0394,𠃜,"""𠃜""",0.803,5,264
M1_0395,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.944,12,267
M1_0396,解析：根据越南喃字古籍里的字形特点,"""解析：根据越南喃字古籍里的字形特点""",0.991,12,208
M1_0397,𦥮,"""𦥮""",0.656,5,183
M1_0398,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.927,12,218
M1_0399,𱍸,"""𱍸""",0.816,5,284
M1_0400,𠞭,"""𠞭""",1.209,5,564
M1_0401,丿,"""丿""",1.113,3,584
M1_0402,𫽄,"""𫽄""",1.077,5,312
M1_0403,"Actually, the image shows a single character. It's ""","""Actually, the image shows a single character. It's \""""",1.132,12,267
M1_0404,𥲒,"""𥲒""",1.148,5,370
M1_0405,𠨱,"""𠨱""",1.080,5,455
M1_0406,"Actually, the image shows ""哭"" and ""泣","""Actually, the image shows \""哭\"" and \""泣""",1.276,12,284
M1_0407,𬉊,"""𬉊""",0.977,5,373
M1_0408,Bang,"""Bang""",0.941,3,369
M1_0409,𦲬,"""𦲬""",1.097,5,356
M1_0410,"Actually, the character in the image is ""尋","""Actually, the character in the image is \""尋""",1.103,12,243
M1_0411,𠨱,"""𠨱""",0.934,5,395
M1_0412,答案：侄,"""答案：侄""",0.968,5,257
M1_0413,𱙘,"""𱙘""",0.946,5,331
M1_0414,𠔁,"""𠔁""",1.062,5,338
M1_0415,𱍽,"""𱍽""",0.954,5,309
M1_0416,𱐩,"""𱐩""",1.147,5,359
M1_0417,倌,"""倌""",1.143,3,571
M1_0418,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",1.493,12,355
M1_0419,答案：塊,"""答案：塊""",0.901,5,238
M1_0420,𠺶,"""𠺶""",1.189,5,325
M1_0421,𠔏,"""𠔏""",0.910,5,386
M1_0422,𬉊,"""𬉊""",1.124,5,397
M1_0423,𦲬,"""𦲬""",1.184,5,390
M1_0424,𠉭,"""𠉭""",1.212,5,440
M1_0425,𫢫,"""𫢫""",0.844,5,247
M1_0426,𦚃,"""𦚃""",1.141,5,307
M1_0427,"Actually, the image shows a few more characters. The","""Actually, the image shows a few more characters. The""",1.190,12,320
M1_0428,Bạn,"""Bạn""",1.045,3,333
M1_0429,𧁷,"""𧁷""",1.019,5,286
M1_0430,"Actually, the image shows ""沫"" and ""","""Actually, the image shows \""沫\"" and \""""",1.386,12,326
M1_0431,剿,"""剿""",1.131,2,640
M1_0432,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.301,12,340
M1_0433,忿,"""忿""",1.282,3,377
M1_0434,"Yes, that's correct. The character in the image is ""","""Yes, that's correct. The character in the image is \""""",1.083,12,301
M1_0435,𤬖,"""𤬖""",1.050,5,348
M1_0436,𠈃,"""𠈃""",1.030,5,474
