verse_id	page_idx	quocngu_page_file	verse_type	quoc_ngu	quoc_ngu_clean	confidence
47	5	quocngu_p010_f033.jpg	luc	Tôn sư ngồi. Hởi! Thở than!	Tôn sư ngồi. Hởi! Thở than!	1.00
48	5	quocngu_p010_f033.jpg	bat	Ngó ra trước án, thấy chảng trở vô.	Ngó ra trước án, thấy chảng trở vô.	1.00
49	5	quocngu_p010_f033.jpg	luc	Hỏi răng:ạồVạn lý trường đồ!	Hỏi răng:ạồVạn lý trường đồ!	1.00
50	5	quocngu_p010_f033.jpg	bat	Sao chưa cất gánh? Trở vô việc gì?	Sao chưa cất gánh? Trở vô việc gì?	1.00
51	5	quocngu_p010_f033.jpg	luc	Hay là con hãy hồ nghi	Hay là con hãy hồ nghi	1.00
52	5	quocngu_p010_f033.jpg	bat	Thầy bàn một việc khoa kỳ còn xa?	Thầy bàn một việc khoa kỳ còn xa?	1.00
53	5	quocngu_p010_f033.jpg	luc	Vân Tiên đặt gõi thưa qua:	Vân Tiên đặt gõi thưa qua:	1.00
54	5	quocngu_p010_f033.jpg	bat	Tiếu sanh chưa hẳn việc nhà dường nào.	Tiếu sanh chưa hẳn việc nhà dường nào.	1.00
55	5	quocngu_p010_f033.jpg	luc	ỊThung huyên tuổi hạc đã cao;	ỊThung huyên tuổi hạc đã cao;	1.00
56	6	quocngu_p012_f035.jpg	bat	Xin thầy bảy tỏ âm hao cho tường!	Xin thầy bảy tỏ âm hao cho tường!	1.00
57	6	quocngu_p012_f035.jpg	luc	Tôn sư nghe nói thêm thương;	Tôn sư nghe nói thêm thương;	1.00
58	6	quocngu_p012_f035.jpg	bat	Dắc tay ra chốn tiền đường coi trăng.	Dắc tay ra chốn tiền đường coi trăng.	1.00
59	6	quocngu_p012_f035.jpg	luc	Nhơn cơ tự sự phần răng:	Nhơn cơ tự sự phần răng:	1.00
60	6	quocngu_p012_f035.jpg	bat	coạẠồỊViệc ngươi chăng khác việc trăng trên trời.	CoạẠồỊViệc ngươi chăng khác việc trăng trên trời.	1.00
61	6	quocngu_p012_f035.jpg	luc	Tuỳ là soi khắp nơi nơi,	Tuỳ là soi khắp nơi nơi,	1.00
62	6	quocngu_p012_f035.jpg	bat	hi mở, khi tỏ, khi vơi, khi đầy.	Hi mở, khi tỏ, khi vơi, khi đầy.	1.00
63	6	quocngu_p012_f035.jpg	luc	San con cũng tỏ lẽ nấy;	San con cũng tỏ lẽ nấy;	1.00
64	6	quocngu_p012_f035.jpg	bat	Lựa là trước phải hỗi thầy làm chi?	Lựa là trước phải hỗi thầy làm chi?	1.00
65	6	quocngu_p012_f035.jpg	luc	Số con hai chữ «khoa kỳ;	Số con hai chữ «khoa kỳ;	1.00
66	6	quocngu_p012_f035.jpg	bat	hôi Tinh đã rạng; Tử vi thêm lòa!	Hôi Tinh đã rạng; Tử vi thêm lòa!	1.00
67	6	quocngu_p012_f035.jpg	luc	ỊHềm vì Ngựa hãy còn xa!	ỊHềm vì Ngựa hãy còn xa!	1.00
68	7	quocngu_p014_f037.jpg	bat	Thỗ vừa lỗ bóng; gà đà Gáy tan!	Thỗ vừa lỗ bóng; gà đà Gáy tan!	1.00
69	7	quocngu_p014_f037.jpg	luc	Bao giờ cho tới bắc phang,	Bao giờ cho tới bắc phang,	1.00
70	7	quocngu_p014_f037.jpg	bat	Gặp chuột ra đàng, con mới nên danh.	Gặp chuột ra đàng, con mới nên danh.	1.00
71	7	quocngu_p014_f037.jpg	luc	Sau, dầu đặng chữ «hiễn vinh»,	Sau, dầu đặng chữ «hiễn vinh»,	1.00
72	7	quocngu_p014_f037.jpg	bat	Mấy lời thầy đạy tiền trình chẳng sai.	Mấy lời thầy đạy tiền trình chẳng sai.	1.00
73	7	quocngu_p014_f037.jpg	luc	rong cơ bi cực thởi lai,	Rong cơ bi cực thởi lai,	1.00
74	7	quocngu_p014_f037.jpg	bat	Giữ mình cho vẹn, việc ai chở sờn i	Giữ mình cho vẹn, việc ai chở sờn i	1.00
75	7	quocngu_p014_f037.jpg	luc	Vân Tiên vôi vắ tạ ơn;	Vân Tiên vôi vắ tạ ơn;	1.00
76	7	quocngu_p014_f037.jpg	bat	Trăm năm xin gắng keo sơn như lời!	Trăm năm xin gắng keo sơn như lời!	1.00
77	7	quocngu_p014_f037.jpg	luc	Ra đi vừa rạng chơn trời;	Ra đi vừa rạng chơn trời;	1.00
78	7	quocngu_p014_f037.jpg	bat	Ngừi ngủi ngó lại, nhớ nơi học đường!	Ngừi ngủi ngó lại, nhớ nơi học đường!	1.00
79	7	quocngu_p014_f037.jpg	luc	Tiền rằng': «Thiên các nhứt phương!	Tiền rằng': «Thiên các nhứt phương!	1.00
80	8	quocngu_p016_f039.jpg	bat	Thầy đeo đoạn thăm, tớ vương mỗi sâu!	Thầy đeo đoạn thăm, tớ vương mỗi sâu!	1.00
81	8	quocngu_p016_f039.jpg	luc	Quan bảo thân trẻ dãi dầu?	Quan bảo thân trẻ dãi dầu?	1.00
82	8	quocngu_p016_f039.jpg	bat	Mang đai Tử lộ, quảy bầu Nhan Huyên!	Mang đai Tử lộ, quảy bầu Nhan Huyên!	1.00
83	8	quocngu_p016_f039.jpg	luc	Bây giờ ngư thủy gặp duyên;	Bây giờ ngư thủy gặp duyên;	1.00
84	8	quocngu_p016_f039.jpg	bat	Rạng danh con thảo, phĩ nguyền tôi ngayị	Rạng danh con thảo, phĩ nguyền tôi ngayị	1.00
85	8	quocngu_p016_f039.jpg	luc	Kể từ tách dặm đến nay,	Kể từ tách dặm đến nay,	1.00
86	8	quocngu_p016_f039.jpg	bat	Mỗi mê tính đã mấy ngày xông sương!	Mỗi mê tính đã mấy ngày xông sương!	1.00
87	8	quocngu_p016_f039.jpg	luc	Đoái nhìn phong kiếng, thêm thương;	Đoái nhìn phong kiếng, thêm thương;	1.00
88	8	quocngu_p016_f039.jpg	bat	Bơ vơ dặm củ, néo đường còn xa!	Bơ vơ dặm củ, néo đường còn xa!	1.00
89	8	quocngu_p016_f039.jpg	luc	Chi bằng vào chốn lân gia,	Chi bằng vào chốn lân gia,	1.00
90	9	quocngu_p018_f041.jpg	bat	Trước là tìm bạn, sau là nghĩ chơn?	Trước là tìm bạn, sau là nghĩ chơn?	1.00
91	9	quocngu_p018_f041.jpg	luc	Việc chi la khóc tưng bừng;	Việc chi la khóc tưng bừng;	1.00
92	9	quocngu_p018_f041.jpg	bat	Đều đam nhau chạy, vào rừng, lên non?	Đều đam nhau chạy, vào rừng, lên non?	1.00
93	9	quocngu_p018_f041.jpg	luc	Tiên răngỗẠạẠBớ chú cũng con!	Tiên răngỗẠạẠBớ chú cũng con!	1.00
94	9	quocngu_p018_f041.jpg	bat	Việc chi nên nỗi bon bon chạy hoài?	Việc chi nên nỗi bon bon chạy hoài?	1.00
95	9	quocngu_p018_f041.jpg	luc	Dân răng: «Tiểu tử là ai?	Dân răng: «Tiểu tử là ai?	1.00
96	9	quocngu_p018_f041.jpg	bat	Hay là một lũ Sơn Đài theo tao?	Hay là một lũ Sơn Đài theo tao?	1.00
97	9	quocngu_p018_f041.jpg	luc	Tiên rằng: «Cớ sự lẻm sao?	Tiên rằng: «Cớ sự lẻm sao?	1.00
98	9	quocngu_p018_f041.jpg	bat	Hãy dừng gót lại mà trao một lời!	Hãy dừng gót lại mà trao một lời!	1.00
99	9	quocngu_p018_f041.jpg	luc	Dân nghe tiếng nói khoan thai,	Dân nghe tiếng nói khoan thai,	1.00
100	9	quocngu_p018_f041.jpg	bat	Kêu nhau đứng lại, vài lời phân qua:	Kêu nhau đứng lại, vài lời phân qua:	1.00
101	9	quocngu_p018_f041.jpg	luc	Nhơn rẻy có đảng lu la;	Nhơn rẻy có đảng lu la;	1.00
102	9	quocngu_p018_f041.jpg	bat	Tên là Đỗ Dự, hiệu là Phong Lai.	Tên là Đỗ Dự, hiệu là Phong Lai.	1.00
103	9	quocngu_p018_f041.jpg	luc	Nhớm nhau ở chốn Sơn Đùi;	Nhớm nhau ở chốn Sơn Đùi;	1.00
104	9	quocngu_p018_f041.jpg	bat	Người đều sợ nó có tài khôn đương.	Người đều sợ nó có tài khôn đương.	1.00
105	9	quocngu_p018_f041.jpg	luc	Bầy giờ xuổng cướp thôn hương,	Bầy giờ xuổng cướp thôn hương,	1.00
106	9	quocngu_p018_f041.jpg	bat	ồỊThấy con gái tốt qua đường, bắt đi.	ỒỊThấy con gái tốt qua đường, bắt đi.	1.00
107	9	quocngu_p018_f041.jpg	luc	óm làng chẳng dám nói chỉ;	Óm làng chẳng dám nói chỉ;	1.00
108	10	quocngu_p020_f043.jpg	bat	Cám thương hai gả nữ nhi mắc nn!	Cám thương hai gả nữ nhi mắc nn!	1.00
109	10	quocngu_p020_f043.jpg	luc	Con ai vóc ngọc, minh vàng;	Con ai vóc ngọc, minh vàng;	1.00
110	10	quocngu_p020_f043.jpg	bat	Má đào, mày liều, dung nhan, lạnh lùng?	Má đào, mày liều, dung nhan, lạnh lùng?	1.00
111	10	quocngu_p020_f043.jpg	luc	E khi mắc đảng hành hung!	E khi mắc đảng hành hung!	1.00
112	10	quocngu_p020_f043.jpg	bat	Uỗng trang thục nữ sánh cùng thất phu!	Uỗng trang thục nữ sánh cùng thất phu!	1.00
113	10	quocngu_p020_f043.jpg	luc	Thôi thôi! Chăng dám nơi lâu!	Thôi thôi! Chăng dám nơi lâu!	1.00
114	10	quocngu_p020_f043.jpg	bat	Chạy đi cho khỏi, kẻo âu tới mìnhi	Chạy đi cho khỏi, kẻo âu tới mìnhi	1.00
115	10	quocngu_p020_f043.jpg	luc	Vân Tiên nỗi giận lội đình;	Vân Tiên nỗi giận lội đình;	1.00
116	10	quocngu_p020_f043.jpg	bat	Hỏi thăm lũ nó còn đình nơi nào.	Hỏi thăm lũ nó còn đình nơi nào.	1.00
117	10	quocngu_p020_f043.jpg	luc	Tôi xin ra sức anh hào,	Tôi xin ra sức anh hào,	1.00
118	10	quocngu_p020_f043.jpg	bat	Cứu người cho khỏi lao đao buỗi nầy!	Cứu người cho khỏi lao đao buỗi nầy!	1.00
119	10	quocngu_p020_f043.jpg	luc	Dân răng:&¿ẠLũ nó còn đây;	Dân răng:&¿ẠLũ nó còn đây;	1.00
120	10	quocngu_p020_f043.jpg	bat	Qua rem tướng bậu thơ ngây; đã đnh!	Qua rem tướng bậu thơ ngây; đã đnh!	1.00
121	10	quocngu_p020_f043.jpg	luc	E khi họa hỗ bất thành,	E khi họa hỗ bất thành,	1.00
122	10	quocngu_p020_f043.jpg	bat	Khi không mình lại chôn mình xuống hang	Khi không mình lại chôn mình xuống hang	1.00
123	11	quocngu_p022_f045.jpg	luc	Vân Tiên ghé lại bên đàng,	Vân Tiên ghé lại bên đàng,	1.00
124	11	quocngu_p022_f045.jpg	bat	Bẻ cây làm gậy, nhăm làng xông vô.	Bẻ cây làm gậy, nhăm làng xông vô.	1.00
125	11	quocngu_p022_f045.jpg	luc	Kêu răng: «Bớ đắng hung đồ!	Kêu răng: «Bớ đắng hung đồ!	1.00
126	11	quocngu_p022_f045.jpg	bat	Chớ quen làm thói mồ hồ hại dân!	Chớ quen làm thói mồ hồ hại dân!	1.00
127	11	quocngu_p022_f045.jpg	luc	Phong Lai mặt đó phừng phừng;	Phong Lai mặt đó phừng phừng;	1.00
128	11	quocngu_p022_f045.jpg	bat	Thăng nào lại đám lẫy lừng vào đây?	Thăng nào lại đám lẫy lừng vào đây?	1.00
129	11	quocngu_p022_f045.jpg	luc	Trước gầy việc dữ tại mầy!	Trước gầy việc dữ tại mầy!	1.00
130	11	quocngu_p022_f045.jpg	bat	Truyền quân bốn phiá phủ vậy bịt bùng.	Truyền quân bốn phiá phủ vậy bịt bùng.	1.00
131	11	quocngu_p022_f045.jpg	luc	Vân Tiên tả đụt hữu xông,	Vân Tiên tả đụt hữu xông,	1.00
132	11	quocngu_p022_f045.jpg	bat	Khác nào Triệu Tử mở vòng Dương Dang.	Khác nào Triệu Tử mở vòng Dương Dang.	1.00
133	11	quocngu_p022_f045.jpg	luc	Lu la bốn phiá vỡ tan,	Lu la bốn phiá vỡ tan,	1.00
134	11	quocngu_p022_f045.jpg	bat	Đều quăng gươm giáo, nhắn đàng chạy ngay.	Đều quăng gươm giáo, nhắn đàng chạy ngay.	1.00
135	11	quocngu_p022_f045.jpg	luc	Phong Lai chẳng kịp trở tay;	Phong Lai chẳng kịp trở tay;	1.00
136	11	quocngu_p022_f045.jpg	bat	Bị Tiên một gậy, thác rày, thân vong.	Bị Tiên một gậy, thác rày, thân vong.	1.00
137	11	quocngu_p022_f045.jpg	luc	Dẹp rồi lũ kiến chòm ong:	Dẹp rồi lũ kiến chòm ong:	1.00
138	11	quocngu_p022_f045.jpg	bat	Hỏi ai than khóc ở trong xe nấy?	Hỏi ai than khóc ở trong xe nấy?	1.00
139	11	quocngu_p022_f045.jpg	luc	Thưa rằng:ạồỊTồi thiệt người ngay!	Thưa rằng:ạồỊTồi thiệt người ngay!	1.00
140	12	quocngu_p024_f047.jpg	bat	Sa cơ, nên mới lâm tay hung đồ.	Sa cơ, nên mới lâm tay hung đồ.	1.00
141	12	quocngu_p024_f047.jpg	luc	Trong xe chật hẹp, khó phô;	Trong xe chật hẹp, khó phô;	1.00
142	12	quocngu_p024_f047.jpg	bat	Củi đầu trăm lậy; cứu cô tôi cùng!	Củi đầu trăm lậy; cứu cô tôi cùng!	1.00
143	12	quocngu_p024_f047.jpg	luc	Vân Tiên nghe nói động lòng;	Vân Tiên nghe nói động lòng;	1.00
144	12	quocngu_p024_f047.jpg	bat	Đáp rằng:ạẠồẠTa đã trừ dòng lu la;	Đáp rằng:ạẠồẠTa đã trừ dòng lu la;	1.00
145	12	quocngu_p024_f047.jpg	luc	Khoan khoan ngồi đó! Chớ ra!	Khoan khoan ngồi đó! Chớ ra!	1.00
146	12	quocngu_p024_f047.jpg	bat	Nàng là phận gải, ta là phận trai.	Nàng là phận gải, ta là phận trai.	1.00
147	12	quocngu_p024_f047.jpg	luc	Tiễu thơ con gải nhà ai?	Tiễu thơ con gải nhà ai?	1.00
148	12	quocngu_p024_f047.jpg	bat	Đi đầu, nên nỗi mang tai bất kỳ?	Đi đầu, nên nỗi mang tai bất kỳ?	1.00
149	12	quocngu_p024_f047.jpg	luc	Chẳng hay tên họ là chi;	Chẳng hay tên họ là chi;	1.00
150	13	quocngu_p026_f049.jpg	bat	Quê môn phận gái việc gì tới đây?	Quê môn phận gái việc gì tới đây?	1.00
151	13	quocngu_p026_f049.jpg	luc	Trước sau chưa hẳn dạ nấy;	Trước sau chưa hẳn dạ nấy;	1.00
152	13	quocngu_p026_f049.jpg	bat	Hai nằng ai tớ ai thầy? Nói ra!	Hai nằng ai tớ ai thầy? Nói ra!	1.00
153	13	quocngu_p026_f049.jpg	luc	Thưa rằng:ạỗẠTôi Kiều Nguyệt Nga;	Thưa rằng:ạỗẠTôi Kiều Nguyệt Nga;	1.00
154	13	quocngu_p026_f049.jpg	bat	Này con ti tấc tên là Kim Liên.	Này con ti tấc tên là Kim Liên.	1.00
155	13	quocngu_p026_f049.jpg	luc	Quê nhà ở quận Tây Xuyên;	Quê nhà ở quận Tây Xuyên;	1.00
156	13	quocngu_p026_f049.jpg	bat	Cha làm tri phú; ngôi miền Hà khê;	Cha làm tri phú; ngôi miền Hà khê;	1.00
157	13	quocngu_p026_f049.jpg	luc	Sai quân đam bức thơ về,	Sai quân đam bức thơ về,	1.00
158	13	quocngu_p026_f049.jpg	bat	Rước tôi qua đó định bề nghi gia.	Rước tôi qua đó định bề nghi gia.	1.00
159	13	quocngu_p026_f049.jpg	luc	Làm con nào dám cải cha?	Làm con nào dám cải cha?	1.00
160	13	quocngu_p026_f049.jpg	bat	Ví đầu ngàn dặm đường xa, cũng dành!	Ví đầu ngàn dặm đường xa, cũng dành!	1.00
161	13	quocngu_p026_f049.jpg	luc	Chẳng qua là sự bất thành!	Chẳng qua là sự bất thành!	1.00
162	13	quocngu_p026_f049.jpg	bat	Hay vậy, cũng chẳng thượng trình! Làm chi?	Hay vậy, cũng chẳng thượng trình! Làm chi?	1.00
163	13	quocngu_p026_f049.jpg	luc	Lâm nguy, bất gặp giải nguy;	Lâm nguy, bất gặp giải nguy;	1.00
164	13	quocngu_p026_f049.jpg	bat	Tiếc trăm năm cũng bỏ đi một hồi!	Tiếc trăm năm cũng bỏ đi một hồi!	1.00
165	13	quocngu_p026_f049.jpg	luc	Trước xe quân tử tạn ngồi,	Trước xe quân tử tạn ngồi,	1.00
166	14	quocngu_p028_f051.jpg	bat	Ngỏ cho tiện thiếp lạy rồi sẽ phần.	Ngỏ cho tiện thiếp lạy rồi sẽ phần.	1.00
167	14	quocngu_p028_f051.jpg	luc	Hà Khê qua đó cũng gần;	Hà Khê qua đó cũng gần;	1.00
168	14	quocngu_p028_f051.jpg	bat	Xin theo cùng thiếp, đền ơn cho chàng.	Xin theo cùng thiếp, đền ơn cho chàng.	1.00
169	14	quocngu_p028_f051.jpg	luc	Gặp dây đương lúc giữa đang;	Gặp dây đương lúc giữa đang;	1.00
170	14	quocngu_p028_f051.jpg	bat	Của tiền chẳng có, bạc vàng cũng không!	Của tiền chẳng có, bạc vàng cũng không!	1.00
171	14	quocngu_p028_f051.jpg	luc	Tưởng câu «báo đức thù công;	Tưởng câu «báo đức thù công;	1.00
172	14	quocngu_p028_f051.jpg	bat	Lấy chi cho phĩ tấm lòng cùng ngươii	Lấy chi cho phĩ tấm lòng cùng ngươii	1.00
173	14	quocngu_p028_f051.jpg	luc	Vân Tiên nghe nói min cười:	Vân Tiên nghe nói min cười:	1.00
174	14	quocngu_p028_f051.jpg	bat	Làm ơn, há đề trông người trả ơn?	Làm ơn, há đề trông người trả ơn?	1.00
175	14	quocngu_p028_f051.jpg	luc	¿ỗẠạNay đà rỗ đặng nguồn cơn;	¿ỗẠạNay đà rỗ đặng nguồn cơn;	1.00
176	14	quocngu_p028_f051.jpg	bat	ỊNào ai tính thiệt so hơn? Làm gì?	ỊNào ai tính thiệt so hơn? Làm gì?	1.00
177	14	quocngu_p028_f051.jpg	luc	Có cầu & Kiến ngãi bất vi»;	Có cầu & Kiến ngãi bất vi»;	1.00
178	14	quocngu_p028_f051.jpg	bat	Làm người dường ấy cũng phi anh hùng!	Làm người dường ấy cũng phi anh hùng!	1.00
179	14	quocngu_p028_f051.jpg	luc	Đó đà biết chữ < thỉ chung»;	Đó đà biết chữ < thỉ chung»;	1.00
180	14	quocngu_p028_f051.jpg	bat	Lựa là đầy phải theo cùng? Làm chi?	Lựa là đầy phải theo cùng? Làm chi?	1.00
181	14	quocngu_p028_f051.jpg	luc	Nguyệt Nga biết ý chẳng đi;	Nguyệt Nga biết ý chẳng đi;	1.00
182	15	quocngu_p030_f053.jpg	bat	Hỏi qua tên họ một khi cho tường.	Hỏi qua tên họ một khi cho tường.	1.00
183	15	quocngu_p030_f053.jpg	luc	Thưa rằng:ạẠạẠTiện thiếp đi đường;	Thưa rằng:ạẠạẠTiện thiếp đi đường;	1.00
184	15	quocngu_p030_f053.jpg	bat	Chẳng hay quân tử quê hương nơi nào!	Chẳng hay quân tử quê hương nơi nào!	1.00
185	15	quocngu_p030_f053.jpg	luc	Xảy nghe lời nói thanh thao,	Xảy nghe lời nói thanh thao,	1.00
186	15	quocngu_p030_f053.jpg	bat	Vân Tiền há nở lòng nào phui pha?	Vân Tiền há nở lòng nào phui pha?	1.00
187	15	quocngu_p030_f053.jpg	luc	Đông Thành vốn thiệt quô ta;	Đông Thành vốn thiệt quô ta;	1.00
188	15	quocngu_p030_f053.jpg	bat	Họ là Lục thị, tên là Vân Tiên	Họ là Lục thị, tên là Vân Tiên	1.00
189	15	quocngu_p030_f053.jpg	luc	Nguyệt Nga vốn đứng thuyền quyên;	Nguyệt Nga vốn đứng thuyền quyên;	1.00
190	15	quocngu_p030_f053.jpg	bat	Tai nghe lời nói, tay liền rút trâm.	Tai nghe lời nói, tay liền rút trâm.	1.00
191	15	quocngu_p030_f053.jpg	luc	Thưa răng:ạẠồẠNay gặp tri âm!	Thưa răng:ạẠồẠNay gặp tri âm!	1.00
192	15	quocngu_p030_f053.jpg	bat	Xin dâng một vật đỗ cầm làm tin.	Xin dâng một vật đỗ cầm làm tin.	1.00
193	16	quocngu_p032_f055.jpg	luc	Vân Tiên ngơ mặt chẳng nhìn;	Vân Tiên ngơ mặt chẳng nhìn;	1.00
194	16	quocngu_p032_f055.jpg	bat	Nguyệt Nga liếc thấy, càng thìn nết na.	Nguyệt Nga liếc thấy, càng thìn nết na.	1.00
195	16	quocngu_p032_f055.jpg	luc	Vật chi một chút gọi là!	Vật chi một chút gọi là!	1.00
196	16	quocngu_p032_f055.jpg	bat	Thiếp phân chưa đứt, chàng đà làm ngơ!	Thiếp phân chưa đứt, chàng đà làm ngơ!	1.00
197	16	quocngu_p032_f055.jpg	luc	ồCủa nầy dầu của vất vơ,	ỒCủa nầy dầu của vất vơ,	1.00
198	16	quocngu_p032_f055.jpg	bat	Lòng chê cũng phải; mặt ngơ sao đành?	Lòng chê cũng phải; mặt ngơ sao đành?	1.00
199	16	quocngu_p032_f055.jpg	luc	Vân Tiên khó nỗi làm thinh;	Vân Tiên khó nỗi làm thinh;	1.00
200	16	quocngu_p032_f055.jpg	bat	Chữ «ân» đã buộc; chữ & tình xe dây!	Chữ «ân» đã buộc; chữ & tình xe dây!	1.00
